"Cystidicola_stigmatura"	"Sphaeromyxa_sevastopoli"	"Proteocephalus_ambloplitis"	"Dichelyne_cotylophora"	"Raphidascaris_acus"	"Eustrongylides_tubifex"	"Spiroxys_sp."	"Leptorhynchoides_thecatus"	"Myxobolus_burti"	"Neochasmus_umbellus"	"Diplostomum_spathaceum"	"Diplostomum_sp."	"Ichthyocotylurus_pileatus"	"Digenea_gen._sp."	"Proteocephalus_sp."	"Scolex_pleuronectis"	"Hysterothylacium_brachyurum"	"Truttaedacnitis_clitellarius"	"Philometra_cylindraceum"	"Haplonema_immutatum"	"Rhabdochona_decaturensis"	"Contracaecum_sp."	"Spinitectus_sp."	"Spiroxys_contortus"	"Philometra_sp."	"Dioctophymidae"	"Neoechinorhynchus_tumidus"	"Neoechinorhynchus_sp."	"Southwellina_hispida"	"Myzobdella_lugubris"	"Piscicolaria_reducta"
"Apollonia_melanostoma"	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0
"Proterorhinus_marmoratus"	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0
"Perca_flavescens"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"Amia_calva"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Percina_caprodes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"Acipenser_fulvescens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_artedi"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_clupeaformis"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_dolomieu"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Notropis_hudsonius"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Salvelinus_namaycush"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sander_vitreus"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
