"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1	1	1	1	1	1	1	0	1	1	1	1
"R2"	1	1	0	1	1	1	1	0	1	1	0	0
"R3"	1	1	1	1	1	1	1	1	1	1	0	0
"R4"	1	0	0	1	1	1	1	0	0	1	1	1
"R5"	1	0	0	0	0	0	0	0	0	1	1	1
"R6"	1	1	0	0	0	1	1	0	0	1	1	1
"R7"	1	1	0	0	1	1	1	0	1	1	1	1
"R8"	1	1	0	0	1	1	1	0	1	1	1	1
"R9"	0	1	0	1	1	1	1	0	1	1	1	1
"R10"	1	1	1	1	1	1	1	0	1	1	0	0
"R11"	1	1	1	1	1	0	1	0	0	1	1	1
"R12"	1	1	1	1	1	1	1	0	1	1	1	1
"R13"	1	1	0	0	0	0	0	0	0	0	1	1
"R14"	1	1	1	1	1	1	1	0	1	1	1	0
"R15"	1	1	1	1	1	1	1	1	1	1	0	0
"R16"	0	0	0	0	0	0	0	1	0	0	0	0
"R17"	0	0	0	0	0	0	0	1	0	1	0	0
"R18"	1	0	0	0	0	0	0	1	0	0	0	0
"R19"	1	0	1	1	1	0	0	1	0	0	0	0
"R20"	1	0	0	0	0	0	0	0	0	0	0	0
"R21"	1	0	0	0	0	0	0	0	0	0	0	0
"R22"	1	0	0	0	0	0	0	0	0	0	0	0
"R23"	1	0	0	0	0	0	0	1	0	0	0	0
"R24"	1	0	0	0	0	0	0	1	0	0	0	0
"R25"	0	0	0	0	0	0	0	1	0	0	0	0
