"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	1	0	1	0	0	1	1	1	0
"R2"	0	0	0	0	1	0	0	0	0
"R3"	0	1	0	1	1	1	1	1	0
"R4"	0	0	0	1	0	0	1	0	1
"R5"	0	0	0	0	0	0	1	0	0
"R6"	0	0	0	0	1	0	1	0	1
"R7"	1	1	1	0	1	0	0	1	1
"R8"	0	0	1	0	0	1	1	0	1
"R9"	0	0	0	0	0	0	1	0	0
"R10"	0	0	0	0	0	1	1	0	0
"R11"	1	1	1	1	1	1	1	0	1
"R12"	0	0	0	0	0	1	1	0	1
"R13"	1	0	1	1	0	0	1	1	0
"R14"	0	0	0	0	0	1	0	1	0
"R15"	1	0	0	0	0	0	0	0	0
"R16"	0	0	0	0	1	0	0	0	0
"R17"	0	0	0	0	0	1	1	1	0
"R18"	0	0	1	0	0	0	0	0	0
"R19"	0	0	0	0	0	0	1	0	0
"R20"	1	0	1	1	1	0	0	1	1
"R21"	1	0	1	0	0	1	0	0	1
"R22"	0	0	0	0	0	0	0	0	1
"R23"	1	1	1	0	0	0	0	0	0
"R24"	1	1	1	0	0	1	0	1	0
"R25"	1	0	1	0	0	0	0	0	0
"R26"	1	0	1	1	0	1	0	0	1
"R27"	1	0	1	0	0	1	0	0	1
"R28"	1	0	1	0	0	0	0	0	1
"R29"	1	0	1	0	0	0	0	0	1
"R30"	1	0	0	0	0	0	0	0	0
"R31"	0	0	0	0	0	0	0	0	1
"R32"	1	1	0	0	0	0	0	0	0
"R33"	0	0	0	0	0	1	1	0	0
