"Sarcops_calvus"	"Ducula_bicolor"	"Ptilinopus_occipitalis"	"Ducula_poliocephala"	"Penelopides_panini"	"Phapitreron_leucotis"	"Chalcophaps_indica"	"Hypsipetes_philippinus"	"Ptenochirus_jagori"	"Pycnonotus_goiavier"	"Cynopterus_brachyotis"	"Macropygia_phasianella"	"Zosterops_nigrorum"	"Rhabdornis_mysticalis"	"Streptopelia_chinensis"	"Oriolus_chinensis"	"Aceros_waldeni"	"Megalaima_haemacephala"	"Sus_cebifrons"
"Bischhofia_javanica"	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0
"Ficus_heteropleura"	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0
"Strebus_glaber"	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0
"Macaranga_bicolor"	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0
"Macaranga_tanarius"	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0
"Grewia_multiflora"	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0
"Guioa_pleuropteris"	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0
"Mallotus_molissima"	1	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0
"Syzygium_sp2_M_SD_013"	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_sp3_M_SD_013"	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
"Homalanthus_alpinus"	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0
"Microcus_stylocarpa"	1	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Syzygium_garciae"	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0
"Dillenia_reifferscheidia"	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
"Platea_excelsa"	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"Homalanthus_rotundifolius"	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0
"Prunus_fragrans"	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Canarium_asperum"	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Elaeocarpus_cumingii"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Litsea_luzonica"	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Litsea_quericoides"	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaquium_sp1_M_SD_013"	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_SD_013"	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Unidentified_sp2_M_SD_013"	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memexylon_lanceolatum"	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
"Ternstroemia_megacarpa"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
"Ficus_congesta"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Ficus_heteropoda"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Ficus_septica"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Ficus_sp1_M_SD_013"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Ficus_variegata"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"Pometia_pinnata"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"Aglaia_sp1_M_SD_013"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_busungaensis"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Lithocarpus_sp1_M_SD_013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Myristica_ceylanica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
