"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.3958690213651	0.395869021365096	1.2715823633724	1.09991874431713	1.09991874431713	0.586708102460026	0.586708102460026	2.1992723409172	0.586708102460026	0.586708102460026	0.19073735450586
"R2"	0.395869021365096	1.3958690213651	1.2715823633724	1.09991874431713	1.09991874431713	0.586708102460026	0.586708102460026	2.1992723409172	0.586708102460026	0.586708102460026	0.19073735450586
"R3"	0.2119303938954	0.2119303938954	2.50523703551137	1.16703003571734	1.16703003571734	0.795916368184947	0.795916368184947	1.17739107719667	0.795916368184947	0.795916368184947	0.375785555326706
"R4"	0.219983748863425	0.219983748863425	1.4004360428608	2.2113771770746	1.2113771770746	0.826161190175975	0.826161190175975	1.22213193813014	0.826161190175975	0.826161190175975	0.210065406429121
"R5"	0.219983748863425	0.219983748863425	1.4004360428608	1.2113771770746	2.2113771770746	0.826161190175975	0.826161190175975	1.22213193813014	0.826161190175975	0.826161190175975	0.210065406429121
"C1"	0.195569367486675	0.195569367486675	1.59183273636989	1.37693531695996	1.37693531695996	1.73447162456107	0.734471624561069	1.08649648603708	0.734471624561069	0.734471624561069	0.238774910455484
"C2"	0.195569367486675	0.195569367486675	1.59183273636989	1.37693531695996	1.37693531695996	0.73447162456107	1.73447162456107	1.08649648603708	0.73447162456107	0.73447162456107	0.238774910455484
"C3"	0.43985446818344	0.43985446818344	1.412869292636	1.22213193813014	1.22213193813014	0.651897891622251	0.651897891622251	2.44363593435244	0.651897891622251	0.651897891622251	0.2119303938954
"C4"	0.195569367486675	0.195569367486675	1.59183273636989	1.37693531695996	1.37693531695996	0.73447162456107	0.734471624561069	1.08649648603708	1.73447162456107	0.734471624561069	0.238774910455484
"C5"	0.195569367486675	0.195569367486675	1.59183273636989	1.37693531695996	1.37693531695996	0.73447162456107	0.734471624561069	1.08649648603708	0.734471624561069	1.73447162456107	0.238774910455484
"C6"	0.19073735450586	0.19073735450586	2.25471333196023	1.0503270321456	1.0503270321456	0.716324731366452	0.716324731366452	1.059651969477	0.716324731366452	0.716324731366452	1.33820699979404
