"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	3.23663586387611	0.925798339006288	0.410614794140058	0	0	0.690108897714383	0	0	0.728243069372126	0.728243069372126	1.82495464062248	1.14485232192496	0.310549003971473
"R2"	1.85159667801258	2.10170002341748	0.488631605026669	0	0	0.821229588280116	0	0	0.41660925255283	0.41660925255283	2.17169602234075	1.3623742630907	0.369553314726052
"R3"	1.64245917656023	0.977263210053338	1.61306841839081	0	0	1.03036708973246	0	0	0.369553314726052	0.369553314726052	2.72474852618139	0.809321759250054	0.463665190379607
"R4"	0	0	0	5.26315789473684	0	0	4.73684210526316	0	0	0	0	0	0
"R5"	0	0	0	0	5.26315789473684	0	0	4.73684210526316	0	0	0	0	0
"R6"	1.38021779542877	0.821229588280116	0.51518354486623	0	0	2.54652696616173	0	0	0.310549003971472	0.310549003971472	2.28970464384991	0.680102318697524	1.14593713477278
"C1"	0	0	0	4.73684210526316	0	0	5.26315789473684	0	0	0	0	0	0
"C2"	0	0	0	0	4.73684210526316	0	0	5.26315789473684	0	0	0	0	0
"C3"	2.9129722774885	0.833218505105659	0.369553314726052	0	0	0.621098007942945	0	0	1.65541876243491	0.655418762434913	1.64245917656023	1.03036708973246	0.279494103574325
"C4"	2.9129722774885	0.833218505105659	0.369553314726052	0	0	0.621098007942945	0	0	0.655418762434913	1.65541876243491	1.64245917656023	1.03036708973246	0.279494103574325
"C5"	1.82495464062248	1.08584801117038	0.681187131545348	0	0	1.14485232192495	0	0	0.410614794140058	0.410614794140058	3.02749836242377	0.899246399166727	0.51518354486623
"C6"	2.28970464384991	1.3623742630907	0.404660879625027	0	0	0.680102318697525	0	0	0.51518354486623	0.51518354486623	1.79849279833345	2.12825196325704	0.306046043413886
"C7"	1.24219601588589	0.739106629452104	0.463665190379607	0	0	2.29187426954556	0	0	0.279494103574325	0.279494103574325	2.06073417946492	0.612092086827772	2.0313434212955
