"Psiadia_terebinthina"	"Gaertnera_sp1_M_PL_079"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Antidesma_madagascariense"	"Psathura_terniflora"	"Tabernaemontana_persicarifolia"	"Labourdonnaisia_callophylloides"	"Euodia_obtusifolia"	"Tristhema_mauritiana"	"Olea_lancea"	"Psidium_cattleianum"	"Villa_unifasciata"	"Nacoleia_sp1_M_PL_079"	"Chaetocnema_sp1_M_PL_079"	"Technomyrmex_albipes"	"Ahasverus_advena"	"Apis_mellifera"	"Dysauxes_florida"	"Brachymyrmex_sp1_M_PL_079"	"Allograpta_nasuta"	"Polistes_hebraeus"	"Syritta_nigrofemorata"	"Chrysomya_megacephala"	"Miridae_sp1_M_PL_079"	"Orthellia_albigena"	"Pachycerina_crinicornis"	"Phalanta_phalantha"	"Phorinia_sp1_M_PL_079"	"Stomorhina_lunata"
"Olea_lancea"	0.943299835344574	0.635983851315423	0.739006539702034	0.190244813985705	0.139420803384556	0.360425609252514	0.140741865928395	0.085811127440233	0.0541432917704376	0.444785459640625	1.26464734848617	0.264647348486172	2.05836826600356	0.288661913859859	0.240636852313056	0.0969834280404773	0.319658057726539	0.286037091467443	0.319260869221139	0.0342440665174269	0.205180964489762	0.114477093236776	0.0943299835344574	0.0342440665174269	0.0943299835344574	0.110850980955305	0.110850980955305	0.200153456838281	0.0342440665174269	0.0943299835344574
"Psidium_cattleianum"	0.943299835344574	0.635983851315423	0.739006539702034	0.190244813985705	0.139420803384556	0.360425609252514	0.140741865928395	0.085811127440233	0.0541432917704376	0.444785459640625	0.264647348486172	1.26464734848617	2.05836826600356	0.288661913859859	0.240636852313056	0.0969834280404773	0.319658057726539	0.286037091467443	0.319260869221139	0.0342440665174269	0.205180964489762	0.114477093236776	0.0943299835344574	0.0342440665174269	0.0943299835344574	0.110850980955305	0.110850980955305	0.200153456838281	0.0342440665174269	0.0943299835344574
"Villa_unifasciata"	1.04811092816064	0.706648723683803	0.821118377446704	0.211383126650784	0.154912003760618	0.40047289916946	0.15637985103155	0.0953456971558144	0.060159213078264	0.494206066267361	0.29405260942908	0.29405260942908	2.28707585111507	0.320735459844288	0.26737428034784	0.107759364489419	0.355175619696154	0.317818990519381	0.354734299134599	0.038048962797141	0.227978849433069	0.127196770263085	0.104811092816064	0.038048962797141	0.104811092816064	0.123167756617006	0.123167756617006	0.222392729820313	0.038048962797141	0.104811092816064
"Nacoleia_sp1_M_PL_079"	0.859042953308436	0.976026928626289	1.13066431964633	0.321859661008108	0.110504736740901	0.158277532962498	0.601818927810847	0.107502387322017	0.116988024026478	0.161715357904683	0.0962206379532864	0.0962206379532864	0.748382739636672	1.61610301261456	0.519946773451015	0.107661870514865	0.431188790430525	0.358341291073391	0.206856316697373	0.0579347389814595	0.255503943277793	0.175684847152732	0.0859042953308436	0.0579347389814595	0.0859042953308436	0.169599647946949	0.169599647946949	0.0727719110571073	0.0579347389814595	0.0859042953308436
"Chaetocnema_sp1_M_PL_079"	1.11529372515898	0.390098202001729	0.456452743967221	1.12062765749089	0.216454515677895	0.142010849074623	0.55838776029526	0.0746905680313186	0.441399736268781	0.10110792113994	0.060159213078264	0.060159213078264	0.46790499060872	0.389960080088261	1.96177660563903	0.299117510403413	0.250214960471292	0.248968560104395	0.272838786654531	0.20171297834836	0.179997284110981	0.0702176763603111	0.111529372515897	0.20171297834836	0.111529372515897	0.0684679115950831	0.0684679115950831	0.0454985645129728	0.20171297834836	0.111529372515897
"Technomyrmex_albipes"	0.692742903487778	0.222409201884001	0.260575498648174	1.80802952282619	0.979130388652863	0.232897807621975	0.183050721413225	0.044921073981328	0.134602879681536	0.0814986790256112	0.0484917140202387	0.0484917140202387	0.377157775712968	0.161492805772298	0.598235020806826	1.7660539890025	0.148394271485124	0.149736913271093	0.614686978672455	0.325445314108714	0.108360615146004	0.0400336563391203	0.0692742903487778	0.325445314108715	0.0692742903487778	0.0390863247972261	0.0390863247972261	0.036674405561525	0.325445314108715	0.0692742903487778
"Ahasverus_advena"	1.32195167110368	0.95762853795119	1.11217431485044	0.232651302698297	0.126782844083828	0.188817248547137	0.204421125270545	0.125165056414349	0.0750644881413875	0.179080144384615	0.106552685908846	0.106552685908846	0.828743112624359	0.431188790430525	0.333619947295056	0.0989295143234161	1.47139445116915	0.417216854714496	0.274215208794302	0.0418772344856935	0.299021314337934	0.172373136831214	0.132195167110368	0.0418772344856935	0.132195167110368	0.166826147227565	0.166826147227565	0.0805860649730769	0.0418772344856935	0.132195167110368
"Apis_mellifera"	1.40862393550106	1.04297398593668	0.590794291305251	0.232707474732776	0.128749474212213	0.1791740973867	0.182192955353336	0.545999059322757	0.0746905680313187	0.160244869169436	0.0953456971558144	0.0953456971558144	0.741577644545223	0.358341291073391	0.331958080139194	0.0998246088473955	0.417216854714497	1.81999686440919	0.279428000769617	0.0418873454518996	0.229481537245894	0.187735317468602	0.140862393550106	0.0418873454518996	0.140862393550106	0.0886191436957876	0.0886191436957876	0.0721101911262462	0.0418873454518996	0.140862393550106
"Dysauxes_florida"	1.32117731049436	0.399248386179913	0.468218454883213	0.518011147078007	0.703442916979841	0.625457113118484	0.143908531005571	0.0838284002308851	0.0818516359963592	0.178857629815764	0.10642028974038	0.10642028974038	0.827713364647398	0.206856316697373	0.363785048872708	0.40979131911497	0.274215208794302	0.279428000769617	1.73012274459368	0.0932420064740413	0.202350499281918	0.0718647095123844	0.132117731049436	0.0932420064740413	0.132117731049436	0.070232768232482	0.070232768232482	0.0804859334170938	0.0932420064740413	0.132117731049436
"Brachymyrmex_sp1_M_PL_079"	0.56984812031279	0.193047080602117	0.225989446116136	2.67401257434118	0.37681858852448	0.118161872344064	0.233682945596838	0.0376986109067096	0.181541680513524	0.0575530529704654	0.0342440665174269	0.0342440665174269	0.266342739579987	0.173804216944379	0.80685191339344	0.650890628217429	0.125631703457081	0.125662036355699	0.279726019422124	1.48132226338141	0.0908832289486994	0.0347484745083811	0.056984812031279	0.481322263381413	0.056984812031279	0.0338984169174204	0.0338984169174204	0.0258988738367094	0.481322263381413	0.056984812031279
"Allograpta_nasuta"	1.53465055136438	0.543429045265645	1.31499792148431	0.252453413746387	0.139820001492565	0.193648206921744	0.195975552324948	0.103266691760652	0.0809987778499413	0.172420978562826	0.102590482244881	0.102590482244881	0.797925973015743	0.383255914916689	0.359994568221961	0.108360615146004	0.448531971506901	0.344222305868841	0.303525748922877	0.0454416144743497	1.35071474335908	0.0978172281478161	0.153465055136438	0.0454416144743497	0.153465055136438	0.197249688222646	0.197249688222646	0.0775894403532715	0.0454416144743497	0.153465055136438
"Polistes_hebraeus"	0.89655391058229	1.78602752332228	0.706527101582688	0.193047080602117	0.100708529266354	0.179155331797922	0.221312271161739	0.168961785721742	0.06319590872428	0.192398476028195	0.114477093236776	0.114477093236776	0.890377391841592	0.527054541458196	0.280870705441245	0.0800673126782405	0.517119410493643	0.563205952405807	0.215594128537153	0.0347484745083811	0.195634456295632	1.32148495419801	0.089655391058229	0.0347484745083811	0.089655391058229	0.105979065237403	0.105979065237403	0.0865793142126878	0.0347484745083811	0.089655391058229
"Syritta_nigrofemorata"	2.18833250816504	0.49808550587905	0.587312396375811	0.316582289062661	0.181252819258392	0.21323594147895	0.177690301062067	0.126776154195096	0.100376435264308	0.15853778745287	0.0943299835344574	0.0943299835344574	0.733677649712446	0.257712885992531	0.44611749006359	0.138548580697556	0.396585501331105	0.422587180650319	0.396353193148308	0.056984812031279	0.306930110272876	0.089655391058229	1.2188332508165	0.056984812031279	0.218833250816504	0.0880968594563716	0.0880968594563716	0.0713420043537913	0.056984812031279	0.218833250816504
"Chrysomya_megacephala"	0.56984812031279	0.193047080602117	0.225989446116136	2.67401257434118	0.37681858852448	0.118161872344064	0.233682945596838	0.0376986109067096	0.181541680513524	0.0575530529704654	0.0342440665174269	0.0342440665174269	0.266342739579987	0.173804216944379	0.80685191339344	0.650890628217429	0.125631703457081	0.125662036355699	0.279726019422124	0.481322263381413	0.0908832289486994	0.0347484745083811	0.056984812031279	1.48132226338141	0.056984812031279	0.0338984169174204	0.0338984169174204	0.0258988738367094	0.481322263381413	0.056984812031279
"Miridae_sp1_M_PL_079"	2.18833250816504	0.49808550587905	0.587312396375811	0.316582289062661	0.181252819258392	0.21323594147895	0.177690301062067	0.126776154195096	0.100376435264308	0.15853778745287	0.0943299835344574	0.0943299835344574	0.733677649712446	0.257712885992531	0.44611749006359	0.138548580697556	0.396585501331105	0.422587180650319	0.396353193148308	0.056984812031279	0.306930110272876	0.089655391058229	0.218833250816504	0.056984812031279	1.2188332508165	0.0880968594563716	0.0880968594563716	0.0713420043537913	0.056984812031279	0.218833250816504
"Orthellia_albigena"	0.880968594563717	0.58877258465224	2.04268344659281	0.188324538430113	0.0983871837267372	0.174060472364539	0.214260803587829	0.0797572293262089	0.0616211204355748	0.186304169672782	0.110850980955305	0.110850980955305	0.862174296319039	0.508798943840847	0.273871646380332	0.0781726495944522	0.500478441682696	0.265857431087363	0.210698304697446	0.0338984169174204	0.394499376445293	0.105979065237403	0.0880968594563716	0.0338984169174204	0.0880968594563716	1.30640251698892	0.306402516988921	0.0838368763527517	0.0338984169174204	0.0880968594563716
"Pachycerina_crinicornis"	0.880968594563717	0.58877258465224	2.04268344659281	0.188324538430113	0.0983871837267372	0.174060472364539	0.214260803587829	0.0797572293262089	0.0616211204355748	0.186304169672782	0.110850980955305	0.110850980955305	0.862174296319039	0.508798943840847	0.273871646380333	0.0781726495944522	0.500478441682696	0.265857431087363	0.210698304697446	0.0338984169174204	0.394499376445293	0.105979065237403	0.0880968594563716	0.0338984169174204	0.0880968594563716	0.306402516988921	1.30640251698892	0.0838368763527517	0.0338984169174204	0.0880968594563716
"Phalanta_phalantha"	0.713420043537913	0.480996190070488	0.558912509018345	0.143882632426164	0.105444305080757	0.272590796913666	0.106443428013072	0.0648991720136216	0.0409487080616755	1.84899740645089	0.200153456838281	0.200153456838281	1.55674910874219	0.218315733171322	0.181994258051891	0.0733488111230501	0.241758194919231	0.216330573378739	0.241457800251281	0.0258988738367094	0.155178880706543	0.0865793142126878	0.0713420043537913	0.0258988738367094	0.0713420043537913	0.0838368763527517	0.0838368763527517	1.8320488329029	0.0258988738367094	0.0713420043537913
"Phorinia_sp1_M_PL_079"	0.56984812031279	0.193047080602117	0.225989446116136	2.67401257434118	0.37681858852448	0.118161872344064	0.233682945596838	0.0376986109067097	0.181541680513524	0.0575530529704654	0.0342440665174269	0.0342440665174269	0.266342739579987	0.173804216944379	0.80685191339344	0.650890628217429	0.125631703457081	0.125662036355699	0.279726019422124	0.481322263381413	0.0908832289486994	0.0347484745083811	0.056984812031279	0.481322263381413	0.056984812031279	0.0338984169174204	0.0338984169174204	0.0258988738367094	1.48132226338141	0.056984812031279
"Stomorhina_lunata"	2.18833250816504	0.49808550587905	0.587312396375811	0.316582289062661	0.181252819258392	0.21323594147895	0.177690301062067	0.126776154195096	0.100376435264308	0.15853778745287	0.0943299835344573	0.0943299835344573	0.733677649712446	0.257712885992531	0.44611749006359	0.138548580697556	0.396585501331105	0.422587180650319	0.396353193148308	0.056984812031279	0.306930110272876	0.089655391058229	0.218833250816504	0.056984812031279	0.218833250816504	0.0880968594563716	0.0880968594563716	0.0713420043537913	0.056984812031279	1.2188332508165
