"Claytonia_virginica"	"Isopyrum_biternatum"	"Dentaria_laciniata"	"Erythronium_albidum"	"Dicentra_cucullaria"	"Sanguinaria_canadensis"	"Dicentra_canadensis"	"Apis_mellifera"	"Andrena_carlini"	"Andrena_irgeniae"	"Bombus_griseocollis"	"Andrena_forbesii"	"Andrena_mansonii"	"Andrena_rugosa"	"Helophilus_fasciatus"	"Melanostoma_sp1_M_PL_032"	"Metasyrphus_americanus"	"Syrphus_torvus"	"Andrena_cressoni"	"Andrena_miserabilis"	"Eristalis_dimidiatus"	"Syrphus_sp1_M_PL_032"	"Andrena_erythronii"	"Andrena_personata"	"Andrena_sp1_M_PL_032"	"Augochlora_pura"	"Augochlorella_striata"	"Carposcalis_obscura"	"Ceratina_metallica"	"Dialictus_coeruleus"	"Dialictus_imitatus"	"Dialictus_oblongus"	"Dialictus_obscurus"	"Dialictus_zephyrus"	"Erylaeus_macroupinensis"	"Halictus_confusus"	"Lasioglossum_forbesii"	"Mesograpta_marginata"	"Nomada_luteola"	"Xylota_nemorum"
"Andrena_sp1_M_PL_032"	2.48677674753857	1.0304773727746	0.630655371868183	0.318112909865726	0.106515922624216	0.108769013582605	0.0555347670092597	0.339874370766375	0.242996149473306	0.242996149473306	0.246821186707821	0.191397073593182	0.191397073593182	0.195279212993447	0.195279212993447	0.195279212993447	0.192626193225495	0.195279212993447	0.143680137113323	0.143680137113323	0.14890773121859	0.14890773121859	0.0477169364798589	0.0463714817748569	1.09730865533847	0.0463714817748569	0.0463714817748569	0.097308655338466	0.0973086553384659	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.051599075880124	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569
"Augochlora_pura"	1.18504897869079	2.41129123180568	0.569162273897777	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198025	0.108508105431256	0.0463714817748569	1.10850810543125	0.108508105431256	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
"Augochlorella_striata"	1.18504897869079	2.41129123180568	0.569162273897778	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198024	0.108508105431256	0.0463714817748569	0.108508105431256	1.10850810543126	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
"Carposcalis_obscura"	2.48677674753858	1.0304773727746	0.630655371868182	0.318112909865726	0.106515922624216	0.108769013582605	0.0555347670092597	0.339874370766375	0.242996149473306	0.242996149473306	0.246821186707821	0.191397073593182	0.191397073593182	0.195279212993447	0.195279212993447	0.195279212993447	0.192626193225495	0.195279212993447	0.143680137113323	0.143680137113323	0.14890773121859	0.14890773121859	0.0477169364798589	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	1.09730865533847	0.0973086553384659	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.051599075880124	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569
"Ceratina_metallica"	2.48677674753858	1.0304773727746	0.630655371868183	0.318112909865726	0.106515922624216	0.108769013582605	0.0555347670092597	0.339874370766375	0.242996149473306	0.242996149473306	0.246821186707821	0.191397073593182	0.191397073593182	0.195279212993447	0.195279212993447	0.195279212993447	0.192626193225495	0.195279212993447	0.143680137113323	0.143680137113323	0.14890773121859	0.14890773121859	0.0477169364798589	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	1.09730865533847	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.051599075880124	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569
"Dialictus_coeruleus"	2.48677674753857	1.0304773727746	0.630655371868182	0.318112909865726	0.106515922624216	0.108769013582605	0.0555347670092597	0.339874370766375	0.242996149473306	0.242996149473306	0.246821186707821	0.191397073593182	0.191397073593182	0.195279212993447	0.195279212993447	0.195279212993447	0.192626193225495	0.195279212993447	0.143680137113323	0.143680137113323	0.14890773121859	0.14890773121859	0.0477169364798589	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.097308655338466	1.09730865533847	0.0463714817748569	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.051599075880124	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569
"Dialictus_imitatus"	1.18504897869079	2.41129123180568	0.569162273897777	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198024	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.0463714817748569	0.0463714817748569	1.10850810543126	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
"Dialictus_oblongus"	1.18504897869079	2.41129123180568	0.569162273897778	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198025	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256	1.10850810543126	0.0463714817748569	0.108508105431256	0.108508105431256	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
"Dialictus_obscurus"	2.48677674753857	1.0304773727746	0.630655371868182	0.318112909865726	0.106515922624216	0.108769013582605	0.0555347670092597	0.339874370766375	0.242996149473306	0.242996149473306	0.246821186707821	0.191397073593182	0.191397073593182	0.195279212993447	0.195279212993447	0.195279212993447	0.192626193225495	0.195279212993447	0.143680137113323	0.143680137113323	0.14890773121859	0.14890773121859	0.0477169364798589	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569	0.0463714817748569	1.09730865533847	0.0463714817748569	0.0463714817748569	0.051599075880124	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569
"Dialictus_zephyrus"	1.18504897869079	2.41129123180568	0.569162273897777	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198025	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	1.10850810543126	0.108508105431256	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
"Erylaeus_macroupinensis"	1.18504897869079	2.41129123180568	0.569162273897778	0.332000848132016	0.088807576847537	0.113035132444392	0.0374960634449718	0.342076756017101	0.251247536835733	0.251247536835733	0.166649170866541	0.204679714425915	0.204679714425915	0.201447409615931	0.201447409615931	0.201447409615931	0.205745396806089	0.201447409615931	0.154879587206113	0.154879587206113	0.0929393041846751	0.0929393041846751	0.0498001272198024	0.108508105431256	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256	0.108508105431256	0.0463714817748569	0.108508105431256	1.10850810543126	0.0465678224098182	0.0463714817748569	0.0463714817748569	0.0463714817748569	0.108508105431256
"Halictus_confusus"	1.31864305026984	1.03484049799596	1.75708462250961	0.32091338207443	0.131031350304312	0.10257616531643	0.0717530367925826	0.395188756744863	0.29006537471553	0.290065374715529	0.318902385744812	0.146303905601107	0.146303905601107	0.241928367404365	0.241928367404365	0.241928367404365	0.144326172682336	0.241928367404365	0.0981668982899422	0.0981668982899422	0.195360544994547	0.195360544994547	0.0481370073111645	0.0465678224098182	0.051599075880124	0.0465678224098182	0.0465678224098182	0.051599075880124	0.051599075880124	0.051599075880124	0.0465678224098182	0.0465678224098182	0.051599075880124	0.0465678224098182	0.0465678224098182	1.14376146911442	0.051599075880124	0.051599075880124	0.051599075880124	0.0465678224098182
"Lasioglossum_forbesii"	2.48677674753857	1.0304773727746	0.630655371868182	0.318112909865726	0.106515922624216	0.108769013582605	0.0555347670092597	0.339874370766375	0.242996149473306	0.242996149473306	0.246821186707821	0.191397073593182	0.191397073593182	0.195279212993447	0.195279212993447	0.195279212993447	0.192626193225495	0.195279212993447	0.143680137113323	0.143680137113323	0.14890773121859	0.14890773121859	0.0477169364798589	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.097308655338466	0.097308655338466	0.0463714817748569	0.0463714817748569	0.097308655338466	0.0463714817748569	0.0463714817748569	0.051599075880124	1.09730865533847	0.097308655338466	0.097308655338466	0.0463714817748569
