"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Hemipyrellia_sp1_M_PL_117"	"Lasioglossum_mahense"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Rhiparida_seychellensis"
"Chrysobalanus_icaco"	2.65144589499833	1.64093837364775	0.970773626090768	1.92536769174669	0.436848131740845	0.295368907256594	1.19315065274925	0.295368907256595	0.295368907256594	0.295368907256594
"Dillenia_ferruginea"	0.656375349459099	3.95040719581865	0.656375349459099	1.30181110976055	0.295368907256594	0.711073295247357	0.295368907256595	0.711073295247357	0.711073295247357	0.711073295247357
"Nepenthes_pervillei"	0.970773626090768	1.64093837364775	2.65144589499833	1.92536769174669	1.19315065274925	0.295368907256594	0.436848131740845	0.295368907256595	0.295368907256594	0.295368907256594
"Apis_mellifera"	1.28357846116446	2.16968518293424	1.28357846116446	2.54576394797618	0.577610307524007	0.390543332928164	0.577610307524007	0.390543332928164	0.390543332928164	0.390543332928164
"Hemipyrellia_sp1_M_PL_117"	0.873696263481691	1.47684453628297	2.3863013054985	1.73283092257202	2.07383558747432	0.265832016530935	0.393163318566761	0.265832016530935	0.265832016530935	0.265832016530935
"Lasioglossum_mahense"	0.590737814513189	3.55536647623678	0.590737814513189	1.17162999878449	0.265832016530935	1.63996596572262	0.265832016530935	0.639965965722621	0.639965965722621	0.639965965722621
"Eristalinus_vicarians"	2.3863013054985	1.47684453628297	0.873696263481691	1.73283092257202	0.393163318566761	0.265832016530935	2.07383558747432	0.265832016530935	0.265832016530935	0.265832016530935
"Hemipyrellia_germana"	0.590737814513189	3.55536647623678	0.590737814513189	1.17162999878449	0.265832016530935	0.639965965722621	0.265832016530935	1.63996596572262	0.639965965722621	0.639965965722621
"Ornidia_obesa"	0.590737814513189	3.55536647623678	0.590737814513189	1.17162999878449	0.265832016530935	0.639965965722621	0.265832016530935	0.639965965722621	1.63996596572262	0.639965965722621
"Rhiparida_seychellensis"	0.590737814513189	3.55536647623678	0.590737814513189	1.17162999878449	0.265832016530935	0.639965965722621	0.265832016530935	0.639965965722621	0.639965965722621	1.63996596572262
