"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"
"R1"	1.69728385874713	0.110962657285888	0.808246516033013	0.697283858747125	0.697283858747125	0.110962657285888	0.110962657285888	0.110962657285888	0.110962657285888	0.808246516033013	1.29126640508727	1.29126640508727	0.863042890001353	1.29126640508727
"R2"	0.332887971857665	1.3712454336355	0.704133405493167	0.332887971857665	0.332887971857665	0.371245433635502	0.371245433635502	0.371245433635502	0.371245433635502	0.704133405493167	0.616459207143823	0.616459207143823	2.88746448383168	0.616459207143823
"R3"	0.60618488702476	0.176033351373292	1.78221823839805	0.60618488702476	0.60618488702476	0.176033351373292	0.176033351373292	0.176033351373292	0.176033351373292	0.782218238398052	1.12256460560141	1.12256460560141	1.36914828845894	1.12256460560141
"R4"	0.697283858747125	0.110962657285888	0.808246516033013	1.69728385874713	0.697283858747125	0.110962657285888	0.110962657285888	0.110962657285888	0.110962657285888	0.808246516033013	1.29126640508727	1.29126640508727	0.863042890001353	1.29126640508727
"R5"	0.697283858747125	0.110962657285888	0.808246516033013	0.697283858747125	1.69728385874713	0.110962657285888	0.110962657285888	0.110962657285888	0.110962657285888	0.808246516033013	1.29126640508727	1.29126640508727	0.863042890001353	1.29126640508727
"R6"	0.332887971857665	0.371245433635502	0.704133405493167	0.332887971857665	0.332887971857665	1.3712454336355	0.371245433635502	0.371245433635502	0.371245433635502	0.704133405493167	0.616459207143823	0.616459207143823	2.88746448383168	0.616459207143823
"R7"	0.332887971857665	0.371245433635502	0.704133405493167	0.332887971857665	0.332887971857665	0.371245433635502	1.3712454336355	0.371245433635502	0.371245433635502	0.704133405493167	0.616459207143823	0.616459207143823	2.88746448383168	0.616459207143823
"R8"	0.332887971857665	0.371245433635502	0.704133405493167	0.332887971857665	0.332887971857665	0.371245433635502	0.371245433635502	1.3712454336355	0.371245433635502	0.704133405493167	0.616459207143823	0.616459207143823	2.88746448383168	0.616459207143823
"R9"	0.332887971857665	0.371245433635502	0.704133405493167	0.332887971857665	0.332887971857665	0.371245433635502	0.371245433635502	0.371245433635502	1.3712454336355	0.704133405493167	0.616459207143823	0.616459207143823	2.88746448383168	0.616459207143823
"R10"	0.60618488702476	0.176033351373292	0.782218238398052	0.60618488702476	0.60618488702476	0.176033351373292	0.176033351373292	0.176033351373292	0.176033351373292	1.78221823839805	1.12256460560141	1.12256460560141	1.36914828845894	1.12256460560141
"C1"	0.774759843052361	0.123291841428765	0.898051684481126	0.774759843052361	0.774759843052361	0.123291841428765	0.123291841428765	0.123291841428765	0.123291841428765	0.898051684481126	2.10140711676363	1.10140711676363	0.958936544445947	1.10140711676363
"C2"	0.774759843052361	0.123291841428765	0.898051684481126	0.774759843052361	0.774759843052361	0.123291841428765	0.123291841428765	0.123291841428765	0.123291841428765	0.898051684481126	1.10140711676363	2.10140711676363	0.958936544445947	1.10140711676363
"C3"	0.369875524286294	0.412494926261669	0.782370450547963	0.369875524286294	0.369875524286294	0.412494926261669	0.412494926261669	0.412494926261669	0.412494926261669	0.782370450547963	0.684954674604248	0.684954674604248	3.20829387092409	0.684954674604248
"C4"	0.774759843052361	0.123291841428765	0.898051684481126	0.774759843052361	0.774759843052361	0.123291841428765	0.123291841428765	0.123291841428765	0.123291841428765	0.898051684481126	1.10140711676363	1.10140711676363	0.958936544445947	2.10140711676363
