"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"
"R1"	2.24193192455848	0.611138119814317	0.611138119814317	0.316930727496662	1.48201900305307	0.266763420549553	1.04621025749165	1.3212224114081	1.05643575832221	1.04621025749165
"R2"	1.22227623962863	1.75873752669829	0.602668162536439	0.220912434097067	1.45856353177641	0.262541435719755	1.32898547665043	1.60018614979183	0.736374780323558	0.808754262777595
"R3"	1.22227623962863	0.602668162536439	1.75873752669829	0.220912434097067	1.45856353177641	0.262541435719755	0.808754262777595	1.60018614979183	0.736374780323558	1.32898547665043
"R4"	1.26772290998665	0.441824868194135	0.441824868194135	1.59898941305567	1.51279583530626	0.272303250355127	0.756362095789483	0.955183286476844	1.99663137685222	0.756362095789483
"R5"	1.18561520244246	0.583425412710566	0.583425412710566	0.302559167061252	2.608132699812	0.469463885966161	0.998768742235468	1.26131017795522	1.00853055687084	0.998768742235468
"C1"	1.06705368219821	0.525082871439509	0.525082871439509	0.272303250355127	2.3473194298308	1.42251749736954	0.898891868011921	1.1351791601597	0.907677501183757	0.898891868011921
"C2"	1.39494700998887	0.885990317766951	0.539169508518397	0.252120698596494	1.66461457039245	0.299630622670641	2.01218934291326	1.25481562174654	0.840402328654981	0.856119978751415
"C3"	1.3212224114081	0.800093074895913	0.800093074895913	0.238795821619211	1.57663772244403	0.283794790039925	0.941111716309907	2.30115360001307	0.795986072064037	0.941111716309907
"C4"	1.40858101109627	0.490916520215705	0.490916520215705	0.665543792284074	1.6808842614514	0.302559167061252	0.840402328654981	1.06131476275205	2.21847930761358	0.840402328654981
"C5"	1.39494700998887	0.539169508518397	0.885990317766952	0.252120698596494	1.66461457039245	0.299630622670641	0.856119978751415	1.25481562174654	0.840402328654981	2.01218934291326
