"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"
"R1"	1.46105724592593	0.0294411785496362	0.0664663851456202	0.352519828728445	0.352519828728445	0.0100198969013468	0.170108698047615	0.170108698047615	0.0985094732706032	0.0985094732706032	0.461057245925927	0.461057245925927	0.461057245925927	0	0	0.498522150058825	0.461057245925927	0.111146054358454	0.249766027552656	0.636437553573435	0.686795777794248	0.686795777794248	0.686795777794248	0.736811502255553	0.559888639452008	0	0	0.135654598083789	0.135654598083789	0.0222664375585484	0.156817011657769	0.0431584036628654
"R2"	0.0883235356489086	2.54639037806819	0.810457621863462	0.197075212275319	0.197075212275319	0.866628658082032	0.0266751347594806	0.0266751347594806	0.0164987932535566	0.0164987932535566	0.0883235356489086	0.0883235356489086	0.0883235356489086	0	0	0.0949659399352101	0.0883235356489086	0.0225993379666922	0.0442826952420101	0.0904563689415461	0.149399634718895	0.149399634718895	0.149399634718895	0.159569336803906	0.0784525582997798	0	0	0.0219030865939002	0.0219030865939002	1.92584146240451	0.435653006257673	1.51058159996924
"R3"	0.199399155436861	0.810457621863462	1.82968858899998	0.444916868380872	0.444916868380872	0.275828014163615	0.060221766521533	0.060221766521533	0.0372476646945374	0.0372476646945374	0.199399155436861	0.199399155436861	0.199399155436861	0	0	0.214395042943262	0.199399155436861	0.0510202503883378	0.0999725833760123	0.204214238462183	0.337284516144607	0.337284516144607	0.337284516144607	0.360243628819359	0.177114443527493	0	0	0.0494483937514123	0.0494483937514123	0.612951142585811	0.983529937667104	1.18806579488855
"R4"	0.423023794474134	0.0788300849101278	0.177966747352349	1.44388775857991	0.44388775857991	0.0268287263769763	0.127760020487855	0.127760020487855	0.0790206378751325	0.0790206378751325	0.423023794474134	0.423023794474134	0.423023794474134	0	0	0.45483745597419	0.423023794474134	0.108239073866736	0.212091076667041	0.433238956557531	0.715546540426763	0.715546540426764	0.715546540426764	0.764254123666795	0.375746947337996	0	0	0.104904391944614	0.104904391944614	0.0596193919488361	0.419884629397325	0.115558574518114
"R5"	0.423023794474134	0.0788300849101278	0.177966747352349	0.44388775857991	1.44388775857991	0.0268287263769763	0.127760020487855	0.127760020487855	0.0790206378751325	0.0790206378751325	0.423023794474134	0.423023794474134	0.423023794474134	0	0	0.45483745597419	0.423023794474134	0.108239073866736	0.212091076667041	0.433238956557531	0.715546540426763	0.715546540426764	0.715546540426764	0.764254123666795	0.375746947337996	0	0	0.104904391944614	0.104904391944614	0.0596193919488361	0.419884629397325	0.115558574518114
"R6"	0.0601193814080806	1.73325731616406	0.55165602832723	0.134143631884881	0.134143631884881	2.27056236390458	0.0181570245001506	0.0181570245001506	0.0112302710381352	0.0112302710381352	0.0601193814080806	0.0601193814080806	0.0601193814080806	0	0	0.0646406818046388	0.0601193814080806	0.0153827426495972	0.0301420026437212	0.0615711418845818	0.101692188338071	0.101692188338071	0.101692188338071	0.10861442253039	0.053400480859514	0	0	0.0149088236479489	0.0149088236479489	2.82347191978795	0.296536920225811	1.02821100502108
"R7"	0.255163047071422	0.0133375673797403	0.0301108832607665	0.159700025609818	0.159700025609818	0.00453925612503766	1.55560025805995	0.555600258059949	0.475016567679929	0.475016567679929	0.255163047071422	0.255163047071422	0.255163047071422	0	0	0.38816608922063	0.255163047071422	0.170555160694164	0.88668694766139	0.716299470044625	0.298771363137182	0.298771363137182	0.298771363137182	0.375521185449556	0.241279353917647	0	0	0.760030056734935	0.760030056734935	0.010087235833417	0.0710419066868796	0.019551802788228
"R8"	0.255163047071422	0.0133375673797403	0.0301108832607665	0.159700025609818	0.159700025609818	0.00453925612503766	0.555600258059949	1.55560025805995	0.475016567679929	0.475016567679929	0.255163047071422	0.255163047071422	0.255163047071422	0	0	0.38816608922063	0.255163047071422	0.170555160694164	0.88668694766139	0.716299470044625	0.298771363137182	0.298771363137182	0.298771363137182	0.375521185449556	0.241279353917647	0	0	0.760030056734935	0.760030056734935	0.010087235833417	0.0710419066868796	0.019551802788228
"R9"	0.197018946541206	0.0109991955023711	0.0248317764630249	0.131701063125221	0.131701063125221	0.00374342367937839	0.633355423573239	0.633355423573239	1.57950740393872	0.57950740393872	0.197018946541206	0.197018946541206	0.197018946541206	0	0	0.356804878142891	0.197018946541206	0.192556106968787	1.06523954401123	0.478649063417948	0.24105150553507	0.24105150553507	0.24105150553507	0.327701753671024	0.193639122809991	0	0	0.932714382971189	0.932714382971189	0.00831871928750754	0.0585866821334407	0.0161239373844282
"R10"	0.197018946541206	0.0109991955023711	0.0248317764630249	0.131701063125221	0.131701063125221	0.00374342367937839	0.633355423573239	0.633355423573239	0.57950740393872	1.57950740393872	0.197018946541206	0.197018946541206	0.197018946541206	0	0	0.356804878142891	0.197018946541206	0.192556106968787	1.06523954401123	0.478649063417948	0.24105150553507	0.24105150553507	0.24105150553507	0.327701753671024	0.193639122809991	0	0	0.932714382971189	0.932714382971189	0.00831871928750754	0.0585866821334407	0.0161239373844282
