"Rhombomys_opimus"	"Cricetulus_migratorius"	"Meriones_tamariscinus"	"Allactaga_elater"	"Meriones_meridianus"	"Ellobius_talpinus"	"Pygeretmus_pumilio"	"Allactaga_major"	"Allactaga_sibirica"	"Apodemus_uralensis"	"Allactaga_severtzovi"	"Microtus_gregalis"	"Microtus_socialis"	"Microtus_arvalis"	"Pygeretmus_shitkovi"	"Dipus_sagitta"	"Stylodipus_telum"	"Spermophilus_pygmaeus"	"Xenopsylla_skrjabini"	"Xenopsylla_hirtipes"	"Xenopsylla_gerbilli"	"Xenopsylla_conformis"	"Amphipsylla_schelkovnikovi"	"Nosopsyllus_laeviceps"	"Mesopsylla_lenis"	"Coptopsylla_lamellifer"	"Echidnophaga_oschanini"	"Mesopsylla_eucta"	"Mesopsylla_tuschkan"	"Xenopsylla_magdalinae"	"Mesopsylla_hebes"	"Ophthalmopsylla_volgensis"	"Ctenophthalmus_arvalis"	"Ctenophthalmus_dolichus"	"Nosopsyllus_consimilis"	"Neopsylla_teratura"	"Nosopsyllus_tersus"	"Amphipsylla_rossica"	"Nosopsyllus_fidus"	"Pectinoctenus_nemorosa"	"Citellophilus_ullus"	"Rhadinopsylla_socia"	"Ctenophthalmus_dux"	"Rhadinopsylla_cedestis"	"Rhadinopsylla_bivirgis"	"Amphipsylla_dumalis"	"Citellophilus_trispinus"	"Ctenophthalmus_breviatus"	"Paradoxopsyllus_repandus"
"Microtus_socialis"	0.276614614500144	0.548631269785233	0.222222830189452	0.353851901240589	0.16669350339575	0.180713828881423	0.12423228005616	0.195673889404223	0.147179912689048	0.554012513135892	0.17239543035431	0.159499967035416	1.65606604657411	0.277178071159434	0.0586675236509645	0.0478960319368322	0.100419536924069	0.0212087438237927	0.0391912726779241	0.0165968768700086	0.0519820669940675	0.132111618715521	0.141768486375573	0.094261083661301	0.139443862597581	0.0165968768700086	0.0751732142198875	0.18815017400826	0.133977447600213	0.0406606114983202	0.120579741229354	0.26108155409311	0.788113087066205	0.0165968768700086	0.688876138218006	0.491579003865206	0.0165968768700086	0.523013796106743	0.127753950011609	0.0712301802603289	0.0451683836086524	0.0165968768700086	0.0406606114983202	0.0165968768700086	0.0165968768700086	0.0406606114983202	0.0705383061152442	0.29809188838334	0.0165968768700086
"Microtus_arvalis"	0.293965281862684	0.545927804572707	0.245346489580595	0.391266941248514	0.184597925853397	0.212897456645029	0.123409496564209	0.228962037389331	0.151244798404993	0.554040418712727	0.11748429532616	0.188450226672966	0.461963451932389	1.32866515366509	0.0584768944393979	0.051249625444122	0.101959100183291	0.0232504962392355	0.0405787144530016	0.0176379169117611	0.0567646110366125	0.144599117800441	0.141424485850984	0.103335538841047	0.147150706537082	0.0176379169117611	0.0824100922257346	0.180228726727918	0.140121023555793	0.0479019277451316	0.135039369054549	0.248809300932291	0.928469463701933	0.0176379169117611	0.815795360642828	0.259823195796662	0.0176379169117611	0.623177453298343	0.130545453507517	0.0712337681202078	0.0491824655721232	0.0176379169117611	0.0479019277451316	0.0176379169117611	0.0176379169117611	0.0479019277451316	0.0701907177307766	0.0831534213478301	0.0176379169117611
"Pygeretmus_shitkovi"	0.472213155100285	0.312727637416867	0.352083807887975	0.564834235015601	0.175214349725217	0.0761033686205687	0.26855662379209	0.110549058169393	0.429416315363724	0.219214788824432	0.205402950320067	0.0604661348540387	0.146668809127411	0.0877153416590969	1.27379559461277	0.0949679077741086	0.383564693785985	0.0296631226872174	0.114634845407864	0.0283327893060171	0.0848162128075772	0.204358272413491	0.0683925976595955	0.131836100832077	0.838556352101647	0.0283327893060171	0.105139290413582	0.315695857972827	0.323241215220446	0.017123257939628	0.166943077717848	0.955542398490316	0.331895246484146	0.0283327893060171	0.237965487436954	0.15641386839855	0.0283327893060171	0.121107585800259	0.133877917073387	0.0281847585631412	0.0736007074630424	0.0283327893060171	0.017123257939628	0.0283327893060171	0.0283327893060171	0.017123257939628	0.0402078390964543	0.026400385642934	0.0283327893060171
"Dipus_sagitta"	0.727693180677219	0.188784599147852	0.391741652186522	0.579755613958221	0.305452481749549	0.075277645341727	0.282899864705521	0.100635221662338	0.336150066686812	0.184640707737488	0.115786886583813	0.0560332796928927	0.11974007984208	0.076874438166183	0.0949679077741086	1.29108864404204	0.293595236297434	0.0420403884850453	0.109720519007556	0.0436615908406331	0.101637152236455	0.787975272622844	0.0480118251709722	0.186846171044646	0.277643843917273	0.0436615908406331	0.149009821408105	0.315514146488886	0.82918386094403	0.0169374702018886	0.148673139898149	0.34993790120333	0.328294175518087	0.0436615908406331	0.206008474748727	0.104301105517691	0.0436615908406331	0.0926273709924016	0.137758772977543	0.0237395195662484	0.094028374693186	0.0436615908406331	0.0169374702018886	0.0436615908406331	0.0436615908406331	0.0169374702018886	0.0242723056047238	0.0215532143715745	0.0436615908406331
"Stylodipus_telum"	0.712195088774979	0.24659296915853	0.316995057682691	0.527245052459865	0.183353038283273	0.0682179062060843	0.276687253503176	0.0992953588915131	0.388370822342867	0.190846745214781	0.162694736455857	0.0535694006109662	0.125524421155086	0.0764693251374685	0.191782346892992	0.146797618148717	1.4636547401282	0.0328660136897964	0.372054021855344	0.0427317053264987	0.0954562105724852	0.235275193046743	0.0562422489908542	0.146071171954651	0.57901213331474	0.0427317053264987	0.116491759633834	0.309429558460162	0.580267130001685	0.015349028896369	0.152419860935156	0.681023489193748	0.29750586873209	0.0427317053264987	0.208396785528385	0.127645065735527	0.0427317053264987	0.10177744234001	0.127548578125033	0.0245374386704718	0.0834882127428448	0.0427317053264987	0.015349028896369	0.0427317053264987	0.0427317053264987	0.015349028896369	0.0317048103203824	0.0225943958079155	0.0427317053264987
"Spermophilus_pygmaeus"	1.14227647850285	0.148515226512605	0.624596923369177	0.305379977094573	0.524575376227555	0.0801960742262265	0.133218804879306	0.0759171723351076	0.153042301949626	0.165691419348068	0.0848715241711801	0.0516589432068309	0.106043719118964	0.0697514887177065	0.0593262453744347	0.0840807769700906	0.131464054759186	1.32255138797336	0.0981160010309875	0.0685365887101708	0.0990745864196281	0.311639822496023	0.0403979973249436	1.43356172432605	0.194667153518597	0.0685365887101708	0.243265475150025	0.276481456840718	0.155475605115591	0.018044116700901	0.0808607637609222	0.188892337986235	0.349743990375488	0.0685365887101708	0.156970987234733	0.0849473240177111	0.0685365887101708	0.080411313381669	0.131582732304347	0.0213031824876087	0.148841907429065	0.0685365887101708	0.018044116700901	0.0685365887101708	0.0685365887101708	0.018044116700901	0.0190948148373349	0.0190878694414134	0.0685365887101708
"Xenopsylla_skrjabini"	1.55149824163115	0.172889045223946	0.325963341242474	0.40513034922128	0.216021613552025	0.0582753697293638	0.189983744026613	0.076206856018395	0.254054957534567	0.14914551193572	0.117830052338473	0.0434753607932344	0.0979781816948102	0.0608680716795024	0.114634845407864	0.109720519007556	0.744108043710688	0.0490580005154938	1.26051420433277	0.0930898944978692	0.133602929419997	0.263770625858223	0.0414044430633857	0.218035557846639	0.347162489992254	0.0930898944978692	0.173883357382695	0.296312070323114	0.345787813072643	0.0131119581891069	0.109104984083869	0.405576867183116	0.254145362430837	0.0930898944978692	0.160239941356904	0.0943895314699935	0.0930898944978692	0.0773009372723022	0.103831766386042	0.0191758515345926	0.13499946694333	0.0930898944978692	0.0131119581891069	0.0930898944978692	0.0930898944978692	0.0131119581891069	0.0222285915287931	0.0176360727050658	0.0930898944978692
"Xenopsylla_hirtipes"	2.46202090336483	0.123844418205216	0.366631130570526	0.335740151228682	0.267025492649104	0.0551546238732518	0.130948959900367	0.0630478890344281	0.158576174960554	0.126528953178138	0.0892348418666756	0.0387382610365992	0.0829843843500431	0.0529137507352832	0.0566655786120341	0.0873231816812663	0.170926821305995	0.0685365887101708	0.186179788995738	1.14772125420189	0.181295269324758	0.315793577974377	0.0321908620350026	0.304607060934093	0.173214060001243	0.147721254201889	0.242924131094939	0.314137538032081	0.169335209143769	0.0124097903714817	0.0810320933260963	0.198232594091859	0.240535443002792	0.147721254201889	0.132922775738262	0.073898503778013	0.147721254201889	0.0630021764385953	0.0928698124595537	0.0162680082657606	0.1948595424181	0.14772125420189	0.0124097903714817	0.147721254201889	0.14772125420189	0.0124097903714817	0.015922853769242	0.0149371891830078	0.14772125420189
"Xenopsylla_gerbilli"	1.51079391103965	0.19224698026893	0.325211986876106	0.879158874391472	0.239564329481936	0.0802944284782633	0.166379916092338	0.112177368558512	0.229848190434696	0.182520178837189	0.113345940492136	0.0632948368730282	0.129955167485169	0.0851469165549187	0.0848162128075772	0.101637152236455	0.19091242114497	0.0495372932098141	0.133602929419997	0.0906476346623789	1.17856352210153	0.309234789655893	0.0481843490279296	0.220165747599174	0.252224121979634	0.0906476346623788	0.175582183710341	0.334497038954937	0.255416056102192	0.0180662464076093	0.162941772284946	0.306567884398557	0.35017292419687	0.0906476346623789	0.247172128741299	0.105580061322901	0.0906476346623788	0.0971203541417356	0.1027153309982	0.02346688013621	0.132460604403593	0.0906476346623789	0.0180662464076093	0.0906476346623788	0.0906476346623789	0.0180662464076093	0.0247174688917196	0.0233919301473304	0.0906476346623788
"Xenopsylla_conformis"	1.05264525991459	0.191391930218745	0.570041885040506	0.605352002674819	0.469267735570294	0.0914869287296464	0.185721480673852	0.104192549459961	0.229221040567462	0.19839441445207	0.10849752787662	0.0642767237376767	0.132111618715521	0.0867594706802646	0.0817433089653962	0.315190109049138	0.188220154437394	0.0623279644992046	0.105508250343289	0.0631587155948753	0.123693915862357	1.42328875684233	0.0501153871719619	0.27701317555202	0.254220110857675	0.0631587155948753	0.220918007502736	0.323758487081756	0.327767404541767	0.0205845589641704	0.133052752407613	0.279873136752337	0.398984661404291	0.0631587155948753	0.22064081053226	0.106444736903742	0.0631587155948753	0.0999233197448351	0.140586285943519	0.0255078532866948	0.136449815100083	0.0631587155948753	0.0205845589641704	0.0631587155948753	0.0631587155948753	0.0205845589641704	0.0246075338852671	0.0237800913687938	0.0631587155948753
