"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"R1"	1.61958090439612	0.0674227847507701	0.229028709228812	0.372054192098391	0.392876835259578	0.405511225586763	0.372054192098391	0.619580904396121	0.551482729188465	0.0674227847507701	0.229028709228812	0.0674227847507701	0.0674227847507701	0.0674227847507701	0.0674227847507701	0.0674227847507701	1.19862728445813	0.287892232559002	0.70515512775964	0.563454494385379	0.70515512775964	0.431789175488851	0.639924231372862	0.204844431479652
"R2"	0.471959493255391	1.12982864509022	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	0.129828645090221	0.2471107616596	0.129828645090221	0.129828645090221	0.129828645090221	0.129828645090221	0.129828645090221	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"R3"	0.534400321533894	0.0823702538865334	1.2849587159243	0.364876742453388	0.409596805508427	0.410917714126529	0.364876742453388	0.534400321533894	0.532508886714646	0.0823702538865334	0.250029867282644	0.0823702538865334	0.0823702538865334	0.0823702538865334	0.0823702538865334	0.0823702538865334	1.46436006909393	0.137417225537287	0.870418509423972	0.410965706103907	0.559939854831475	0.279847842371945	0.814071842325546	0.199821055575103
"R4"	0.520875868937748	0.0719221210885743	0.218926045472033	1.46386677131896	0.398637245150731	0.366372574960051	0.463866771318962	0.520875868937748	0.587355855548558	0.0719221210885743	0.218926045472033	0.0719221210885743	0.0719221210885743	0.0719221210885743	0.0719221210885743	0.0719221210885743	1.2786154860191	0.133939509155421	0.75982830951947	0.62820343238505	0.75982830951947	0.275403754075902	0.478514085486253	0.422509219102498
"R5"	0.550027569363409	0.072340380099362	0.245758083305056	0.398637245150731	1.42264663736128	0.394608148486891	0.398637245150731	0.550027569363409	0.550674652554748	0.072340380099362	0.245758083305056	0.072340380099362	0.072340380099362	0.072340380099362	0.072340380099362	0.072340380099362	1.28605120176644	0.141435660693448	0.756579382148938	0.61182249042978	0.756579382148938	0.283266154178127	0.686797398886192	0.214310435011302
"R6"	0.567715715821468	0.0721614297073587	0.246550628475917	0.366372574960051	0.394608148486891	1.438822739664	0.366372574960051	0.567715715821468	0.563319160119567	0.0721614297073587	0.246550628475917	0.0721614297073587	0.0721614297073587	0.0721614297073587	0.0721614297073587	0.0721614297073587	1.28286986146415	0.145984041211235	0.754287665765019	0.421334384082723	0.754287665765019	0.477398883508985	0.696358727322176	0.204320876143848
"R7"	0.520875868937748	0.0719221210885743	0.218926045472033	0.463866771318962	0.398637245150731	0.366372574960051	1.46386677131896	0.520875868937748	0.587355855548558	0.0719221210885743	0.218926045472033	0.0719221210885743	0.0719221210885743	0.0719221210885743	0.0719221210885743	0.0719221210885743	1.2786154860191	0.133939509155421	0.75982830951947	0.62820343238505	0.75982830951947	0.275403754075902	0.478514085486253	0.422509219102498
"R8"	0.619580904396121	0.0674227847507701	0.229028709228812	0.372054192098391	0.392876835259578	0.405511225586763	0.372054192098391	1.61958090439612	0.551482729188465	0.0674227847507701	0.229028709228812	0.0674227847507701	0.0674227847507701	0.0674227847507701	0.0674227847507701	0.0674227847507701	1.19862728445813	0.287892232559002	0.70515512775964	0.563454494385379	0.70515512775964	0.431789175488851	0.639924231372862	0.204844431479652
"R9"	0.551482729188465	0.0677838013365672	0.228218094306277	0.419539896820398	0.393339037539106	0.402370828656833	0.419539896820398	0.551482729188465	1.59447997855465	0.0677838013365672	0.228218094306277	0.0677838013365672	0.0677838013365672	0.0677838013365672	0.0677838013365672	0.0677838013365672	1.20504535709453	0.141809844648462	0.709541980382271	0.568649802932158	0.709541980382271	0.419241162478005	0.62697304581881	0.356038931526656
"R10"	0.471959493255391	0.129828645090221	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	1.12982864509022	0.2471107616596	0.129828645090221	0.129828645090221	0.129828645090221	0.129828645090221	0.129828645090221	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"R11"	0.534400321533894	0.0823702538865334	0.250029867282644	0.364876742453388	0.409596805508427	0.410917714126529	0.364876742453388	0.534400321533894	0.532508886714646	0.0823702538865334	1.2849587159243	0.0823702538865334	0.0823702538865334	0.0823702538865334	0.0823702538865334	0.0823702538865334	1.46436006909393	0.137417225537287	0.559939854831475	0.410965706103907	0.870418509423972	0.279847842371945	0.814071842325546	0.199821055575103
"R12"	0.471959493255391	0.129828645090221	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	0.129828645090221	0.2471107616596	1.12982864509022	0.129828645090221	0.129828645090221	0.129828645090221	0.129828645090221	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"R13"	0.471959493255391	0.129828645090221	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	0.129828645090221	0.2471107616596	0.129828645090221	1.12982864509022	0.129828645090221	0.129828645090221	0.129828645090221	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"R14"	0.471959493255391	0.129828645090221	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	0.129828645090221	0.2471107616596	0.129828645090221	0.129828645090221	1.12982864509022	0.129828645090221	0.129828645090221	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"R15"	0.471959493255391	0.129828645090221	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	0.129828645090221	0.2471107616596	0.129828645090221	0.129828645090221	0.129828645090221	1.12982864509022	0.129828645090221	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"R16"	0.471959493255391	0.129828645090221	0.2471107616596	0.359610605442871	0.36170190049681	0.360807148536793	0.359610605442871	0.471959493255391	0.47448660935597	0.129828645090221	0.2471107616596	0.129828645090221	0.129828645090221	0.129828645090221	0.129828645090221	1.12982864509022	2.30806480160393	0.121361012551386	0.516011109037659	0.376932593803156	0.516011109037659	0.24731172049092	0.460684519576105	0.190465239162344
"C1"	0.524399436950434	0.144254050100246	0.274567512955111	0.399567339380968	0.401891000552011	0.400896831707548	0.399567339380968	0.524399436950434	0.527207343728856	0.144254050100246	0.274567512955111	0.144254050100246	0.144254050100246	0.144254050100246	0.144254050100246	0.144254050100246	2.56451644622659	0.13484556950154	0.57334567670851	0.418813993114618	0.57334567670851	0.274790800545466	0.511871688417895	0.211628043513716
"C2"	1.00762281395651	0.0606805062756931	0.206125838305931	0.334848772888552	0.35358915173362	0.364960103028086	0.334848772888552	1.00762281395651	0.496334456269618	0.0606805062756931	0.206125838305931	0.0606805062756931	0.0606805062756931	0.0606805062756931	0.0606805062756931	0.0606805062756931	1.07876455601232	1.2591030093031	0.634639614983675	0.507109044946841	0.634639614983675	0.388610257939966	0.575931808235576	0.184359988331687
"C3"	0.617010736789685	0.0645013886297074	0.32640694103399	0.474892693449668	0.472862113843086	0.471429791103137	0.474892693449668	0.617010736789685	0.620849232834487	0.0645013886297074	0.209977445561803	0.0645013886297074	0.0645013886297074	0.0645013886297074	0.0645013886297074	0.0645013886297074	1.14669135341702	0.158659903745919	1.67733937138132	0.49455992667256	0.642410522739666	0.323340738937489	0.569371235407982	0.250784842434886
"C4"	0.657363576782942	0.0628220989671927	0.205482853051953	0.523502860320875	0.50985207535815	0.351111986735603	0.523502860320875	0.657363576782942	0.663424770087517	0.0628220989671927	0.205482853051953	0.0628220989671927	0.0628220989671927	0.0628220989671927	0.0628220989671927	0.0628220989671927	1.11683731497231	0.169036348315614	0.659413235563414	1.53456822203542	0.659413235563414	0.317533976367846	0.532597061763485	0.273758500155339
"C5"	0.617010736789685	0.0645013886297074	0.209977445561803	0.474892693449669	0.472862113843086	0.471429791103137	0.474892693449669	0.617010736789685	0.620849232834487	0.0645013886297074	0.32640694103399	0.0645013886297074	0.0645013886297074	0.0645013886297074	0.0645013886297074	0.0645013886297074	1.14669135341702	0.158659903745919	0.642410522739666	0.49455992667256	1.67733937138132	0.323340738937489	0.569371235407982	0.250784842434886
