"Elmerrillia_tsiampacca"	"Cinnamomum_culilaban"	"Piper_plagiophyllum"	"Ficus_nodosa"	"Pipturus_argenteus"	"Castanopsis_acuminatissima"	"Caldcluvia_brassii"	"Aleurites_moluccana"	"Melicope_denhamii"	"Cordia_dicotoma"	"Coenobius_kleinhoviae"	"Micromolpus_sp._3"	"Rhyparida_coriacea"	"Rhyparida_sp._5"	"Rhyparida_sp._6"	"Rhyparida_sp._7"	"Rhyparida_sp._8"	"Rhyparidella_wauensis"	"Rhyparidella_sp._10"	"Rhyparidella_sp._11"	"Rhyparidella_sp._12"	"Rhyparidella_sp._13"	"Rhyparidella_sp._14"	"Rhyparidella_sp._15"	"Rhyparidella_sp._16"	"Rhyparidella_sp._17"	"Rhyparidella_sp._18"	"Rhyparidella_sp._19"	"Stethotes_integra"	"Stethotes_lateralis"	"Stethotes_suturalis"	"Stethotes_sp._25"	"Stethotes_sp._26"	"Thyrasia_sp._27"	"Atysa_sp._29"	"Aulacophora_sp._30"	"Momaea_sp._32"	"Neolepta_sp._34"	"Neolepta_sp._35"	"Neolepta_sp._36"	"Neolepta_sp._40"	"Oides_sp._41"	"Sastra_sp._42"	"Crepidodera_sp._44"	"Manobia_sp._45"	"Xenidea_sp._46"
"Elmerrillia_tsiampacca"	1.34440557093439	0.468412763319091	0.574819265698619	0.461098329556387	0.844403258358436	0.41542227045511	0.20466851404533	0.281355067205799	0.451118536609924	0.217454318553755	0.0345823747167291	0.0373880043409599	0.0745804237968655	0.0230252078300997	0.0421571486987182	0.0230252078300997	0.0805987173750297	0.497005822849235	0.0230252078300997	0.0745804237968655	0.0399980490801365	0.54873867414806	0.58332104886479	0.0345823747167291	0.54873867414806	0.121611090990389	0.277324537653039	0.0745804237968655	0.166573869313338	0.127629384568553	0.101013880465953	0.0891878158922416	0.0399980490801365	0.0373880043409599	0.0767395234154473	0.119001046251212	0.0636258761249928	0.0399980490801365	0.0230252078300997	0.0604132121710596	0.0399980490801365	0.0805987173750297	0.0821551977788547	0.329021719041851	0.0745804237968655	0.0470306671935234
"Cinnamomum_culilaban"	0.234206381659546	1.70649470210107	0.52968887935153	0.510372244327805	0.789640783320283	0.418440413960008	0.227104506370977	0.246173528333115	0.405724270554294	0.195312184758219	0.0382779183245854	0.0376596372564008	0.0756819554292304	0.0255492569667349	0.153584523189096	0.0255492569667349	0.0739192214545315	0.395588227804744	0.0255492569667349	0.0756819554292304	0.037404037104645	0.438915188307159	0.477193106631745	0.0382779183245854	0.438915188307159	0.119020136467083	0.379842996757264	0.0756819554292304	0.271986378587994	0.117257402492384	0.0997240785730222	0.196922704226948	0.037404037104645	0.0376596372564008	0.191862441513681	0.119275736618839	0.0620644413166214	0.037404037104645	0.0255492569667349	0.0632088942231357	0.037404037104645	0.0739192214545315	0.190988560293741	0.122899366841216	0.0756819554292304	0.0433381810378524
"Piper_plagiophyllum"	0.261281484408463	0.481535344865027	1.72752157485255	0.506070459983091	0.843170704303262	0.426560226510642	0.196540465003265	0.226190045193483	0.417975346591357	0.176312243025704	0.0379552844987318	0.0383904203859578	0.0778949494394126	0.0221108023128673	0.0433381810378525	0.0221108023128673	0.077557446133903	0.387938461304955	0.0221108023128673	0.0778949494394126	0.0399396649406808	0.428043851872965	0.465999136371697	0.0379552844987318	0.428043851872965	0.21923762374553	0.259796932244242	0.0778949494394126	0.263010940670609	0.218900120440021	0.0981190038920472	0.18468085534397	0.0399396649406808	0.0383904203859578	0.0812934655365842	0.217688379190807	0.0597285835060894	0.0399396649406808	0.0221108023128673	0.0605012226988251	0.0399396649406809	0.0775574461339029	0.0832778459785333	0.228313006440322	0.0778949494394126	0.141342674306118
"Ficus_nodosa"	0.192124303981828	0.425310203606505	0.463897921651166	1.96435178909028	0.942617458341006	0.363415970041017	0.201527397344374	0.20115753949706	0.355294834419197	0.15346047676441	0.147326384181771	0.0327074373036915	0.191976684840029	0.0226718322012421	0.0382779183245854	0.0226718322012421	0.0766268357559859	0.370977154587274	0.0226718322012421	0.191976684840029	0.0446503006582582	0.290886814981187	0.438213199162958	0.147326384181771	0.290886814981187	0.229931969338761	0.343697071490481	0.191976684840029	0.153590940785267	0.114582120254718	0.0873558046026614	0.0762332028233172	0.0446503006582582	0.0327074373036915	0.185604302506356	0.217989105984194	0.0546483672989698	0.0446503006582582	0.0226718322012421	0.0553792695049336	0.0446503006582582	0.0766268357559859	0.0829282189828436	0.117187959873719	0.191976684840029	0.0379552844987318
"Pipturus_argenteus"	0.222211383778536	0.415600412273833	0.488151460386099	0.595337342110109	2.22775131403153	0.342218030207875	0.182391632007792	0.197814179182522	0.437908228166544	0.153773912592001	0.0446503006582582	0.0307996227187087	0.150175362901857	0.0205190586008766	0.037404037104645	0.0205190586008766	0.144936802778588	0.342535406815162	0.0205190586008766	0.150175362901857	0.105525062243599	0.363283859208813	0.407934159867071	0.0446503006582582	0.363283859208813	0.190115027842538	0.242990442203532	0.150175362901857	0.213668387007633	0.184876467719269	0.0907304218545743	0.0773437020453258	0.105525062243599	0.0307996227187087	0.0820543377629031	0.115389588317648	0.0599307991358656	0.105525062243599	0.0205190586008766	0.0513186813195853	0.105525062243599	0.144936802778588	0.142929099348244	0.185462776264416	0.150175362901857	0.0399396649406808
"Castanopsis_acuminatissima"	0.207711135227555	0.418440413960008	0.469216249161706	0.43609916404922	0.650214257394962	1.78204242402248	0.438820111056218	0.22772482678165	0.438256024837918	0.194633288245129	0.0327074373036915	0.160383818162023	0.0635070600224003	0.0493672624938245	0.0376596372564008	0.0493672624938245	0.0702426649541213	0.257378633061828	0.0493672624938245	0.0635070600224002	0.0307996227187087	0.428847503775314	0.461554941079006	0.0327074373036915	0.428847503775314	0.101897480408358	0.404344156127203	0.0635070600224003	0.26723349852309	0.108633085340079	0.24919412289126	0.0760500576423586	0.0307996227187087	0.160383818162023	0.0703670745600923	0.231481675851672	0.0888103047292371	0.0307996227187087	0.0493672624938245	0.209751080655847	0.0307996227187087	0.0702426649541213	0.0684592599751095	0.106578047445626	0.0635070600224002	0.0383904203859578
"Caldcluvia_brassii"	0.127917821278331	0.283880632963721	0.270243139379489	0.302291096016561	0.433180126018507	0.548525138820272	2.46550162965031	0.170561107302606	0.515044386982911	0.146012816324138	0.0226718322012421	0.0493672624938245	0.0431908908021187	0.27736893333566	0.0255492569667349	0.27736893333566	0.0668730534293386	0.190931152054752	0.27736893333566	0.0431908908021187	0.0205190586008766	0.250479466020265	0.273151298221507	0.0226718322012421	0.250479466020265	0.065301693114986	0.484865162813323	0.0431908908021187	0.117546380374303	0.0889838557422059	0.373090190657946	0.0476600592796022	0.0205190586008766	0.0493672624938245	0.048221089167977	0.0941498970079338	0.323722928164122	0.0205190586008766	0.27736893333566	0.326736195829484	0.0205190586008766	0.0668730534293386	0.0460683155676115	0.0656550687438436	0.0431908908021187	0.0221108023128673
"Aleurites_moluccana"	0.281355067205799	0.49234705666623	0.497618099425664	0.482778094792944	0.751693880893584	0.455449653563301	0.272897771684169	1.30564362034822	0.480180273649675	0.243194376507255	0.0362083571094708	0.0409904688206971	0.0718149093623248	0.030700999314469	0.0443112350999607	0.030700999314469	0.0788227768813248	0.485716340985307	0.030700999314469	0.0718149093623248	0.035606552252854	0.545217187410666	0.581425544520137	0.0362083571094708	0.545217187410666	0.112529117497152	0.485161871349881	0.0718149093623248	0.161622464308339	0.119536985016152	0.114907692763637	0.0850254432347877	0.035606552252854	0.0409904688206971	0.0805195922094314	0.117913034064995	0.0739172239429398	0.035606552252854	0.030700999314469	0.0716914681351661	0.035606552252854	0.0788227768813248	0.0799177873528146	0.126964672484725	0.0718149093623248	0.040714208134827
"Melicope_denhamii"	0.225559268304962	0.405724270554295	0.459772881250492	0.426353801303037	0.832025633516433	0.438256024837918	0.412035509586329	0.240090136824838	1.63161669935326	0.191723669205283	0.0319765350977278	0.0394430422354126	0.0713882756327167	0.046353994828462	0.0365151843498865	0.046353994828462	0.186257243476782	0.376183637040983	0.046353994828462	0.0713882756327167	0.0394117405349889	0.426787969749856	0.458764504847584	0.0319765350977278	0.426787969749856	0.109006056825939	0.387488309652941	0.0713882756327167	0.15298774831351	0.223875024670004	0.232642540005668	0.0741329655431086	0.0394117405349889	0.0394430422354126	0.0684917194476143	0.109037358526363	0.193199497770255	0.0394117405349889	0.046353994828462	0.0857970370638746	0.0394117405349889	0.186257243476782	0.0759269248848754	0.117630190023104	0.0713882756327167	0.0376177811932221
"Cordia_dicotoma"	0.271817898192193	0.488280461895548	0.484858668320685	0.460381430293231	0.730426084812006	0.486583220612824	0.292025632648275	0.303992970634069	0.479309173013207	1.26548235431481	0.0345286072719923	0.0437924898551541	0.0691277376051926	0.032852883672931	0.0439452415705993	0.032852883672931	0.0777369559043889	0.299527015816491	0.032852883672931	0.0691277376051926	0.0345991303332003	0.593524428120484	0.628053035392477	0.0345286072719923	0.593524428120484	0.108797992285976	0.537709312376829	0.0691277376051926	0.162007116439737	0.117407210585172	0.119783199099274	0.0836154962513826	0.0345991303332003	0.0437924898551542	0.0784738488425916	0.11799135180793	0.0759907092441196	0.0345991303332003	0.032852883672931	0.0766453735280851	0.0345991303332003	0.0777369559043889	0.0785443719037996	0.123196606688578	0.0691277376051926	0.0396702546807833
