"Azorina_vidalii"	"Crithmum_maritimum"	"Daucus_carota"	"Leucanthemum_vulgare"	"Lotus_corniculatus"	"Freesia_sp1_M_PL_036"	"Reseada_luteola"	"Silene_vulgaris"	"Solidago_sempervirens"	"Beta_maritima"	"Unidentified_sp1_M_PL_036"	"Unidentified_sp2_M_PL_036"	"Unidentified_sp3_M_PL_036"	"Apis_mellifera"	"Bombus_sp1_M_PL_036"	"Unidentified_sp4_M_PL_036"	"Lucilia_sp1_M_PL_036"	"Calliphora_sp1_M_PL_036"	"Moth_sp1_M_PL_036"	"Unidentified_sp5_M_PL_036"	"Unidentified_sp6_M_PL_036"	"Unidentified_sp7_M_PL_036"
"Unidentified_sp1_M_PL_036"	1.08222729087527	0.471839844372682	0.573293669604909	0.613870191733578	0.295241509321695	0.172868238098611	0.439084180126601	0.436420424089339	0.53228724185465	0.119709515185822	2.11140605935678	0.584063693608868	0.532042289714764	0.407910904076947	0.288113730164352	0.288113730164352	0.278152065865326	0.121750570223468	0.239529258834593	0.184161057520074	0.106163964983853	0.121750570223468
"Unidentified_sp2_M_PL_036"	1.15018614755449	0.88720586218905	0.713525336996799	0.722424415007657	0.264467960558155	0.171564106658077	0.224318184962073	0.256850000222959	0.220864421952933	0.125435669160963	0.876095540413302	1.75980218619375	0.557491862937615	0.30967951300026	0.285940177763462	0.285940177763462	0.413678920091576	0.12939594159988	0.09938898987882	0.216727324502297	0.199621318992536	0.12939594159988
"Unidentified_sp3_M_PL_036"	1.21737553587043	0.902564326653969	0.389051817827167	0.335815321022993	0.275259057644691	0.180437642530546	0.214530930299967	0.570162263051017	0.20119246249718	0.450452747865195	0.798063434572146	0.557491862937615	2.0020122127342	0.316071383713816	0.300729404217577	0.300729404217577	0.319792518845293	0.136954747785424	0.0905366081237308	0.100744596306898	0.203076973497143	0.136954747785424
"Apis_mellifera"	1.46815843199781	0.32526135806304	0.286947789164214	0.294900171401592	0.86075780928095	0.347996027164964	0.63513505333907	0.217194686337229	0.205669363400141	0.0948214151141449	0.815821808153894	0.41290601733368	0.421428511618422	1.70920594038662	0.579993378608273	0.579993378608273	0.159268142313448	0.165167823599754	0.0925512135300637	0.0884700514204776	0.0731838055641841	0.165167823599754
"Bombus_sp1_M_PL_036"	1.53952925946568	0.298154377718106	0.233993414014222	0.235912564901841	0.965339590780264	0.791341577197782	0.260432132631787	0.176652940314579	0.145267426973623	0.0902188212652731	0.576227460328703	0.381253570351282	0.400972538956769	0.579993378608273	1.81890262866297	0.818902628662971	0.137282759190841	0.173197041689889	0.0653703421381302	0.0707737694705523	0.067084734986574	0.173197041689889
"Unidentified_sp4_M_PL_036"	1.53952925946568	0.298154377718106	0.233993414014222	0.235912564901841	0.965339590780264	0.791341577197782	0.260432132631787	0.176652940314579	0.145267426973623	0.0902188212652731	0.576227460328703	0.381253570351282	0.400972538956769	0.579993378608273	0.818902628662971	1.81890262866297	0.137282759190841	0.173197041689889	0.0653703421381302	0.0707737694705523	0.067084734986574	0.173197041689889
"Lucilia_sp1_M_PL_036"	0.815618463290027	1.32101427570762	1.03477068103584	0.426471155726858	0.195225147312808	0.123554483271757	0.196839093680448	0.269075063119779	0.210367108637642	0.143906633480382	0.834456197595979	0.827357840183152	0.639585037690587	0.238902213470172	0.205924138786261	0.205924138786261	1.60765941634497	0.091757077120128	0.0946651988869388	0.127941346718057	0.297228212034214	0.091757077120128
"Calliphora_sp1_M_PL_036"	2.14382050147896	0.404134156557855	0.308613230049129	0.309632685809608	0.460405716281579	0.311754675041801	0.2582265544409	0.232834786208003	0.184160526388439	0.123259273006881	0.730503421340808	0.517583766399522	0.547818991141695	0.495503470799262	0.519591125069668	0.519591125069668	0.183514154240256	1.24117980641638	0.0828722368747976	0.0928898057428823	0.0909301852255173	0.241179806416384
"Moth_sp1_M_PL_036"	0.736642105553757	0.321168297430145	0.390225102840316	0.417844416222016	0.200962708025692	0.117666615848634	0.298872425128191	0.297059280262491	1.87491820664056	0.0814829473113578	1.43717555300756	0.39755595951528	0.362146432494923	0.277653640590191	0.196111026414391	0.196111026414391	0.189330397773878	0.0828722368747976	1.84371319298825	0.125353324866605	0.0722628669217826	0.0828722368747976
"Unidentified_sp5_M_PL_036"	0.825687162158954	0.502660740783106	0.475946755866385	1.72712266276731	0.207015831325424	0.127392785046994	0.245367998046496	0.256415088444274	0.27856294414801	0.0906701366762083	1.10496634512044	0.866909298009189	0.402978385227592	0.265410154261433	0.212321308411657	0.212321308411657	0.255882693436114	0.0928898057428823	0.125353324866605	1.51813679883019	0.113098666676199	0.0928898057428823
"Unidentified_sp6_M_PL_036"	0.808268313115709	1.91841235620251	0.542712146409543	0.37699555558733	0.186617947983599	0.120752522975833	0.161412993493234	0.278316844632897	0.160584148715073	0.182769276147429	0.636983789903121	0.798485275970145	0.812307893988572	0.219551416692552	0.201254204959722	0.201254204959722	0.594456424068429	0.0909301852255173	0.0722628669217826	0.113098666676199	1.43164278014557	0.0909301852255173
"Unidentified_sp7_M_PL_036"	2.14382050147896	0.404134156557855	0.308613230049129	0.309632685809608	0.460405716281579	0.311754675041801	0.2582265544409	0.232834786208003	0.184160526388439	0.123259273006882	0.730503421340808	0.517583766399522	0.547818991141696	0.495503470799262	0.519591125069668	0.519591125069668	0.183514154240256	0.241179806416384	0.0828722368747977	0.0928898057428823	0.0909301852255173	1.24117980641638
