"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"R34"	"R35"	"R36"	"R37"	"R38"	"R39"	"R40"	"R41"	"R42"	"R43"	"R44"	"R45"	"R46"	"R47"	"R48"	"R49"	"R50"	"R51"	"R52"	"R53"	"R54"	"R55"	"R56"	"R57"	"R58"	"R59"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"
"R1"	1.07305680102495	0.0844587295086104	0.0774448702200018	0.0525847112009258	0.0691639884378498	0.113288822465748	0.0967847106736287	0.0863197284254976	0.0967847106736287	0.0776839578943409	0.0776027873796577	0.0944196238654195	0.104754060414208	0.0943254973717016	0.0278176515988816	0.0778213855795822	0.0943639208183435	0.0837509461789874	0.0138990332629306	0.0693458446396116	0.0943254973717016	0.0278176515988816	0.0282485544305221	0.0694210100844162	0.0549347380303572	0.0837509461789874	0.0837509461789874	0.0565526892328285	0.073056801024948	0.0672468343868679	0.0778598090262241	0.0983970628305294	0.0778598090262241	0.0837509461789874	0.073056801024948	0.0943639208183435	0.013918618335951	0.0443217633910011	0.0443217633910011	0.0565526892328285	0.0882499486220883	0.083493924532421	0.0443217633910011	0.073056801024948	0.0671736359249328	0.0639491627430212	0.0565526892328285	0.0278176515988816	0.054758886898474	0.0877106509141197	0.073056801024948	0.0565526892328285	0.0836697756643041	0.104754060414208	0.0882499486220883	0.0691962219806553	0.0837509461789874	0.073056801024948	0.114604902302103	0.568474961728558	0.866047363125839	0.864828736360129	0.297059587612205	0.736260745345873	0.748341107160938	0.0214776840946623	0.0121396659255539	0.0110696695684346	0.0214776840946623	0.0227375739191686	0.0331054421481413	0.0331054421481413	0.0331054421481412	0.141506328524748	0.0469980053009523	0.150758450663499	0.0577229977548012	0.0126688094262915	0.0116167305330003	0.0236021037602317	0.0227375739191686
"R2"	0.0703822745905086	1.23743615559596	0.0746097015606954	0.0506596447022406	0.0666319734468688	0.109141447462185	0.0932415324408754	0.0831596612962404	0.0932415324408754	0.0748400365070722	0.0747618375526567	0.0909630287720804	0.100919133347021	0.0908723481422944	0.0267992789969958	0.0749724331209848	0.0909093649502346	0.0806849192475793	0.0133902054556172	0.0668071720998185	0.0908723481422944	0.0267992789969958	0.0272144069658209	0.066879585823137	0.0529236397209607	0.0806849192475793	0.0806849192475793	0.054482359569199	0.0703822745905086	0.0647850042262697	0.0750094499289249	0.0947948582182364	0.0750094499289249	0.0806849192475793	0.0703822745905086	0.0909093649502346	0.0134090735413786	0.0426991940183054	0.0426991940183054	0.054482359569199	0.0850192183257112	0.0804373068713111	0.0426991940183054	0.0703822745905086	0.0647144854768139	0.061608056592506	0.054482359569199	0.0267992789969958	0.0527542262991079	0.0844996636937569	0.0703822745905086	0.054482359569199	0.0806067202931638	0.100919133347021	0.0850192183257112	0.0666630269563153	0.0806849192475793	0.0703822745905086	0.110409347111853	0.547663739622888	0.834342353685779	0.833168339460625	0.286184573807519	0.709307076441111	0.7209451899431	0.0206914104958211	0.0116952465564103	0.0106644215495516	0.0206914104958211	0.0219051771860969	0.0318934895454155	0.0318934895454155	0.0318934895454155	0.13632594270207	0.0452774617542893	0.145239355167147	0.0556098244265907	0.185615423339394	0.0111914552341043	0.0227380575724776	0.0219051771860969
"R3"	0.0645373918500015	0.0746097015606953	1.24634261187545	0.064222286719911	0.0745302274320719	0.121941741593257	0.111675380583894	0.101221465712306	0.111675380583894	0.0880592614889917	0.0879849072016375	0.0999142232587043	0.0939387993061323	0.0842433811302983	0.0265844654387331	0.0739770201209352	0.0844088419961056	0.0745102940667306	0.0132823997304528	0.0606462215143791	0.0842433811302983	0.0265844654387331	0.027124558557834	0.0606878012171769	0.0467493743774711	0.0745102940667306	0.0745102940667306	0.0542710308406384	0.0645373918500015	0.0642439330573675	0.0741424809867425	0.0933246932409571	0.0741424809867425	0.0745102940667306	0.0645373918500015	0.0844088419961056	0.0133020657082802	0.0368508264480962	0.0368508264480962	0.0542710308406384	0.0836724382967692	0.0883527202816257	0.0368508264480962	0.0645373918500015	0.064440773983082	0.061111610491531	0.0542710308406384	0.0265844654387331	0.0606661548797204	0.083125757543667	0.0645373918500015	0.0542710308406384	0.0744359397793764	0.0939387993061323	0.0836724382967692	0.084609902490302	0.0745102940667306	0.0645373918500015	0.102922075863057	0.353619101433617	0.827684088515215	0.826460427672621	0.27702506157581	0.708608152675746	0.721841293254474	0.0257056738222703	0.0128461144189763	0.0104990279896077	0.0257056738222703	0.0209798049847771	0.037321134790702	0.037321134790702	0.037321134790702	0.131980639058332	0.0432581647269675	0.343999188456794	0.0529442072779261	0.0111914552341043	0.186951391781317	0.0225994292054303	0.0209798049847771
"R4"	0.0657308890011572	0.0759894670533609	0.0963334300798666	1.07255334547067	0.0788142161749149	0.129786381139777	0.119133782221523	0.107798388117759	0.119133782221523	0.0935268744621051	0.0934952064409908	0.10627901640733	0.0958048949847898	0.0858369368947533	0.0291364187720658	0.0751843379764994	0.0860961358660838	0.0759293464441777	0.0145484328585938	0.0651542748957639	0.0858369368947533	0.0291364187720658	0.0297547856758957	0.060762546681754	0.049955807112226	0.0759293464441777	0.0759293464441777	0.0550782900829032	0.0657308890011572	0.0652767475259237	0.0754435369478299	0.0949664838925235	0.0754435369478299	0.0759293464441777	0.0657308890011572	0.0860961358660838	0.014587985913472	0.0397890176903198	0.0397890176903198	0.0550782900829032	0.0851522960665358	0.0939810159373386	0.0397890176903198	0.0657308890011572	0.0653015969890175	0.0609120685185659	0.0550782900829032	0.0291364187720658	0.0680391446265011	0.0844900878138041	0.0657308890011572	0.0550782900829032	0.0758976784230634	0.0958048949847898	0.0851522960665358	0.0888604267887133	0.0759293464441777	0.0657308890011572	0.104851445850764	0.366922851628748	0.907696901282704	0.905235822312503	0.283290484528346	0.550725879141146	0.792043987593237	0.0271888567763045	0.0136644449666567	0.0106837294379089	0.0271888567763045	0.0213481558754226	0.0397837391138203	0.0397837391138203	0.0397837391138203	0.135557192292082	0.0440337353358918	0.408057389078175	0.0539375506594776	0.0113984200580041	0.01445001451198	0.022718459791365	0.0213481558754226
"R5"	0.0691639884378498	0.0799583681362425	0.0894362729184863	0.0630513729399319	1.08300320317717	0.127816400239112	0.111430535543587	0.10010775041683	0.111430535543587	0.0876543198458606	0.0876027492174434	0.106015781161568	0.0995304146977012	0.0894424634505907	0.0277220830149245	0.0730565987550661	0.0896963053521725	0.0794559322092197	0.0138574292843229	0.065144929074661	0.0894424634505907	0.0277220830149245	0.0246096913234435	0.0687108946163778	0.0543483208534018	0.0794559322092197	0.0794559322092197	0.0527781237423252	0.0691639884378498	0.0630700675136952	0.0733104406566479	0.0926809144901461	0.0733104406566479	0.0794559322092197	0.0691639884378498	0.0896963053521725	0.0138646537306015	0.044107947710449	0.044107947710449	0.0527781237423252	0.0831445500021767	0.0937482407700152	0.044107947710449	0.0691639884378498	0.0626357210449015	0.0590630110856699	0.0527781237423252	0.0277220830149245	0.0686922000426145	0.0823757295398795	0.0691639884378498	0.0527781237423252	0.0794043615808026	0.0995304146977012	0.0831445500021767	0.0826776111732759	0.0794559322092197	0.0691639884378498	0.108595703580933	0.56440200617918	0.862689565459651	0.862240044357871	0.285887326982499	0.731451271321892	0.561129740959526	0.0252726381581553	0.0136306004350588	0.0104266028801414	0.0252726381581553	0.0214507355846492	0.0378535105212183	0.0378535105212183	0.0378535105212182	0.136538308572704	0.0443845832949818	0.355105867020167	0.0546339408084929	0.0119937552204364	0.0134154409377729	0.0219057717835029	0.0214507355846492
"R6"	0.0629382347031934	0.07276096497479	0.081294494395505	0.057682836062123	0.0710091112439509	1.24156383353408	0.228289006482984	0.0911495328712771	0.228289006482984	0.0797778657523782	0.0797014784517753	0.0945334334285119	0.0908340727387387	0.081613663317621	0.0244410526028419	0.0683388362665201	0.0817781036031233	0.0723963628034598	0.0122119980079326	0.059759461213471	0.081613663317621	0.0244410526028419	0.0248145080541711	0.059810909344198	0.0470976204536064	0.0723963628034598	0.0723963628034598	0.0496634076520924	0.0629382347031934	0.0591215357523589	0.0685032765520224	0.0864763027161987	0.0685032765520224	0.0723963628034598	0.0629382347031934	0.0817781036031233	0.0122290545949093	0.0377158796539428	0.0377158796539428	0.0496634076520924	0.0775592456876378	0.0835945647032127	0.0377158796539428	0.0629382347031934	0.0589963754248525	0.0562254489302096	0.0496634076520924	0.0244410526028419	0.0583722096539621	0.0769638762345582	0.0629382347031934	0.0496634076520924	0.0723199755028569	0.0908340727387387	0.0775592456876378	0.0761666083687016	0.0723963628034598	0.0629382347031934	0.0992946724212745	0.457244042871254	0.760918952572135	0.759857653826917	0.262725780562956	0.645886081266092	0.657240347317005	0.0231442169101837	0.0121542985836658	0.00972858405557236	0.0231442169101837	0.0198248227579992	0.17552140981208	0.17552140981208	0.17552140981208	0.125089877328847	0.0409657800629386	0.29836921111139	0.0503109396423077	0.0109141447462185	0.0121941741593257	0.0207399283839112	0.0198248227579992
"R7"	0.0604904441710179	0.0699311493306565	0.0837565354379208	0.0595668911107614	0.0696440847147419	0.256825132293356	1.24678829474634	0.0939138759674925	0.246788294746337	0.0817629527252811	0.08169276895336	0.0932800783369546	0.0879495246578691	0.078891883284251	0.0247289385948788	0.0688550457372312	0.0790473595420561	0.0698039937424976	0.0123553876155918	0.0569214816994575	0.078891883284251	0.0247289385948788	0.0252157069653663	0.0569618377564182	0.0440091419414571	0.0698039937424976	0.0698039937424976	0.0504536066239981	0.0604904441710179	0.0597671561954778	0.0690105219950363	0.0868967026834934	0.0690105219950363	0.0698039937424976	0.0604904441710179	0.0790473595420561	0.012373550979287	0.0347657761418986	0.0347657761418986	0.0504536066239981	0.0779126871108493	0.0824862407008213	0.0347657761418986	0.0604904441710179	0.0599113920166655	0.0568513906088582	0.0504536066239981	0.0247289385948788	0.0567615726717019	0.0773923857996275	0.0604904441710179	0.0504536066239981	0.0697338099705764	0.0879495246578691	0.0779126871108493	0.0784984869440934	0.0698039937424976	0.0604904441710179	0.0963313884624603	0.345713293286237	0.769909838711191	0.768779673859045	0.258709710318879	0.658439504422046	0.670645923717476	0.0238494142374345	0.011993152929037	0.00977587905189301	0.0238494142374345	0.0195835884490553	0.193709879547261	0.193709879547261	0.193709879547261	0.123244877327447	0.0403906201855708	0.317717060986048	0.0494564728656278	0.0104896723995985	0.0125634803156881	0.0210173008725943	0.0195835884490553
"R8"	0.0616569488753554	0.0712797096824918	0.0867612563248336	0.0615990789244335	0.0715055360120218	0.117192256548785	0.107330143962849	1.25199205551002	0.107330143962849	0.0855538509699437	0.0846044657025696	0.096021679345464	0.0909493829787483	0.0815933876645861	0.0249403651979757	0.0717312750786497	0.0817182921059065	0.0721623131243181	0.0124627534807013	0.0587129053277705	0.0815933876645861	0.0249403651979757	0.0258826750121702	0.0587572498294223	0.0443584567655006	0.0721623131243181	0.0721623131243181	0.051794836289419	0.0616569488753554	0.0623002005383817	0.0718561795199702	0.0904447889404597	0.0718561795199702	0.0721623131243181	0.0616569488753554	0.0817182921059065	0.0124776117172744	0.0348024777839121	0.0348024777839121	0.051794836289419	0.0810872703928119	0.0849105993069174	0.0348024777839121	0.0616569488753554	0.0616170456378112	0.0596447981694994	0.051794836289419	0.0249403651979757	0.0580561282154742	0.0805989427963493	0.0616569488753554	0.051794836289419	0.0712129278569439	0.0909493829787483	0.0810872703928119	0.237557054561006	0.0721623131243181	0.0616569488753554	0.0996921462551274	0.339694989071142	0.776384729074854	0.775460216576971	0.291815673582296	0.687414176267986	0.700042194288999	0.196603965321153	0.0123456444872739	0.0101750387558017	0.196603965321153	0.0203319358421862	0.0358685080465194	0.0358685080465194	0.0358685080465194	0.127413053087846	0.0419158868456356	0.335886061789229	0.0512838381824542	0.0106919564523738	0.013014188448725	0.0218271318853159	0.0203319358421862
"R9"	0.0604904441710179	0.0699311493306565	0.0837565354379208	0.0595668911107614	0.0696440847147419	0.256825132293356	0.246788294746337	0.0939138759674925	1.24678829474634	0.0817629527252811	0.08169276895336	0.0932800783369546	0.0879495246578691	0.078891883284251	0.0247289385948788	0.0688550457372312	0.0790473595420561	0.0698039937424976	0.0123553876155918	0.0569214816994575	0.078891883284251	0.0247289385948788	0.0252157069653663	0.0569618377564182	0.0440091419414571	0.0698039937424976	0.0698039937424976	0.0504536066239981	0.0604904441710179	0.0597671561954778	0.0690105219950363	0.0868967026834934	0.0690105219950363	0.0698039937424976	0.0604904441710179	0.0790473595420561	0.012373550979287	0.0347657761418986	0.0347657761418986	0.0504536066239981	0.0779126871108493	0.0824862407008213	0.0347657761418986	0.0604904441710179	0.0599113920166655	0.0568513906088582	0.0504536066239981	0.0247289385948788	0.0567615726717019	0.0773923857996275	0.0604904441710179	0.0504536066239981	0.0697338099705764	0.0879495246578691	0.0779126871108493	0.0784984869440934	0.0698039937424976	0.0604904441710179	0.0963313884624603	0.345713293286237	0.769909838711191	0.768779673859045	0.258709710318879	0.658439504422046	0.670645923717476	0.0238494142374345	0.011993152929037	0.00977587905189301	0.0238494142374345	0.0195835884490553	0.193709879547261	0.193709879547261	0.193709879547261	0.123244877327447	0.0403906201855708	0.317717060986048	0.0494564728656278	0.0104896723995985	0.0125634803156881	0.0210173008725943	0.0195835884490553
"R10"	0.0647366315786174	0.0748400365070722	0.0880592614889918	0.0623512496414034	0.0730452665382172	0.119666798628567	0.109017270300375	0.099812826131601	0.109017270300375	1.09241885609843	0.0867223036855222	0.0981818298244253	0.101900945788955	0.0915921367357275	0.0264915687258972	0.080942608407535	0.0915352689866117	0.0809842264890674	0.0132462001080559	0.0671642149424929	0.0915921367357275	0.0264915687258972	0.0270208915957945	0.0672087035111142	0.047692139551634	0.0809842264890674	0.0809842264890674	0.0540871032504249	0.0647366315786174	0.0703346981608749	0.0808857406584192	0.101801002397863	0.0808857406584192	0.0809842264890674	0.0647366315786174	0.0915352689866117	0.0132453686178413	0.0371410970540897	0.0371410970540897	0.0540871032504249	0.0912514174607629	0.0868207895161704	0.0371410970540897	0.0647366315786174	0.0648332739619645	0.0678355002545731	0.0540871032504249	0.0264915687258972	0.0592252549916427	0.0909320982658924	0.0647366315786174	0.0540871032504249	0.0752876740761617	0.101900945788955	0.0912514174607629	0.0895688523161537	0.0809842264890674	0.0647366315786174	0.111947303396429	0.366817086859964	0.824156269554571	0.824208006723479	0.451322080845832	0.706356145713808	0.719388422182	0.0262684054929146	0.0126233781202833	0.0114526127697596	0.0262684054929146	0.0228860001166862	0.0364955656804411	0.0364955656804411	0.0364955656804411	0.140680566633924	0.0471462677629341	0.31899339243132	0.057587093346354	0.0112260054760608	0.0132088892233488	0.0238803793589768	0.0228860001166862
