"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"
"R1"	2.60841700098634	0.0150817384082024	0.00367351267883858	0.0142405306315471	0.0245034614164179	0.1086931309475	0.0576811146032687	0.49888692705104	0.67028164156805	0	0.134779882784087	0.0225129156532632	0.0056770516670335	1.08021255828661	0.0120276863805414	0	0.00648874167409954	0.00275663940934701	0.00339339114184555	0.00275663940934701	0.0244559544631876	0.00485720009757545	0.00975833646535499	0.00320411939209809	0.00275663940934701	0.0059607588014451	0.00165308070547736	0.910957592707911	0.00275663940934701	0.00275663940934701	0.149666078115312	1.36225040952885	0.586893825221928	0	0.0303254736264197	0.0750430521775442	0.256360509347861	0.0303254736264197	0.00170311550011005	1.21258433141353	0.00170311550011005	0.00870481255611803	0	0.0432582778273302
"R2"	0.0150817384082024	2.03061684587571	0.0963802521987806	0.373622212227372	0.942242663918247	0.273577356347998	0.0279896286968665	0.0459830927673717	0.00887692270533785	0	0.106034893014045	0.0351011326464903	0.521119354619835	0.0120276863805414	0.619416934585876	0	0.155087180344172	0.106002299690803	0.456888790322034	0.106002299690803	0.0615549051782996	0.12743611124061	0.7487161703886	0.0840649977511587	0.106002299690803	0.190067297441961	0.0433711134894513	0.00700169705600798	0.106002299690803	0.106002299690803	0.0137949278302115	0.0247912401036215	0.00339339114184555	0	0.0238578509281602	0.117003775488301	0.124398349763851	0.0238578509281602	0.156335806385951	0.01099631227341	0.156335806385951	0.799049677083747	0	1.03391453562781
"R3"	0.00734702535767715	0.192760504397561	2.84168225091616	1.13936082453919	0.531926168532296	0.133272419927524	0.0136350668750497	0.0224005309893561	0.0043243672877118	0	0.0516545922417723	0.0170994155088048	0.0725587006755955	0.00585925272274753	0.153726502257055	0	0.0755502725083458	0.0598416939598833	0.0433711134894513	0.0598416939598833	0.0299862944836929	1.53511319843359	0.149330758126451	0.256356185521317	0.0598416939598833	0.3161978794812	1.27875701291227	0.00341085652230162	0.0598416939598833	0.0598416939598834	0.00672015929680683	0.0120769810985788	0.00165308070547736	0	0.0116222832543988	0.056998051696016	0.0606002972224433	0.0116222832543988	0.0217676102026787	0.00535682180177193	0.0217676102026787	0.111256674369246	0	0.503668483388972
"R4"	0.0142405306315471	0.373622212227372	0.569680412269593	2.20839073398336	1.03101738838976	0.258318147266929	0.0264284629553433	0.0434183131522087	0.00838179832309571	0	0.100120629406892	0.0331433115417574	0.140638469210722	0.0113568231786588	0.297963714251329	0	0.146436947948275	0.115989456193848	0.0840649977511587	0.115989456193848	0.0581215831350591	0.753244100667573	0.289443568220405	0.496887915146256	0.115989456193848	0.612877371340104	0.256356185521317	0.00661116634569572	0.115989456193848	0.115989456193848	0.0130254939456626	0.0234084695367514	0.00320411939209809	0	0.0225271416165507	0.110477705139191	0.117459835357081	0.0225271416165507	0.0421915407632167	0.0103829755910888	0.0421915407632167	0.215645652789774	0	0.976246319655168
"R5"	0.0122517307082089	0.471121331959124	0.132981542133074	0.51550869419488	3.03828171643445	0.22224202589381	0.0227375242916468	0.0373546108855747	0.00721121554821793	0	0.0861380113963047	0.0285145924891544	0.177338982455694	0.00977075523979663	0.375719262237401	0	0.125985898869512	0.341806693098875	0.106002299690803	0.341806693098875	0.0500044558261072	0.175831150153731	0.560524771460898	0.115989456193848	0.341806693098875	0.457796149292723	0.0598416939598833	0.005687865981286	0.341806693098875	0.341806693098875	0.0112063832656724	0.0201392962436565	0.00275663940934701	0	0.0193810525641685	0.0950486416305148	0.10105566351843	0.0193810525641685	0.0532016947367083	0.00893291297798407	0.0532016947367083	0.271919773098731	0	0.839905992463414
"R6"	0.1086931309475	0.273577356347998	0.066636209963762	0.258318147266929	0.44448405178762	1.97165463376766	0.201719476546937	0.331397229434554	0.0639754182115619	0	0.764186740244189	0.252971633898355	0.102979692717209	0.0866827719306315	0.218177941687529	0	0.117703459984413	0.0500044558261072	0.0615549051782996	0.0500044558261072	0.443622292597722	0.0881078776187519	0.177012743510666	0.0581215831350591	0.0500044558261072	0.108126038961166	0.0299862944836929	0.050460786042377	0.0500044558261072	0.0500044558261072	0.0994191688303663	0.178668893067946	0.0244559544631876	0	0.171942016554942	0.843238779661185	0.896531006875274	0.171942016554942	0.0308939078151628	0.0792497242375799	0.0308939078151628	0.157902195499721	0	0.784689733229418
"R7"	0.230724458413075	0.111958514787466	0.0272701337500995	0.105713851821373	0.181900194333175	0.806877906187747	1.42819280824785	0.703461622775524	0.135801532166206	0	1.00053157608996	0.167123479525678	0.0421433031000658	0.184002755584427	0.0892869155430042	0	0.048168842411205	0.0204637718624822	0.0251906658271799	0.0204637718624821	0.181547528892243	0.0360571768473537	0.0724405123525633	0.023785616659809	0.0204637718624821	0.0442493885222911	0.0122715601875448	0.10711382981827	0.0204637718624822	0.0204637718624822	0.211038486832657	0.37926300612572	0.0519130031429419	0	0.22511960462024	0.557078265085593	1.9030791477682	0.22511960462024	0.0126429909300197	0.168224519293063	0.0126429909300197	0.0646197314201009	0	0.3211256160747
"R8"	0.665182569401386	0.0613107903564957	0.0149336873262374	0.057891084202945	0.0996122956948659	0.441862972579406	0.234487207591841	2.02809191938957	0.391518145567538	0	0.54791171375536	0.0915202620925983	0.0230785414240566	0.530483099097605	0.0488953553093053	0	0.0263782509476366	0.0112063832656724	0.0137949278302115	0.0112063832656724	0.0994191688303663	0.0197456532424695	0.0396699176886755	0.0130254939456626	0.0112063832656724	0.024231877211335	0.00672015929680683	0.308811007844593	0.0112063832656724	0.0112063832656724	0.60842757581687	1.09342174916686	0.149666078115312	0	0.123280135594956	0.305067540308661	1.04216536707485	0.123280135594956	0.00692356242721697	0.484994173349986	0.00692356242721697	0.0353870968502201	0	0.175855006317577
"R9"	1.3405632831361	0.0177538454106757	0.0043243672877118	0.0167635966461914	0.0288448621928717	0.127950836423124	0.0679007660831029	0.587277218351308	1.78903879141287	0	0.158659508516358	0.0265016414841302	0.00668288329614016	1.06909921830104	0.0141586917150139	0	0.00763838448020812	0.00324504699669807	0.00399461521740203	0.00324504699669807	0.0287889381952028	0.00571777452486338	0.0114872697286043	0.00377180924539307	0.00324504699669807	0.00701685624209114	0.00194596527947031	0.622356504195934	0.00324504699669807	0.00324504699669807	0.176183165505392	1.60360712583712	0.301626738705623	0	0.0356983894161806	0.0883388049471005	0.301781182591568	0.0356983894161806	0.00200486498884205	1.42742396033173	0.00200486498884205	0.0102470877207482	0	0.0509225632013875
"R10"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0
