"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Apodemus_uralensis"	"Sorex_araneus"	"Microtus_subterraneus"	"Neomys_fodiens"	"Crocidura_leucodon"	"Apodemus_sylvaticus"	"Arvicola_terrestris"	"Talpa_europaea"	"Neomys_anomalus"	"Sorex_alpinus"	"Micromys_minutus"	"Myoxus_glis"	"Muscardinus_avellanarius"	"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Ctenophthalmus_assimilis"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_solutus"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_uncinatus"	"Rhadinopsylla_pentacantha"	"Atyphloceras_nuperus"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_bisoctodentatus"	"Peromyscopsylla_silvatica"	"Amalaraeus_arvicolae"	"Rhadinopsylla_isacantha"	"Amphipsylla_rossica"	"Ctenophthalmus_obtusus"	"Palaeopsylla_kohauti"
"Arvicola_terrestris"	0.469834211571615	0.495067592475885	0.401681233398409	0.367636208506905	0.222617771612035	0.345067644011503	0.366884407786387	0.305644584424088	0.303424283233782	0.18498537502734	1.18498537502734	0.160108883739177	0.165974183091094	0.0990747639094166	0.0642995508755779	0.0927725117506101	0.0330993142956774	0.881293496731977	0.857327345007705	0.928249738187842	0.119763638768687	0.296038844986791	0.198372743055296	0.140004782535277	0.117620797845238	0.209068869914973	0.115739173722301	0.117620797845238	0.116845546258428	0.0371300694356914	0.147108063536344	0.131410198624718	0.0371300694356914	0.0412744958759685	0.0371300694356914	0.0784891428927182	0.0390116935586291	0.0902125276079493
"Talpa_europaea"	0.441699419282675	0.441052011391943	0.378724107623587	0.332298075817007	0.198328099009869	0.431556333134474	0.32732502699269	0.283638645101885	0.437967940365005	0.160108883739177	0.160108883739177	1.27087660695756	0.139597260772481	0.0999271593679606	0.0371499648142038	0.0916367679041346	0.0311627087230095	0.902559085188923	0.495332864189384	0.940707587261946	0.107286499920487	0.291217885965317	0.181297954078701	0.139910789257174	0.130321617919429	0.212328973726063	0.10709035501261	0.130321617919429	0.106042009786929	0.0330789008543957	0.13850092765782	0.49305896010863	0.0330789008543957	0.0368240655366776	0.0330789008543957	0.070462434383809	0.0563101637612149	0.0980316110254294
"Neomys_anomalus"	0.430096845398873	0.449439780346272	0.366967911091339	0.336454515066426	0.200044997614402	0.449402100171385	0.33624441128077	0.409143911947156	0.26860176383951	0.165974183091094	0.165974183091094	0.139597260772481	1.27825634735076	0.0772692290300444	0.066635110542842	0.0919439763022544	0.031111367800135	0.556204480666356	0.888468140571227	0.94628502114408	0.10938661274003	0.301488172097093	0.181273145745435	0.502628761019338	0.106421045499057	0.18928230290727	0.105594516531376	0.106421045499057	0.106725221691328	0.0337079835259704	0.138272745778378	0.134193960747431	0.0337079835259704	0.0378274962690866	0.0337079835259704	0.0715591164709433	0.0345345124936512	0.119151856814109
"Sorex_alpinus"	0.502357532085359	0.452061829525541	0.436498773307315	0.400071650038157	0.186354223469053	0.375768611282788	0.403839125476593	0.33638793538529	0.295466817160762	0.148612145864125	0.148612145864125	0.149890739051941	0.115903843545067	1.1760370079775	0.0381020827096813	0.0674662288340293	0.0297272031595171	1.05113720804345	0.508027769462418	0.587051510492413	0.124344599459825	0.803179770536631	0.209096456688449	0.133542450536243	0.122740448006437	0.209678208916266	0.11865649444304	0.122740448006437	0.120438518728425	0.0339046372144156	0.132120902931187	0.131268919658324	0.0339046372144156	0.0454319016161167	0.0339046372144156	0.0789126978437082	0.0379885907778122	0.0987712974727234
"Micromys_minutus"	0.470574647473704	0.505730162158092	0.404436445471829	0.376241593283025	0.229634910231197	0.350764198457574	0.377247525218659	0.317859207921952	0.242278395062835	0.192898652626734	0.192898652626734	0.111449894442611	0.199905331628526	0.0762041654193626	1.11435374871974	0.0702036632368841	0.0304767007573782	0.560703598396982	1.52471664959659	0.617974971903425	0.122697287993296	0.290781742159061	0.20164249460651	0.152748734764253	0.110095285978435	0.204090320024794	0.11687496877507	0.110095285978435	0.118871670814986	0.0379297621618569	0.135452003366125	0.109683301785407	0.0379297621618569	0.0424403465870991	0.0379297621618569	0.0802569414061972	0.0311500793652216	0.0927771352756951
"Myoxus_glis"	0.578839933834477	0.644857538503973	0.353043960374524	0.316572313747034	0.173847635807486	0.270425840255525	0.315387530819513	0.237027624406797	0.27472514223223	0.139158767625915	0.139158767625915	0.137455151856202	0.137915964453382	0.0674662288340293	0.035101831618442	1.25573920234797	0.186434460393427	0.501976136320076	0.468024421579227	1.07807376373736	0.119459797901534	0.254442492741897	0.20212382488908	0.111697969601316	0.117985830988833	0.192715934342058	0.131028342375344	0.117985830988833	0.131205043555087	0.048364315387798	0.828597601748562	0.111327386162429	0.048364315387798	0.0354810972171952	0.048364315387798	0.0839787006843393	0.0353218040012867	0.0703231802653013
"Muscardinus_avellanarius"	0.690406051953223	0.798850086457674	0.312104960715248	0.275679252905255	0.131075072654764	0.200985325210795	0.275034829887481	0.17631844117142	0.220387522156366	0.0992979428870323	0.0992979428870323	0.0934881261690286	0.0933341034004051	0.0594544063190343	0.0304767007573782	0.372868920786853	1.33409820841785	0.43406320765385	0.406356010098376	0.60309997018449	0.121869090798508	0.228696817676313	0.209567354757115	0.0802889675800797	0.116033802521568	0.176539609820731	0.147612020442932	0.116033802521568	0.147342942733749	0.0599137564843256	1.48488092630156	0.082222946797915	0.0599137564843256	0.0309414183623416	0.0599137564843256	0.0909276724361668	0.0283355385629614	0.0522887365599581
"Ctenophthalmus_agyrtes"	0.52406019058379	0.542897360799213	0.451804771877331	0.410224064054307	0.246220228494112	0.3828581980852	0.408517184876619	0.334819708564598	0.376590769256019	0.203375422322764	0.203375422322764	0.208282865812828	0.128354880153775	0.16171341662207	0.0431310460305371	0.0772270978953963	0.0333894775118346	1.68143091868072	0.575080613740495	0.681918539299848	0.13282569256467	0.352385138882036	0.220883821709259	0.137954045798919	0.136476942334648	0.238026700951933	0.12877543120453	0.136476942334648	0.129553137315416	0.040717302059941	0.148397677830376	0.160128298402005	0.040717302059941	0.0459581832986196	0.040717302059941	0.0868675092660505	0.0484188131900596	0.0994475817527869
"Megabothris_turbidus"	0.522860719415226	0.56192240239788	0.449373828302033	0.418046214758917	0.255149900256885	0.389737998286193	0.419163916909621	0.353176897691057	0.269198216736483	0.214331836251926	0.214331836251926	0.123833216047346	0.222117035142807	0.0846712949104029	0.127059720799716	0.0780040702632046	0.0338630008415313	0.623003998218869	1.69412961066288	0.686638857670472	0.136330319992551	0.323090824621179	0.224047216229455	0.169720816404726	0.122328095531594	0.226767022249772	0.129861076416745	0.122328095531594	0.132079634238874	0.042144180179841	0.150502225962362	0.121870335317119	0.042144180179841	0.0471559406523323	0.042144180179841	0.0891743793402191	0.0346111992946907	0.103085705861883
"Ctenophthalmus_assimilis"	0.519193128573033	0.545405545055857	0.437758844481999	0.397183749543126	0.240689109955786	0.377629283666951	0.395266924168383	0.33081867515797	0.365625291453437	0.198910658183109	0.198910658183109	0.201580197270417	0.202775361673731	0.083864501498916	0.0441410694216732	0.154010537676766	0.0430785692988921	0.633210072207002	0.588547592288976	1.72560839698915	0.130056116671734	0.311320186452756	0.216311438912273	0.15900774624728	0.133264288284552	0.232102509848206	0.127160738119728	0.133264288284552	0.127852382640471	0.0409054158791893	0.191460307995076	0.156035361696603	0.0409054158791893	0.0444675289689431	0.0409054158791893	0.085588587702791	0.0470089660440134	0.0981751377451606
