"Cecropia_hololeuca"	"Cecropia_pachystachia"	"Muntingia_calabura"	"Ficus_enormis"	"Ficus_cf_insipida"	"Ficus_luschnatiana"	"Ficus_sp_1"	"Ficus_sp_2"	"Maclura_tinctoria"	"Piper_amalago"	"Piper_arboreum"	"Piper_sp_2"	"Solanum_granuloso-leprosum"	"Solanum_inaequale"	"Artibeus_lituratus"	"Carollia_perspicillata"	"Chiroderma_doriae"	"Glossophaga_soricina"	"Platyrrhinus_lineatus"	"Phyllostomus_discolor"	"Pygoderma_bilabiatum"	"Sturnira_lilium"
"Cecropia_hololeuca"	1.56640150368104	0.23058027614412	0.518432521827802	0.397610969986346	0.23058027614412	0.23058027614412	0.409823081888881	0.144222613515499	0.0707770621799643	0.175901892863929	0.320124506379428	0.320124506379428	0.5517447759399	0.0962536316622618	1.60247348350555	0.35399227200741	0.0922101934249981	0.938175311478979	0.575717750857474	0.0827617163909851	0.235923540599881	0.855587836997883
"Cecropia_pachystachia"	0.23058027614412	1.336725519838	0.164982436578057	0.511243475870432	0.336725519838001	0.336725519838001	0.528660196977827	0.150478826817879	0.089636968780615	0.168104966695484	0.318583793513363	0.318583793513363	0.687245613079884	0.0848809872518159	1.6719869646431	0.369884353082968	0.118948544320011	0.17800322072498	1.24164462013414	0.103086841961983	0.298789895935383	0.754497664460586
"Muntingia_calabura"	0.518432521827802	0.164982436578057	1.59075378799325	0.400800871654607	0.164982436578057	0.164982436578057	0.41207021546401	0.0913222940890383	0.0721748748220595	0.255577439992241	0.346899734081279	0.346899734081279	0.56963555074261	0.163643560254491	1.01469215654487	0.408595021056668	0.0927157984794022	0.949133839419476	0.491067616593457	0.0854453326113915	0.240582916073532	1.45460942448436
"Ficus_enormis"	0.198805484993173	0.255621737935216	0.200400435827304	1.56700325033802	0.255621737935216	0.255621737935216	0.470448871218022	0.117966286027027	0.191820275541643	0.211036002337798	0.329002288364824	0.329002288364824	0.761246261057406	0.119561236861157	1.31073651141141	0.406554513229515	0.105850996024055	0.179642664369215	0.917703012721261	0.114186939158611	0.639400918472143	1.06276654987695
"Ficus_cf_insipida"	0.23058027614412	0.336725519838001	0.164982436578057	0.511243475870432	1.336725519838	0.336725519838001	0.528660196977827	0.150478826817879	0.089636968780615	0.168104966695484	0.318583793513363	0.318583793513363	0.687245613079884	0.0848809872518159	1.6719869646431	0.369884353082968	0.118948544320011	0.17800322072498	1.24164462013414	0.103086841961983	0.298789895935383	0.754497664460586
"Ficus_luschnatiana"	0.23058027614412	0.336725519838001	0.164982436578057	0.511243475870432	0.336725519838001	1.336725519838	0.528660196977827	0.150478826817879	0.089636968780615	0.168104966695484	0.318583793513363	0.318583793513363	0.687245613079884	0.0848809872518159	1.6719869646431	0.369884353082968	0.118948544320011	0.17800322072498	1.24164462013414	0.103086841961983	0.298789895935383	0.754497664460586
"Ficus_sp_1"	0.20491154094444	0.264330098488913	0.206035107732005	0.470448871218022	0.264330098488913	0.264330098488913	1.73937117224318	0.12169484458746	0.0833003613540844	0.210851311463543	0.332546156051003	0.332546156051003	0.645643666250336	0.122818411375025	1.35216493986067	0.391257333726746	0.391358513754716	0.1849259919044	0.950901692676354	0.0968465499375503	0.277667871180281	1.09171921222244
"Ficus_sp_2"	0.288445227030999	0.300957653635759	0.182644588178077	0.471865144108107	0.300957653635759	0.300957653635759	0.486779378349841	1.19304953945116	0.0836585898741089	0.177054655921109	0.37010419537227	0.37010419537227	0.649330519573384	0.0872489005982389	2.14499488279068	0.399136690323869	0.109525360128714	0.211990416844084	0.71938742789732	0.0973995779360076	0.27886196624703	0.775545783095457
"Maclura_tinctoria"	0.141554124359929	0.17927393756123	0.144349749644119	0.767281102166572	0.17927393756123	0.17927393756123	0.333201445416338	0.0836585898741089	1.50155294944704	0.171528325782491	0.255186915656599	0.255186915656599	0.985381748891056	0.0864542151582993	0.929539887490099	0.378107158329739	0.074970325218676	0.128656743301821	0.637435651247473	0.147807262333658	1.67184316482348	0.768481912518216
"Piper_amalago"	0.175901892863929	0.168104966695484	0.255577439992241	0.422072004675596	0.168104966695484	0.168104966695484	0.421702622927085	0.0885273279605547	0.0857641628912453	1.4019542367395	0.490481564700059	0.490481564700059	0.758177302111252	0.168202875088866	0.983636977339497	1.0388949406695	0.0948830901585941	0.194165699785277	0.530517591566194	0.113726595316688	0.285880542970818	1.49513666745659
