"Catostomus_catostomus"	"Catostomus_macrocheilus"	"Cottus_asper"	"Cottus_cognatus"	"Lota_lota"	"Mylocheilus_caurinus"	"Oncorhynchus_nerka"	"Oncorhynchus_tshawytscha"	"Prosopium_williamsoni"	"Ptychocheilus_oregonensis"	"Richardsonius_balteatus"	"Salmo_gairdneri"	"Salvelinus_malma"	"Salvelinus_namaycush"	"Acolpenteron_catostomi"	"Anoncohaptor_anomalum"	"Pseudomurraytrema_copulata"	"Tetraonchus_alaskensis"	"Tetraonchus_variabilis"	"Octomacrum_lanceatum"	"Octomacrum_micronfibulum"	"Allocreadium_isosporum"	"Bunodera_luciopercae"	"Crepidostomum_farionis"	"Phyllodistomum_sp."	"Brachyphallus_crenatus"	"Genolinea_oncorhynchi"	"Lampritrema_miescheri"	"Diplostomum_sp.1_(L)"	"Diplostomum_sp.2_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Glaridacris_catostomi"	"Proteocephalus_ptychocheilus"	"Proteocephalus_salmonidicola"	"Proteocephalus_sp."	"Proteocephalus_tumidocollus"	"Bothriocephalus_opsariichthydis"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Ligula_intestinalis_(L)"	"Phyllobothrium_sp._(L)"	"Hysterothylacium_brachyurum"	"Eustrongylides_sp._(L)"	"Philometroides_huronensis"	"Philonema_agubernaculum"	"Philonema_oncorhynchi"	"Philonema_sp."	"Haplonema_hamatulum"	"Cystidicola_farionis"	"Cystidicoloides_tenuissima"	"Rhabdochona_canadensis"	"Rhabdochona_cascadilla"	"Rhabdochona_cotti"	"Rhabdochona_kisutchi"	"Rhabdochona_milleri"	"Rhabdochona_zacconis"	"Neoechinorhynchus_cristatus"	"Neoechinorhynchus_rutili"	"Octospinifer_macilentus"	"Ergasilus_nerkae"	"Salmincola_californiensis"	"Salmincola_edwardsii"	"Salmincola_extensus"	"Salmincola_thymalli"
"Richardsonius_balteatus"	0.361189179298769	0.31283229385743	0.0315361504966299	0.188184487177859	0.0863461763911337	0.546690541725432	0.262294196369809	0.172361106824055	0.551742626974316	0.14820855078708	1.34687963504588	0.514897593260566	0.470339771016518	0.269655585511361	0.0763402128544036	0.0361189179298769	0.0763402128544036	0.0282203862609911	0.0275871313487158	0.0155124996141649	0.0615026859441111	0.0615026859441111	0.0272592843490888	0.147515288352569	0.0619292882005495	0.0155124996141649	0.0155124996141649	0.0155124996141649	0.116349101641916	0.654596255331782	0.0516314175440418	0.77895396229459	0.0361189179298769	0.0333469239270931	0.0282203862609911	0.175200836092388	0.0272592843490888	0.0333469239270931	0.119024516640869	0.133249305424421	0.0615026859441111	0.0155124996141649	0.0194278896880051	0.135841615573894	0.0361189179298769	0.0548464156978046	0.0155124996141649	0.112574899050399	0.0742743053858097	0.0282203862609911	0.0554796706100799	0.0282203862609911	0.465566576457875	0.0564553461533579	0.112574899050399	0.0275871313487158	0.0402212949245268	0.0763402128544036	0.14724490290186	0.0402212949245268	0.0910107830357146	0.0427717839632537	0.0904775214611676	0.0275871313487158	0.0275871313487158
"Salmo_gairdneri"	0.194420372382495	0.156368052492494	0.0287367671542048	0.0914962204950642	0.172901664140851	0.233192340644791	0.316515715952198	0.320936730738798	0.74060508138824	0.12725274547363	0.0908642811636294	1.90994441147067	0.581886758948187	0.298036752291588	0.0395465011301415	0.0194420372382495	0.0395465011301415	0.0349132055368912	0.037030254069412	0.0288843057664918	0.026234138322539	0.026234138322539	0.101114704136683	0.276453361985791	0.139433715145601	0.0288843057664918	0.0288843057664918	0.0288843057664918	0.164379096528634	0.305631826379654	0.0483263430047413	0.396105850478382	0.0194420372382495	0.0286318677315667	0.0349132055368912	0.159648706412249	0.101114704136683	0.0286318677315667	0.212071987259635	0.240261480518396	0.026234138322539	0.0288843057664918	0.0389028744316914	0.240592905906244	0.0194420372382495	0.138144958206095	0.0288843057664918	0.208666181787608	0.177047832637786	0.0349132055368912	0.136027909673574	0.0349132055368912	0.0534934226716278	0.0274488661485193	0.208666181787608	0.037030254069412	0.020104463891892	0.0395465011301416	0.246985192796527	0.020104463891892	0.0618421563671613	0.129999009903174	0.110262470615222	0.037030254069412	0.037030254069412
"Salvelinus_malma"	0.196415139055965	0.161606839686855	0.0459996207191992	0.0953972956727719	0.147415817347644	0.231679102118205	0.32912932830956	0.255258533538169	0.698539224482409	0.131943928402108	0.0940679542033036	0.659471660141279	1.93559800242454	0.280635448634838	0.0404195361510492	0.0196415139055965	0.0404195361510492	0.116135880145472	0.0349269612241204	0.0229732680184352	0.0260638989882981	0.0260638989882981	0.0349132055368912	0.279144923262964	0.0709949060756561	0.0229732680184352	0.0229732680184352	0.0229732680184352	0.0959040657493097	0.31931685855912	0.0426147819240317	0.412095190872718	0.0196415139055965	0.0296873838904744	0.116135880145472	0.255553448439995	0.0349132055368912	0.0296873838904744	0.142948916734602	0.245031015463684	0.0260638989882981	0.0229732680184352	0.0331685589032199	0.248831989700178	0.0196415139055965	0.0698401667610117	0.0229732680184352	0.223003096341309	0.103008725664232	0.116135880145472	0.151049085682363	0.116135880145472	0.0542842852492891	0.0286191887018316	0.223003096341309	0.0349269612241204	0.0207780222454528	0.0404195361510492	0.259084796880074	0.0207780222454528	0.0630909484231236	0.0578864735553264	0.187144541908357	0.0349269612241204	0.0349269612241204
"Salvelinus_namaycush"	0.245658728271199	0.204878896127892	0.0286842595202398	0.121560294355457	0.111116685526843	0.221751365772401	0.320170951012902	0.266966987274566	0.729864051786765	0.118991892913181	0.115566679504869	0.723803541279571	0.601361675646081	1.45278188574488	0.0509074451864202	0.0245658728271199	0.0509074451864202	0.0360817005387648	0.0364932025893382	0.0240270288547109	0.0249470286493952	0.0249470286493952	0.0383190110089184	0.195941429224223	0.225105253461831	0.0240270288547109	0.0240270288547109	0.0240270288547109	0.0997592422476518	0.419725693934452	0.0485929016818308	0.507465130478264	0.0245658728271199	0.0267731759054658	0.0360817005387649	0.159356997334665	0.0383190110089184	0.0267731759054658	0.297617688040121	0.321707185444645	0.0249470286493952	0.0240270288547109	0.0250012542435397	0.162668344286027	0.0245658728271199	0.0748122135982567	0.0240270288547109	0.146913146125973	0.0998134678417963	0.0360817005387649	0.0744007115476833	0.0360817005387649	0.0596170325008558	0.0364680883066372	0.146913146125973	0.0364932025893382	0.0263415723593004	0.0509074451864202	0.333699388578885	0.0263415723593004	0.0609662606383466	0.0623460398636293	0.259361145581016	0.0364932025893382	0.0364932025893382
"Acolpenteron_catostomi"	1.38743227788105	1.22393296070517	0.0152149056217001	0.124570896035116	0.0577023923337974	0.160289818725017	0.153393017086093	0.239782870708335	0.347114561952746	0.0954302460409834	0.114510319281605	0.336145259606203	0.303146521132869	0.178176058152471	1.29610603702163	0.138743227788105	0.296106037021627	0.0181887912679722	0.0173557280976373	0.0215804583637502	0.0180326046065644	0.0180326046065644	0.0177959255085637	0.105160655935213	0.0407042758424528	0.0215804583637502	0.0215804583637502	0.0215804583637502	0.0531842582127655	0.444079196824705	0.160323686151855	0.500840321212676	0.138743227788105	0.0214718053592213	0.0181887912679722	0.0845272534538894	0.0177959255085637	0.0214718053592213	0.0753167183622756	0.0978292535718125	0.0180326046065644	0.0215804583637502	0.0129830382751044	0.0877952885084989	0.138743227788105	0.035151653606201	0.0215804583637501	0.0705971592963586	0.0481346918813054	0.0181887912679722	0.0359847167765358	0.0181887912679722	0.0523857003910461	0.0373712688105348	0.0705971592963586	0.0173557280976373	0.157362809233522	0.296106037021627	0.0935055096302477	0.157362809233522	0.0352893190287499	0.0393763838723138	0.0584528696994986	0.0173557280976373	0.0173557280976373
"Anoncohaptor_anomalum"	2.00437955372921	0.599266112692246	0.0147261387801609	0.117769996299238	0.0576942645320929	0.153214710707893	0.149035446649615	0.306695851313131	0.337557039842071	0.0910477855038413	0.108356753789631	0.330514633050242	0.294622708583947	0.171961109789839	0.27748645557621	1.20043795537292	0.27748645557621	0.0176773625150368	0.0168778519921035	0.0276026266181818	0.0172366549546379	0.0172366549546379	0.0174978335144246	0.109403371907549	0.0396071190588324	0.0276026266181818	0.0276026266181818	0.0276026266181818	0.051612340461166	0.419486814168843	0.228040581991103	0.473975708609927	0.200437955372921	0.0204857517383643	0.0176773625150368	0.0818118821120048	0.0174978335144246	0.0204857517383643	0.0732514587990177	0.101764960184155	0.0172366549546379	0.0276026266181818	0.0129812095197209	0.0855200092796501	0.200437955372921	0.0343756855065281	0.0276026266181818	0.0688195357696467	0.047356895026249	0.0176773625150368	0.0351751960294614	0.0176773625150368	0.0497436810915271	0.0353309988897713	0.0688195357696466	0.0168778519921035	0.0770485002032888	0.27748645557621	0.0909288213140545	0.0770485002032888	0.0340031427027197	0.0451004601326063	0.0566645000515482	0.0168778519921035	0.0168778519921035
"Pseudomurraytrema_copulata"	1.38743227788105	1.22393296070517	0.0152149056217001	0.124570896035116	0.0577023923337974	0.160289818725017	0.153393017086093	0.239782870708335	0.347114561952746	0.0954302460409834	0.114510319281605	0.336145259606203	0.303146521132869	0.178176058152471	0.296106037021627	0.138743227788105	1.29610603702163	0.0181887912679722	0.0173557280976373	0.0215804583637502	0.0180326046065644	0.0180326046065644	0.0177959255085637	0.105160655935213	0.0407042758424528	0.0215804583637502	0.0215804583637502	0.0215804583637502	0.0531842582127654	0.444079196824705	0.160323686151855	0.500840321212676	0.138743227788105	0.0214718053592213	0.0181887912679722	0.0845272534538894	0.0177959255085637	0.0214718053592213	0.0753167183622756	0.0978292535718124	0.0180326046065644	0.0215804583637501	0.0129830382751044	0.0877952885084989	0.138743227788105	0.035151653606201	0.0215804583637501	0.0705971592963586	0.0481346918813054	0.0181887912679722	0.0359847167765358	0.0181887912679722	0.0523857003910461	0.0373712688105348	0.0705971592963586	0.0173557280976373	0.157362809233522	0.296106037021627	0.0935055096302477	0.157362809233522	0.0352893190287499	0.0393763838723138	0.0584528696994986	0.0173557280976373	0.0173557280976373
"Tetraonchus_alaskensis"	0.176773625150368	0.145446155718169	0.0413996586472792	0.0858575661054947	0.13267423561288	0.208511191906384	0.296216395478604	0.229732680184352	0.628685302034168	0.118749535561898	0.0846611587829732	0.593524494127151	1.74203820218208	0.252571903771354	0.0363775825359443	0.0176773625150368	0.0363775825359443	1.10452229213092	0.0314342651017084	0.0206759412165917	0.0234575090894683	0.0234575090894683	0.0314218849832021	0.251230430936668	0.0638954154680905	0.0206759412165917	0.0206759412165917	0.0206759412165917	0.0863136591743787	0.287385172703208	0.0383533037316285	0.370885671785447	0.0176773625150368	0.0267186455014269	0.104522292130925	0.229998103595996	0.0314218849832021	0.0267186455014269	0.128654025061142	0.220527913917316	0.0234575090894683	0.0206759412165917	0.0298517030128979	0.22394879073016	0.0176773625150368	0.0628561500849105	0.0206759412165917	0.200702786707178	0.0927078530978084	0.104522292130925	0.135944177114127	0.104522292130925	0.0488558567243602	0.0257572698316484	0.200702786707178	0.0314342651017084	0.0187002200209075	0.0363775825359443	0.233176317192067	0.0187002200209075	0.0567818535808112	0.0520978261997938	0.168430087717522	0.0314342651017084	0.0314342651017084
"Tetraonchus_variabilis"	0.168778519921035	0.138705810469109	0.0388934715750361	0.0818422699175067	0.153354092887446	0.233950593780496	0.298482560767018	0.222418845494038	1.79475445355395	0.114028937184195	0.0827613940461474	0.629514319180004	0.523904418361807	0.255452418125368	0.0347114561952746	0.0168778519921035	0.0347114561952746	0.0314342651017084	1.0897377226777	0.0200176960944634	0.0263194418003058	0.0263194418003058	0.0333272286624708	0.242600871522305	0.0661711109928752	0.0200176960944634	0.0200176960944634	0.0200176960944634	0.149384393140474	0.271435654156652	0.0368955480865669	0.356990894909691	0.0168778519921035	0.0256565108664438	0.0314342651017084	0.216074842083534	0.0333272286624708	0.0256565108664438	0.189488121756862	0.207360794866745	0.0263194418003058	0.0200176960944634	0.0345046708996753	0.214660398207996	0.0168778519921035	0.123064951340168	0.0200176960944634	0.188078504528166	0.157569622239844	0.0314342651017084	0.0647614937641792	0.0314342651017084	0.05114786001415	0.024552680975252	0.188078504528166	0.0897377226776976	0.0178336042031711	0.0347114561952747	0.220922386858571	0.0178336042031711	0.0598987298865953	0.0533449247569342	0.15401587010981	0.0897377226776976	0.0897377226776976
"Octomacrum_lanceatum"	0.276026266181818	0.121008923072477	0.0155577474752198	0.0475846072514776	0.111611216077416	0.109000952201074	0.173099673391238	2.37219731997139	0.400353921889268	0.0600425586194225	0.0465374988424948	0.491033198030361	0.344599020276528	0.168189201982976	0.0431609167275003	0.0276026266181818	0.0431609167275003	0.0206759412165917	0.0200176960944634	1.21349775879742	0.0122626071226208	0.0122626071226208	0.0259958751898426	0.324773508172255	0.0476202011590824	0.213497758797425	0.213497758797425	0.213497758797425	0.0582761784069268	0.15971138702583	0.241100385415607	0.204957283094335	0.0276026266181818	0.0135095756893701	0.0206759412165917	0.086431930417888	0.0259958751898426	0.0135095756893701	0.0871116105100601	0.301811597267562	0.0122626071226208	0.213497758797425	0.0251125236174186	0.105311611807686	0.0276026266181818	0.046013571284306	0.213497758797425	0.086163225757412	0.0711260949017246	0.0206759412165917	0.0466718164064343	0.0206759412165917	0.0262238567753693	0.0142753821754433	0.086163225757412	0.0200176960944634	0.0155582901093185	0.0431609167275003	0.107787551726652	0.0155582901093185	0.0317363203791351	0.239493633987267	0.0623179632802949	0.0200176960944634	0.0200176960944634
