"Alyxia_oliviformis"	"Cheirodendron_trigynum"	"Dubautia_raillardioides"	"Carex"	"Elaeocarpus_bifidus"	"Styphelia_tameiameiae"	"Vaccinium_calycinum"	"Acacia__melanoxylon"	"Dicranopteris_linearis"	"Scaevola_procera"	"Stenogyne_purpurea"	"Dianella_sandwicianaum"	"Metrosideros_polymorpha"	"Syzygium_sandwicensis"	"Rubus_argutus"	"Coprosma_kauensis"	"Hedyotis_terminalis"	"Melicope_anisata"	"Cryptomeria_japonica"	"Wilkstroemia_oahuensis"	"Athyrium_microphyllum"	"Hedychium_gardinerianum"	"Amorbia_emigratella"	"Croesia_zimmermani"	"Schreckensteinia_festaliella"	"Spheterista_pleonectes"	"Udea_ommatias"	"Omiodes_antidoxa"	"Casposina_sp._2"	"Scotorythra_complex"	"Thyrocopa_complex"	"Udea_pyranthes"	"Eupithecia_sp._2"	"Eupithecia_rhodopyra"	"Udea_constricta"	"Udea_sp._1"	"Carposina_graminis"	"Eccoptocera_sp._1"	"Eupithecia_monticolans"	"Eupithecia_orichloris"	"Fletcherana_leucoxyla"	"Hyles_calida"	"Paralopostega_sp._1"	"Agrotis_hephaestaea"	"Haliophyle_euclidias"
"Alyxia_oliviformis"	1.84716528167035	0.0890690050928625	0.0890690050928625	0.16757182075513	0.0529960580302532	0.0529960580302532	0.331636721033717	0.0529960580302532	0.226588694181529	0	0	0.0693313711209918	1.46760507546458	0.0529960580302532	0.205592317901252	0.331636721033717	0.0529960580302532	0	0.0890690050928625	0	0.0308465281154687	0.0529960580302532	0.0400810522917881	0.0462582715277817	0.0462582715277817	0.0400810522917881	0.0400810522917881	0.050271546226539	0.059694609786069	0.883267633837553	0.539243997607714	0.059694609786069	0.0407859649526752	0.0407859649526752	0	0	0.220140761319687	0.220140761319687	1.882589514823	0.339529980891825	0.059694609786069	0.059694609786069	0	0	0.068547840256597
"Cheirodendron_trigynum"	0.0445345025464313	1.8959525187945	0.215280249886933	0.254387430780692	0.128091748682725	0.128091748682725	0.358042565399042	0.128091748682725	0.34397976638937	0	0	0.05761107578718	0.39256339281669	0.128091748682725	0.312105587344378	0.358042565399042	0.128091748682725	0	0.215280249886933	0	0.0468274976093092	0.128091748682725	0.0968761124491198	0.0702237571524851	0.0702237571524851	0.853178633457523	0.0968761124491198	0.0763162292342075	0.0644476617718276	2.13486247804542	0.4480861450114	0.0644476617718276	0.0619163579500866	0.0619163579500866	0	0	0.0588845089225035	0.0588845089225035	0.0989655612142917	0.187779832466159	0.0644476617718276	0.0644476617718276	0	0	0.104061105798465
"Dubautia_raillardioides"	0.0445345025464313	0.215280249886933	1.8959525187945	0.254387430780692	0.128091748682725	0.128091748682725	0.358042565399042	0.128091748682725	0.34397976638937	0	0	0.05761107578718	0.39256339281669	0.128091748682725	0.312105587344378	0.358042565399042	0.128091748682725	0	0.215280249886933	0	0.0468274976093092	0.128091748682725	0.0968761124491198	0.0702237571524851	0.0702237571524851	0.0968761124491198	0.853178633457523	0.0763162292342075	0.0644476617718276	2.13486247804542	0.4480861450114	0.0644476617718276	0.0619163579500866	0.0619163579500866	0	0	0.0588845089225035	0.0588845089225035	0.0989655612142917	0.187779832466159	0.0644476617718276	0.0644476617718276	0	0	0.104061105798465
"Carex"	0.0558572735850434	0.169591620520461	0.169591620520461	1.68892772768974	0.100907014209674	0.100907014209674	0.449073872773902	0.100907014209674	0.431435646977268	0	0	0.132010227003835	0.492371522712604	0.100907014209674	0.391457548257999	0.449073872773902	0.100907014209674	0	0.169591620520461	0	0.0587332561431238	0.100907014209674	0.0763162292342075	0.0880779483580497	0.0880779483580497	0.0763162292342075	0.0763162292342075	0.506678318306921	0.0808332970993024	1.68178357016124	1.02674621002983	0.0808332970993024	0.0776584164559082	0.0776584164559082	0	0	0.0738557284068906	0.0738557284068906	0.12412727463343	0.235522322605495	0.0808332970993024	0.0808332970993024	0	0	0.13051834698472
"Elaeocarpus_bifidus"	0.0529960580302532	0.25618349736545	0.25618349736545	0.302721042629023	1.15242918093244	0.152429180932443	0.42607065282486	0.152429180932443	0.40933592200335	0	0	0.0685571801867442	0.467150437451861	0.152429180932443	0.37140564893981	0.42607065282486	0.152429180932443	0	0.25618349736545	0	0.0557247221550779	0.152429180932443	0.115282573814452	0.0835662710114572	0.0835662710114572	0.115282573814452	0.115282573814452	0.0908163127887069	0.0766927175084749	2.54048634887405	0.533222512563566	0.0766927175084749	0.0736804659606031	0.0736804659606031	0	0	0.0700725656177792	0.0700725656177792	0.117769017845007	0.223458000634729	0.0766927175084749	0.0766927175084749	0	0	0.123832715900173
"Styphelia_tameiameiae"	0.0529960580302532	0.25618349736545	0.25618349736545	0.302721042629023	0.152429180932443	1.15242918093244	0.42607065282486	0.152429180932443	0.40933592200335	0	0	0.0685571801867442	0.467150437451861	0.152429180932443	0.37140564893981	0.42607065282486	0.152429180932443	0	0.25618349736545	0	0.0557247221550779	0.152429180932443	0.115282573814452	0.0835662710114572	0.0835662710114572	0.115282573814452	0.115282573814452	0.0908163127887069	0.0766927175084749	2.54048634887405	0.533222512563566	0.0766927175084749	0.0736804659606031	0.0736804659606031	0	0	0.0700725656177792	0.0700725656177792	0.117769017845007	0.223458000634729	0.0766927175084749	0.0766927175084749	0	0	0.123832715900173
"Vaccinium_calycinum"	0.0663273442067434	0.143217026159617	0.143217026159617	0.269444323664341	0.0852141305649721	0.0852141305649721	2.01253969367179	0.0852141305649721	0.36433952426252	0	0	0.111480225709997	0.584663256340923	0.0852141305649721	0.330578750041965	0.533249752843388	0.0852141305649721	0	0.143217026159617	0	0.0495991621264943	0.0852141305649721	0.0644476617718276	0.0743802187594421	0.0743802187594421	0.0644476617718276	0.0644476617718276	0.0808332970993024	0.362257144860922	1.4202355094162	0.867068422188866	0.362257144860922	0.0655811143672536	0.0655811143672536	0	0	0.0876994884511384	0.0876994884511384	0.147394098237208	0.545941588823871	0.0959849555118098	0.0959849555118099	0	0	0.110220360281098
"Acacia__melanoxylon"	0.0529960580302532	0.25618349736545	0.25618349736545	0.302721042629023	0.152429180932443	0.152429180932443	0.42607065282486	1.15242918093244	0.40933592200335	0	0	0.0685571801867442	0.467150437451861	0.152429180932443	0.37140564893981	0.42607065282486	0.152429180932443	0	0.25618349736545	0	0.0557247221550779	0.152429180932443	0.115282573814452	0.0835662710114572	0.0835662710114572	0.115282573814452	0.115282573814452	0.0908163127887069	0.0766927175084749	2.54048634887405	0.533222512563566	0.0766927175084749	0.0736804659606031	0.0736804659606031	0	0	0.0700725656177792	0.0700725656177792	0.117769017845007	0.223458000634729	0.0766927175084749	0.0766927175084749	0	0	0.123832715900173
"Dicranopteris_linearis"	0.0453177388363058	0.137591906555748	0.137591906555748	0.258861388186361	0.0818671844006701	0.0818671844006701	0.36433952426252	0.0818671844006701	2.2023424567547	0	0	0.107101628975373	0.399467475668177	0.0818671844006701	0.317594644329485	0.36433952426252	0.0818671844006701	0	0.137591906555748	0	0.299814687390136	0.0818671844006701	0.0619163579500866	0.071458794974134	0.071458794974134	0.0619163579500866	0.0619163579500866	0.0776584164559082	0.0655811143672536	1.3644530733445	0.833012669808458	0.0655811143672536	0.396421642215847	0.396421642215847	0	0	0.0599201213502265	0.0599201213502265	0.100706086302902	0.191082350084734	0.0655811143672536	0.0655811143672536	0	0	0.666254860866969
"Scaevola_procera"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0
