"Nephrosperma_vanhoutteanum"	"Nepenthes_pervillei"	"Erythroxylum_sechellarum"	"Psychotria_pervillei"	"Canthium_bibracteatum"	"Dillenia_suffruticosa"	"Paragenipa_wrightii"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Roscheria_melanochaetes"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_sp1_M_PL_127"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_127"	"Megachile_seychellensis"	"Unidentified_sp1_M_PL_127"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Leptotes_pirithous"	"Unidentified_sp2_M_PL_127"
"Nephrosperma_vanhoutteanum"	2.397994446621	0.756208223900455	0.545539743905729	0.398244013051182	0.388691027084834	0.27880805751298	0.165890794220223	0.165890794220223	0.165890794220223	0	1.65890794220223	0.77451072943653	0.136117480302082	0.125463625880841	0.742667442882037	0.431639000391779	0.163661923171719	0	0.136117480302082	0.136117480302082	0.431639000391779
"Nepenthes_pervillei"	0.756208223900455	2.72541516750698	0.368592517462187	0.269072537747397	0.400863396098588	0.266788528553406	0.158739174489277	0.158739174489277	0.158739174489277	0	1.58739174489277	0.367777877527067	0.490574730151256	0.120054837849033	0.807080738697703	0.136117480302082	0.110577755238656	0	0.490574730151256	0.490574730151256	0.136117480302082
"Erythroxylum_sechellarum"	0.909232906509548	0.614320862436979	2.04074221456553	0.48974181663284	0.315760923292607	0.320775285924358	0.190861295124993	0.190861295124993	0.190861295124993	0	1.90861295124993	0.996268405026157	0.110577755238656	0.144348878665961	0.416332093892048	0.163661923171719	0.61222266436966	0	0.110577755238656	0.110577755238656	0.163661923171719
"Psychotria_pervillei"	0.995610032627955	0.672681344368492	0.73461272494926	1.53626728921296	0.345758211005405	0.351248938087172	0.208993118161867	0.208993118161867	0.208993118161867	0	2.08993118161867	1.09091390350364	0.121082641986329	0.158062022139227	0.455883642811793	0.179209805873032	0.220383817484778	0	0.121082641986329	0.121082641986329	0.179209805873032
"Canthium_bibracteatum"	0.971727567712085	1.00215849024647	0.473641384938911	0.345758211005405	1.51510946398669	0.342823259191127	0.203979839218721	0.203979839218721	0.203979839218721	0	2.03979839218721	0.472594572622281	0.180388528244365	0.154270466636007	1.03709874922655	0.174910962188175	0.142092415481673	0	0.180388528244365	0.180388528244364	0.174910962188175
"Dillenia_suffruticosa"	0.69702014378245	0.666971321383516	0.481162928886536	0.351248938087172	0.342823259191127	2.05527156316195	0.222886580081363	0.222886580081363	0.222886580081363	0	2.22886580081363	0.427874526686029	0.120054837849033	0.92487220342288	0.399788930365881	0.125463625880841	0.144348878665961	0	0.120054837849033	0.120054837849033	0.125463625880841
"Paragenipa_wrightii"	0.829453971101115	0.793695872446384	0.572583885374978	0.417986236323734	0.407959678437441	0.445773160162726	1.26523503029682	0.265235030296822	0.265235030296822	0	2.65235030296822	0.509170686756375	0.142865257040349	0.200597922073227	0.475748827135399	0.149301714798201	0.171775165612494	0	0.142865257040349	0.142865257040349	0.149301714798201
"Chrysobalanus_icaco"	0.829453971101115	0.793695872446384	0.572583885374978	0.417986236323734	0.407959678437441	0.445773160162726	0.265235030296822	1.26523503029682	0.265235030296822	0	2.65235030296822	0.509170686756375	0.142865257040349	0.200597922073227	0.475748827135399	0.149301714798201	0.171775165612494	0	0.142865257040349	0.142865257040349	0.149301714798201
"Memecylon_eleagni"	0.829453971101115	0.793695872446384	0.572583885374978	0.417986236323734	0.407959678437441	0.445773160162726	0.265235030296822	0.265235030296822	1.26523503029682	0	2.65235030296822	0.509170686756375	0.142865257040349	0.200597922073227	0.475748827135399	0.149301714798201	0.171775165612494	0	0.142865257040349	0.142865257040349	0.149301714798201
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0
"Apis_mellifera"	0.921615523445683	0.881884302718204	0.636204317083309	0.464429151470816	0.453288531597157	0.495303511291917	0.294705589218691	0.294705589218691	0.294705589218691	0	2.94705589218691	0.565745207507083	0.158739174489277	0.222886580081363	0.528609807928221	0.165890794220223	0.190861295124993	0	0.158739174489277	0.158739174489277	0.165890794220223
