"Rhombomys_opimus"	"Meriones_meridianus"	"Meriones_libycus"	"Spermophilus_fulvus"	"Meriones_tamariscinus"	"Allactaga_elater"	"Dipus_sagitta"	"Cricetulus_migratorius"	"Ellobius_talpinus"	"Spermophilopsis_leptodactylus"	"Pygeretmus_pumilio"	"Diplomesodon_pulchellum"	"Microtus_socialis"	"Crocidura_suaveolens"	"Allactaga_major"	"Allactaga_severtzovi"	"Eremodipus_lichtensteini"	"Xenopsylla_gerbilli"	"Coptopsylla_lamellifer"	"Nosopsyllus_laeviceps"	"Xenopsylla_conformis"	"Xenopsylla_skrjabini"	"Echidnophaga_oschanini"	"Ctenophthalmus_dolichus"	"Citellophilus_trispinus"	"Neopsylla_setosa"	"Nosopsyllus_turkmenicus"	"Rhadinopsylla_cedestis"	"Stenoponia_conspecta"	"Xenopsylla_hirtipes"	"Stenoponia_vlasovi"	"Oropsylla_ilovaiskii"	"Nosopsyllus_tersus"	"Nosopsyllus_aralis"	"Rostropsylla_daca"	"Mesopsylla_lenis"	"Mesopsylla_tuschkan"	"Desertopsylla_rothschildi"	"Ophthalmopsylla_volgensis"	"Frontopsylla_macrophthalma"	"Amphipsylla_rossica"	"Synosternus_longispinus"	"Mesopsylla_eucta"	"Paradoxopsyllus_repandus"	"Leptopsylla_nana"	"Mesopsylla_hebes"	"Nosopsyllus_fidus"
"Pygeretmus_pumilio"	0.517647104468359	0.233958861049878	0.312772105154266	0.298718673939135	0.196910744130732	1.2178098681095	0.141307709669814	0.182898958543623	0.0632983096898498	0.0454051704688621	1.83138670636649	0.0995904187719432	0	0.0300653390857438	0	0.075357218729465	0.0160307065591805	0.291415881014594	0.270983554303607	0.248575710079919	0.289973047210561	0.0653918209918811	0.169780064275764	0.119259178373451	0.0845339096232348	0.107896894283016	0.0797843652594696	0.0409512022150427	0.0797843652594696	0.0653918209918811	0.0987738581664245	0.0653918209918811	0.0600932908463964	0.0797843652594696	0.0426172026167748	0.121823865114746	0.923763007073881	0.0356237923537345	0.923763007073881	0.124079607985798	0	0.121823865114746	0.167460486065478	0.0221848759057868	0.0135294025885847	0	0.0224078442236872
"Diplomesodon_pulchellum"	0.712321013894724	0.418759240965983	0.534405622541465	0.418023702848988	0.36021519184481	0.402357586952079	0.270882232377042	0.301710977769317	0.119524072341949	0.0908888070044655	0.0497952093859716	1.47739451417565	0	0.0512517806549433	0	0.0248976046929858	0.0307303372864711	0.652735600359747	0.611835637207738	0.279421871518217	0.647692858910322	0.0967943201291271	0.136441560409293	0.203298729931275	0.131056439844526	0.171442953259195	0.132876019704999	0.0625923808051189	0.132876019704999	0.0967943201291271	0.168733241407583	0.0967943201291271	0.0968545005205175	0.132876019704999	0.0714280066046405	0.0634482096578011	0.0553280104288573	0.0682896384143803	0.0553280104288573	0.0671221055291782	0	0.0634482096578011	0.0553280104288573	0.030528043452631	0.0230633012947245	0	0.332413765689521
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Crocidura_suaveolens"	0.663921034217984	0.432200195754907	0.386879341758556	0.270244626150581	0.381535352375091	0.242935363353325	0.304830902687676	0.320313216982697	0.0788072593395565	0.0498637093648065	0.0300653390857438	0.102503561309887	0	1.94944366578557	0	0.0150326695428719	0.0345816570275935	0.299579076046991	0.277140406832828	0.254077105538103	0.300782584634695	0.0737774430726304	0.111624340193801	1.06612654094941	0.109139277270759	0.138602748772273	0.125181888550493	0.0516665191148556	0.125181888550493	0.0737774430726304	0.14882406635236	0.0737774430726304	0.0870283533129843	0.125181888550493	0.0508924278235051	0.0483302883382506	0.0334059323174931	0.0768481267279856	0.0334059323174931	0.0419874536866832	0	0.0483302883382506	0.0334059323174931	0.0284537586093422	0.877249649603505	0	0.0230633012947245
"Allactaga_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0
"Allactaga_severtzovi"	0.517647104468358	0.233958861049878	0.312772105154266	0.298718673939135	0.196910744130732	1.2178098681095	0.141307709669814	0.182898958543623	0.0632983096898498	0.0454051704688621	0.15071443745893	0.0995904187719432	0	0.0300653390857438	0	1.75602948763703	0.0160307065591805	0.291415881014594	0.270983554303606	0.248575710079919	0.289973047210561	0.0653918209918811	0.169780064275764	0.119259178373451	0.0845339096232347	0.107896894283016	0.0797843652594696	0.0409512022150427	0.0797843652594696	0.0653918209918811	0.0987738581664245	0.0653918209918811	0.0600932908463964	0.0797843652594696	0.0426172026167748	0.121823865114746	0.167460486065478	0.0356237923537345	0.167460486065478	0.124079607985797	0	0.121823865114746	1.68006552808228	0.0221848759057868	0.0135294025885847	0	0.0224078442236872
"Eremodipus_lichtensteini"	0.49191933104009	0.296490420962764	0.352909880990213	0.271440372846774	0.256572992998955	0.259064134394658	0.963823464822614	0.215078405550796	0.07325304300677	0.0524154788991716	0.0320614131183611	0.122921349145884	0	0.0691633140551871	0	0.0160307065591805	1.79001358634542	0.359048097244783	0.335461131740156	0.307803828182332	0.357437044642187	0.0644656076823605	0.0921401091299507	0.274347812418909	0.0887239148520412	0.114094458440922	0.0921724563735642	0.0422568499039881	0.0921724563735642	0.0644656076823605	0.114148369275595	0.0644656076823605	0.0665151570736688	0.0921724563735642	0.0446692225492025	0.0422784134950473	0.0356237923537345	1.75558574743427	0.0356237923537345	0.0434049142288445	0	0.0422784134950473	0.0356237923537345	0.0210822570445753	0.0311234913248342	0	0.027657303557824
"Xenopsylla_gerbilli"	0.847218590459189	0.487722706040718	0.621524491315328	0.486995960534537	0.419167206223273	0.470942454627289	0.316494248682438	0.350771081314309	0.10540434705256	0.186261389631364	0.0582831762029189	0.261094240143899	0	0.0599158152093982	0	0.0291415881014594	0.0359048097244783	1.46893602842079	0.385118403086678	0.326372199054301	0.416739707202446	0.113445961685191	0.159785286610993	0.237666066997279	0.153350546724886	0.190166404827085	0.155422143303479	0.0736008376414564	0.155422143303479	0.113445961685191	0.187043447419247	0.113445961685191	0.113505422681151	0.155422143303479	0.120126993496651	0.074841023541133	0.0647590846699099	0.0797884660543962	0.0647590846699099	0.0783767794223313	0	0.074841023541133	0.0647590846699099	0.0363093681625367	0.0269621168442292	0	0.0587462040323772
"Coptopsylla_lamellifer"	0.84346756890781	0.502969773539233	0.638907242409106	0.502216720758342	0.433015983834661	0.48658089517616	0.328558639317519	0.363175702963681	0.108146517194376	0.0686880437014293	0.0602185676230237	0.271926949870106	0	0.0615867570739618	0	0.0301092838115118	0.0372734590822395	0.427909336762976	1.39699971709733	0.335816153376559	0.429443672255645	0.115573503611732	0.163744252170436	0.244294136393382	0.156725575992215	0.194711477722518	0.158936715404544	0.0744830446405953	0.158936715404544	0.115573503611732	0.191380670562857	0.115573503611732	0.115635117021078	0.158936715404544	0.0670582297616922	0.0759597742468257	0.0669095195811374	0.0828299090716434	0.0669095195811374	0.0809016231219139	0	0.0759597742468257	0.0669095195811374	0.036148610096049	0.0277140406832828	0	0.0611835637207738
"Nosopsyllus_laeviceps"	0.86876490095813	0.518730580622964	0.658650015174329	0.517966144282624	0.446618772731452	0.502138278541071	0.339154218089791	0.374630180835093	0.108218373705203	0.0670490583761056	0.0621439275199798	0.139710935759108	0	0.0635192763845259	0	0.0310719637599899	0.0384754785227915	0.407965248817876	0.377793172548629	1.34635821200283	0.41025868466019	0.119130830548672	0.168862608145695	0.251959796325286	0.161572423508733	0.199763080196174	0.1638552526133	0.0767517823800939	0.1638552526133	0.119130830548672	0.196320764724861	0.119130830548672	0.119193375340155	0.1638552526133	0.0674048577388817	0.0783168224411763	0.0690488083555331	0.085501063383981	0.0690488083555331	0.0834630891401205	0	0.0783168224411763	0.0690488083555331	0.0372327814696341	0.0285836743730366	0	0.0314349605457994
"Xenopsylla_conformis"	0.83409610099319	0.493576385621701	0.633739306172536	0.492449109916312	0.424579545480892	0.468610763948919	0.315074135647557	0.355451014704366	0.210095569942862	0.0672008937163675	0.0579946094421123	0.259077143564129	0	0.060156516926939	0	0.0289973047210561	0.0357437044642187	0.416739707202446	0.386499305030081	0.328206947728152	1.44952797601294	0.114062624938538	0.16007999200262	0.238620850476858	0.154446147398495	0.222792140669101	0.15661281113525	0.0737713341272032	0.15661281113525	0.114062624938538	0.219641482118108	0.114062624938538	0.114154856587161	0.15661281113525	0.0659873779292164	0.0740878564435808	0.0644384549356803	0.0794304543649304	0.0644384549356803	0.0786321714980644	0	0.0740878564435808	0.0644384549356803	0.035746975756851	0.0270704326171225	0	0.058292357301929
"Xenopsylla_skrjabini"	1.12372979141738	0.401868743884048	0.907718613651708	0.750825066665234	0.316907591112135	0.352254706495359	0.18941746454817	0.247517819000309	0.111627463199762	0.0698504328491264	0.0435945473279207	0.129059093505503	0	0.0491849620484203	0	0.0217972736639604	0.0214885358941202	0.378153205617304	0.346720510835197	0.317682214796459	0.380208749795126	1.16405410684077	0.170235549229768	0.195100349458734	0.196934276794918	0.229366065386452	0.167193894088067	0.102622965022705	0.167193894088067	0.164054106840769	0.200682133047996	0.164054106840769	0.135503134976854	0.167193894088067	0.079592542985709	0.0769806878259497	0.0484383859199119	0.0477523019869337	0.0484383859199119	0.0902519814404122	0	0.0769806878259496	0.0484383859199119	0.0481598482036021	0.0221332329217891	0	0.0290382960387381
"Echidnophaga_oschanini"	0.988073036392605	0.36654675047602	0.521511945173551	0.660488374797098	0.299983641293644	0.68593242017585	0.203049499749336	0.493739813257097	0.105918042076893	0.0689747758755605	0.0848900321378822	0.136441560409293	0	0.0558121700969004	0	0.0424450160689411	0.0230350272824877	0.399463216527483	0.368424567383481	0.33772521629139	0.400199980006549	0.127676661922326	1.2159885218139	0.221388274717705	0.157666850597637	0.222932907678449	0.133625256789057	0.0736367039843818	0.133625256789057	0.127676661922326	0.165400669412125	0.127676661922326	0.103626892659693	0.133625256789057	0.073384636417971	0.098467730742902	0.0943222579309802	0.0511889495166393	0.0943222579309803	0.110161701406878	0	0.098467730742902	0.0943222579309802	0.0423459872739688	0.0251154765436052	0	0.0306993510920909
"Ctenophthalmus_dolichus"	0.877851145243779	0.571464703275932	0.511540462991869	0.357323450132435	0.504474521473731	0.321214535989396	0.403054193553705	0.423525253566011	0.104200709571191	0.0659309046045774	0.0397530594578168	0.13553248662085	0	0.355375513649804	0	0.0198765297289084	0.0457246354031515	0.396110111662132	0.366441204590072	0.335946395100381	0.39770141746143	0.0975501747293668	0.147592183145137	1.40965620414422	0.14430637772467	0.183263634487783	0.165518274861208	0.0683146197185312	0.165518274861208	0.0975501747293668	0.196778487732565	0.0975501747293668	0.115070822713835	0.165518274861208	0.067291099011079	0.0639033812472425	0.0441700660642409	0.101610300895892	0.0441700660642409	0.0555167443190589	0	0.0639033812472424	0.0441700660642409	0.0376221919390191	0.159918981142412	0	0.0304948094896912
"Citellophilus_trispinus"	1.03605234223399	0.648055369275832	0.829219761088327	0.654442295127987	0.333739157578899	0.341527431163007	0.195521219766535	0.247148029395215	0.11160940837918	0.0683196018438485	0.0422669548116174	0.131056439844526	0	0.0545696386353796	0	0.0211334774058087	0.0221809787130103	0.383376366812216	0.352632545982484	0.323144847017466	0.386115368496238	0.147700707596189	0.157666850597637	0.216459566587006	1.20072341962785	0.212959705317899	0.180552056693448	0.0941554289038991	0.180552056693448	0.147700707596189	0.214034879207202	0.147700707596189	0.147178140935558	0.180552056693448	0.0751460640683313	0.0723453966973909	0.0469632831240193	0.0492910638066896	0.0469632831240193	0.0814884321510813	0	0.0723453966973909	0.0469632831240193	0.0444022432385994	0.0245563373859208	0	0.0294876989650183
"Neopsylla_setosa"	0.968317275106453	0.400254861385477	0.762715517759915	0.615479289039996	0.325919004064759	0.348733418806094	0.201144304510663	0.450775762193012	0.317012071458894	0.066338110563636	0.0431587577132065	0.137154362607356	0	0.0554410995089091	0	0.0215793788566032	0.0228188916881845	0.380332809654169	0.350480659900533	0.319620928313878	0.445584281338201	0.137619639231871	0.178346326142759	0.219916361385339	0.170367764254319	1.29068014438007	0.152602268284795	0.0872622428558714	0.152602268284795	0.137619639231871	0.247705889722464	0.137619639231871	0.120010367878319	0.152602268284795	0.0713514615439128	0.0700320460562297	0.0479541752368961	0.0507086481959655	0.0479541752368961	0.0788901306419528	0	0.0700320460562297	0.047954175236896	0.0414993117902766	0.0249484947790091	0	0.0308597315866552
