"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Northea_hornei"	"Paragenipa_wrightii"	"Erythroxylum_sechellarum"	"Pittosporum_senacia"	"Memecylon_eleagni"	"Colea_seychellarum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_099"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Hemipyrellia_germana"	"Unidentified_sp2_M_PL_099"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_099"	"Unidentified_sp4_M_PL_099"	"Melanostoma_annulipes"	"Nectarinia_dussumieri"	"Unidentified_sp3_M_PL_099"	"Mabuya_sechellensis"	"Pachycerina_seychellensis"	"Tricimba_seychellensis"	"Ceratina_tabescens"	"Forcipomyia_sp1_M_PL_099"	"Lygistorrhina_sp1_M_PL_099"
"Nephrosperma_vanhoutteanum"	2.23199352709493	1.38022235972996	0.513498654463866	0.318700940860644	0.201336795275999	0.261928208198469	0.146975860551479	0.2085015485615	0.680567177842971	0.576144987171035	0.465757559425393	0.32671602968924	0.32671602968924	0.32671602968924	0.223199352709493	0.180541475149327	0.19824788752461	0.32671602968924	0.103516676979747	0.148732509863225	0.103516676979747	0.0770247981695799	0.103516676979747	0.32671602968924	0.0785784624595408	0.103516676979747	0.0604010385827997
"Phoenicophorium_borsigianum"	1.03516676979747	2.73671239080507	0.501953153323978	0.264619628384418	0.182873228622044	0.242221130268322	0.133497456894092	0.166114136641453	0.631204658944669	0.531480779857874	0.313100427853491	0.308770106290127	0.308770106290127	0.308770106290127	0.103516676979747	0.280546402308977	0.174475240575449	0.308770106290127	0.20525342931038	0.134832389385091	0.20525342931038	0.0752929729985967	0.20525342931038	0.308770106290127	0.0726663390804965	0.20525342931038	0.0548619685866132
"Northea_hornei"	0.770247981695799	1.00390630664796	1.97745404553881	0.508137651152458	0.257228110254786	0.30517346959092	0.187776520485994	0.253233809370117	0.81648675768071	0.654443133092827	0.601929090726258	0.152317771168177	0.152317771168177	0.152317771168177	0.0770247981695799	0.371911079829419	0.275998838804436	0.152317771168177	0.0752929729985967	0.410949078340125	0.0752929729985967	0.296618106830822	0.0752929729985967	0.152317771168177	0.091552040877276	0.0752929729985967	0.0771684330764357
"Paragenipa_wrightii"	0.717077116936448	0.793858885153256	0.762206476728687	1.70255656697446	0.448573852857132	0.28214968962802	0.327458912585706	0.229276393873137	0.995226900567808	0.43339738372076	0.672288288015112	0.131247128080139	0.131247128080139	0.131247128080139	0.0717077116936448	0.173870387895797	0.66500389408996	0.131247128080139	0.0595394163864942	0.497406199078556	0.0595394163864942	0.114330971509303	0.0595394163864942	0.131247128080139	0.0846449068884061	0.0595394163864942	0.13457215585714
"Erythroxylum_sechellarum"	0.604010385827997	0.731492914488176	0.514456220509571	0.598098470476176	1.95581082353505	0.2948416173929	0.427741901180586	0.136705561326388	1.19468318391264	0.342401428060593	0.333659130113249	0.115263007169413	0.115263007169413	0.115263007169413	0.0604010385827997	0.132030401663049	0.913799258448918	0.115263007169413	0.0548619685866132	0.211740588933575	0.0548619685866132	0.0771684330764357	0.0548619685866132	0.115263007169413	0.0884524852178701	0.0548619685866132	0.586743247060515
"Pittosporum_senacia"	0.785784624595408	0.968884521073286	0.61034693918184	0.376199586170694	0.2948416173929	1.77135154238002	0.215234380696817	0.240514683245873	1.04415516855116	0.882433912591963	0.363007017685866	0.151244801540037	0.151244801540037	0.151244801540037	0.0785784624595408	0.164218379957773	0.269952863419844	0.151244801540037	0.0726663390804965	0.176196947765682	0.0726663390804965	0.0915520408772761	0.0726663390804965	0.151244801540037	0.531405462714007	0.0726663390804965	0.0884524852178701
"Memecylon_eleagni"	0.661391372481657	0.800984741364552	0.563329561457981	0.654917825171413	0.641612851770879	0.322851571045226	1.46837738179274	0.149692589652395	1.30817808638434	0.37492956372635	0.365356747474008	0.126212992850507	0.126212992850507	0.126212992850507	0.0661391372481657	0.144573289821039	1.00061018800157	0.126212992850507	0.0600738556023414	0.231855944882265	0.0600738556023414	0.0844994342186971	0.0600738556023414	0.126212992850507	0.0968554713135677	0.0600738556023414	0.192483855531264
"Colea_seychellarum"	0.938256968526748	0.996684819848717	0.759701428110351	0.458552787746274	0.205058341989582	0.36077202486881	0.149692589652395	1.39443893399397	0.622817425201888	1.01826140031581	0.938452808609424	0.168577058341329	0.168577058341329	0.168577058341329	0.0938256968526749	0.188706575705206	0.232053545183364	0.168577058341329	0.0747513614886538	0.217129591459464	0.0747513614886538	0.113955214216553	0.0747513614886538	0.168577058341329	0.108231607460643	0.0747513614886538	0.0615175025968746
"Lasioglossum_mahense"	0.875014942940962	1.08206512961943	0.699845792297752	0.568701086038747	0.512007078819701	0.447495072236213	0.373765167538382	0.177947835771968	1.85763596292798	0.487958295628466	0.400512633594863	0.168656379015554	0.168656379015554	0.168656379015554	0.0875014942940962	0.18613175356612	0.449754193396901	0.168656379015554	0.0811548847214574	0.232934613203381	0.0811548847214574	0.104976868844663	0.0811548847214574	0.168656379015554	0.134248521670864	0.0811548847214574	0.15360212364591
"Apis_mellifera"	1.03706097690786	1.2755538716589	0.785331759711393	0.346717906976608	0.205440856836356	0.529460347555178	0.14997182549054	0.407304560126324	0.683141613879853	1.65929755834531	0.482804442774078	0.199372638065204	0.199372638065204	0.199372638065204	0.103706097690786	0.213466304331126	0.207131107591387	0.199372638065204	0.0956665403744173	0.195811293026446	0.0956665403744173	0.117799763956709	0.0956665403744173	0.199372638065204	0.158838104266553	0.0956665403744173	0.0616322570509068
"Phelsuma_sp1_M_PL_099"	1.04795450870713	0.939301283560474	0.902893636089386	0.672288288015112	0.250244347584937	0.272255263264399	0.182678373737004	0.469226404304712	0.70089710879101	0.603505553467597	1.60264624302464	0.175243047137749	0.175243047137749	0.175243047137749	0.104795450870713	0.205881641680444	0.308543437260533	0.175243047137749	0.0704475962670356	0.286698910216808	0.0704475962670356	0.135434045413408	0.0704475962670356	0.175243047137749	0.0816765789793198	0.0704475962670356	0.0750733042754811
"Rhiparida_seychellensis"	1.47022213360158	1.85262063774076	0.45695331350453	0.262494256160278	0.172894510754119	0.226867202310056	0.126212992850507	0.168577058341329	0.590297326554438	0.498431595163009	0.350486094275498	1.28596876119072	0.285968761190715	0.285968761190715	0.147022213360158	0.207489544856237	0.167725407645027	0.285968761190715	0.138946547830557	0.127604204661742	0.138946547830557	0.0685429970256795	0.138946547830557	0.285968761190715	0.0680601606930168	0.138946547830557	0.0518683532262358
"Cratopus_aurostriatus"	1.47022213360158	1.85262063774076	0.45695331350453	0.262494256160278	0.172894510754119	0.226867202310056	0.126212992850507	0.168577058341329	0.590297326554438	0.498431595163009	0.350486094275498	0.285968761190715	1.28596876119072	0.285968761190715	0.147022213360158	0.207489544856237	0.167725407645027	0.285968761190715	0.138946547830557	0.127604204661742	0.138946547830557	0.0685429970256795	0.138946547830557	0.285968761190715	0.0680601606930168	0.138946547830557	0.0518683532262358
