"Bischhofia_javanica"	"Ficus_heteropleura"	"Strebus_glaber"	"Macaranga_bicolor"	"Macaranga_tanarius"	"Grewia_multiflora"	"Guioa_pleuropteris"	"Mallotus_molissima"	"Syzygium_sp2_M_SD_013"	"Syzygium_sp3_M_SD_013"	"Homalanthus_alpinus"	"Microcus_stylocarpa"	"Syzygium_garciae"	"Dillenia_reifferscheidia"	"Platea_excelsa"	"Homalanthus_rotundifolius"	"Prunus_fragrans"	"Canarium_asperum"	"Elaeocarpus_cumingii"	"Litsea_luzonica"	"Litsea_quericoides"	"Palaquium_sp1_M_SD_013"	"Unidentified_sp1_M_SD_013"	"Unidentified_sp2_M_SD_013"	"Memexylon_lanceolatum"	"Ternstroemia_megacarpa"	"Ficus_congesta"	"Ficus_heteropoda"	"Ficus_septica"	"Ficus_sp1_M_SD_013"	"Ficus_variegata"	"Pometia_pinnata"	"Aglaia_sp1_M_SD_013"	"Garcinia_busungaensis"	"Lithocarpus_sp1_M_SD_013"	"Myristica_ceylanica"	"Sarcops_calvus"	"Ducula_bicolor"	"Ptilinopus_occipitalis"	"Ducula_poliocephala"	"Penelopides_panini"	"Phapitreron_leucotis"	"Chalcophaps_indica"	"Hypsipetes_philippinus"	"Ptenochirus_jagori"	"Pycnonotus_goiavier"	"Cynopterus_brachyotis"	"Macropygia_phasianella"	"Zosterops_nigrorum"	"Rhabdornis_mysticalis"	"Streptopelia_chinensis"	"Oriolus_chinensis"	"Aceros_waldeni"	"Megalaima_haemacephala"	"Sus_cebifrons"
"Bischhofia_javanica"	1.3734981304304	0.340346088193177	0.247339674557934	0.22728593983753	0.222889487791497	0.201767077040608	0.198947976625602	0.1791336909756	0.162234233792185	0.162234233792185	0.156081749598241	0.149055945561151	0.159013033577391	0.122726421608374	0.109484765861916	0.109989374085554	0.101871916748581	0.0802489126471087	0.0806863025243656	0.0851322810221136	0.0802489126471087	0.0806863025243656	0.0837194454401488	0.0802489126471087	0.0624998825133304	0.0562103403424242	0.0482663818646672	0.0482663818646672	0.0482663818646672	0.0482663818646672	0.0482663818646672	0.0350247261182085	0.020103261172118	0.0238811125223752	0.0143143882687165	0.0149214649460905	0.387990075377082	0.356510839473842	0.355428720239986	0.334984187351464	0.335054352868634	0.329553999043354	0.236539657652756	0.275227107803135	0.265345694693058	0.258522492535293	0.24385269342292	0.235737939651581	0.238627694872733	0.218475154637978	0.217775228605792	0.198480043976059	0.0828970274782805	0.118124568016822	0.0477146275623884
"Ficus_heteropleura"	0.363035827406056	1.36095923135477	0.2303864059865	0.209844069728004	0.214242197285851	0.184586741502198	0.183529777429103	0.168862474668744	0.163419051341402	0.163419051341402	0.146424145908405	0.153687313218981	0.153971171273945	0.127940389760081	0.130710943092964	0.107582093762874	0.103057922721238	0.0830998715871584	0.0819284848098732	0.0784193062338055	0.0830998715871584	0.0819284848098732	0.0783788359771791	0.0830998715871584	0.0546377284063144	0.0742275344130802	0.050327543168832	0.050327543168832	0.050327543168832	0.050327543168832	0.050327543168832	0.0530980965017157	0.0214312852402756	0.024900928450769	0.0159442602443658	0.0316668112614402	0.382686970967597	0.365197089039929	0.363991636089095	0.344195342639587	0.357188087337926	0.328680145287892	0.223973878195381	0.270499808519539	0.276676982786322	0.253095298845041	0.25426614718063	0.167102496302963	0.234742321102131	0.215745292701897	0.151405846066029	0.196445886200709	0.175926729230223	0.121874612622384	0.053147534147886
"Strebus_glaber"	0.359766799356995	0.314163280890681	1.30023913448036	0.280257911741195	0.266165174028982	0.249003927364102	0.235987817310314	0.220798262004642	0.167316615772071	0.167316615772071	0.194822604173898	0.112278014210121	0.149176774473966	0.0842236480939684	0.0892265118644163	0.138631620743312	0.0977714357422624	0.0654165573216254	0.0731762523714804	0.0827811694517346	0.0654165573216254	0.0731762523714804	0.0790583552559805	0.0654165573216254	0.0807263779459234	0.0532064068726618	0.0236083597314318	0.0236083597314318	0.0236083597314318	0.0236083597314318	0.0236083597314318	0.0286112235018797	0.0154934021072084	0.0116808816703071	0.0106921331481196	0.0131178213946714	0.43922516852231	0.355221737585196	0.267464298799806	0.24828442779601	0.258223368453473	0.382591741323276	0.359946593781038	0.330681796976941	0.129787574114523	0.317989250162021	0.119274780611247	0.291352000415635	0.29439046843099	0.269550663955468	0.262987909505968	0.243086545155171	0.0728767855259519	0.0582665503210675	0.0356404438270654
"Macaranga_bicolor"	0.363657503740048	0.314766104592005	0.308283702915315	1.29370638955229	0.277698296641205	0.260719408315365	0.245727196788082	0.231123157926473	0.163747295782919	0.163747295782919	0.204175200933922	0.104617603427814	0.146086987144848	0.0752761881847505	0.0802458529210076	0.145307686872977	0.0921432408458306	0.057891033992362	0.0666778923743444	0.0831794379212802	0.057891033992362	0.0666778923743444	0.0734006520235686	0.057891033992362	0.0842918914089119	0.0533039582623443	0.022868945054601	0.022868945054601	0.022868945054601	0.022868945054601	0.022868945054601	0.027838609790858	0.0150707659988688	0.0113150360358114	0.00958697513665632	0.0127678437919892	0.450644016082745	0.25915223756482	0.252644399040401	0.233861786407492	0.251179433314481	0.396127642889786	0.376615452098003	0.345731589266183	0.125722622620126	0.335043831352162	0.115539090187896	0.305803840300754	0.310471111673354	0.284469756406626	0.276256523644062	0.256565409620557	0.0709324655110511	0.0581243134938071	0.0319565837888544
"Macaranga_tanarius"	0.356623180466395	0.321363295928776	0.29278169143188	0.277698296641206	1.27958712717502	0.245356854580149	0.237599385333943	0.216286269931993	0.170264392620504	0.170264392620504	0.200299602799292	0.112877879024259	0.141471940979138	0.0780947713089109	0.090936865741705	0.142488985660577	0.0930161828356319	0.0659805949847166	0.0677745540634354	0.0725067822814206	0.0659805949847166	0.0677745540634354	0.0742569152798602	0.0659805949847166	0.0829363155511178	0.0614825946233369	0.0233988714183462	0.0233988714183462	0.0233988714183462	0.0233988714183462	0.0233988714183462	0.0362409658511404	0.0217044535424776	0.0115772315978623	0.0104197584483256	0.0145365123086628	0.443858905067042	0.26814924072311	0.260508401073821	0.242319151519361	0.361740892374627	0.392647558678613	0.369518839217335	0.340142529235597	0.128635906642915	0.327481058314887	0.118216398204839	0.299807738376211	0.303721119781493	0.279388914414144	0.17613887118809	0.251544549363774	0.0807584017147931	0.057531101211422	0.0347325281610855
"Grewia_multiflora"	0.358697025849971	0.30764456917033	0.304338133445013	0.289688231461517	0.272618727311277	1.26868083546666	0.239515239631147	0.224852736839107	0.166866495887572	0.166866495887572	0.210460504937786	0.105255523471577	0.14870019702984	0.0753663453353812	0.0804784236650619	0.149781789927784	0.0936538121367804	0.0581592693518748	0.0675537627754348	0.0850241419594684	0.0581592693518748	0.0675537627754348	0.0747529528379363	0.0581592693518748	0.0868721620915479	0.053863111369878	0.0226509836788516	0.0226509836788516	0.0226509836788516	0.0226509836788516	0.0226509836788516	0.0277630620085324	0.0150507770172904	0.0112071936838738	0.00960686932194512	0.012712284991242	0.461743997216064	0.260442701928832	0.254672741133302	0.235554144372323	0.250846283621507	0.406000767843154	0.388368696358006	0.354863110636842	0.124524374265265	0.344278871249139	0.114437899949778	0.316444605033519	0.320327347286024	0.295031414391625	0.285513610378048	0.163390857737756	0.0706238055068998	0.0577539786152601	0.0320228977398171
"Guioa_pleuropteris"	0.353685291778849	0.305882962381838	0.288429554490384	0.273030218653424	0.263999317037714	0.239515239631147	1.25506829559084	0.222097903594394	0.174908989087398	0.174908989087398	0.181699599050312	0.115321763336743	0.156851154493039	0.0793594901420426	0.0935150795364342	0.122548060361784	0.0955358001988261	0.0682057856305623	0.0694422776160624	0.0857650597771737	0.0682057856305623	0.0694422776160624	0.0762474229974898	0.0682057856305623	0.0850896638990249	0.0634373813154745	0.0231882693383192	0.0231882693383192	0.0231882693383192	0.0231882693383192	0.0231882693383192	0.0373438587327109	0.0226912163823615	0.0114730304587616	0.0106566515555225	0.0146526423503494	0.451967824726275	0.273765970434849	0.269464327153682	0.249297750147434	0.378186939706025	0.405899240176323	0.376843834226297	0.347339482590691	0.127478116208462	0.330043610911148	0.117152388795576	0.30732853749289	0.204536781352064	0.179550767197695	0.28197438220508	0.260672059062158	0.0814035686130521	0.0584143524117184	0.0355221718517418
"Mallotus_molissima"	0.358267381951199	0.316617140003895	0.303597610256382	0.288903947408091	0.270357837414991	0.252959328943995	0.249860141543694	1.24675828286033	0.170605056032299	0.170605056032299	0.192117164565551	0.106648223489636	0.15265941615576	0.0759018276963419	0.0812738248971482	0.141211827473426	0.0954142349705602	0.0585873800058853	0.0684196823536631	0.0875736312669194	0.0585873800058853	0.0684196823536631	0.0640860432230777	0.0585873800058853	0.0775788647893441	0.0552935891852285	0.0229270393675251	0.0229270393675251	0.0229270393675251	0.0229270393675251	0.0229270393675251	0.0282990365683314	0.015301501768448	0.0113437797860212	0.00968891009137953	0.0129975347998834	0.474749633306487	0.26122067285851	0.256084935418045	0.236457296198018	0.255025029474134	0.419915262929511	0.397121962490754	0.367952103523697	0.126041997622458	0.354984094861646	0.115832595815039	0.208001649856404	0.329998080707277	0.18973777388549	0.300867660102645	0.279569254720745	0.0722085266660186	0.0587772078550149	0.0322963669712651
"Syzygium_sp2_M_SD_013"	0.32446846758437	0.306410721265129	0.230060346686598	0.204684119728649	0.21283049077563	0.187724807873518	0.196772612723323	0.170605056032299	1.20495063000093	0.204950630000934	0.144964217775629	0.152919324554214	0.162813758144543	0.118898872795355	0.134767538098042	0.100770277789425	0.126207503255064	0.102389339742566	0.100882615418779	0.0929420907224342	0.102389339742566	0.100882615418779	0.0941705383125701	0.102389339742566	0.0690185450445453	0.0676481889658221	0.0264546358268496	0.0264546358268496	0.0264546358268496	0.0264546358268496	0.0264546358268496	0.0423233011295368	0.0255820733085853	0.0130891546147139	0.0156369705345245	0.0167412278209516	0.454756591935071	0.451132923696869	0.453221774835059	0.432288577359331	0.426367888476421	0.393942699675548	0.35107180439561	0.327930387981952	0.145435051274599	0.187455146233838	0.133654812121356	0.173632718785892	0.167777884961506	0.148584816157872	0.15498402010315	0.131905758873238	0.0930068212275086	0.0575691920532555	0.0521232351150816
"Syzygium_sp3_M_SD_013"	0.32446846758437	0.306410721265129	0.230060346686598	0.204684119728649	0.21283049077563	0.187724807873518	0.196772612723323	0.170605056032299	0.204950630000934	1.20495063000093	0.144964217775629	0.152919324554214	0.162813758144543	0.118898872795355	0.134767538098042	0.100770277789425	0.126207503255064	0.102389339742566	0.100882615418779	0.0929420907224342	0.102389339742566	0.100882615418779	0.0941705383125701	0.102389339742566	0.0690185450445453	0.0676481889658221	0.0264546358268496	0.0264546358268496	0.0264546358268496	0.0264546358268496	0.0264546358268496	0.0423233011295368	0.0255820733085853	0.0130891546147139	0.0156369705345245	0.0167412278209516	0.454756591935071	0.451132923696869	0.453221774835059	0.432288577359331	0.426367888476421	0.393942699675548	0.35107180439561	0.327930387981952	0.145435051274599	0.187455146233838	0.133654812121356	0.173632718785892	0.167777884961506	0.148584816157872	0.15498402010315	0.131905758873238	0.0930068212275086	0.0575691920532555	0.0521232351150816
