"Angelica_sylvestris"	"Chaerophyllum_temulentum"	"Silene_dioica"	"Stachys_sylvatica"	"Lapsana_communis"	"Geranium_robertianum"	"Vicia_sepium"	"Veronica_agrestis"	"Unidentified_sp1_M_PL_038"	"Anaspis_flava"	"Meligethes_sp1_M_PL_038"	"Unidentified_sp2_M_PL_038"	"Adscita_statices"	"Apocrita_sp1_M_PL_038"	"Byturus_aestivus"	"Crambus_pratella"	"Dasytes_plumbeus"	"Unidentified_sp3_M_PL_038"	"Unidentified_sp4_M_PL_038"	"Anaspis_rufilabris"	"Bombus_hortorum"	"Bombus_pascuorum"	"Chrysogaster_solstitialis"	"Leptura_rubra"	"Nemophora_degeerella"	"Olibrus_aeneus"	"Unidentified_sp5_M_PL_038"	"Unidentified_sp6_M_PL_038"	"Unidentified_sp7_M_PL_038"	"Anaspis_frontalis"	"Aphantopus_hyperantus"	"Ceuthorrhynchus_pollinarius_Forster"	"Episyrphus_balteatus"	"Epuraea_depressa_Illiger"	"Eumerus_tuberculatus"	"Grammoptera_ruficornis"	"Maniola_jurtina"	"Melanostoma_scalare"	"Polyommatus_icarus"	"Rhingia_campestris"	"Rhynchites_germanicus"	"Strophosomus_capitatus_de_Geer"	"Unidentified_sp10_M_PL_038"	"Unidentified_sp11_M_PL_038"	"Unidentified_sp12_M_PL_038"	"Unidentified_sp13_M_PL_038"	"Unidentified_sp14_M_PL_038"	"Unidentified_sp8_M_PL_038"	"Unidentified_sp9_M_PL_038"	"Volucella_pellucens"
"Angelica_sylvestris"	2.47782469813399	0.918861955458445	0.460598195036594	0.494028771047272	0.400494374610555	0.243046295484012	0.20710116432088	0.0612024406450944	0.297845819856746	0.158133896785381	0.266780645208614	0.263188152070161	0.0994096863194211	0.127439820489153	0.199523466278383	0.226731207747559	0.218198239283288	0.226360109395656	0.108011071564307	0.1863106719346	0.0768774801355604	0.0714857104610906	0.1863106719346	0.1863106719346	0.0955522531404653	0.0683445116712891	0.1863106719346	0.0951811547885622	0.0639980426128943	0.0404205358129586	0.131178954607094	0.0400494374610555	0.0318875673486873	0.131178954607094	0.031065174648132	0.131178954607094	0.0318875673486873	0.0400494374610555	0.0318875673486873	0.0404205358129586	0.0318875673486873	0.0318875673486873	0.131178954607094	0.0400494374610555	0.0318875673486873	0.0318875673486873	0.0551317173275067	0.131178954607094	0.031065174648132	0.131178954607094
"Chaerophyllum_temulentum"	1.0413768828529	2.09512427151387	0.500914240592063	0.588594684367836	0.495333793744379	0.224129531845316	0.250611159582383	0.0670733302380937	0.316121973832957	0.247511187797462	0.2785302998956	0.262616350297959	0.10588978190899	0.20854388138849	0.123429825299139	0.228996920521162	0.215517851813174	0.230372552992777	0.127874124884403	0.180839173618339	0.0817771766796203	0.0857494208401804	0.180839173618339	0.180839173618339	0.173865203193655	0.0682981079716326	0.180839173618339	0.17524083566527	0.0638024283839396	0.0481577469028229	0.0551317173275067	0.0495333793744379	0.0346786781948352	0.0551317173275067	0.0375916739373574	0.0551317173275067	0.0346786781948352	0.0495333793744379	0.0346786781948352	0.0481577469028229	0.0346786781948352	0.0346786781948352	0.0551317173275067	0.0495333793744379	0.0346786781948352	0.0346786781948352	0.125707456290832	0.0551317173275067	0.0375916739373574	0.0551317173275067
"Silene_dioica"	0.602320716586315	0.577977969913919	2.64777530381956	0.389319472483222	0.286856361705362	0.394172567754606	0.297160615545421	0.0675748869284439	0.171679385430863	0.291245927730846	0.12710529309905	0.157545542091704	0.287007498528666	0.249839610613487	0.27432097354554	0.0984196569285133	0.249873766577184	0.0952518817140587	0.0909477466733269	0.0665662455435224	0.0909792965481818	0.076427503716804	0.0665662455435224	0.0665662455435224	0.0665320895798261	0.242433406196852	0.0665662455435224	0.0633643143653714	0.0895345842809907	0.0318534113849909	0.0318875673486873	0.0286856361705362	0.183307521033661	0.0318875673486873	0.0445740923318131	0.0318875673486873	0.183307521033662	0.0286856361705362	0.183307521033662	0.0318534113849909	0.183307521033662	0.183307521033662	0.0318875673486873	0.0286856361705362	0.183307521033662	0.183307521033662	0.0346786781948352	0.0318875673486873	0.0445740923318131	0.0318875673486873
"Stachys_sylvatica"	0.76349900980033	0.802629115047049	0.460104831116535	2.01014914067979	0.453675396420634	0.322003070472384	0.323270171182548	0.127827160017578	0.346903095909028	0.173869223607259	0.298412570231646	0.30134549116044	0.128644397633231	0.244477906161614	0.120574407768807	0.253045030589582	0.120431694100772	0.133945822357845	0.267356509523774	0.0885782827157816	0.212767208444658	0.212957273551183	0.0885782827157816	0.0885782827157816	0.212624494776624	0.0801538719558484	0.0885782827157816	0.0935252865448864	0.105822682578767	0.164466747873801	0.0404205358129586	0.0453675396420634	0.0318534113849909	0.0404205358129586	0.0484905256773822	0.0404205358129586	0.0318534113849909	0.0453675396420635	0.0318534113849909	0.164466747873801	0.0318534113849909	0.0318534113849909	0.0404205358129586	0.0453675396420634	0.0318534113849909	0.0318534113849909	0.0481577469028229	0.0404205358129586	0.0484905256773822	0.0404205358129586
"Lapsana_communis"	0.756489374264381	0.825556322907298	0.414348078018857	0.554492151180775	2.08396625859542	0.198215198549455	0.294982925480932	0.135107585739728	0.387594421159238	0.330863080226655	0.343346982337098	0.164682636259975	0.102665354775094	0.123586555187038	0.0984673534140099	0.134950356477557	0.11826845300603	0.297979442695035	0.314562579084483	0.0895828168354934	0.0750998194244817	0.0896149784642032	0.0895828168354934	0.0895828168354934	0.0949009190165013	0.0584179159529545	0.0895828168354934	0.257930005233979	0.0905306933652958	0.0453675396420634	0.0400494374610555	0.208396625859542	0.0286856361705362	0.0400494374610555	0.0442474388221397	0.0400494374610555	0.0286856361705362	0.208396625859542	0.0286856361705362	0.0453675396420635	0.0286856361705362	0.0286856361705362	0.0400494374610555	0.208396625859541	0.0286856361705362	0.0286856361705362	0.0495333793744379	0.0400494374610555	0.0442474388221397	0.0400494374610555
"Geranium_robertianum"	0.688631170538034	0.560323829613291	0.854040563468314	0.590338962532703	0.297322797824183	1.74927022432031	0.309667233613436	0.213563112826572	0.19455919949469	0.168927679764422	0.148109114452675	0.380767368318304	0.367966503853253	0.141045775510846	0.357973363133839	0.118376834670257	0.12920225926259	0.0998086538818175	0.174136141125233	0.0700763740993992	0.310690994218904	0.0947505456128729	0.0700763740993992	0.0700763740993992	0.081919890347655	0.321516418811238	0.0700763740993992	0.0633517095592157	0.358493934420004	0.0483004605708575	0.0364569443226018	0.0297322797824183	0.0591258851631909	0.0364569443226018	0.0464500850420153	0.0364569443226018	0.059125885163191	0.0297322797824183	0.059125885163191	0.0483004605708575	0.059125885163191	0.059125885163191	0.0364569443226018	0.0297322797824182	0.059125885163191	0.059125885163191	0.0336194297767974	0.0364569443226018	0.0464500850420153	0.0364569443226018
"Vicia_sepium"	0.586786632242493	0.626527898955957	0.643848000348411	0.592661980501338	0.442474388221397	0.309667233613436	1.98764620973115	0.0735455511226618	0.459541744544684	0.424560136550983	0.161394813085011	0.163597459304887	0.389171108833501	0.130656291946553	0.12208935202196	0.117147374262872	0.113230940917302	0.112904287407629	0.12583346250472	0.0686568485854894	0.0949406107193975	0.346637457137055	0.0686568485854894	0.0686568485854894	0.0860821996147396	0.0910241773738284	0.0686568485854894	0.0818391127594972	0.0795455830472132	0.0484905256773821	0.031065174648132	0.0442474388221397	0.0445740923318131	0.031065174648132	0.298146931459672	0.031065174648132	0.0445740923318131	0.0442474388221397	0.0445740923318131	0.0484905256773822	0.0445740923318131	0.0445740923318131	0.031065174648132	0.0442474388221397	0.0445740923318131	0.0445740923318131	0.0375916739373574	0.031065174648132	0.298146931459672	0.031065174648132
"Veronica_agrestis"	0.520220745483302	0.503049976785703	0.439236765034885	0.703049380096676	0.607984135828775	0.640689338479715	0.220636653367985	1.6282908996598	0.20914023049342	0.154485609313017	0.176044732488222	0.211349719677302	0.159607597894955	0.118113919732852	0.154053198180049	0.115246318905345	0.0881327960152344	0.118522510480312	0.851051540437697	0.0577240968974346	0.153625622779867	0.0906177200131077	0.0577240968974346	0.0577240968974346	0.0877052206150521	0.126512099889757	0.0577240968974346	0.0909814121900197	0.828834305618867	0.0575222220079099	0.0275410982902925	0.0607984135828775	0.0304086991177998	0.0275410982902925	0.0330954980051978	0.0275410982902925	0.0304086991177998	0.0607984135828775	0.0304086991177998	0.0575222220079099	0.0304086991177998	0.0304086991177998	0.0275410982902925	0.0607984135828775	0.0304086991177998	0.0304086991177998	0.0301829986071422	0.0275410982902925	0.0330954980051978	0.0275410982902925
"Unidentified_sp1_M_PL_038"	1.01267578751294	0.948365921498871	0.446366402120243	0.763186810999861	0.697669958086628	0.233471039393628	0.551450093453621	0.083656092197368	1.32544126995448	0.240288754494193	0.242723755936435	0.207977416036816	0.148640459304643	0.150246801931113	0.119535192860814	0.172956760127772	0.141416492241702	0.180281198672809	0.169854794561104	0.110514202864147	0.0974632131726693	0.145160071281668	0.110514202864147	0.110514202864147	0.119344512553557	0.0659229452865995	0.110514202864147	0.126668951098595	0.0726658973978599	0.062442557263625	0.0536122475742144	0.0697669958086629	0.0309022893775553	0.0536122475742144	0.0827175140180431	0.0536122475742144	0.0309022893775553	0.0697669958086629	0.0309022893775553	0.062442557263625	0.0309022893775553	0.0309022893775553	0.0536122475742144	0.0697669958086629	0.0309022893775553	0.0309022893775553	0.0569019552899323	0.0536122475742144	0.0827175140180431	0.0536122475742144
"Anaspis_flava"	0.672069061337871	0.928166954240484	0.946549265125249	0.478140364919963	0.744441930509975	0.253391519646633	0.636840204826474	0.0772428046565087	0.300360943117742	1.29119057476884	0.204834912393771	0.168399447289768	0.199065092410406	0.160340926305503	0.139119188463146	0.130390719342773	0.15680047777058	0.165714337082137	0.14832403045806	0.0912701440311399	0.0771293032586283	0.134646606035605	0.0912701440311399	0.0912701440311399	0.0948105925660624	0.103539061686435	0.0912701440311399	0.130134210305426	0.0727679900424238	0.0391205753116333	0.0355801267767108	0.0744441930509975	0.0655303337394404	0.0355801267767108	0.0955260307239711	0.0355801267767108	0.0655303337394404	0.0744441930509975	0.0655303337394404	0.0391205753116334	0.0655303337394403	0.0655303337394404	0.0355801267767108	0.0744441930509974	0.0655303337394404	0.0655303337394404	0.0556900172544291	0.0355801267767108	0.0955260307239711	0.0355801267767108
