"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.3232820615779	0.429115240127443	0.157891116765761	0.431363656334811	0.431363656334811	0.735886075184052	0.537196834884358	0.323282061577896	0.157891116765761	0.735886075184052	0.600453304205083	0.470369682442429	0.220765822555216	1.47014173166342	1.75434574184179	0.220765822555216
"R2"	0.286076826751629	1.46758153580542	0.139720061905557	0.394653801638086	0.394653801638086	0.789258233824496	0.576158510691882	0.286076826751629	0.139720061905557	0.789258233824496	0.603205416035874	0.80668759579465	0.236777470147349	1.30094902085397	1.55244513228397	0.236777470147349
"R3"	0.315782233531523	0.419160185716672	1.20367874653554	0.421356440864285	0.421356440864285	0.718814237054019	0.524734393049434	0.315782233531523	0.203678746535542	0.718814237054019	0.586523374070899	0.45945756526733	0.215644271116206	0.996475439964271	2.26309718372825	0.215644271116206
"R4"	0.287575770889874	0.394653801638086	0.140452146954762	1.45507498901344	0.455074989013438	0.770072629810479	0.56215301976165	0.287575770889874	0.140452146954762	0.770072629810479	0.930551211797578	0.475902358880941	0.231021788943144	1.30776554608989	1.56057941060846	0.231021788943144
"R5"	0.287575770889874	0.394653801638086	0.140452146954762	0.455074989013438	1.45507498901344	0.770072629810479	0.56215301976165	0.287575770889874	0.140452146954762	0.770072629810479	0.930551211797578	0.475902358880941	0.231021788943144	1.30776554608989	1.56057941060846	0.231021788943144
"R6"	0.245295358394684	0.394629116912248	0.119802372842337	0.38503631490524	0.38503631490524	1.91694530605864	0.534370073422804	0.245295358394684	0.119802372842337	0.916945306058635	0.776338647280866	0.663705593411396	0.425083591817591	1.11549320490976	1.33113747602596	0.425083591817591
"R7"	0.268598417442179	0.432118883018912	0.131183598262359	0.421614764821238	0.421614764821238	0.801555110134206	1.58513523039797	0.268598417442179	0.131183598262359	0.801555110134206	0.850090818772548	0.726757624785479	0.240466533040262	1.22146505937618	1.45759553624843	0.240466533040262
"R8"	0.323282061577896	0.429115240127443	0.157891116765761	0.431363656334811	0.431363656334811	0.735886075184052	0.537196834884358	1.3232820615779	0.157891116765761	0.735886075184052	0.600453304205083	0.470369682442429	0.220765822555216	1.47014173166342	1.75434574184179	0.220765822555216
"R9"	0.315782233531523	0.419160185716672	0.203678746535542	0.421356440864285	0.421356440864285	0.718814237054019	0.524734393049434	0.315782233531523	1.20367874653554	0.718814237054019	0.586523374070899	0.45945756526733	0.215644271116206	0.996475439964271	2.26309718372825	0.215644271116206
"R10"	0.245295358394684	0.394629116912248	0.119802372842337	0.38503631490524	0.38503631490524	0.916945306058635	0.534370073422804	0.245295358394684	0.119802372842337	1.91694530605864	0.776338647280866	0.663705593411396	0.425083591817591	1.11549320490976	1.33113747602596	0.425083591817591
"C1"	0.240181321682033	0.361923249621524	0.11730467481418	0.558330727078547	0.558330727078547	0.931606376737038	0.680072655018038	0.240181321682033	0.11730467481418	0.931606376737038	1.7674966966473	0.541075235286628	0.279481913021112	1.09223686104759	1.30338527571311	0.279481913021112
"C2"	0.235184841221215	0.605015696845988	0.114864391316833	0.356926769160706	0.356926769160706	0.995558390117094	0.726757624785479	0.235184841221215	0.114864391316833	0.995558390117094	0.676344044108285	1.64369269166566	0.298667517035128	1.06951511026117	1.27627101463147	0.298667517035128
"C3"	0.220765822555216	0.355166205221023	0.107822135558103	0.346532683414716	0.346532683414716	1.27525077545277	0.480933066080524	0.220765822555216	0.107822135558103	1.27525077545277	0.698704782552779	0.597335034070256	1.38257523263583	1.00394388441878	1.19802372842337	0.382575232635832
"C4"	0.367535432915856	0.487855882820238	0.124559429995534	0.490412079783709	0.490412079783709	0.836619903682316	0.610732529688091	0.367535432915856	0.124559429995534	0.836619903682316	0.682648038154741	0.534757555130587	0.250985971104695	2.15978669262508	1.38399366661704	0.250985971104695
"C5"	0.350869148368359	0.465733539685191	0.226309718372825	0.468173823182539	0.468173823182539	0.798682485615577	0.583038214499371	0.350869148368359	0.226309718372825	0.798682485615577	0.651692637856555	0.510508405852589	0.239604745684673	1.10719493329363	2.51455242636472	0.239604745684673
"C6"	0.220765822555216	0.355166205221023	0.107822135558103	0.346532683414716	0.346532683414716	1.27525077545277	0.480933066080524	0.220765822555216	0.107822135558103	1.27525077545277	0.698704782552779	0.597335034070257	0.382575232635832	1.00394388441878	1.19802372842337	1.38257523263583
