"Centropomus_nigrescens"	"Eleotris_picta"	"Cichlasoma_trimaculatum"	"Diapterus_peruvianus"	"Gobiomorus_maculatus"	"Dormitator_latifrons"	"Hexanematichthys_guatemalensis"	"Poecilia_sphenops"	"Astyanax_fasciatus"	"Centropomus_robalito"	"Lutjanus_argentiventris"	"Mugil_curema"	"Gobionellus_sagittula"	"Ergasilus_sp."	"Contracaecum_sp."	"Argulus_sp."	"Ascocotye_(Phagicola)_longa"	"Austrodiplostomum_compactum"	"Pseudoacanthostomum_panamense"	"Neoechinorhynchus_golvani"	"Clinostomum_complanatum"	"Echinochasmus_leopoldinae"	"Southwellina_hispida"	"Paracryptogonimus_sp."	"Posthodiplostomum_minimum"	"Parvitaenia_cochlearii"	"Pseudoleptorhynchoides_lamothei"	"Centrocestus_formosanus"	"Metadena_sp."	"Gnathostoma_sp."	"Crassicutis_cichlasomae"	"Magnivitellinum_simplex"	"Neoapocreadium_marina"	"Pseudacaenodera_cristata"	"Saccocoelioides_sp."	"Saccocoelioides_sogandaresi"	"Cladocystis_trifolium"	"Haplorchis_sp."	"Tylodelphys_sp."	"Aristocleidus_hastatus"	"Cornutohaptor_nigrescensi"	"Ligophorus_mugilinus"	"Microcotyloides_incisa"	"Neotetraonchus_sp."	"Rhabdosynochus_sp."	"Proteocephalus_sp."	"Proteocephalus_chamelensis"	"Floridosentis_mugilis"	"Hysterothylacium_perezi"	"Philometra_sp."	"Rhabdochona_mexicana"	"Procamallanus_gobiomori"
"Centropomus_nigrescens"	1.60369613340864	0.372628625461055	0.390693301699249	0.318869842250999	0.334958998851586	0.303844827718969	0.274897154104256	0.333285558732123	0.270258414720245	0.298928271362423	0.316738980099317	0.230009279663057	0.214348506664921	0.41670390940542	0.390906543027347	0.386277830027141	0.359756015284069	0.357150724658745	0.390827865443326	0.336091421288052	0.160467922601376	0.254625684904906	0.252229956685439	0.172591842074465	0.170322814841625	0.0805491371424556	0.0793256790554688	0.0570215417579156	0.0522998375834442	0.0532031026477483	0.0293019976274437	0.0270258414720245	0.0260893507296272	0.0260893507296271	0.0273460344947072	0.0299957002858911	0.0293019976274437	0.0260893507296271	0.0257973663780731	0.0260893507296272	0.111025116928291	0.0258760439620939	0.0316738980099317	0.024740743869383	0.0298928271362423	0.111025116928291	0.0257973663780731	0.0258760439620939	0.024740743869383	0.0298928271362423	0.0270258414720245	0.0257973663780731
"Eleotris_picta"	0.372628625461055	1.71587660205378	0.368866318972439	0.308415185014342	0.419320015616528	0.329476589716383	0.280535959156945	0.275226291996501	0.248088120475237	0.254792935808486	0.261191937673277	0.240198806689119	0.188540506102753	0.414329039319173	0.295537582253911	0.389417635572637	0.363529499062033	0.359124842311684	0.387306673566647	0.337288070962837	0.262687927417036	0.155389553760295	0.257489804458835	0.0773958537262494	0.078232706580691	0.182752351417452	0.0742979705848598	0.0495791783272087	0.0494891585373361	0.153099458342978	0.0276649739229329	0.0248088120475237	0.0252339696829916	0.0252339696829916	0.0296528930744745	0.0247703662796851	0.027664973922933	0.0252339696829916	0.118791457065262	0.0252339696829916	0.025797366378073	0.0270223657525259	0.0261191937673277	0.0252482363241251	0.0254792935808486	0.0257973663780731	0.118791457065262	0.0270223657525259	0.0252482363241251	0.0254792935808486	0.0248088120475237	0.118791457065262
"Cichlasoma_trimaculatum"	0.423251076840853	0.399605178886809	1.57124033162555	0.324610271331552	0.357282359109486	0.309962310458752	0.295579703834474	0.323662169812336	0.256341433964286	0.270485516401207	0.276232374490483	0.252558731941971	0.202346436039078	0.423330204990219	0.395665231067286	0.395899826398645	0.368722967244616	0.36742853264843	0.394917347646747	0.339185579018534	0.257651830442761	0.1656015520452	0.257299570285819	0.0839737867166127	0.176274617782471	0.0847937748822696	0.0782522870894127	0.0547637386795388	0.0526181436929841	0.0568971669409819	0.117843024871917	0.0256341433964286	0.0265590221998543	0.0265590221998543	0.0278966079412877	0.0291295952831103	0.117843024871917	0.0265590221998543	0.0276649739229329	0.0265590221998543	0.0293019976274437	0.0284128573434717	0.0276232374490483	0.0266021733451026	0.0270485516401207	0.0293019976274437	0.0276649739229329	0.0284128573434717	0.0266021733451026	0.0270485516401207	0.0256341433964286	0.027664973922933
"Diapterus_peruvianus"	0.376846177205726	0.364490673198768	0.354120295998057	1.75174751282971	0.329756884646585	0.296322210903084	0.280946894994902	0.293478445458353	0.234722418524342	0.276547455526179	0.261558776467339	0.23909315945153	0.203526989532265	0.433430886917259	0.408196917234267	0.403080627420069	0.379294274776413	0.377910496344676	0.406532906478962	0.354834625838169	0.157625300595773	0.15496728509833	0.154490570855453	0.079899973928979	0.0790614330207332	0.0788830774080807	0.0749252181989809	0.049885301943686	0.0514529763465467	0.0522140784268031	0.0265590221998543	0.0234722418524342	0.143324796504249	0.143324796504249	0.0266689989812776	0.0264130600912518	0.0265590221998543	0.143324796504249	0.0252339696829916	0.143324796504249	0.0260893507296271	0.0268979804382971	0.0261558776467339	0.0252852205495412	0.0276547455526179	0.0260893507296271	0.0252339696829916	0.0268979804382971	0.0252852205495412	0.0276547455526179	0.0234722418524342	0.0252339696829916
"Gobiomorus_maculatus"	0.39586063500642	0.495560018455897	0.389762573573985	0.329756884646585	1.43537596755707	0.347300762653587	0.300813757990698	0.295010750604369	0.258053881300877	0.273757604334475	0.279557387089144	0.257237011493905	0.20511066002983	0.430889199123354	0.396581197845638	0.40294745624473	0.3752942397501	0.37111040933044	0.401950035330289	0.348325829556733	0.268249516837848	0.165346269877157	0.262146909295475	0.0827372354120372	0.0831888968421174	0.183004921807572	0.0792499969245144	0.052356355684481	0.0534446087944266	0.151747853168749	0.0292321930180489	0.0258053881300877	0.0269801087438115	0.0269801087438115	0.0312570686388228	0.0265509675543933	0.0292321930180489	0.0269801087438115	0.0343080012777159	0.0269801087438115	0.0274057362696752	0.0289391637930643	0.0279557387089144	0.0270732382191628	0.0273757604334475	0.0274057362696753	0.0343080012777159	0.0289391637930643	0.0270732382191628	0.0273757604334475	0.0258053881300878	0.0343080012777159
"Dormitator_latifrons"	0.39499827603466	0.428319566631298	0.371954772550502	0.325954431993393	0.382030838918945	1.46306127474313	0.299013353872429	0.308236011462156	0.253030889659512	0.26973452069028	0.287230446516415	0.252674012182755	0.226919499481364	0.442447248047827	0.412794354973352	0.411601520725717	0.382940726294585	0.278176413416222	0.414021421677267	0.359368978797154	0.275819112600546	0.269964288089808	0.170178737766885	0.0830425312153768	0.0829838834675889	0.192585476440179	0.0813896550335023	0.0530443299975452	0.0560865660675511	0.0609099617132973	0.0278966079412877	0.0253030889659512	0.0266689989812776	0.0266689989812776	0.131675514726882	0.027741241031594	0.0278966079412877	0.0266689989812776	0.0296528930744744	0.0266689989812776	0.0273460344947072	0.0284258263705599	0.0287230446516415	0.0269112018485187	0.026973452069028	0.0273460344947072	0.0296528930744745	0.0284258263705599	0.0269112018485187	0.026973452069028	0.0253030889659512	0.0296528930744745
"Hexanematichthys_guatemalensis"	0.357366300335532	0.364696746904029	0.354695644601368	0.309041584494392	0.330895133789768	0.299013353872429	1.62096870233381	0.289932966225622	0.278682392202028	0.252605233412307	0.254356286172814	0.252582692170117	0.298320858222629	0.44530920806817	0.420060971744045	0.409561385032804	0.263499096546711	0.382475077908235	0.416893655199032	0.244912505028683	0.28013758581609	0.16940531943003	0.156968259595258	0.0754368958278951	0.0774368841747916	0.0792326763918065	0.212110961344584	0.0539622061805087	0.184242722124381	0.0523214745432879	0.0266021733451026	0.0278682392202028	0.0252852205495412	0.0252852205495412	0.0269112018485187	0.026093966960306	0.0266021733451026	0.0252852205495412	0.0252482363241251	0.0252852205495412	0.024740743869383	0.0284155528691382	0.0254356286172814	0.145887183210043	0.0252605233412307	0.024740743869383	0.0252482363241251	0.0284155528691382	0.145887183210043	0.0252605233412307	0.0278682392202028	0.0252482363241251
"Poecilia_sphenops"	0.43327122635176	0.357794179595451	0.388394603774804	0.322826290004189	0.324511825664806	0.308236011462156	0.289932966225622	1.50093668943464	0.333383787043542	0.267274907599987	0.276357549131294	0.243149290941596	0.217088567507	0.435408127690307	0.410637761410622	0.414107628383762	0.387105397270326	0.385458123199037	0.408053832459377	0.246875563449953	0.161640432340018	0.281706764234986	0.171420763020563	0.0843589459590192	0.194209597618119	0.0790625748656723	0.0873437329155601	0.168422680753472	0.0540053542112059	0.0513213338340783	0.0291295952831103	0.0333383787043542	0.0264130600912518	0.0264130600912518	0.027741241031594	0.135084302049118	0.0291295952831103	0.0264130600912518	0.024770366279685	0.0264130600912518	0.0299957002858911	0.0273542952309295	0.0276357549131294	0.026093966960306	0.0267274907599987	0.0299957002858911	0.024770366279685	0.0273542952309295	0.026093966960306	0.0267274907599987	0.0333383787043542	0.024770366279685
"Astyanax_fasciatus"	0.390373265707021	0.35834950735312	0.341788578619048	0.286882955974196	0.315399188256628	0.281145432955013	0.309647102446697	0.370426430048379	1.65110103772405	0.232054120426235	0.268023325273408	0.223631535543744	0.234335414409301	0.318551265103124	0.2937424530556	0.430327117837424	0.398861958132504	0.401427108386756	0.293392717354453	0.232186099429896	0.154578219508865	0.307708584437557	0.295186621345811	0.0770335860419888	0.0859983635728072	0.0759172891435626	0.22310718198809	0.198448482476759	0.0579970782156843	0.0506142001776114	0.0256341433964286	0.165110103772405	0.0234722418524342	0.0234722418524342	0.0253030889659512	0.0333383787043542	0.0256341433964286	0.0234722418524342	0.0248088120475237	0.0234722418524342	0.0270258414720245	0.0251585477486712	0.0268023325273408	0.0278682392202028	0.0232054120426235	0.0270258414720245	0.0248088120475237	0.0251585477486712	0.0278682392202028	0.0232054120426235	0.165110103772405	0.0248088120475237
"Centropomus_robalito"	0.431785280856833	0.368034240612257	0.360647355201609	0.338002445643108	0.334592627519914	0.2997050229892	0.28067248156923	0.296972119555541	0.232054120426235	1.55996975127097	0.309412838805491	0.237145675142152	0.214163935144299	0.457565155064654	0.432085861483806	0.297238228890199	0.397033396795517	0.395320468067719	0.430886266611162	0.378898252509933	0.158816469518168	0.165275828978423	0.163943128713832	0.216831086143889	0.0836688695363617	0.0798285060833241	0.0760012984738356	0.0499329028026222	0.0527958864312121	0.0528550540142961	0.0270485516401207	0.0232054120426235	0.027654745552618	0.0276547455526179	0.026973452069028	0.0267274907599987	0.0270485516401207	0.0276547455526179	0.0254792935808486	0.0276547455526179	0.0298928271362423	0.026678888453492	0.0309412838805491	0.0252605233412307	0.155996975127097	0.0298928271362423	0.0254792935808486	0.026678888453492	0.0252605233412307	0.155996975127097	0.0232054120426235	0.0254792935808486
