"Alyxia_oliviformis"	"Ilex_anomala"	"Cheirodendron_trigynum"	"Dubautia_paleata"	"Dubautia_raillardioides"	"Carex"	"Dryopteris"	"Elaphoglossum"	"Elaeocarpus_bifidus"	"Vaccinium_calycinum"	"Acacia__melanoxylon"	"Dicranopteris_linearis"	"Scaevola_procera"	"Broussaisia_arguta"	"Stenogyne_purpurea"	"Labordia_degeneri"	"Myrsine_kauaiensis"	"Psidium_cattleianum"	"Metrosideros_polymorpha"	"Syzygium_sandwicensis"	"Rubus_argutus"	"Coprosma_waiemea"	"Coprosma_kauensis"	"Psychotria"	"Melicope_anisata"	"Melicope_clusiifolia"	"Smilax_melastomifolia"	"Cryptomeria_japonica"	"Wilkstroemia_oahuensis"	"Athyrium_microphyllum"	"Diplazium_sandwichianum"	"Hedychium_gardinerianum"	"Amorbia_emigratella"	"Croesia_zimmermani"	"Schreckensteinia_festaliella"	"Spheterista_pleonectes"	"Udea_ommatias"	"Omiodes_antidoxa"	"Haliophyle_euclidias"	"Carposina_graminis"	"Eupithecia_orichloris"	"Scotorythra_apicalis"	"Thyrocopa_complex"	"Udea_pyranthes"	"Eupithecia_rhodopyra"	"Thyrocopa_sp._1"	"Udea_constricta"	"Pararrhaptica_complex"	"Eccoptocera_sp._1"	"Eupithecia_monticolans"	"Scotorythra_sp._3"	"Euphitecia_sp._1"	"Fletcherana_leucoxyla"	"Hyles_calida"	"Eudonia_sp._1"	"Scotorythra_ortharcha"	"Agrotis_hephaestaea"	"Batrachedrodes_sp._1"
"Alyxia_oliviformis"	1.21003631870891	0.0389350730372234	0.359598001211973	0.0200875217580579	0.0590225947952813	0.0654370975415519	0.0213190301181021	0.109176892740534	0.0389350730372234	0.458742966936828	0.0389350730372234	0.219259621670381	0.132696123691768	0.0512336124300998	0.182321937230043	0.100859425968375	0	0.0389350730372234	0.412798801391279	0.0389350730372234	0.418439313859046	0.0523717332695014	0.271973733473927	0.160410505170634	0.0389350730372234	0.300205004176232	0.202893103805147	0.0389350730372234	0	0.0825398673360623	0.0602541031553255	0.0389350730372234	0.0627658970788569	0.0627658970788569	0.0627658970788569	0.0647276402181552	0.0446389372401287	0.0294466938936984	0.0710634337270071	0.0589812386061635	1.1206602885375	0.908485037535212	1.09176892740534	0.0589812386061636	0.0657778865011141	0.0657778865011141	0.0945054182765431	0	0.0619198202086918	0.232763258975562	0.0619198202086918	0.0489552720253068	0.0489552720253068	0.0489552720253068	0.284631180167221	0.0608679311415441	0	0.0247619602008187
"Ilex_anomala"	0.0778701460744468	1.10104607948393	0.25862007238356	0.0521320537464881	0.153178133230422	0.169825343670477	0.0553281204782799	0.0391839135217431	0.101046079483934	0.333840481867346	0.101046079483934	0.0841005055493559	0.192800973294562	0.0398566354063371	0.191630570440929	0.0386862325527037	0	0.101046079483934	0.296881672133456	0.101046079483934	0.300699538753581	0.0378073950990427	0.271852747152991	0.0790405489280802	0.101046079483934	0.218772860964717	0.192095880829694	0.101046079483934	0	0.21421123282495	0.156374199962213	0.101046079483934	0.0451049308130371	0.0451049308130371	0.0451049308130371	0.0465516130290408	0.115849008325529	0.0764214046517145	0.184427068260933	0.0429223476686587	0.429847028363374	2.35774185462512	0.391839135217431	0.0429223476686587	0.0252301516648068	0.0252301516648068	0.115329463120647	0	0.0445322508200184	0.168032867106856	0.0445322508200184	0.0489334944875383	0.0489334944875384	0.0489334944875383	0.221425752257428	0.0576287642489082	0	0.064263369847485
"Cheirodendron_trigynum"	0.143839200484789	0.051724014476712	1.56276037146513	0.0266856380421253	0.0784096525188373	0.0869311167675831	0.0283216579921128	0.0744750679816245	0.051724014476712	0.460918966047275	0.051724014476712	0.150791592398185	0.136596678199452	0.0446559569028448	0.161304853799772	0.0693641325031649	0	0.051724014476712	0.424100262038049	0.051724014476712	0.328677672204204	0.114029976326274	0.235580052490033	0.119131024884469	0.051724014476712	0.240219171864346	0.172875455422379	0.051724014476712	0	0.109651606121678	0.0800456724688247	0.051724014476712	0.0493016508306306	0.0493016508306306	0.0493016508306306	0.281296866863723	0.0593014178713895	0.0391190025454124	0.094405526640376	0.0592610099203639	0.770712583368499	1.20689367112328	0.744750679816244	0.059261009920364	0.0452374777194554	0.0452374777194554	0.0893704595997673	0	0.0636150393057073	0.50679989478344	0.0636150393057073	0.0424044094482059	0.0424044094482059	0.0424044094482059	0.248088649460249	0.0518626366267136	0	0.0328954818365033
"Dubautia_paleata"	0.0401750435161159	0.0521320537464881	0.133428190210626	2.05874328887558	1.11087534262206	0.0876168970529211	0.0285450812658642	0.0202159044284152	0.0521320537464881	0.172236172173599	0.0521320537464881	0.0433894327993492	0.0994705658398695	0.0205629775026325	0.0988667274249377	0.0199591390877006	0	0.0521320537464881	0.153168251228089	0.0521320537464881	0.155137978592612	0.019505726133901	0.140255238977021	0.0407788819310477	0.0521320537464881	0.112870074765236	0.0991067920204154	0.0521320537464881	0	0.110516623304592	0.0806771350123522	0.0521320537464881	0.0232706967888917	0.0232706967888917	0.0232706967888917	0.0240170742379128	2.35276286416795	0.0394276036738145	0.0951502708862139	0.0221446507080341	0.221768212085563	1.21641458741805	0.202159044284152	0.0221446507080341	0.0130168298398048	0.0130168298398048	0.0595011879794422	0	0.0229752376842133	0.0866921161506711	0.0229752376842133	0.0252459430158637	0.0252459430158637	0.0252459430158637	0.114238763903514	0.0297320376061246	0	0.0331549869913776
"Dubautia_raillardioides"	0.0590225947952813	0.0765890666152108	0.196024131297093	0.555437671311032	1.63202673792624	0.128721120361699	0.041936600872072	0.0296999089750791	0.0765890666152108	0.253038327020472	0.0765890666152108	0.0637449691743526	0.146135769567216	0.0302098064544848	0.145248648932933	0.0293226858202022	0	0.0765890666152108	0.225024961680773	0.0765890666152108	0.227918758673096	0.0286565606164718	0.206053993065006	0.059909715429564	0.0765890666152108	0.165821467864977	0.145601336425055	0.0765890666152108	0	0.162363928064771	0.118525667487283	0.0765890666152108	0.0341878138009644	0.0341878138009644	0.0341878138009644	0.0352843436334768	1.23430593624674	0.0579245041627645	0.139788669573573	0.0325334991883464	0.325807620224469	1.78707822102159	0.296999089750791	0.0325334991883464	0.0191234907523058	0.0191234907523058	0.0874153255500447	0	0.0337537442521159	0.127362491628764	0.0337537442521159	0.037089718751701	0.037089718751701	0.037089718751701	0.167832258080471	0.0436804009275164	0	0.0487091784194313
"Carex"	0.0654370975415519	0.0849126718352383	0.217327791918958	0.0438084485264606	0.128721120361699	1.8233826417399	0.0464942188893109	0.0329276584216328	0.0849126718352383	0.280538220056593	0.0849126718352383	0.0706726937389545	0.162017624617279	0.033492970929695	0.161034092807503	0.0325094391199191	0	0.0849126718352383	0.249480396750804	0.0849126718352383	0.252688688028219	0.0317709202512964	0.228447686683186	0.0664206293513279	0.0849126718352383	0.183842740306485	0.161425109940919	0.0849126718352383	0	0.180009439348698	0.131406890724549	0.0849126718352383	0.0379033032042328	0.0379033032042328	0.0379033032042328	0.0391190025454124	0.097352107836579	0.820522188782953	0.154980729631036	0.036069199721562	0.361215990221323	1.98129567615556	0.329276584216328	0.036069199721562	0.0212018081216864	0.0212018081216864	0.0969155152274346	0	0.0374220595126205	0.141204090005762	0.0374220595126205	0.0411205836029734	0.0411205836029734	0.0411205836029734	0.186072060720528	0.0484275329822758	0	0.0540028318046093
"Dryopteris"	0.0426380602362043	0.0553281204782799	0.141608289960564	0.0285450812658642	0.0838732017441441	0.0929884377786217	1.60267784845703	0.0214552835618547	0.0553281204782799	0.182795478019713	0.0553281204782799	0.0460495145094557	0.105568821009698	0.0218236346910552	0.104927962992993	0.0211827766743496	0	0.0553281204782799	0.162558557516373	0.0553281204782799	0.16464904321762	0.0207015662724684	0.148853885510952	0.0432789182529099	0.0553281204782799	0.119789815405539	0.105182745260458	0.0553281204782799	0	0.901378039637416	0.658005968935314	0.0553281204782799	0.0246973564826431	0.0246973564826431	0.0246973564826431	0.0254894921929015	0.0634335139241426	0.0418447970003798	2.00892616152345	0.0235022757453916	0.235364185270551	1.29098947782653	0.214552835618547	0.0235022757453916	0.0138148543528367	0.0138148543528367	0.0631490352008074	0	0.024383783627456	0.0920069612109707	0.024383783627456	0.0267936993919714	0.0267936993919714	0.0267936993919714	0.121242414950307	0.0315548235781375	0	0.270413411891225
"Elaphoglossum"	0.218353785481068	0.0391839135217431	0.372375339908122	0.0202159044284152	0.0593998179501583	0.0658553168432657	0.0214552835618547	1.16631430988766	0.0391839135217431	0.482768098153327	0.0391839135217431	0.113129294768281	0.133200901954933	0.058991232023408	0.126249145524935	0.0520394755934093	0	0.0391839135217431	0.42746648608631	0.0391839135217431	0.432836468912287	0.0545128358401956	0.177477410729868	0.225305541911067	0.0391839135217431	0.316528931026219	0.281504415629317	0.0391839135217431	0	0.0830673932652023	0.0606391970835977	0.0391839135217431	0.064925470336843	0.064925470336843	0.064925470336843	0.067027561183462	0.0449242320631449	0.0296348925794695	0.0715176118728489	0.0620701840482849	0.578216395482325	0.914291315507338	1.66314309887658	0.0620701840482849	0.0339387884304843	0.0339387884304843	0.0778350142439603	0	0.0641199729129465	0.242279270400869	0.0641199729129465	0.0319459339313763	0.0319459339313763	0.0319459339313763	0.327729066796711	0.0844513246887951	0	0.0249202179795607
"Elaeocarpus_bifidus"	0.0778701460744468	0.101046079483934	0.25862007238356	0.0521320537464881	0.153178133230422	0.169825343670477	0.0553281204782799	0.0391839135217431	1.10104607948393	0.333840481867346	0.101046079483934	0.0841005055493559	0.192800973294562	0.0398566354063371	0.191630570440929	0.0386862325527037	0	0.101046079483934	0.296881672133456	0.101046079483934	0.300699538753581	0.0378073950990427	0.271852747152991	0.0790405489280802	0.101046079483934	0.218772860964717	0.192095880829694	0.101046079483934	0	0.21421123282495	0.156374199962213	0.101046079483934	0.0451049308130371	0.0451049308130371	0.0451049308130371	0.0465516130290408	0.115849008325529	0.0764214046517145	0.184427068260933	0.0429223476686587	0.429847028363374	2.35774185462512	0.391839135217431	0.0429223476686587	0.0252301516648068	0.0252301516648068	0.115329463120647	0	0.0445322508200184	0.168032867106856	0.0445322508200184	0.0489334944875383	0.0489334944875384	0.0489334944875383	0.221425752257428	0.0576287642489082	0	0.064263369847485
"Vaccinium_calycinum"	0.131069419124808	0.0476914974096208	0.329227832890911	0.0246051674533713	0.0722966648629921	0.0801537771590266	0.0261136397171018	0.068966871164761	0.0476914974096208	1.77588185712364	0.0476914974096208	0.13500553904358	0.182273411661927	0.0889991319410166	0.155376827680957	0.0621025479600469	0	0.0476914974096208	0.377935512277511	0.0476914974096208	0.300438515183914	0.0971320074281545	0.213607092158887	0.157966003105778	0.0476914974096208	0.267760048475445	0.159805984348468	0.0476914974096208	0	0.101102927570853	0.0738051371267226	0.0476914974096208	0.0450657772775871	0.0450657772775871	0.0450657772775871	0.059261009920364	0.0546781498963806	0.036069199721562	0.0870454657236727	0.228327667344468	0.690028310667188	1.11280160622449	0.68966871164761	0.228327667344468	0.0405016617130741	0.0405016617130741	0.101295071802865	0	0.0566903268416267	0.431697810791798	0.0566903268416267	0.0384492765885996	0.0384492765885996	0.0384492765885996	0.494439621894536	0.0479417953045405	0	0.0303308782712559
