"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"
"R1"	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R2"	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R3"	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R4"	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R5"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R6"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R7"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R8"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R9"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R10"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	0.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"R11"	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	0.38755980861244	1.38755980861244	1.57894736842105	1.57894736842105	1.57894736842105
"C1"	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	2.42105263157895	1.42105263157895	1.42105263157895
"C2"	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	1.42105263157895	2.42105263157895	1.42105263157895
"C3"	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	0.430622009569378	1.42105263157895	1.42105263157895	2.42105263157895
