"Salmo_salar"	"Salvelinus_fontinalis"	"Salvelinus_namaycush"	"Coregonus_clupeaformis"	"Esox_lucius"	"Catostomus_catostomus"	"Tetraonchus_monenteron"	"Discocotyle_sagittata"	"Crepidostomum_farionis"	"Crepidostomum_cooperi"	"Phyllodistomum_coregoni"	"Phyllodistomum_lachancei"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Eubothrium_salvelini"	"Diphyllobothrium_sp._(L)"	"Proteocephalus_pinguis"	"Proteocephalus_tumidocollus"	"Proteocephalus_sp.1"	"Proteocephalus_sp.2"	"Raphidascaris_sp."	"Raphidascaris_canadensis"	"Capillaria_salvelini"	"Metabronema_salvelini"	"Metechinorhynchus_lateralis"	"Neoechinorhynchus_crassus"	"Ergasilus_caeruleus"	"Salmincola_extumescens"	"Salmincola_coregonorum"	"Salmincola_edwardsii"	"Salmincola_siscowet"
"Salmo_salar"	1.80437598723231	1.07146887483792	1.07338727926375	1.12409473451931	0.189831018883561	0	0.108481010424993	0.383991755929324	0.226311984596837	0.38412456854342	0.0778219431590289	0.380481239796247	0.034169583399041	0.152133370184981	0.380481239796247	0.458303182955276	0.034169583399041	0.226311984596837	0.226311984596837	0.458303182955276	0.226311984596837	0.034169583399041	0.226311984596837	0.0741786144118559	0.108348197810897	0	0	0.309813141517468	0.0778219431590289	0.0741786144118559	0.0743114270259518
"Salvelinus_fontinalis"	0.57694477875888	2.27994036843082	1.06482070372438	1.04542314648385	0.296028897338911	0	0.127003557932692	0.304396088521333	0.303935830521165	0.220272419426272	0.072375448602728	0.305738996330293	0.053285201521004	0.146093805014416	0.305738996330293	0.378114444933021	0.053285201521004	0.303935830521165	0.303935830521165	0.378114444933021	0.303935830521165	0.053285201521004	0.303935830521165	0.157842025506749	0.211127227027753	0	0	0.146554063014584	0.072375448602728	0.157842025506749	0.073718356411688
"Salvelinus_namaycush"	0.577977765757403	1.06482070372438	2.23593892422095	1.09228596228457	0.292134538749532	0	0.207379988651751	0.223649580826572	0.304133925477455	0.304726996091719	0.075619797388932	0.302825555114475	0.0525842169749159	0.230415569065767	0.302825555114475	0.378445352503407	0.0525842169749158	0.304133925477455	0.304133925477455	0.378445352503407	0.304133925477455	0.0525842169749158	0.304133925477455	0.073718356411688	0.126302573386604	0	0	0.149931224414884	0.075619797388932	0.073718356411688	0.154795771676835
"Coregonus_clupeaformis"	0.60528178012578	1.04542314648385	1.09228596228457	2.33096853795557	0.189198467887065	0	0.109675521608604	0.311572136697143	0.309369990927046	0.314816485483347	0.161374744935386	0.225817189150689	0.0340557242196718	0.236994542324318	0.225817189150689	0.387191934086075	0.0340557242196718	0.309369990927046	0.309369990927046	0.387191934086075	0.309369990927046	0.0340557242196718	0.309369990927046	0.072375448602728	0.1064311728224	0	0	0.239196688094415	0.161374744935386	0.072375448602728	0.075619797388932
"Esox_lucius"	0.265763426436986	0.769675133081169	0.759549800748784	0.49191601650637	2.97625351796353	0	0.588309850208352	0.121510509139717	0.139925142715592	0.120809524593629	0.0340557242196718	0.140039001894961	0.535725633233436	0.0866399411945876	0.140039001894961	0.174094726114633	0.535725633233436	0.139925142715592	0.139925142715592	0.174094726114633	0.139925142715592	0.535725633233436	0.139925142715592	0.053285201521004	0.58901083475444	0	0	0.0682253076187128	0.0340557242196718	0.053285201521004	0.0525842169749158
"Catostomus_catostomus"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0
"Tetraonchus_monenteron"	0.379683536487475	0.825523126562498	1.34796992623638	0.712890890455925	1.47077462552088	0	1.35806042748705	0.15532204048483	0.199826580686871	0.191491434308406	0.0493539847238717	0.199289050654246	0.264739432593759	0.14267497961716	0.199289050654246	0.248643035378118	0.264739432593759	0.199826580686871	0.199826580686871	0.248643035378118	0.199826580686871	0.264739432593758	0.199826580686871	0.0571516010697114	0.32189103366347	0	0	0.0981704394151185	0.0493539847238717	0.0571516010697114	0.0933209948932879
"Discocotyle_sagittata"	0.89598076383509	1.31904971692578	0.969148183581811	1.35014592568762	0.202517515232861	0	0.103548026989887	1.29998799434434	0.251885341813514	0.275764042035912	0.0934716410091428	0.273611227583169	0.036453152741915	0.160566515257114	0.273611227583169	0.367082868592311	0.036453152741915	0.251885341813514	0.251885341813514	0.367082868592311	0.251885341813514	0.036453152741915	0.251885341813514	0.0913188265563999	0.127771979298315	0	0	0.20866916778794	0.0934716410091428	0.0913188265563999	0.0670948742479715
"Crepidostomum_farionis"	0.528061297392619	1.31705526559172	1.31791367706897	1.3406032940172	0.233208571192653	0	0.133217720457914	0.251885341813514	1.2752319240777	0.251944770300401	0.0928109972781138	0.250314522178637	0.0419775428146775	0.18405117492135	0.250314522178637	0.343125519456751	0.0419775428146775	0.2752319240777	0.2752319240777	0.343125519456751	0.2752319240777	0.0419775428146775	0.2752319240777	0.0911807491563495	0.133158291971027	0	0	0.160704592657165	0.0928109972781138	0.0911807491563495	0.0912401776432365
"Crepidostomum_cooperi"	0.896290659934647	0.954513817513845	1.32048364973078	1.36420477042784	0.201349207656048	0	0.127660956205604	0.275764042035912	0.251944770300401	1.30110041503555	0.0944449456450041	0.272737195218423	0.0362428573780886	0.18586304447252	0.272737195218423	0.367182140863427	0.0362428573780886	0.251944770300401	0.251944770300401	0.367182140863427	0.251944770300401	0.0362428573780886	0.251944770300401	0.0660817258278816	0.10232458320597	0	0	0.20968231620803	0.094444945645004	0.0660817258278816	0.0914180988275156
"Phyllodistomum_coregoni"	0.544753602113203	0.940880831835464	0.983057366056116	2.09787168416002	0.170278621098359	0	0.0987079694477434	0.280414923027429	0.278432991834341	0.283334836935012	1.14523727044185	0.20323547023562	0.0306501517977046	0.213295088091886	0.20323547023562	0.348472740677467	0.0306501517977046	0.278432991834341	0.278432991834341	0.348472740677467	0.278432991834341	0.0306501517977046	0.278432991834341	0.0651379037424552	0.0957880555401598	0	0	0.215277019284973	0.145237270441847	0.0651379037424552	0.0680578176500388
"Phyllodistomum_lachancei"	0.887789559524577	1.32486898409794	1.31224407216272	0.978541152986318	0.233398336491601	0	0.132859367102831	0.273611227583169	0.250314522178637	0.272737195218423	0.0677451567452067	1.2967137373723	0.0420117005684882	0.158592823279549	0.296713737372304	0.364458894117511	0.0420117005684882	0.250314522178637	0.250314522178637	0.364458894117511	0.250314522178637	0.0420117005684882	0.250314522178637	0.0917216988990879	0.133733399467576	0	0	0.181889528684081	0.0677451567452067	0.0917216988990879	0.0908476665343424
