"R1"	"R2"	"R3"	"R4"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.63172635295709	0.412443756011156	1.6094938928843	1.6094938928843	0.241424083932645	0.241424083932645	0.241424083932645	0.916541680024791	0.241424083932645	0.916541680024791	0.730941989819771	0.241424083932645	0.241424083932645	0.241424083932645	0.241424083932645	0.241424083932645
"R2"	0.618665634016734	1.49205590904248	1.57621817583881	1.57621817583881	0.236432726375822	0.236432726375822	0.236432726375822	1.09345757564996	0.236432726375822	1.09345757564996	0.422032416580842	0.236432726375822	0.236432726375822	0.236432726375822	0.236432726375822	0.236432726375822
"R3"	0.402373473221075	0.262703029306469	2.79904069610465	1.79904069610465	0.344856104415697	0.344856104415697	0.344856104415697	0.583784509569931	0.344856104415697	0.583784509569931	0.46556814638202	0.344856104415697	0.344856104415697	0.344856104415697	0.344856104415697	0.344856104415697
"R4"	0.402373473221075	0.262703029306469	1.79904069610465	2.79904069610465	0.344856104415697	0.344856104415697	0.344856104415697	0.583784509569931	0.344856104415697	0.583784509569931	0.46556814638202	0.344856104415697	0.344856104415697	0.344856104415697	0.344856104415697	0.344856104415697
"C1"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	1.31037049397413	0.310370493974128	0.310370493974128	0.525406058612938	0.310370493974127	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128
"C2"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	1.31037049397413	0.310370493974128	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128
"C3"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	1.31037049397413	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128
"C4"	0.687406260018594	0.546728787824979	1.75135352870979	1.75135352870979	0.262703029306469	0.262703029306469	0.262703029306469	1.71495286183329	0.262703029306469	0.714952861833287	0.468924907312047	0.262703029306469	0.262703029306469	0.262703029306469	0.262703029306469	0.262703029306469
"C5"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	0.310370493974128	0.525406058612938	1.31037049397413	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128
"C6"	0.687406260018594	0.546728787824979	1.75135352870979	1.75135352870979	0.262703029306469	0.262703029306469	0.262703029306469	0.714952861833288	0.262703029306469	1.71495286183329	0.468924907312047	0.262703029306469	0.262703029306469	0.262703029306469	0.262703029306469	0.262703029306469
"C7"	0.730941989819771	0.281354944387228	1.86227258552808	1.86227258552808	0.279340887829212	0.279340887829212	0.279340887829212	0.625233209749396	0.279340887829212	0.625233209749396	1.49862348477514	0.279340887829212	0.279340887829212	0.279340887829212	0.279340887829212	0.279340887829212
"C8"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	0.310370493974128	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	1.31037049397413	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128
"C9"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	0.310370493974128	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	0.310370493974128	1.31037049397413	0.310370493974128	0.310370493974128	0.310370493974128
"C10"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	0.310370493974128	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	1.31037049397413	0.310370493974128	0.310370493974128
"C11"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	0.310370493974128	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	0.310370493974128	1.31037049397413	0.310370493974128
"C12"	0.362136125898967	0.236432726375822	2.06913662649418	2.06913662649418	0.310370493974128	0.310370493974128	0.310370493974128	0.525406058612938	0.310370493974128	0.525406058612938	0.419011331743818	0.310370493974128	0.310370493974128	0.310370493974128	0.310370493974128	1.31037049397413
