"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Duroia_saccifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Crematogaster_brasiliensis"	"Solenopsis_sp2"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	3.13157894736842	0	0	2.13157894736842	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0	0	4.28983417447729	0	0	0.973323720259553	0	0	0	0	1.28695025234319	0	2.16294160057679	0	0	0	1.28695025234319	0
"Myrcia_madida"	0	0	0	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Hirtella_physophora"	0	2.13157894736842	0	0	3.13157894736842	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	2.91997116077866	0	0	2.34318673395818	0	0	0	0	0.875991348233598	0	2.98485940879596	0	0	0	0.875991348233598	0
"Tachigalia_spp."	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	1.57894736842105	0	1.57894736842105	0	1.57894736842105
"Duroia_saccifera"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	4.73684210526316	0	0	0
"Azteca_r.am.1"	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	2.36842105263158	0	0	2.36842105263158	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	3.86085075702956	0	0	0.875991348233598	0	0	0	0	2.15825522710887	0	1.94664744051911	0	0	0	1.15825522710887	0
"Myrcidris_sp."	0	0	0	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	3.24441240086518	0	0	1.49242970439798	0	0	0	0	0.973323720259553	0	3.31651045421774	0	0	0	0.973323720259553	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	2.42105263157895	0	1.42105263157895	0	1.42105263157895
"Allomerus_septemarticulatus"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	5.26315789473684	0	0	0
"Crematogaster_brasiliensis"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	1.42105263157895	0	2.42105263157895	0	1.42105263157895
"Solenopsis_sp2"	0	0	3.86085075702956	0	0	0.875991348233598	0	0	0	0	1.15825522710887	0	1.94664744051911	0	0	0	2.15825522710887	0
"Pseudomyrmex_nigriceps"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	1.42105263157895	0	1.42105263157895	0	2.42105263157895
