"Sambucus_niger"	"Crataegus_monogyna"	"Hedera_helix"	"Prunus_spinosa"	"Euonymus_europaeus"	"Rubus_fruticosus"	"Rosa_canina"	"Turdus_merula"	"Turdus_philomelos"	"Erithacus_rubecula"	"Sylvia_atricapilla"	"Turdus_iliacus"	"Turdus_pilaris"
"Sambucus_niger"	2.01669400201161	0.736554167209927	0.807259264474902	0.752827483576484	0.395117917637269	0.376319537531093	0.178385522295555	1.38744295118765	0.879706734380169	0.722441317805714	0.714024438673652	0.698115791789033	0.335110871426942
"Crataegus_monogyna"	0.920692709012408	1.90706283859051	0.684713002648379	0.852378644037038	0.32308662321904	0.391689682110437	0.183534395119034	1.42748973981471	0.925134608850679	0.465174093666687	0.511570308126452	0.786599021213431	0.620874333591197
"Hedera_helix"	1.00907408059363	0.684713002648379	1.86095560575571	0.702375508253273	0.42358841026528	0.396151816081669	0.186299471138901	1.4489958866359	0.932677088634525	0.790963130421264	0.758382835158875	0.493728249459725	0.312094914952872
"Prunus_spinosa"	0.941034354470605	0.852378644037038	0.702375508253273	1.93048048301362	0.323410078125999	0.331955311205827	0.18152351563048	1.41184956601485	0.668585758112651	0.472955208318395	0.76177878183976	0.795529487391107	0.626143303586398
"Euonymus_europaeus"	0.987794794093172	0.646173246438081	0.847176820530561	0.646820156251998	1.53945230071677	0.374639690853099	0.221100885853162	1.7196735566357	0.68239468888861	1.06117138287869	0.513952382712847	0.468726578542039	0.290923515605268
"Rubus_fruticosus"	0.940798843827731	0.783379364220874	0.792303632163338	0.663910622411654	0.374639690853099	1.48834604140994	0.219779699850208	1.70939766550161	1.19362818470991	0.516199970009637	0.496991999168365	0.49498403888131	0.325640246992319
"Rosa_canina"	0.891927611477773	0.734137580476137	0.745197884555605	0.726094062521921	0.442201771706323	0.439559399700415	1.28403958429867	2.20919676676741	0.691199179563328	0.527207291358856	0.491587658158443	0.489099089740562	0.328552119674563
"Turdus_merula"	0.991030679419748	0.815708422751263	0.827997649506227	0.806771180579912	0.491335301895914	0.488399333000461	0.315599538109629	2.45466307418601	0.767999088403698	0.585785879287617	0.546208509064936	0.543443433045069	0.365057910749515
"Turdus_philomelos"	1.09963341797521	0.925134608850679	0.932677088634524	0.668585758112651	0.341197344444305	0.596814092354956	0.172799794890832	1.34399840470647	1.88450798872944	0.561325165178243	0.558218155753653	0.556521097802287	0.358587082566749
"Erithacus_rubecula"	1.20406886300952	0.620232124888916	1.05461750722835	0.630606944424526	0.707447588585795	0.344133313339758	0.175735763786285	1.36683371833777	0.748433553570991	1.7723727493317	0.595907896963612	0.498171185937239	0.281438790595525
"Sylvia_atricapilla"	1.19004073112275	0.682093744168603	1.01117711354517	1.01570504245301	0.342634921808564	0.331327999445577	0.163862552719481	1.27448652115152	0.744290874338203	0.595907896963612	1.67025581670169	0.596212058591959	0.382004726989864
"Turdus_iliacus"	1.16352631964839	1.04879869495124	0.658304332612966	1.06070598318814	0.312484385694692	0.329989359254207	0.163033029913521	1.26803467710516	0.74202813040305	0.498171185937239	0.596212058591959	1.68407329011807	0.474638552581361
"Turdus_pilaris"	0.837777178567356	1.24174866718239	0.624189829905743	1.2522866071728	0.290923515605268	0.325640246992319	0.164276059837282	1.2777026876233	0.717174165133499	0.422158185893287	0.573007090484795	0.711957828872042	1.56115793672992
