"Alseis_blackiana"	"Capparis_frondosa"	"Chrysophyllum_panamense"	"Clytostoma_binatum"	"Connarus_panamensis"	"Cordia_bicolor"	"Cupania_rufescens"	"Cupania_sylvatica"	"Desmopsis_panamensis"	"Doliocarpus_major"	"Faramea_occidentalis"	"Garcinia_intermedia"	"Guatteria_dumetorum"	"Gustavia_superba"	"Heisteria_concinna"	"Hirtella_triandra"	"Hybanthus_prunifolius"	"Inga_marginata"	"Inga_vera"	"Lacistema_aggregatum"	"Licania_platypus"	"Mouriri_myrtilloides"	"Myrcia_fosteri"	"Nectandra_cissiflora"	"Ouratea_lucens"	"Paullinia_bracteosa"	"Paullinia_fibrigera"	"Prioria_copaifera"	"Psychotria_horizontalis"	"Psychotria_limonensis"	"Psychotria_marginata"	"Pterocarpus_rohrii"	"Sorocea_affinis"	"Swartzia_simplex"	"Talisia_princeps"	"Tetragastris_panamensis"	"Trichilia_tuberculata"	"Gymnelia_jansonis"	"arct_unknown"	"Quenyalia_amisena"	"Trichaea_pilicornis"	"Scotura_nervosa"	"gele_unknown"	"Anisodes_urcearia"	"Edula_antithesis"	"geom_species_1"	"Drephalys_alcomon"	"Entheus_sp."	"hesp_unknown"	"Telemiades_antiope"	"Udranomia_sp."	"lima_unknown"	"lyca_unknown"	"lyma_unknown"	"Tarchon_felderi"	"Nagara_vitrea"	"noct_unknown"	"Bardaxima_perses"	"Calledema_plusia"	"Elasmia_mandela"	"Gonodonta_fulvangula"	"noto_unknown"	"Strophocerus_sp."	"Zunacetha_annulata"	"nymp_unknown"	"Pyrrhogyra_otolatis"	"oeco_unknown"	"Homoeopteryx_malecena"	"Itaballia_sp."	"Perrhybris_pyrrha"	"psyc_unknown"	"Cosmopterosis_thetysalis"	"Desmia_sp."	"Spilorula_perspicata"	"satu_unknown"	"Periphoba_arcaei"	"Xylophanes_amadis"	"Xylophanes_sp."	"thyr_unknown"	"tort_unknown"	"ypon_unknown"	"unkn_unknown"
"Alseis_blackiana"	1.63670259933484	0	0.00824080683089947	0.25129531677452	0.00636836573711637	0.0057151595940214	0.00824080683089947	0.0138500955141168	0.0151732709719738	0.636702599334838	0	0.0138500955141168	0	0.102687343962998	0.0666760254943356	0	0.0848247408726406	0.0374239764304616	0	0.297952118909165	0.00960531024205277	0.0244017404259531	0.0466568021346449	0.0466568021346449	0.556121099316696	0.109036626464266	0.25129531677452	0	0.0118839112170246	0.00274220226548965	0.00532107586939841	0.872195341554572	0	0.0466568021346449	0	0.0057151595940214	0.0891663825019694	0.0141519238602586	0.414727130085732	0	0.00457033710914942	0.0152684533570753	0.0236888480539292	0.0109807831916789	0.0152684533570753	0.00333634608967907	0	0.0184837219133396	0.00432238960892375	0	0.0834181648975044	0	0.028482830759797	0.0150021057362255	1.28469094186773	0.00623254298135254	0.0317508866334522	0.0834181648975044	0	0.00623254298135254	0	0.0645290469041871	0	0.146399711930085	0.261658602466372	0.0327109879392797	0.0337183799377195	0	0	0	0.00842039469685386	0	0.00457033710914941	0.0184837219133396	0.0834181648975044	0	0.00213910401906443	0.00119724207061464	0	0.0457822601716637	0.0152684533570753	1.95451913046849
"Capparis_frondosa"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57894736842105	1.57894736842105	0	1.57894736842105	0	0	0	0	0	0	0	0	0	0
"Chrysophyllum_panamense"	0.0164816136617989	0	1.46790815052458	0.00999959820659007	0.0069037190518046	0.00845655759495029	0.467908150524576	0.786400252982481	0.022803854531982	0.0164816136617989	0	0.786400252982481	0	0.830526813933687	0.0986586009575416	0	0.0452733268536886	0.0405700033167776	0	0.0487995349243208	0.0142127018402526	0.0919798974401105	0.0387999367177307	0.0387999367177307	0.108059113640578	0.07437749919117	0.00999959820659007	0	0.0175842822946141	0.00405755797604933	0.00787344321998287	0.0225775529613684	0	0.0387999367177307	0	0.00845655759495029	0.134007836508931	0.0153415978928991	0.344888326379828	0	0.00676259662674889	0.00814919883366396	0.0172774495799389	0.0413909538480497	0.00814919883366395	0.00493669553752669	0	0.149494826508064	0.00639571582811366	0	0.0162088670460868	0	0.0392800139607846	0.0221981852154469	0.0216067181840296	0.353880113842116	0.0469808755275016	0.0162088670460868	0	0.353880113842116	0	0.24323572878607	0	0.0688695008525486	0.00677326588841053	0.022313249757351	0.0506752322932934	0	0	0	0.00912825074627497	0	0.00676259662674889	0.149494826508064	0.0162088670460868	0	0.00316517081303054	0.00177152472449615	0	2.59948972513653	0.00814919883366395	0.0777746527179228
"Clytostoma_binatum"	0.50259063354904	0	0.00999959820659007	1.30492793369708	0.00772753201361326	0.00693491557312898	0.00999959820659007	0.0168060474060337	0.0184116211328416	0.50259063354904	0	0.0168060474060337	0	0.124603355181402	0.0809063334012089	0	0.102928432143815	0.0454111757837026	0	0.361542447848957	0.0116553202909731	0.0296096735196017	0.0566145141518746	0.0566145141518746	0.674811054485931	0.132307731126091	0.304927933697082	0	0.0144202308986855	0.00332745584489141	0.00645672466453851	0.688480319930192	0	0.0566145141518746	0	0.00693491557312898	0.10819668715102	0.017172293363585	0.503240125794441	0	0.00554575974148569	0.0185271177858867	0.0287446323372198	0.0133243530838208	0.0185271177858867	0.00404840461128455	0	0.0224286039326523	0.00524489413093788	0	0.10122165817289	0	0.0345617691603126	0.018203925015272	0.658875666173194	0.00756272133271518	0.0385273087396054	0.10122165817289	0	0.00756272133271518	0	0.0783011366407246	0	0.177645020311876	0.206544095979058	0.0396923193378274	0.0409147136285369	0	0	0	0.0102175145513331	0	0.00554575974148569	0.0224286039326523	0.10122165817289	0	0.00259564156176339	0.00145276304952116	0	0.0555533233699448	0.0185271177858867	2.37166170653286
"Connarus_panamensis"	0.0127367314742327	0	0.0069037190518046	0.00772753201361326	1.98205886784165	0.00743588939566526	0.0069037190518046	0.0116028891626968	0.0538532365191182	0.0127367314742327	0	0.0116028891626968	0	0.0860261121809576	0.0867509546779911	0	0.490243487410457	1.77111137151391	0	0.0301798715190481	0.0124972931019584	0.0483993164320805	0.0224523395054348	0.0224523395054348	0.106101302860492	0.0758941687512049	0.00772753201361326	0	0.0154619390664333	0.00356782910630429	0.00692315428464687	0.0174475773619627	0	0.0224523395054348	0	0.00743588939566526	0.316470871396299	2.18235303964812	0.199576351159421	0	0.00594638184384048	0.0882438277338823	0.486743886324511	0.0217796923944362	0.0882438277338823	0.00434085874600355	0	0.0154847001925724	0.00562378189588128	0	0.0159151954290738	0	0.469706004654797	0.019518964802548	0.0166973315353983	0.00522130012321356	0.0413104966425848	0.0159151954290738	0	0.00522130012321356	0	0.127989303453724	0	0.146446238590866	0.0052342732085888	0.0227682506253615	0.119673858931374	0	0	0	0.398500058590629	0	0.00594638184384048	0.0154847001925724	0.0159151954290738	0	0.002783149031958	0.00155770971404555	0	0.0383539947322478	0.0882438277338823	0.0601030267725476
"Cordia_bicolor"	0.0114303191880428	0	0.00845655759495029	0.00693491557312897	0.00743588939566526	1.39535150692955	0.00845655759495029	0.0142127018402526	0.0156957012533953	0.0114303191880428	0	0.0142127018402526	0	0.10537577889091	0.612376386275265	0	0.113889838695937	0.0436973253374897	0	0.0215836693483818	0.664456314167315	0.0808885969076501	0.0146487537752528	0.0146487537752528	0.111720361871095	0.0815598626577706	0.00693491557312897	0	0.822080666440634	0.18969440487735	0.368090396925014	0.0156579714904696	0	0.0146487537752528	0	0.395351506929552	0.0922364666248911	0.0165241986570339	0.130211144668914	0	0.31615734146225	0.0205001709652686	0.0303320691662037	0.0363998686084425	0.0205001709652686	0.230794859267442	0	0.0189676402003638	0.299005341375292	0	0.0167580542806643	0	0.0305851031915357	0.137784686911935	0.0149846787163794	0.00639571582811366	2.19639726071973	0.0167580542806643	0	0.00639571582811366	0	0.213905400711341	0	0.199510870955199	0.00469739144714087	0.0244679587973312	0.0348793361186563	0	0	0	0.00983189820093517	0	0.31615734146225	0.0189676402003638	0.0167580542806643	0	0.147974519959314	0.0828203393081282	0	0.0469808755275016	0.0205001709652686	0.0539382322354476
"Cupania_rufescens"	0.0164816136617989	0	0.467908150524576	0.00999959820659007	0.0069037190518046	0.00845655759495029	1.46790815052458	0.786400252982481	0.022803854531982	0.0164816136617989	0	0.786400252982481	0	0.830526813933687	0.0986586009575416	0	0.0452733268536886	0.0405700033167776	0	0.0487995349243208	0.0142127018402526	0.0919798974401105	0.0387999367177307	0.0387999367177307	0.108059113640578	0.07437749919117	0.00999959820659007	0	0.0175842822946141	0.00405755797604933	0.00787344321998287	0.0225775529613684	0	0.0387999367177307	0	0.00845655759495029	0.134007836508931	0.0153415978928991	0.344888326379828	0	0.00676259662674889	0.00814919883366396	0.0172774495799389	0.0413909538480497	0.00814919883366395	0.00493669553752669	0	0.149494826508064	0.00639571582811366	0	0.0162088670460868	0	0.0392800139607846	0.0221981852154469	0.0216067181840296	0.353880113842116	0.0469808755275016	0.0162088670460868	0	0.353880113842116	0	0.24323572878607	0	0.0688695008525486	0.00677326588841053	0.022313249757351	0.0506752322932934	0	0	0	0.00912825074627497	0	0.00676259662674889	0.149494826508064	0.0162088670460868	0	0.00316517081303054	0.00177152472449615	0	2.59948972513653	0.00814919883366395	0.0777746527179228
"Cupania_sylvatica"	0.0138500955141168	0	0.39320012649124	0.00840302370301687	0.0058014445813484	0.00710635092012629	0.39320012649124	2.34151281763234	0.0191629029680521	0.0138500955141168	0	0.660840548724774	0	0.69792169238125	0.0829063873592787	0	0.0380448124820913	0.034092439761998	0	0.041008012541446	0.011943446924582	0.0772940314622777	0.0326049888384292	0.0326049888384292	0.0908059778492256	0.0625021001606471	0.00840302370301687	0	0.0147767078106001	0.00340971258491541	0.00661633884032174	0.0189727335809819	0	0.0326049888384292	0	0.00710635092012629	0.11261162731843	0.0128920990696631	0.289822123008259	0	0.00568285430819234	0.00684806624677644	0.014518865193226	0.034782314158025	0.00684806624677643	0.00414848364498041	0	0.125625904628625	0.0053745511160619	0	0.0136208966773838	0	0.0330084150930963	0.0186539371558377	0.0181569060369996	0.297378246926148	0.0394797273340349	0.0136208966773838	0	1.05368076793455	0	0.204399772089134	0	0.0578735301281921	0.00569182007429456	0.0187506300481941	0.0425842288178936	0	0	0	0.00767079894644956	0	0.00568285430819234	0.125625904628625	0.0136208966773838	0	0.00265980740590802	0.00148867623907239	0	2.18444514717356	0.00684806624677643	0.0653568510234645
"Desmopsis_panamensis"	0.0303465419439476	0	0.022803854531982	0.0184116211328416	0.0538532365191182	0.0156957012533953	0.022803854531982	0.0383258059361043	1.88667274387416	0.0303465419439476	0	0.0383258059361043	0	0.284155095739845	0.183114217495803	0	0.14662530069818	0.316470871396299	0	0.0888048035949233	0.0263793298376392	0.166204718867347	0.0703931824620816	0.0703931824620816	0.202102324484638	0.139505838267833	0.0184116211328416	0	0.0326371148724204	0.00753098611288723	0.0146134181939724	0.0415706054026679	0	0.0703931824620816	0	0.0156957012533953	1.21057069239632	0.119673858931374	0.625717177440725	0	0.0125516435214787	0.0263925541256724	0.0975985001898397	0.074792123490306	0.0263925541256724	0.00916269977067947	0	0.051147917233172	0.0118706984269376	0	0.0303153486726958	0	0.343584351853339	0.0412006989365558	0.0397830693703532	0.0172466126712469	0.0871983402966407	0.0303153486726958	0	0.0172466126712469	0	0.439519145449205	0	0.139760353215274	0.0124711816208004	0.04185175148035	1.97038387527592	0	0	0	0.0712059460641673	0	0.0125516435214787	0.051147917233172	0.0303153486726958	0	0.00587468067703568	0.00328801909364379	0	0.126688080733234	0.0263925541256724	0.143201497699879
"Doliocarpus_major"	0.636702599334838	0	0.00824080683089947	0.25129531677452	0.00636836573711637	0.0057151595940214	0.00824080683089947	0.0138500955141168	0.0151732709719738	1.63670259933484	0	0.0138500955141168	0	0.102687343962998	0.0666760254943356	0	0.0848247408726406	0.0374239764304616	0	0.297952118909165	0.00960531024205277	0.0244017404259531	0.0466568021346449	0.0466568021346449	0.556121099316696	0.109036626464266	0.25129531677452	0	0.0118839112170246	0.00274220226548965	0.00532107586939841	0.872195341554572	0	0.0466568021346449	0	0.0057151595940214	0.0891663825019694	0.0141519238602586	0.414727130085732	0	0.00457033710914942	0.0152684533570753	0.0236888480539292	0.0109807831916789	0.0152684533570753	0.00333634608967907	0	0.0184837219133396	0.00432238960892375	0	0.0834181648975044	0	0.028482830759797	0.0150021057362255	1.28469094186773	0.00623254298135254	0.0317508866334522	0.0834181648975044	0	0.00623254298135254	0	0.0645290469041871	0	0.146399711930085	0.261658602466372	0.0327109879392797	0.0337183799377195	0	0	0	0.00842039469685386	0	0.00457033710914941	0.0184837219133396	0.0834181648975044	0	0.00213910401906443	0.00119724207061464	0	0.0457822601716637	0.0152684533570753	1.95451913046849
