"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.33281531649378	0.237086579850811	0.289923242941599	0.238280061492608	0.117687039287421	0.207647293146866	0.268911223211737	0.268911223211737	0.273273344864331	0.270256029989159	0.270989618407289	0.332815316493777	0.11876330546741	0.30120796858447	0.289923242941599	0.0196672129524398	0.0484224442441465	0.0460397344435367	0.139673450399324	0.0263725214910969	0.0263725214910969	0.0263725214910969	0.0460397344435367	0.0460397344435367	0.0196672129524398	0.61535883479226	0.430899407924491	0.294839556785322	0.37564563842289	0.429427883065237	0.403885209271513	0.430984171112242	0.196672129524398	0.350381193234712	0.479253854861777	0.378301471720459	0.351192754547856
"R2"	0.325994047294865	1.25504743667973	0.29928963034292	0.235533985201475	0.105334915161601	0.202061792671502	0.268653773842912	0.268653773842912	0.274273893722645	0.27900201502557	0.258583279788029	0.325994047294865	0.106640365876349	0.302546136920021	0.29928963034292	0.0202876153173507	0.0508649229832777	0.0480531905437302	0.137362719800218	0.0277655752263795	0.0277655752263795	0.0277655752263795	0.0480531905437302	0.0480531905437302	0.0202876153173507	0.647863421948855	0.460528732165294	0.212929585296359	0.408047384630259	0.461778139398842	0.437173895199478	0.463032223178281	0.202876153173507	0.384696948520833	0.509621794432116	0.287761489821067	0.260532337498266
"R3"	0.318915567235759	0.239431704274336	1.30883861681329	0.222881750970859	0.101264076667124	0.191070756552231	0.2531000480089	0.2531000480089	0.257209603976094	0.273853420579285	0.256597657148551	0.318915567235759	0.101997651405443	0.296455055152241	0.308838616813286	0.0349851962340011	0.0639028792899345	0.0622694431887175	0.158153411706547	0.0272842469547164	0.0272842469547164	0.0272842469547164	0.0622694431887175	0.0622694431887175	0.0349851962340011	0.636632428943382	0.428295945916986	0.305970811599543	0.383702035712237	0.434322045314017	0.404760905620128	0.430420671334983	0.349851962340011	0.355120468507762	0.481961384265556	0.276242200336127	0.249561245372426
"R4"	0.327635084552337	0.235533985201475	0.278602188713574	1.25650623705854	0.127469126406564	0.215854948793301	0.27130899100955	0.27130899100955	0.276287194644254	0.258884096198782	0.271328234912596	0.327635084552337	0.120732802035491	0.292751847780007	0.278602188713574	0.0197180925147914	0.0504384516570261	0.0477158714255666	0.135701305459275	0.0279977789107752	0.0279977789107752	0.0279977789107752	0.0477158714255666	0.0477158714255666	0.0197180925147914	0.653281507918087	0.346436057805673	0.207556542198288	0.403039786666965	0.457301584868875	0.433495305525513	0.460628129016773	0.197180925147914	0.26438557472586	0.512005985703912	0.413939185992748	0.387591519692547
"R5"	0.323639358040407	0.210669830323203	0.25316019166781	0.254938252813128	1.16257497826503	0.233277032126168	0.278988424799316	0.278988424799316	0.267454843721418	0.232772278286336	0.277495713891609	0.323639358040407	0.148778814894883	0.277111173648538	0.25316019166781	0.0203879133814743	0.0580137455365746	0.0544699797373311	0.122063317172378	0.0340820663558568	0.0340820663558568	0.0340820663558568	0.0544699797373311	0.0544699797373311	0.0203879133814743	0.795248214969991	0.344206326893786	0.196466204116736	0.275592597841715	0.331390282801578	0.311662075594754	0.339411646983915	0.203879133814743	0.252988760879912	0.627097202585005	0.541919832204695	0.516979826576327
"R6"	0.326302889230789	0.230927763053145	0.272958223646045	0.246691370049486	0.133301161214953	1.23321054670558	0.280410325930979	0.280410325930979	0.27470962451464	0.25365067846709	0.268857596260649	0.326302889230789	0.134699075793406	0.289363084059749	0.272958223646045	0.0193075451789546	0.0510861463280045	0.0481778944811591	0.117558148966515	0.0288703493022045	0.0288703493022045	0.0288703493022045	0.0481778944811591	0.0481778944811591	0.0193075451789546	0.673641483718106	0.479216338286148	0.201981470346178	0.283184585271687	0.339266650457883	0.449776065737134	0.476661825363199	0.193075451789546	0.263467644887278	0.529643352484165	0.436484957243604	0.410442279678227
"R7"	0.328669272814345	0.238803354527033	0.281222275565445	0.241163547564045	0.123994855466363	0.218096920168539	1.28197821485059	0.281978214850591	0.278218036143493	0.261959426396068	0.263775288749236	0.328669272814345	0.125214979589695	0.294863349992839	0.281222275565445	0.0192628491693772	0.049252693415645	0.0465580139711944	0.123990681605334	0.0272951648018172	0.0272951648018172	0.0272951648018172	0.0465580139711944	0.0465580139711944	0.0192628491693772	0.636887178709068	0.450810654227551	0.205831749946973	0.287649830046569	0.444045473016687	0.423390654045901	0.449768182920825	0.192628491693772	0.368218722351849	0.499830737437797	0.40215906618276	0.375621364683404
"R8"	0.328669272814345	0.238803354527033	0.281222275565445	0.241163547564045	0.123994855466363	0.218096920168539	0.281978214850591	1.28197821485059	0.278218036143493	0.261959426396068	0.263775288749236	0.328669272814345	0.125214979589695	0.294863349992839	0.281222275565445	0.0192628491693772	0.049252693415645	0.0465580139711944	0.123990681605334	0.0272951648018172	0.0272951648018172	0.0272951648018172	0.0465580139711944	0.0465580139711944	0.0192628491693772	0.636887178709068	0.450810654227551	0.205831749946973	0.287649830046569	0.444045473016687	0.423390654045901	0.449768182920825	0.192628491693772	0.368218722351849	0.499830737437797	0.40215906618276	0.375621364683404
"R9"	0.334000754834182	0.243799016642351	0.285788448862327	0.245588617461559	0.118868819431741	0.213663041289164	0.278218036143494	0.278218036143494	1.28830209521141	0.267383870277905	0.268527882781084	0.334000754834182	0.120099576511802	0.300264358783823	0.285788448862327	0.0184045785844217	0.0485427074726634	0.0405183845716439	0.127397700347895	0.0221138059872222	0.0221138059872222	0.0221138059872222	0.0405183845716439	0.0405183845716439	0.0184045785844217	0.515988806368518	0.453106130653251	0.209643143427149	0.39352946178498	0.449173069013678	0.426859657124413	0.453712445402521	0.184045785844217	0.371759975208523	0.502302148137361	0.401872637294544	0.374848845004
"R10"	0.330312925542306	0.24800179113384	0.304281578421428	0.23011919662114	0.103454345905038	0.197283861029959	0.261959426396068	0.261959426396068	0.267383870277905	1.28376043283244	0.265110601502502	0.330312925542306	0.104689822645606	0.307112864696205	0.304281578421428	0.0205211455889869	0.05025258521836	0.0476915591547867	0.14725245281451	0.0271704135657997	0.0271704135657997	0.0271704135657997	0.0476915591547867	0.0476915591547867	0.0205211455889869	0.633976316535327	0.447299903121373	0.317854592876453	0.398381591026679	0.450773476305893	0.423122042495739	0.44963310264599	0.205211455889869	0.371868565029152	0.495523993822885	0.285418611668227	0.257778453845568
"R11"	0.331209533608909	0.229851804256026	0.285108507942834	0.241180653255641	0.12333142839627	0.209111463758282	0.263775288749236	0.263775288749236	0.268527882781084	0.265110601502502	1.28355015601888	0.331209533608909	0.124505695782058	0.297734688685722	0.285108507942834	0.0199979064403327	0.0498075491488475	0.0474207600216812	0.145732656859817	0.0274228535813484	0.0274228535813484	0.0274228535813484	0.0474207600216812	0.0474207600216812	0.0199979064403327	0.639866583564797	0.447545368028807	0.313411531079788	0.393255470827959	0.446010528577806	0.318309394367216	0.446664409969104	0.199979064403327	0.264290811249892	0.496827378475246	0.398738843350465	0.37194272136875
"R12"	0.332815316493777	0.237086579850811	0.289923242941599	0.238280061492608	0.117687039287421	0.207647293146866	0.268911223211737	0.268911223211737	0.273273344864331	0.270256029989159	0.270989618407289	1.33281531649378	0.11876330546741	0.30120796858447	0.289923242941599	0.0196672129524398	0.0484224442441465	0.0460397344435367	0.139673450399324	0.0263725214910969	0.0263725214910969	0.0263725214910969	0.0460397344435367	0.0460397344435367	0.0196672129524398	0.61535883479226	0.430899407924491	0.294839556785322	0.37564563842289	0.429427883065237	0.403885209271513	0.430984171112242	0.196672129524398	0.350381193234712	0.479253854861777	0.378301471720459	0.351192754547856
