"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"
"R1"	1.14029968322192	0.140299683221922	0.271248304711453	0.303957952091483	0.303962700654183	0.303962700654183	0.303962700654183	0.303962700654183	0.120820605292908	0.320276565935906	0.303962700654183	0.303962700654183	0.303962700654183	0.303962700654183	0.303962700654183	0.230590794373609	0.200392892312643	0.199449724765174	0.236465930678379	0.236465930678379	0.254589021472316	0.466973816638271	0.236465930678379	0.254589021472316	0.236465930678379	0.254589021472316	0.254589021472316	0.485096907432208	0.467802597854187	0.449679507060251	0.466973816638271	0.0362530339593837
"R2"	0.140299683221922	1.14029968322192	0.271248304711453	0.303957952091483	0.303962700654183	0.303962700654183	0.303962700654183	0.303962700654183	0.120820605292908	0.320276565935906	0.303962700654183	0.303962700654183	0.303962700654183	0.303962700654183	0.303962700654183	0.230590794373609	0.200392892312643	0.199449724765174	0.236465930678379	0.236465930678379	0.254589021472316	0.466973816638271	0.236465930678379	0.254589021472316	0.236465930678379	0.254589021472316	0.254589021472316	0.485096907432208	0.467802597854187	0.449679507060251	0.466973816638271	0.0362530339593837
"R3"	0.104326271042866	0.104326271042866	1.27474753288685	0.307887475971447	0.307991522332102	0.307991522332102	0.307991522332102	0.307991522332102	0.126054958470188	0.324518868030349	0.307991522332102	0.307991522332102	0.307991522332102	0.307991522332102	0.307991522332102	0.249372816303374	0.203042856944329	0.203272569608795	0.309997570443864	0.309997570443863	0.328905814214392	0.347555028019296	0.309997570443864	0.328905814214392	0.309997570443864	0.328905814214392	0.328905814214392	0.366463271789824	0.347760310567071	0.328852066796542	0.347555028019296	0.036727434884994
"R4"	0.101319317363828	0.101319317363828	0.266835812508588	1.33332574695891	0.305045667439692	0.305045667439692	0.305045667439692	0.305045667439692	0.122424911452121	0.349902366253371	0.305045667439692	0.305045667439692	0.305045667439692	0.305045667439692	0.305045667439692	0.242619415878981	0.26440621333672	0.202603124710109	0.301075918085931	0.301075918085931	0.319439654803749	0.337550872336909	0.301075918085931	0.319439654803749	0.301075918085931	0.319439654803749	0.319439654803749	0.355914609054727	0.337718152863803	0.319354416145985	0.337550872336909	0.0996815529192865
"R5"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	1.31017763550324	0.310177635503242	0.310177635503242	0.310177635503242	0.122464770268502	0.326683032791652	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R6"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	1.31017763550324	0.310177635503242	0.310177635503242	0.122464770268502	0.326683032791652	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R7"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	0.310177635503242	1.31017763550324	0.310177635503242	0.122464770268502	0.326683032791652	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R8"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	0.310177635503242	0.310177635503242	1.31017763550324	0.122464770268502	0.326683032791652	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R9"	0.10068383774409	0.10068383774409	0.273119076685408	0.306062278630301	0.306161925671256	0.306161925671256	0.306161925671256	0.306161925671256	1.15726810842299	0.322591196864917	0.306161925671256	0.306161925671256	0.306161925671256	0.306161925671256	0.306161925671256	0.247292227603753	0.201836931403948	0.202020111756411	0.239292092244757	0.239292092244757	0.412882308508206	0.27553827383263	0.239292092244757	0.412882308508206	0.239292092244757	0.412882308508206	0.412882308508206	0.449128490096079	0.430581573025797	0.256991356762348	0.27553827383263	0.0365094915414697
"R10"	0.100086426854971	0.100086426854971	0.263671580274658	0.328033468362535	0.306265343242174	0.306265343242174	0.306265343242174	0.306265343242174	0.120971698824344	1.34927579033071	0.306265343242174	0.306265343242174	0.306265343242174	0.306265343242174	0.306265343242174	0.244644414055096	0.260962056658628	0.259628379611008	0.297564574039468	0.297564574039468	0.315710328863119	0.333595687707257	0.297564574039468	0.31571032886312	0.297564574039468	0.31571032886312	0.31571032886312	0.351741442530909	0.333393111476777	0.315247356653125	0.333595687707257	0.0955787713078544
"R11"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.122464770268502	0.326683032791652	1.31017763550324	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R12"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.122464770268502	0.326683032791652	0.310177635503242	1.31017763550324	0.310177635503242	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R13"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.122464770268502	0.326683032791652	0.310177635503242	0.310177635503242	1.31017763550324	0.310177635503242	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
"R14"	0.101320900218061	0.101320900218061	0.266925986021155	0.305045667439692	0.310177635503242	0.310177635503242	0.310177635503242	0.310177635503242	0.122464770268502	0.326683032791652	0.310177635503242	0.310177635503242	0.310177635503242	1.31017763550324	0.310177635503242	0.247797918250549	0.264174583812662	0.264456687635072	0.30123891902138	0.30123891902138	0.319608634561655	0.337714443099882	0.30123891902138	0.319608634561655	0.30123891902138	0.319608634561655	0.319608634561655	0.356084158640157	0.337499314771366	0.319129599231091	0.337714443099882	0.036678660640912
