"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.60367182380695	0.675421887940122	0.196712510761825	0.675421887940122	0.785152768830841	0.872134398701948	0.454642616755038	0.602251539728957	1.09284728201014	0.738644324755468	1.08335308687104	0.277720283416063	0.94202558848149
"R2"	0.506566415955092	1.75626024473208	0.125596648486084	0.756260244732077	0.808060210260471	0.881856893218161	0.428557237352883	0.869502188755588	0.697759158256022	0.998069359961453	1.02147211354212	0.27401800905275	0.876021275695231
"R3"	0.590137532285476	0.502386593944336	1.33747883342189	0.502386593944336	0.869470441035416	0.839865427366226	0.621432472739165	0.533754423587247	1.87488240789939	0.720184165408996	0.71079568327289	0.342934421208125	0.554291003886515
"R4"	0.506566415955092	0.756260244732077	0.125596648486084	1.75626024473208	0.808060210260471	0.881856893218161	0.428557237352883	0.869502188755588	0.697759158256022	0.998069359961453	1.02147211354212	0.27401800905275	0.876021275695231
"R5"	0.471091661298504	0.646448168208377	0.173894088207083	0.646448168208377	1.92412984861078	0.82034225641546	0.580803703788267	0.784906654598492	0.966078267817129	0.959147765734972	0.926234152988044	0.52058448388642	0.579890780238104
"R6"	0.523280639221169	0.705485514574529	0.167973085473245	0.705485514574529	0.82034225641546	1.87345860004777	0.46713228443014	0.80235263572192	0.933183808184695	0.942492321050962	0.959336827488271	0.287801291483825	0.811675221333488
"R7"	0.454642616755038	0.571409649803844	0.207144157579722	0.571409649803844	0.968006172980445	0.778553807383566	1.71199184043039	0.571515138877252	1.1508008754429	1.08511269100637	0.707907923903763	0.687838663265596	0.533666812767283
"C1"	0.451688654796718	0.869502188755589	0.133438605896812	0.869502188755589	0.981133318248115	1.0029407946524	0.428636354157939	1.74840932526211	0.74132558831562	0.877000231509489	0.883915921701123	0.305194903532042	0.707311924416462
"C2"	0.655708369206084	0.558207326604818	0.374976481579878	0.558207326604818	0.966078267817129	0.933183808184695	0.690480525265739	0.593060470652496	2.08320267544377	0.800204628232218	0.789772981414322	0.381038245786805	0.615878893207238
"C3"	0.443186594853281	0.798455487969163	0.144036833081799	0.798455487969163	0.959147765734972	0.942492321050962	0.651067614603821	0.701600185207591	0.800204628232218	1.89692046958874	0.834556163663576	0.367966882213441	0.661909565831281
"C4"	0.650011852122625	0.817177690833693	0.142159136654578	0.817177690833693	0.926234152988043	0.959336827488271	0.424744754342258	0.707132737360898	0.789772981414322	0.834556163663576	1.90213629299769	0.294145573840525	0.735414145459838
"C5"	0.416580425124094	0.5480360181055	0.171467210604062	0.5480360181055	1.30146120971605	0.719503228709562	1.03175799489839	0.610389807064085	0.952595614467013	0.919917205533603	0.735363934601313	1.54379041621841	0.501100916852424
"C6"	0.706519191361118	0.876021275695231	0.138572750971629	0.876021275695231	0.72486347529763	1.01459402666686	0.400250109575462	0.707311924416462	0.769848616509048	0.827386957289101	0.919267681824798	0.250550458426212	1.78879225627122
