"Agrostis_stolonifera"	"Angelica_sylvestris"	"Anthoxanthum_odoratum"	"Arrhenatherum_elatius"	"Chamerion_angustifolium"	"Cirsium_arvense"	"Cirsium_palustre"	"Cytisus_scoparius"	"Dactylis_glomerata"	"Deschampsia_cespitosa"	"Epilobium_ciliatum"	"Epilobium_montanum"	"Glechoma_hederaceae"	"Holcus_lanatus"	"Holcus_mollis"	"Lathyrus_pratensis"	"Lotus_ulginosus"	"Poa_pratensis"	"Poa_trivialis"	"Pteridium_aquilinum"	"Ranunculus_repens"	"Rubus_sp."	"Rumex_crispus"	"Rumex_obtusifolius"	"Senecio_jacobaea"	"Urtica_dioica"	"Capitophorus_carduinis"	"Aphis_fabae"	"Uroleucon_cirsii"	"Microlophium_carnosum"	"Aphis_urticata"	"Cavariella_pastinacae"	"Myzus_persicae"	"Brachycaudus_sp._A"	"Acyrthosiphon_pisum"	"Macrosiphun_funestum"	"Amphorophora_rubi"	"Aphis_ruborum"	"Aphis_rumicis"	"Metopolophium_albidum"	"Sitobion_fragariae"	"Sitobion_avenae"	"Megoura_viciae"	"Aphis_epilobii"	"Aphis_grossulariae"	"Sitobion_ptericolens"	"Ovatus_glechomae"	"Aphis_jacobaea"	"Aphis_salicariae"	"Brachycaudus_sp._B"	"Aphis_sarothamni"
"Agrostis_stolonifera"	1.46155675332911	0	0.461556753329107	0	0	0	0	0	0.461556753329107	0.461556753329107	0	0	0	0.461556753329107	0.461556753329107	0	0	0.461556753329107	0.461556753329107	0	0	0.570703868103996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128408370323399	0.128408370323399	0.128408370323399	0	0	2.24001268230818	2.11160431198478	0	0	0	0	0	0	0	0	0
"Angelica_sylvestris"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthoxanthum_odoratum"	0.461556753329107	0	1.46155675332911	0	0	0	0	0	0.461556753329107	0.461556753329107	0	0	0	0.461556753329107	0.461556753329107	0	0	0.461556753329107	0.461556753329107	0	0	0.570703868103996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128408370323399	0.128408370323399	0.128408370323399	0	0	2.24001268230818	2.11160431198478	0	0	0	0	0	0	0	0	0
"Arrhenatherum_elatius"	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0
"Chamerion_angustifolium"	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0
"Cirsium_arvense"	0	0	0	0	0	2.79890477639185	2.464253118345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.739275935503499	1.99878308487983	1.99878308487983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cirsium_palustre"	0	0	0	0	0	1.64283541223	3.62032248250685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08609674475205	1.82537268025555	1.82537268025555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cytisus_scoparius"	0	0	0	0	0	0	0	3.9267447615905	0	0	0	0	0	0	0	0	1.33641313314635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96980696254743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76703514271572
"Dactylis_glomerata"	0.461556753329107	0	0.461556753329107	0	0	0	0	0	1.46155675332911	0.461556753329107	0	0	0	0.461556753329107	0.461556753329107	0	0	0.461556753329107	0.461556753329107	0	0	0.570703868103996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128408370323399	0.128408370323399	0.128408370323399	0	0	2.24001268230818	2.11160431198478	0	0	0	0	0	0	0	0	0
"Deschampsia_cespitosa"	0.461556753329107	0	0.461556753329107	0	0	0	0	0	0.461556753329107	1.46155675332911	0	0	0	0.461556753329107	0.461556753329107	0	0	0.461556753329107	0.461556753329107	0	0	0.570703868103996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128408370323399	0.128408370323399	0.128408370323399	0	0	2.24001268230818	2.11160431198478	0	0	0	0	0	0	0	0	0
"Epilobium_ciliatum"	0	0	0	0	0	0	0	0	0	0	3.13157894736842	2.13157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0	0	0
"Epilobium_montanum"	0	0	0	0	0	0	0	0	0	0	2.13157894736842	3.13157894736842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0	0	0
