"Fuchsia_regia"	"Gaylussacia_brasiliensis"	"Aechmea_cylindrata"	"Nematanthus_australis"	"Vriesea_altodaserrae"	"Aegiphila_obducta"	"Nidularium_inocentii"	"Thalurania_glaucopis"	"Clytolaema_rubricauda"	"Stephanoxis_lalandi"	"Amazilia_versicolor"
"Fuchsia_regia"	1.86868363287046	0.300835110563745	1.08925847381876	0.868683632870458	0.567848522306714	0.283924261153357	0.283924261153357	1.57735700640754	1.57735700640754	1.33704493583887	0.24508315660922
"Gaylussacia_brasiliensis"	0.902505331691234	1.47853155954061	1.13166812751252	0.902505331691234	0.423973772150622	0.211986886075311	0.211986886075311	1.17770492264062	1.17770492264062	2.12680693129161	0.254625328690317
"Aechmea_cylindrata"	0.816943855364068	0.28291703187813	2.27829950515871	0.816943855364068	0.534026823485938	0.267013411742969	0.267013411742969	1.48340784301649	1.48340784301649	1.25740903056947	0.512617388660709
"Nematanthus_australis"	0.868683632870458	0.300835110563745	1.08925847381876	1.86868363287046	0.567848522306714	0.283924261153357	0.283924261153357	1.57735700640754	1.57735700640754	1.33704493583887	0.24508315660922
"Vriesea_altodaserrae"	0.85177278346007	0.211986886075311	1.06805364697188	0.85177278346007	1.63978589738476	0.31989294869238	0.31989294869238	1.777183048291	1.777183048291	0.942163938112494	0.240312070568672
"Aegiphila_obducta"	0.85177278346007	0.211986886075311	1.06805364697188	0.85177278346007	0.639785897384759	1.41655165990956	0.223234237475196	1.24019020819553	2.31417588838646	0.942163938112494	0.240312070568672
"Nidularium_inocentii"	0.85177278346007	0.211986886075311	1.06805364697188	0.85177278346007	0.639785897384759	0.223234237475196	1.41655165990956	2.31417588838646	1.24019020819553	0.942163938112494	0.240312070568672
"Thalurania_glaucopis"	0.946414203844523	0.235540984528124	1.18672627441319	0.946414203844523	0.710873219316399	0.248038041639106	0.462835177677293	2.57130654265163	1.37798912021726	1.04684882012499	0.267013411742969
"Clytolaema_rubricauda"	0.946414203844523	0.235540984528124	1.18672627441319	0.946414203844523	0.710873219316399	0.462835177677293	0.248038041639106	1.37798912021726	2.57130654265163	1.04684882012499	0.267013411742969
"Stephanoxis_lalandi"	1.00278370187915	0.531701732822902	1.25740903056947	1.00278370187915	0.471081969056247	0.235540984528124	0.235540984528124	1.30856102515624	1.30856102515624	2.36311881254623	0.28291703187813
"Amazilia_versicolor"	0.735249469827661	0.254625328690317	2.05046955464283	0.735249469827661	0.480624141137344	0.240312070568672	0.240312070568672	1.33506705871484	1.33506705871484	1.13166812751252	1.46135564979464
