"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"
"R1"	1.81699980181184	0.816999801811841	0.600421896918774	0.816999801811841	0.394736790570707	0.620311999894712	0.196687801917129	0.962568466191406	1.14269503526704	1.32032659102386	1.31125201278086
"R2"	0.816999801811841	1.81699980181184	0.600421896918774	0.816999801811841	0.394736790570707	0.620311999894712	0.196687801917129	0.962568466191406	1.14269503526704	1.32032659102386	1.31125201278086
"R3"	0.800562529225032	0.800562529225032	1.63924173387354	0.800562529225032	0.421666043963175	0.588672018154676	0.211890511070356	0.7169813126733	1.20875383283536	1.39850355261879	1.41260340713571
"R4"	0.816999801811841	0.816999801811841	0.600421896918774	1.81699980181184	0.394736790570707	0.620311999894712	0.196687801917129	0.962568466191406	1.14269503526704	1.32032659102386	1.31125201278086
"R5"	0.789473581141415	0.789473581141415	0.632499065944762	0.789473581141415	1.47276450422642	0.549232815715558	0.240240765425857	0.697664511985122	0.887414231768551	1.55015825867044	1.60160510283905
"R6"	0.827082666526282	0.827082666526282	0.588672018154676	0.827082666526282	0.366155210477039	1.67107360582114	0.156009060705141	1.05960288165158	1.23620448709799	1.40097433181265	1.04006040470094
"R7"	0.786751207668515	0.786751207668515	0.635671533211069	0.786751207668515	0.480481530851714	0.468027182115422	1.31872402555309	0.671465219810875	0.862166679774195	1.07838336865747	2.12482683702062
"C1"	0.962568466191406	0.962568466191406	0.537735984504975	0.962568466191406	0.348832255992561	0.794702161238687	0.167866304952719	1.88814436305081	1.0494651584023	1.20643967359895	1.11910869968479
"C2"	0.914156028213631	0.914156028213631	0.725252299701217	0.914156028213631	0.35496569270742	0.741722692258792	0.172433335954839	0.839572126721838	2.0571478166322	1.21688237835054	1.14955557303226
"C3"	0.880217727349238	0.880217727349238	0.699251776309395	0.880217727349238	0.516719419556814	0.700487165906327	0.179730561442911	0.804293115732634	1.01406864862545	2.24659238742602	1.19820374295274
"C4"	0.874168008520573	0.874168008520573	0.706301703567854	0.874168008520573	0.533868367613015	0.520030202350469	0.354137806170104	0.746072466456527	0.957962977526883	1.19820374295274	2.36091870780069
