"Arvicola_terrestris"	"Lagurus_lagurus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_oeconomus"	"Microtus_gregalis"	"Spermophilus_pygmaeus"	"Marmota_bobak"	"Allocricetulus_eversmanni"	"Neomys_fodiens"	"Sorex_araneus"	"Cricetulus_migratorius"	"Microtus_arvalis"	"Allactaga_major"	"Apodemus_uralensis"	"Spermophilus_major"	"Sicista_subtilis"	"Ellobius_talpinus"	"Megabothris_walkeri"	"Ctenophthalmus_breviatus"	"Citellophilus_tesquorum"	"Ctenophthalmus_assimilis"	"Neopsylla_pleskei"	"Amalaraeus_penicilliger"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Frontopsylla_elata"	"Stenoponia_ivanovi"	"Amphipsylla_sibirica"	"Amphipsylla_rossica"	"Mesopsylla_hebes"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Amphipsylla_kuznetzovi"	"Amphipsylla_prima"	"Pectinoctenus_pavlovskii"	"Oropsylla_ilovaiskii"	"Corrodopsylla_birulai"	"Amphipsylla_dumalis"	"Frontopsylla_elatoides"	"Leptopsylla_segnis"
"Arvicola_terrestris"	1.61684633574663	0.204492002642464	0.441594851881678	0.254609424217085	0.444821200761499	0.269762006706383	0.225795742557382	0.101854305354517	0.128200051952422	0.264306010405556	0.362050676727114	0.205472002905551	0.155707468041126	0.111184232278672	0.273943854283714	0.127654239944217	0.074863488330829	0	0.544423923472529	0.645322173608966	0.508755714041814	0.466642019423254	0.500995417389423	0.271497934679722	0.181823196646028	0.030556291606355	0.391642045315048	0.0400339080685349	0.0841933932567027	0.23226231869807	0.0623861508695508	0.0803766026926337	0.189675655405365	0.0841933932567027	0.0782253217010977	0.0658394416615927	0.145516170217197	0.0290308811859492	0.0407307011318003	0	0.0290308811859492	0.0336885697488731
"Lagurus_lagurus"	0.408984005284929	1.34542741308033	0.33819727830776	0.28018129332748	0.383524219505812	0.279387609394767	0.413982406859531	0.125360119871	0.157902319442769	0.258676578313449	0.324495459229864	0.228056295978691	0.114716933171693	0.148329985365104	0.262475836701951	0.137593969857878	0.0558661710438312	0	0.406271210535417	0.773956016490399	0.667324566834291	0.54593633924041	0.594985792844112	0.146505402975072	0.205075582026901	0.0376080359612999	0.261732210886828	0.0345171797555231	0.0683369075862991	0.105740820182675	0.0977253050628994	0.0753072259103772	0.0706282883064196	0.0683369075862991	0.076544373754645	0.295403243807828	0.0368085604756436	0.0532263094533683	0.0365057391633598	0	0.0532263094533683	0.025139776969724
"Clethrionomys_glareolus"	0.490660946535197	0.187887376837644	1.58813586361589	0.241928446736374	0.529503015507104	0.257120712727002	0.226222076632209	0.119005588328366	0.11137224150079	0.260991936789857	0.362142963319102	0.210740569936992	0.115892627479172	0.0907655237913968	0.28587752994004	0.109997083219394	0.0749133918403107	0	0.544786832883148	0.518690602669855	0.392079345637096	0.482076948078562	0.510540293626451	0.286595784414162	0.304415890506762	0.0357016764985097	0.41196795323733	0.0476552713956393	0.206468857757229	0.126582544827559	0.0563153527044174	0.0798898738918776	0.202973071549757	0.206468857757229	0.0839445384060953	0.0629054233977743	0.0441594851881678	0.0290856955669983	0.040741083373399	0	0.0290856955669983	0.0337110263281398
"Cricetus_cricetus"	0.424349040361808	0.233484411106233	0.36289267010456	1.36192771179856	0.499359831474907	0.285650979544104	0.25214074346521	0.111765052322958	0.147447703463105	0.272307593645867	0.340639791688481	0.229856641020873	0.133632484281025	0.127668340819544	0.250720629995912	0.145634459079704	0.0836798105639859	0	0.608538177934764	0.729181193542202	0.598510463510206	0.525363273287504	0.573363685210805	0.15041075170736	0.181219168178872	0.0335295156968873	0.279046922518597	0.0449423848327416	0.0812316518431977	0.123223543749612	0.0707185978342472	0.0791681156118342	0.0744806806430188	0.0812316518431977	0.249231541602526	0.074445289587506	0.0381914136325627	0.0324180955883841	0.0383219765649542	0	0.0324180955883841	0.0376559147537937
"Microtus_oeconomus"	0.4448212007615	0.191762109752906	0.476552713956393	0.299615898884944	1.71194580682522	0.260660659954161	0.200006511050876	0.0840852189503508	0.117354008683798	0.264441009610567	0.3344718160336	0.193134611291644	0.15857387258118	0.0962345980949968	0.236123017091587	0.117071569023041	0.0763032721900803	0	0.554894351648973	0.632629944970096	0.378913995521212	0.473035648968936	0.507587629042833	0.160735711331692	0.168778642526377	0.0252255656851053	0.393576084380671	0.154075122614269	0.201730394009909	0.241681192457158	0.0545855022778974	0.0772942307453651	0.0876891794641743	0.201730394009909	0.199017507447011	0.0602323026049215	0.040033908068535	0.0257151228493984	0.03762807930378	0	0.0257151228493984	0.0343364724855361
"Microtus_gregalis"	0.449603344510638	0.232823007828973	0.385681069090503	0.285650979544104	0.434434433256935	1.30547746191627	0.253140057396494	0.113051013520484	0.146740846422853	0.295352993583612	0.369131655081022	0.229976561001573	0.131892518967419	0.127272437012155	0.27490798875086	0.144901257698659	0.0831202691542845	0	0.60446906846088	0.726391743992869	0.595809933131507	0.525775373083189	0.569957209677699	0.161795917424252	0.187661969066228	0.0339153040561453	0.441019584742359	0.0390990989931242	0.0776672059021744	0.119131155689307	0.0707283099117671	0.0858302602341569	0.0790324079150077	0.0776672059021744	0.0819467459247397	0.0744547202173358	0.0404643010059574	0.0325465788081207	0.041527311196615	0	0.0325465788081207	0.037404121119428
"Spermophilus_pygmaeus"	0.322565346510546	0.29570171918538	0.290856955669983	0.216120637255894	0.285723587215538	0.216977192054138	1.88778661994492	0.175751426486327	0.132950663532486	0.186314835336661	0.238327351530223	0.233378023775069	0.10002476431663	0.244730468860023	0.259940177662359	0.129902664591448	0.046105460809217	0	0.335289156662584	0.733693102116259	0.67593692557012	0.295772762449222	0.338674979139126	0.123919430449451	0.405525617006109	0.0527254279458981	0.21012835740747	0.0257151228493984	0.0548008184163968	0.0847534333303367	0.316134563222354	0.0547590523476492	0.0581165767529475	0.0548008184163967	0.0581332184377825	0.295941732017715	0.0290308811859492	0.242715422564347	0.0268118270471501	0	0.242715422564347	0.0207474573641476
"Marmota_bobak"	0.339514351181722	0.208933533118332	0.357016764985097	0.223530104645916	0.280284063167836	0.226102027040968	0.410086661801429	1.63950484298294	0.138605056625536	0.175237151513585	0.230082551029632	0.289909123266583	0.0867941959567808	0.152033609763453	0.320519520822657	0.136589473533658	0.0484148633007152	0	0.352083644781312	0.520198271744774	0.908616040449645	0.296784177345572	0.34247140839782	0.140220183219097	0.680540127650673	0.491851452894882	0.225646625687385	0.0252255656851052	0.0609272421836149	0.0818201160784945	0.0983355108749338	0.0521698597178714	0.0662579681048646	0.0609272421836149	0.0587550813819926	0.0903334639071979	0.030556291606355	0.0527254279458981	0.0258842869908336	0	0.0527254279458981	0.0217866884853218
"Allocricetulus_eversmanni"	0.427333506508074	0.263170532404615	0.334116724502369	0.29489540692621	0.391180028945993	0.293481692845705	0.310218214909133	0.138605056625536	1.1880402546363	0.262917261275786	0.32968323320373	0.259462181669393	0.126779222174507	0.162979572950263	0.262794308666806	0.158270787108515	0.0592299093839035	0	0.430733063241832	0.902648921037405	0.794463515840787	0.358651250666529	0.72234737345789	0.148380198071404	0.201000727498155	0.0415815169876609	0.267046243794767	0.0352062026051394	0.0686178750553763	0.111699984843218	0.0887790709448247	0.0765269529267875	0.0718716880359636	0.0686178750553763	0.0794405136440708	0.0872558948925763	0.0384600155857267	0.0398851990597457	0.0370893637354196	0	0.0398851990597456	0.0266534592227566
"Neomys_fodiens"	0.440510017342593	0.215563815261208	0.391487905184785	0.272307593645867	0.440735016017612	0.295352993583612	0.217367307892771	0.0876185757567925	0.131458630637893	1.3787150469931	0.464003610792764	0.21277896396765	0.132403186787939	0.106255216686965	0.261757069358913	0.129884679135232	0.0849582656911463	0	0.617835387720614	0.71778180428993	0.405672606275851	0.540682642019324	0.579156884321032	0.170258658697335	0.170945362464029	0.0262855727270378	0.461035016225426	0.0396661514415851	0.0788149419600636	0.1190330090388	0.0598237903065887	0.259007663263151	0.0787946920793119	0.0788149419600636	0.0805122904884651	0.0667487120475166	0.0396459015608334	0.0279472253004992	0.052200406214186	0	0.0279472253004992	0.0382312195610158
