"Pyrostria_fasciculata"	"Labourdonnaisia_callophylloides"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Gaertnera_sp1_M_PL_069"	"Syzygium_petrinese"	"Diospyros_revaughanii"	"Euodia_obtusifolia"	"Embelia_angustifolia"	"Memecylon_ovatifolium"	"Syzygium_commersonii"	"Tristhema_mauritiana"	"Tabernaemontana_persicarifolia"	"Xyris_sp1_M_PL_069"	"Apis_mellifera"	"Technomyrmex_albipes"	"Chrysomya_megacephala"	"Musca_domestica"	"Hydrillodes_sp1_M_PL_069"	"Brachymyrmex_sp1_M_PL_069"	"Nacoleia_sp1_M_PL_069"	"Phorinia_sp1_M_PL_069"	"Paragus_borbonicus"	"Stomorhina_lunata"	"Dolichopodidae_sp1_M_PL_069"	"Graphomya_maculata"	"Panara_naso"	"Phelsuma_cepediana"	"Trirhithrum_sp1_M_PL_069"	"Villa_unifasciata"	"Allograpta_sp1_M_PL_069"	"Conocephalus_sp1_M_PL_069"	"Macroglossum_milvus"	"Melanostoma_annulipes"	"Pteromalidae_sp1_M_PL_069"	"Scopariinae_sp1_M_PL_069"	"Stomoxys_calcitrans"	"Strictopterinae_sp1_M_PL_069"	"Syritta_sp1_M_PL_069"
"Pyrostria_fasciculata"	1.77718013797098	0.407905688361987	0.523769281678892	0.615123744021878	0.785541526989019	0.0652050673442812	0.423659025922342	0.129637653603973	0.089302692947908	0.245078737430402	0.135549271120901	0.0652050673442812	0	0	0.638585608503059	0.362250374134895	0.24854110216164	0.538829466431745	0.10099819632716	0.0615123744021878	0.688011708240332	0.148837821579847	0.0860305314322922	0.148837821579847	0.0471392353511003	0.108651609753288	0.420890621161936	0.156320452836932	0.0471392353511003	0.442264131343372	0.0953232808325269	0	0.10099819632716	0.038891296081192	0.0471392353511003	0.10099819632716	0.0471392353511003	0	0.0615123744021878
"Labourdonnaisia_callophylloides"	0.679842813936645	1.6326404309195	0.373649384409233	0.584241795552184	0.592508012189487	0.179754138816506	0.445141582140531	0.100445594038691	0.0756596910838761	0.137608433199539	0.281911879634151	0.179754138816506	0	0	0.788500293333284	0.998634104536146	0.198365903930876	0.276348125600438	0.0761796015672197	0.0584241795552184	0.419056138552446	0.126099485139794	0.0637621228084382	0.126099485139794	0.0336284445968309	0.0920526241520493	0.198551308075816	0.227017201816987	0.0336284445968309	0.612163835784445	0.100156855981619	0	0.0761796015672197	0.0301336782116073	0.0336284445968309	0.0761796015672197	0.0336284445968309	0	0.0584241795552184
"Stillingia_lineata"	0.261884640839446	0.11209481532277	2.61340512583733	0.856729923701444	0.3591531923778	0.0399445094810802	0.143058431552304	0.357214357265215	0.263736537283976	0.14774210153076	0.0682497500636376	0.0399445094810802	0	0	0.159132666067202	0.221913941561557	0.474220599895072	0.434502634735446	0.0461768390200029	0.0856729923701444	0.277661159529358	0.439560895473293	0.342370768504924	0.439560895473293	0.23520646132536	0.320879453695504	0.0933160743711031	0.0629005346279053	0.23520646132536	0.0807676799479312	0.0321881470992684	0	0.0461768390200029	0.107164307179565	0.23520646132536	0.0461768390200029	0.23520646132536	0	0.0856729923701444
"Syzygium_coriaceum"	0.341735413345488	0.194747265184061	0.951922137446048	2.13154387474223	0.433513638270318	0.0893187779283643	0.235661888088593	0.224322155983906	0.245611545077562	0.183544497108881	0.141917923633021	0.0893187779283643	0	0	0.228697946554952	0.496215432935357	0.421861494417152	0.442934777945552	0.0557374677776124	0.213154387474223	0.466023178172953	0.409352575129271	0.152969639165316	0.409352575129271	0.0856729923701444	0.298827379844368	0.1172498421798	0.116886990454793	0.0856729923701444	0.119936553957406	0.0530239248199333	0	0.0557374677776124	0.0672966467951719	0.0856729923701444	0.0557374677776123	0.0856729923701444	0	0.213154387474223
"Gaertnera_sp1_M_PL_069"	0.561101090706442	0.253932005224066	0.513075989111143	0.557374677776124	2.33227993010523	0.0480063612100826	0.372565015028234	0.210767437228317	0.0837651836692728	0.174787205246292	0.107496638221557	0.0480063612100826	0	0	0.560869488717833	0.266702006722681	0.465009100408212	0.281566745485606	0.299864562442101	0.0557374677776124	0.619081597289057	0.139608639448788	0.109407070188498	0.139608639448788	0.0461768390200029	0.101914306797615	0.400862758769261	0.132200615581053	0.0461768390200029	0.177177797894379	0.0838271283813526	0	0.299864562442101	0.0632302311684953	0.0461768390200029	0.299864562442101	0.0461768390200029	0	0.0557374677776124
"Syzygium_petrinese"	0.326025336721406	0.539262416449519	0.399445094810802	0.803869001355279	0.336044528470579	1.36386427890191	0.333118650071828	0.0987196780763824	0.0956194180836986	0.104776570609282	0.498548642284245	0.363864278901913	0	0	0.338620706899944	2.02146821612174	0.189158587180489	0.22217097605253	0.0432057250890744	0.0803869001355279	0.304378338874793	0.159365696806164	0.0655659619558869	0.159365696806164	0.0359500585329722	0.1163369586685	0.101890285698927	0.299298585294071	0.0359500585329722	0.220463285544709	0.0749516962661612	0	0.0432057250890744	0.0296159034229147	0.0359500585329722	0.0432057250890744	0.0359500585329722	0	0.0803869001355279
"Diospyros_revaughanii"	0.529573782402927	0.333856186605398	0.35764607888076	0.530239248199333	0.651988776299409	0.0832796625179569	1.97069289584372	0.0995611113977166	0.0700373193856452	0.19837957416924	0.354623596516782	0.0832796625179569	0	0	0.722713166760336	0.462664791766427	0.198907533719869	0.269806161127886	0.0838271283813526	0.0530239248199333	0.764851043974808	0.116728865642742	0.0620564805185833	0.116728865642742	0.0321881470992684	0.0852120719192017	0.179150409213879	0.602986519997389	0.0321881470992684	0.195480136814146	0.443405901564837	0	0.0838271283813526	0.029868333419315	0.0321881470992684	0.0838271283813526	0.0321881470992684	0	0.0530239248199333
"Euodia_obtusifolia"	0.216062756006622	0.100445594038691	1.19071452421738	0.672966467951719	0.491790686866074	0.0329065593587941	0.132748148530289	2.08853925097257	0.143392564910742	0.102569034064366	0.0581157484607973	0.0329065593587941	0	0	0.162123538880609	0.182814218659967	0.864252960435003	0.259508315384893	0.0632302311684952	0.0672966467951719	0.245442572793139	0.23898760818457	0.733726082471336	0.23898760818457	0.107164307179565	0.174460953974736	0.102121527249687	0.0560204202266738	0.107164307179565	0.0690249742927992	0.029868333419315	0	0.0632302311684952	0.626561775291771	0.107164307179565	0.0632302311684952	0.107164307179565	0	0.0672966467951718
"Embelia_angustifolia"	0.22325673236977	0.113489536625814	1.31868268641988	1.10525195284903	0.293178142842455	0.0478097090418493	0.14007463877129	0.215088847366113	1.55825203046249	0.122530659770826	0.0777332491754765	0.0478097090418493	0	0	0.143444199189016	0.265609494676941	0.331427623923699	0.324531645786123	0.0376943326511727	0.110525195284903	0.275061330383046	0.930420050770811	0.183208095987623	0.930420050770811	0.118681441777789	0.229206637062692	0.0778805444777314	0.0664967558525048	0.118681441777789	0.0742330728143028	0.0315167937235404	0	0.0376943326511728	0.064526654209834	0.118681441777789	0.0376943326511728	0.118681441777789	0	0.110525195284903
"Memecylon_ovatifolium"	0.612696843576006	0.206412649799308	0.738710507653799	0.825950236989964	0.61175521836202	0.052388285304641	0.39675914833848	0.153853551096549	0.122530659770826	1.37364962568931	0.1160628828513	0.052388285304641	0	0	0.340134277520463	0.291046029470228	0.273889277077634	0.877506732791708	0.0786542423608312	0.0825950236989964	0.978947837839856	0.20421776628471	0.112640011017807	0.20421776628471	0.0664839456888419	0.149078969387838	0.188939674204512	0.141499105659243	0.0664839456888419	0.172209226783474	0.0892708083761579	0	0.0786542423608312	0.0461560653289647	0.0664839456888419	0.0786542423608312	0.0664839456888419	0	0.0825950236989964
