"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Paragenipa_wrightii"	"Paraserianthes_falcataria"	"Ochna_kirkii"	"Memecylon_eleagni"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Xylocopa_caffra"	"Unidentified_sp2_M_PL_111"	"Megachile_seychellensis"	"Physiphoa_azurea"	"Lygistorrhina_sp1_M_PL_111"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_111"	"Phelsuma_sp1_M_PL_111"	"Hemipyrellia_sp1_M_PL_111"	"Parasarcophaga_hirticeps"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_111"	"Unidentified_sp4_M_PL_111"
"Canthium_bibracteatum"	1.90933167864849	1.17253316247954	0.566541731746773	0.625979708188465	0.362749716332866	0.264807292922992	0.096407311494724	0.264807292922992	0.899478443117351	0.865903509702597	0.565048548028023	0.552326964586798	0.214238469988276	0.081175372787045	0.175072329015315	0.343679702156729	0.175072329015315	0.081175372787045	0.081175372787045	0.081175372787045	0.0938969562282698	0.0938969562282698	0.081175372787045	0.10882491489986	0.081175372787045	0.081175372787045	0.081175372787045
"Nephrosperma_vanhoutteanum"	0.450974293261361	3.15622809639796	0.339449172608612	0.61846075425352	0.26027730430521	0.190002432142803	0.0577634096245747	0.190002432142803	0.625144915825466	0.641537965126556	0.250320549762011	0.37605953560538	0.128363132499055	0.218508098981397	0.311277212119425	0.0811753727870449	0.311277212119425	0.218508098981397	0.218508098981397	0.218508098981397	0.092769113138028	0.092769113138028	0.218508098981397	0.078083191291563	0.218508098981397	0.218508098981397	0.218508098981397
"Psidium_cattleianum"	0.708177164683466	1.10320981097799	1.81486843981354	0.576182405270774	0.305645292405256	0.223121063455837	0.308832654674152	0.223121063455837	0.904695897269837	0.582777859102408	0.622244649391686	0.612193352438007	0.686294788164783	0.0763760638369376	0.162803424627554	0.127471889643024	0.162803424627554	0.0763760638369377	0.0763760638369376	0.0763760638369377	0.0864273607906162	0.0864273607906162	0.0763760638369377	0.0916935877215767	0.0763760638369376	0.0763760638369376	0.0763760638369376
"Premna_serratifolia"	0.521649756823721	1.33999830088263	0.38412160351385	2.2835920372443	0.271719904643212	0.198355530389545	0.0653652308500458	0.198355530389545	0.533129378900468	0.789240823696497	0.522863122605531	0.273093430156914	0.145256068555657	0.0927691131380279	0.435307918724673	0.0938969562282697	0.435307918724673	0.0927691131380279	0.0927691131380279	0.092769113138028	0.342538805586645	0.342538805586645	0.092769113138028	0.0815159713929635	0.092769113138028	0.0927691131380279	0.0927691131380279
"Paragenipa_wrightii"	0.604582860554776	1.12786831865591	0.407527056540341	0.543439809286424	1.83349258461189	0.338449586766683	0.0693480915541336	0.338449586766683	1.13325409738658	1.12307648105797	0.2820344740144	0.278601693912999	0.154106870120297	0.078083191291563	0.159599162684527	0.10882491489986	0.159599162684527	0.078083191291563	0.078083191291563	0.078083191291563	0.0815159713929636	0.0815159713929636	0.078083191291563	0.550047775383568	0.078083191291563	0.078083191291563	0.078083191291563
"Paraserianthes_falcataria"	0.66201823230748	1.23501580892822	0.446242126911673	0.595066591168634	0.507674380150024	1.37060229750952	0.0759361602517764	0.370602297509518	1.24091323663831	1.22976874675848	0.308827749045768	0.305068854834734	0.168747022781725	0.0855010944642615	0.174761083139557	0.119163281815346	0.174761083139557	0.0855010944642615	0.0855010944642615	0.0855010944642615	0.0892599886752951	0.0892599886752951	0.0855010944642615	0.152302314045007	0.0855010944642615	0.0855010944642615	0.0855010944642615
"Ochna_kirkii"	0.48203655747362	0.750924325119471	1.23533061869661	0.392191385100275	0.208044274662401	0.151872320503553	1.89088609267736	0.151872320503553	0.615801409066024	0.396680727624328	0.42354467731703	0.416703038214106	1.97974687261637	0.0519870686621172	0.110815776427158	0.0867665803452515	0.110815776427159	0.0519870686621172	0.0519870686621172	0.0519870686621172	0.0588287077650413	0.0588287077650413	0.0519870686621172	0.0624132823987203	0.0519870686621172	0.0519870686621172	0.0519870686621172
"Memecylon_eleagni"	0.66201823230748	1.23501580892822	0.446242126911673	0.595066591168634	0.507674380150024	0.370602297509518	0.0759361602517764	1.37060229750952	1.24091323663831	1.22976874675848	0.308827749045768	0.305068854834734	0.168747022781725	0.0855010944642615	0.174761083139557	0.119163281815346	0.174761083139557	0.0855010944642615	0.0855010944642615	0.0855010944642615	0.0892599886752951	0.0892599886752951	0.0855010944642615	0.152302314045007	0.0855010944642615	0.0855010944642615	0.0855010944642615
"Apis_mellifera"	0.749565369264459	1.35448065095518	0.603130598179891	0.533129378900468	0.566627048693291	0.413637745546103	0.102633568177671	0.413637745546103	1.90665997403138	0.850924996275973	0.350595557893148	0.364397888431898	0.228074595950379	0.0937717373738199	0.17374114420889	0.134921766467602	0.17374114420889	0.0937717373738199	0.0937717373738199	0.0937717373738199	0.0799694068350702	0.0799694068350702	0.0937717373738199	0.169988114607987	0.0937717373738199	0.0937717373738199	0.0937717373738199
"Lasioglossum_mahense"	0.721586258085497	1.38999892444087	0.388518572734938	0.789240823696497	0.561538240528984	0.409922915586159	0.0661134546040546	0.409922915586159	0.850924996275972	1.88189444096509	0.335688328875225	0.313532900089734	0.14691878800901	0.0962306947689834	0.214616818323458	0.129885526455389	0.214616818323458	0.0962306947689834	0.0962306947689834	0.0962306947689835	0.118386123554475	0.118386123554475	0.0962306947689835	0.168461472158695	0.0962306947689835	0.0962306947689834	0.0962306947689834
