"Dillenia_ferruginea"	"Erythroxylum_sechellarum"	"Campnosperma_seychellarum"	"Craterispermum_microdon"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Memecylon_eleagni"	"Colea_seychellarum"	"Cinnamomum_verum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp1_M_PL_100"	"Lygistorrhina_sp1_M_PL_100"	"Scaptodrosophila_sp1_M_PL_100"	"Eristalinus_vicarians"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Phelsuma_sp1_M_PL_100"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_100"	"Unidentified_sp3_M_PL_100"
"Dillenia_ferruginea"	2.83863863598244	1.15796636707488	0	0.586458342839933	0	0	0.340047274419793	0	0.340047274419793	1.51132121964353	1.16314237996587	0	0	0.26390625427797	0	0	0	0.63869369309605	0	0.63869369309605	0.260542432591848	0.260542432591848
"Erythroxylum_sechellarum"	1.15796636707488	2.83863863598244	0	0.586458342839933	0	0	0.340047274419793	0	0.340047274419793	1.51132121964353	1.16314237996587	0	0	0.26390625427797	0	0	0	0.260542432591848	0	0.260542432591848	0.63869369309605	0.63869369309605
"Campnosperma_seychellarum"	0	0	5.26315789473684	0	0	0	0	0	0	0	0	2.36842105263158	0	0	0	0	0	0	2.36842105263158	0	0	0
"Craterispermum_microdon"	1.17291668567987	1.17291668567987	0	2.51813859253648	0	0	0.199592965420314	0	0.199592965420314	0.887079846312505	1.66097487519736	0	0	1.13316236664142	0	0	0	0.26390625427797	0	0.26390625427797	0.26390625427797	0.26390625427797
"Soulamea_terminaloides"	0	0	0	0	4.28983417447729	0.973323720259553	0	0	0	0	0	0	2.16294160057679	0	1.28695025234319	0	1.28695025234319	0	0	0	0	0
"Excoecaria_benthiamiana"	0	0	0	0	2.91997116077866	2.34318673395818	0	0	0	0	0	0	2.98485940879596	0	0.875991348233598	0	0.875991348233598	0	0	0	0	0
"Memecylon_eleagni"	1.36018909767917	1.36018909767917	0	0.399185930840627	0	0	1.57179688426893	0	0.571796884268935	2.54131948563971	0.79171876283391	0	0	0.179633668878282	0	0	0	0.306042546977814	0	0.306042546977814	0.306042546977814	0.306042546977814
"Colea_seychellarum"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"Cinnamomum_verum"	1.36018909767917	1.36018909767917	0	0.399185930840627	0	0	0.571796884268935	0	1.57179688426893	2.54131948563971	0.79171876283391	0	0	0.179633668878282	0	0	0	0.306042546977814	0	0.306042546977814	0.306042546977814	0.306042546977814
"Lasioglossum_mahense"	1.51132121964353	1.51132121964353	0	0.443539923156252	0	0	0.635329871409928	0	0.635329871409928	2.82368831737746	0.8796875142599	0	0	0.199592965420313	0	0	0	0.340047274419793	0	0.340047274419793	0.340047274419793	0.340047274419793
"Apis_mellifera"	1.55085650662116	1.55085650662116	0	1.10731658346491	0	0	0.26390625427797	0	0.26390625427797	1.17291668567987	2.19617789053873	0	0	0.498292462559207	0	0	0	0.34894271398976	0	0.34894271398976	0.34894271398976	0.34894271398976
"Unidentified_sp1_M_PL_100"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	3.13157894736842	0	0	0	0	0	0	2.13157894736842	0	0	0
"Lygistorrhina_sp1_M_PL_100"	0	0	0	0	3.24441240086518	1.49242970439798	0	0	0	0	0	0	3.31651045421774	0	0.973323720259553	0	0.973323720259553	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_100"	1.05562501711188	1.05562501711188	0	2.26632473328283	0	0	0.179633668878282	0	0.179633668878282	0.798371861681254	1.49487738767762	0	0	2.01984612997727	0	0	0	0.237515628850173	0	0.237515628850173	0.237515628850173	0.237515628850173
"Eristalinus_vicarians"	0	0	0	0	3.86085075702956	0.875991348233598	0	0	0	0	0	0	1.94664744051911	0	2.15825522710887	0	1.15825522710887	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0	0	3.86085075702956	0.875991348233598	0	0	0	0	0	0	1.94664744051911	0	1.15825522710887	0	2.15825522710887	0	0	0	0	0
"Phelsuma_sp1_M_PL_100"	2.5547747723842	1.04216973036739	0	0.52781250855594	0	0	0.306042546977814	0	0.306042546977814	1.36018909767917	1.04682814196928	0	0	0.237515628850173	0	0	0	1.57482432378644	0	0.574824323786445	0.234488189332663	0.234488189332663
"Rhiparida_seychellensis"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	2.13157894736842	0	0	0	0	0	0	3.13157894736842	0	0	0
"Cratopus_aurostriatus"	2.5547747723842	1.04216973036739	0	0.52781250855594	0	0	0.306042546977814	0	0.306042546977814	1.36018909767917	1.04682814196928	0	0	0.237515628850173	0	0	0	0.574824323786445	0	1.57482432378644	0.234488189332663	0.234488189332663
"Unidentified_sp2_M_PL_100"	1.04216973036739	2.5547747723842	0	0.52781250855594	0	0	0.306042546977814	0	0.306042546977814	1.36018909767917	1.04682814196928	0	0	0.237515628850173	0	0	0	0.234488189332663	0	0.234488189332663	1.57482432378644	0.574824323786445
"Unidentified_sp3_M_PL_100"	1.04216973036739	2.5547747723842	0	0.52781250855594	0	0	0.306042546977814	0	0.306042546977814	1.36018909767917	1.04682814196928	0	0	0.237515628850173	0	0	0	0.234488189332663	0	0.234488189332663	0.574824323786445	1.57482432378644
