"Pimelodus_albicans"	"Pseudoplatystoma_corruscans"	"Gymnotus_carapo"	"Colossoma_mitrei"	"Pterodoras_granulosus"	"Salminus_brasiliensis"	"Serrasalmus_spilopleura"	"Luciopimelodus_pati"	"Pseudoplatystoma_fasciatum"	"Aequidens_portalegrensis"	"Hoplias_malabaricus"	"Leporinus_obtusidens"	"Potamotrygon_motoro"	"Ageneiosus_inermis"	"Auchenipterus_nigripinnis"	"Paulicea_luetkeni"	"Pimelodus_clarias"	"Prochilodus_lineatus"	"Ageneiosus_brevifilis"	"Ageneiosus_militaris"	"Auchenipterus_nuchalis"	"Jenynsia_lineata"	"Sorubim_lima"	"Triportheus_paranensis"	"Zungaro_zungaro"	"Acestrorhynchus_pantaneiro"	"Apareiodon_affinis"	"Astyanax_bimaculatus"	"Brycon_orbygnianus"	"Cheirodon_piaba"	"Ephyppicharax_orbicularis_paraguayensis"	"Holoshestes_pequira"	"Hoplosternum_littorale"	"Hyphessobrycon_callistus"	"Lepidosiren_paradoxa"	"Leporinus_maculatus"	"Leporinus_sp."	"Metynnis_maculatus"	"Oligosarcus_jenynsii"	"Oxydoras_kneri"	"Pimelodella_gracilis"	"Pimelodella_howesi"	"Pimelodus_argenteus"	"Pimelodus_clarias_maculatus"	"Pimelodus_maculatus"	"Pimelodus_ornatus"	"Potamotrygon_falkneri"	"Potamotrygon_s_Province"	"Pseudopimelodus_zungaro"	"Salminus_maxillosus"	"Serrasalmus_marginatus"	"Serrasalmus_nattereri"	"Serrasalmus_sp."	"Thoracocharax_stellatus"	"Genarchella_genarchella"	"Genarchella_parva"	"Procamallanus_(Spirocamallanus)_inopinatus"	"Cucullanus_pinnai"	"Therodamas_fluviatilis"	"Dolops_longicauda"	"Crepidostomum_macrorchis"	"Genarchella_szidati"	"Argulus_nattereri"	"Argulus_salminei"	"Henneguya_sp."	"Ageneiella_brevifilis"	"Gibsoniela_meursaulti"	"Monticellia_magna"	"Dadaytrema_oxycephala"	"Travassosinia_dilatata"	"Rondonia_rondoni"	"Spectatus_spectatus"	"Lernaea_argentinensis"	"Myxobolus_paranensis"	"Amphocleithrum_paraguayensis"	"Demidospermus_armostus"	"Demidospermus_bidiverticulatum"	"Demidospermus_idolus"	"Demidospermus_majusculus"	"Demidospermus_sp"	"Unibarra_paranoplatensis"	"Vancleaveus_janauacaensis"	"Scleroductus_yuncensi"	"Monogenea_n.n."	"Jauella_glandicephala"	"Luciaella_ivanovae"	"Monticellia_belavistensis"	"Monticellia_ventrei"	"Spatulifer_maringaensis"	"Spatulifer_rugosa"	"Travassiella_avitellina"	"Peltidocotyle_rugosa"	"Rudolphiella_szidati"	"Nomimoscolex_chubbi"	"Nomimoscolex_dechambrieri"	"Nomimoscolex_guillermoi"	"Nomimoscolex_lopesi"	"Acanthobothrium_ramiroi"	"Rhinebothrium_paranaensis"	"Rhinebothroides_campbelli"	"Rhinebothroides_mclennanae"	"Paroncomegas_araya"	"Creptotrema_creptotrema"	"Creptotrematina_dispar"	"Creptotrematina_dissimilis"	"Curumai_curumai"	"Prosorhynchoides_cambapuntaensis"	"Rhipidocotyle_santanaensis"	"Diplostomulum_gymnoti"	"Neodiplostomulum_gymnoti"	"Sphinclerodiplostomum_musculosum"	"Kalipharynx_piramboae"	"Chalcinotrema_salobrensis"	"Saccocoelioides_elongatus"	"Saccocoelioides_szidati"	"Herpetodiplostomulum_gymnoti"	"Cystodiplostomulum_gymnoti"	"Tetracotyloides_gymnoti"	"Tylodelphylus_jenynsiae"	"Tylodelphylus_sp."	"Digenea_n.n."	"Eustrongylides_sp."	"Contracaecum_sp."	"Goezia_spinulosa"	"Klossinemella_iheringi"	"Cucullanus_paulicea"	"Procamallanus_(Spirocamallanus)_rarus"	"Spinitectus_asperus"	"Paracavisoma_impudica"	"Echinorhynchus_jucundus"	"Gracilisentis_variabilis"	"Mizobdella_platensis"	"Mollusca_n.n."	"Taurocherus_tarangophilus"	"Ergasilidae_n.n."	"Argulus_paranensis"	"Argulus_pestifer"	"Argulus_cf._violaceus"	"Dipteropeltis_hirundo"	"Dolops_cf._bidentata"	"Dolops_cf._Carvalhoi"	"Dolops_striata"	"Braga_fluviatilis"	"Isonebula_maculatus"	"Paracymothoa_oliverosae"	"Paracymothoa_parva"	"Isopoda_n.n."
"Pimelodus_albicans"	2.56832071112791	0.466262401502216	0	0	0	0.302620150807257	0.0697811169171323	0.27148573217305	0.275801995947262	0	0	0.114105021689607	0	0	0.139169248309419	0.101216094762283	0.17685150017166	0	0.0827594970815393	0	0.0926098447187686	0.0359153585573447	0.0782510984716807	0.0359153585573447	0	0	0	0	0.0213330843146662	0	0.0213330843146662	0	0	0	0	0.0213330843146662	0	0	0.04655940359065	0	0.0564097512278794	0.0564097512278794	0	0	0	0.0564097512278794	0	0.0344884008050066	0.0951502842897465	0	0.0213330843146662	0.0213330843146662	0	0	0.620792047875333	0.564097512278794	0.213330843146662	0.328365979347248	0	0.153281781355585	0.120666978302964	0.0712321278054004	0.275957968861882	0.317167614299155	0	0	0	0	0	0	0	0	0.0833339155272887	0	0.0419636161351994	0.192624053334593	0.192624053334593	0.192624053334593	0.192624053334593	0.192624053334593	0	0	0.192624053334593	0	0	0	0	0.0407228598259575	0.0352129943122563	0.0413702993920892	0.0303648284286848	0	0.0407228598259575	0	0	0	0.0413702993920893	0	0	0	0	0	0.0256736298801616	0.0161619113508051	0	0	0.0389083051037901	0	0	0	0	0	0	0	0.0256736298801616	0	0	0	0.0161619113508051	0	0	0.00897185788934559	0.00897185788934559	0.0419636161351994	0	0.0303648284286848	0.192624053334593	0	0	0	0	0	0	0	0	0.0389083051037901	0.0419636161351994	0.00897185788934559	0.0389083051037901	0.00897185788934559	0.00897185788934559	0	0.00897185788934559	0	0	0	0
"Pseudoplatystoma_corruscans"	0.559514881802659	1.98863383758142	0	0	0	0.275511127275356	0.170227781762743	0.313737320018199	0.4460458152744	0	0	0.170230148613093	0	0	0.141563008919898	0.107056247205361	0.176987178902961	0	0.0860686216994104	0	0.0923171352054321	0.0326980238964159	0.0827661743100267	0.0326980238964159	0	0	0	0	0.0520410647103244	0	0.0520410647103244	0	0	0	0	0.0520410647103244	0	0	0.0492458737144659	0	0.0554943872204875	0.0554943872204875	0	0	0	0.0554943872204875	0	0.0793655483401705	0.0318026611053356	0	0.0520410647103244	0.0520410647103244	0	0	0.656611649526211	0.554943872204875	0.520410647103244	0.321097413191145	0	0.352735770400758	0.122742493283149	0.0648510807278915	0.287847533808687	0.106008870351119	0	0	0	0	0	0	0	0	0.245883917673488	0	0.178977045382327	0.0419636161351995	0.0419636161351994	0.0419636161351994	0.0419636161351994	0.0419636161351994	0	0	0.0419636161351995	0	0	0	0	0.0470605980027299	0.037244778439512	0.0669068722911599	0.0321168741616082	0	0.0470605980027299	0	0	0	0.0669068722911599	0	0	0	0	0	0.0383017834379459	0.0147141107533871	0	0	0.0354228592211172	0	0	0	0	0	0	0	0.0383017834379459	0	0	0	0.0147141107533871	0	0	0.0218864290837813	0.0218864290837813	0.178977045382327	0	0.0321168741616082	0.0419636161351995	0	0	0	0	0	0	0	0	0.0354228592211172	0.178977045382327	0.0218864290837813	0.0354228592211172	0.0218864290837813	0.0218864290837813	0	0.0218864290837813	0	0	0	0
"Gymnotus_carapo"	0	0	5.26315789473685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592105263157895	0.592105263157895	0.592105263157895	0	0	0	0	0	0	0	0	0	0	0	0	0.592105263157895	0.592105263157895	0	0	0	0	0	0.592105263157895	0.592105263157895	0.592105263157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colossoma_mitrei"	0	0	0	3.39744327997236	1.86571461476448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676691729323308	0.676691729323308	0.676691729323308	0.676691729323308	0	0	0	0	0	0	0	0	0	0.239877593326862	0	0	0	0	0.239877593326862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436814135996446	0	0	0	0	0	0	0.436814135996446	0	0	0	0	0	0	0	0	0	0	0	0.239877593326862	0	0	0	0	0.436814135996446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pterodoras_granulosus"	0	0	0	1.86571461476448	3.39744327997236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676691729323308	0.676691729323308	0.676691729323308	0.676691729323308	0	0	0	0	0	0	0	0	0	0.436814135996446	0	0	0	0	0.436814135996446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239877593326862	0	0	0	0	0	0	0.239877593326862	0	0	0	0	0	0	0	0	0	0	0	0.436814135996446	0	0	0	0	0.239877593326862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Salminus_brasiliensis"	0.518777401383868	0.39358732467908	0	0	0	2.20859895441135	0.0551895621360143	0.166556713949092	0.310107612397161	0	0	0.112422842047054	0	0	0.101772867773054	0.108737724892828	0.104714163615541	0	0.0764920647211486	0	0.0517535143223528	0.262119436347721	0.0840661402532791	0.262119436347721	0	0	0	0	0.0168722375672958	0	0.0168722375672958	0	0	0	0	0.0168722375672958	0	0	0.050019353450701	0	0.0252808030519053	0.0252808030519053	0	0	0	0.0252808030519053	0	0.103232461257571	0.132686723759105	0	0.0168722375672958	0.0168722375672958	0	0	0.666924712676014	0.252808030519053	0.168722375672958	0.130728920501933	0	0.458810938922536	0.0882423709014918	0.519870215422981	0.120847306184481	0.442289079197016	0	0	0	0	0	0	0	0	0.0819390010806913	0	0.0354228592211172	0.0389083051037901	0.0389083051037901	0.0389083051037901	0.0389083051037901	0.0389083051037901	0	0	0.0389083051037901	0	0	0	0	0.0249835070923638	0.0378297631139756	0.0465161418595741	0.0326213174678485	0	0.0249835070923638	0	0	0	0.0465161418595741	0	0	0	0	0	0.0252951394605871	0.117953746356475	0	0	0.283962722710031	0	0	0	0	0	0	0	0.0252951394605871	0	0	0	0.117953746356475	0	0	0.00709580084605898	0.00709580084605898	0.0354228592211172	0	0.0326213174678485	0.0389083051037902	0	0	0	0	0	0	0	0	0.283962722710031	0.0354228592211172	0.00709580084605898	0.283962722710031	0.00709580084605898	0.00709580084605898	0	0.00709580084605898	0	0	0	0
"Serrasalmus_spilopleura"	0.119624771857941	0.243182545375348	0	0	0	0.0551895621360143	3.60344981595241	0.199472094206816	0.0722864768401565	0	0	0.194824632951793	0	0	0.0369571491040891	0.0310751522068512	0.0439885421798101	0	0.0239077012850014	0	0.0226625790889376	0.00654997001174676	0.0240244874204228	0.00654997001174676	0	0	0	0	0.101626086591165	0	0.101626086591165	0	0	0	0	0.101626086591165	0	0	0.0142945700151516	0	0.0130494478190878	0.0130494478190878	0	0	0	0.0130494478190878	0	0.0112359502540055	0.00660314742550873	0	0.101626086591165	0.101626086591165	0	0	0.190594266868688	0.130494478190878	1.01626086591165	0.0739756637580923	0	0.0499375566844687	0.0320437708994993	0.0129907738566311	0.0417012584991504	0.0220104914183624	0	0	0	0	0	0	0	0	0.0327294006098048	0	0.0218864290837813	0.00897185788934559	0.00897185788934559	0.00897185788934559	0.00897185788934559	0.00897185788934559	0	0	0.00897185788934559	0	0	0	0	0.0299208141310223	0.0108110193391903	0.0108429715260235	0.00932254566205537	0	0.0299208141310224	0	0	0	0.0108429715260235	0	0	0	0	0	0.0438355424141535	0.00294748650528604	0	0	0.00709580084605898	0	0	0	0	0	0	0	0.0438355424141535	0	0	0	0.00294748650528604	0	0	0.463300690622452	0.463300690622452	0.0218864290837813	0	0.00932254566205537	0.0089718578893456	0	0	0	0	0	0	0	0	0.00709580084605898	0.0218864290837813	0.463300690622452	0.00709580084605898	0.463300690622452	0.463300690622452	0	0.463300690622452	0	0	0	0
"Luciopimelodus_pati"	0.5429714643461	0.522895533363665	0	0	0	0.194316166273941	0.232717443241285	1.77326748060659	0.216435103180884	0	0	0.214783217382059	0	0	0.173899727031005	0.123154276975132	0.223340213909046	0	0.101885000451308	0	0.117248759622444	0.0230616988544897	0.0952117099303541	0.0230616988544897	0	0	0	0	0.0711450469337643	0	0.0711450469337643	0	0	0	0	0.0711450469337643	0	0	0.0566509674085607	0	0.0720147265796974	0.0720147265796974	0	0	0	0.0720147265796974	0	0.0294854023558005	0.0270026165417759	0	0.0711450469337643	0.0711450469337643	0	0	0.755346232114142	0.720147265796974	0.711450469337643	0.420775644092389	0	0.131046232692447	0.15078011014249	0.0457390360614045	0.12024872330582	0.0900087218059196	0	0	0	0	0	0	0	0	0.0795258634798625	0	0.0470605980027299	0.0407228598259575	0.0407228598259575	0.0407228598259575	0.0407228598259575	0.0407228598259575	0	0	0.0407228598259575	0	0	0	0	0.265990122090988	0.0428452694686593	0.0324652654771326	0.0369462830925396	0	0.265990122090988	0	0	0	0.0324652654771326	0	0	0	0	0	0.0483262239109633	0.0103777644845204	0	0	0.0249835070923638	0	0	0	0	0	0	0	0.0483262239109633	0	0	0	0.0103777644845204	0	0	0.0299208141310224	0.0299208141310224	0.0470605980027299	0	0.0369462830925396	0.0407228598259575	0	0	0	0	0	0	0	0	0.0249835070923638	0.0470605980027299	0.0299208141310224	0.0249835070923638	0.0299208141310224	0.0299208141310224	0	0.0299208141310224	0	0	0	0
"Pseudoplatystoma_fasciatum"	0.551603991894523	0.743409692123999	0	0	0	0.361792214463354	0.0843342229801826	0.216435103180884	2.00343977898048	0	0	0.140386056772405	0	0	0.123835369823943	0.125538102260707	0.132215448582389	0	0.0899590394218757	0	0.0660878427840174	0.0429379771011453	0.097054667293992	0.0429379771011453	0	0	0	0	0.0257821767396558	0	0.0257821767396558	0	0	0	0	0.0257821767396558	0	0	0.0577475270399253	0	0.033876330402067	0.033876330402067	0	0	0	0.033876330402067	0	0.116785292444522	0.0361177155828753	0	0.0257821767396558	0.0257821767396558	0	0	0.769967027199003	0.33876330402067	0.257821767396559	0.180407071735099	0	0.519045744197875	0.107371707939835	0.0851603212506048	0.408793138530321	0.120392385276251	0	0	0	0	0	0	0	0	0.367422839138232	0	0.0669068722911599	0.0413702993920893	0.0413702993920892	0.0413702993920892	0.0413702993920893	0.0413702993920893	0	0	0.0413702993920893	0	0	0	0	0.0324652654771326	0.0436746002822964	0.300515966847071	0.0376614306782121	0	0.0324652654771326	0	0	0	0.300515966847071	0	0	0	0	0	0.0315868627737912	0.0193220896955154	0	0	0.0465161418595741	0	0	0	0	0	0	0	0.0315868627737912	0	0	0	0.0193220896955154	0	0	0.0108429715260235	0.0108429715260235	0.0669068722911599	0	0.0376614306782121	0.0413702993920893	0	0	0	0	0	0	0	0	0.0465161418595741	0.0669068722911599	0.0108429715260235	0.0465161418595741	0.0108429715260235	0.0108429715260235	0	0.0108429715260235	0	0	0	0
"Aequidens_portalegrensis"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947368421052633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947368421052632	0	0	0	0	0	0	0	0	0	0	0	0.947368421052632	0	0.947368421052632	0	0	0	0	0	0	0	0	0	0	0	0.947368421052632
