"Pimephlales_promelas"	"Perca_flavescens"	"Morone_chrysops"	"Pomoxis_nigromaculatus"	"Esox_lucius"	"Sander_vitreum"	"Bothriocephalus_sp."	"Proteocephalus_sp."	"Contracaecum_sp."	"Neascus_of_Posthodiplostomum_sp."	"Raphidascaris_sp."	"Myxobolus_sp"	"Unicauda_sp."	"Dactylogyrus_sp."	"Gyrodactylus_hoffmani"	"Gyrodactylus_sp."	"Onchocleidus_chrysops"	"Diplostomum_spathaceum"	"Diplostomulum_sp."	"Neascus_sp."	"Bothriocephalus_cuspidatus"	"Gryporhynchidae"	"Ligula_intestinalis"	"Raphidascaris_acus"	"Rhabdochona_sp."	"Spiroxys_sp."	"Myzobdella_lugubris"
"Pimephlales_promelas"	3.40828769942873	0.635680049134056	0.485675972116707	0.354051739886746	0.253177305726883	0.126285128443716	0.644918854012805	0.45697304001526	0.250465504746703	0.361837099423179	0.337351869488677	0.255621577457155	0.255621577457155	0.255621577457155	0.255621577457155	0.0817302920315215	0.0874216749810072	0.255621577457155	0.255621577457155	0.255621577457155	0.0568283077996722	0.0817302920315215	0.255621577457155	0.0817302920315215	0.0817302920315215	0.0874216749810072	0.0817302920315215
"Perca_flavescens"	1.08973722708695	3.2166329643051	0.390547751262572	0.262834867368516	0.206133961602085	0.0972711231116204	0.737206725600932	0.244789169979723	0.192921060838047	0.160580752242076	0.495297387442176	0.0817302920315215	0.0817302920315215	0.0817302920315215	0.0817302920315215	0.413567095410655	0.070298595227263	0.0817302920315215	0.0817302920315215	0.0817302920315215	0.0437720054002292	0.413567095410655	0.0817302920315215	0.413567095410655	0.413567095410655	0.070298595227263	0.413567095410655
"Morone_chrysops"	1.1656223330801	0.546766851767601	2.3375033066864	0.483655675110942	0.360578881741693	0.36903084635011	0.885828064728867	0.670432766968321	0.731911178594385	0.23251837751429	0.15772027020827	0.0874216749810072	0.0874216749810072	0.0874216749810072	0.0874216749810072	0.070298595227263	0.420750595203553	0.0874216749810072	0.0874216749810072	0.0874216749810073	0.16606388085755	0.070298595227263	0.0874216749810072	0.070298595227263	0.070298595227263	0.420750595203552	0.070298595227263
"Pomoxis_nigromaculatus"	1.41620695954699	0.613281357193205	0.80609279185157	1.70892024919887	0.289674290885595	0.428982246060616	0.973192190368041	0.381665655397824	0.850814788020222	0.618891596725686	0.185065982176579	0.106215521966024	0.106215521966024	0.106215521966024	0.106215521966024	0.0788504602105549	0.145096702533283	0.106215521966024	0.106215521966024	0.106215521966024	0.193042010727277	0.0788504602105549	0.106215521966024	0.0788504602105549	0.0788504602105549	0.145096702533283	0.0788504602105549
"Esox_lucius"	1.5190638343613	0.721468865607297	0.901447204354231	0.434511436328392	1.49583138385805	0.190835170227573	1.17242812071644	0.949314407096983	0.378489754284687	0.244283218475615	0.206690070298035	0.113929787577097	0.113929787577097	0.113929787577097	0.113929787577097	0.0927602827209381	0.162260496783762	0.113929787577097	0.113929787577097	0.113929787577097	0.0858758266024081	0.0927602827209381	0.113929787577097	0.0927602827209381	0.0927602827209381	0.162260496783762	0.0927602827209381
"Sander_vitreum"	0.757710770662296	0.340448930890672	0.922577115875275	0.643473369090924	0.190835170227573	2.4081125379901	0.545582031387136	0.30876801525963	1.44275653368037	0.249870318526949	0.100600313199901	0.0568283077996722	0.0568283077996722	0.0568283077996722	0.0568283077996722	0.0437720054002292	0.166063880857549	0.0568283077996722	0.0568283077996722	0.0568283077996722	1.08365064209555	0.0437720054002292	0.0568283077996722	0.0437720054002292	0.0437720054002292	0.166063880857549	0.0437720054002292
"Bothriocephalus_sp."	1.54780524963073	1.03208941584131	0.885828064728867	0.583915314220824	0.468971248286576	0.218232812554854	1.79444331197688	0.48657150710246	0.432828411567128	0.291259987988552	0.248782604330473	0.116085393722305	0.116085393722305	0.116085393722305	0.116085393722305	0.132697210608168	0.159449051651196	0.116085393722305	0.116085393722305	0.116085393722305	0.0982047656496845	0.132697210608168	0.116085393722305	0.132697210608168	0.132697210608168	0.159449051651196	0.132697210608168
"Proteocephalus_sp."	1.82789216006104	0.571174729952686	1.1173879449472	0.381665655397824	0.632876271397989	0.20584534350642	0.810952511837433	1.62301606422417	0.408259931287733	0.251591608623925	0.210528662998495	0.137091912004578	0.137091912004578	0.137091912004578	0.137091912004578	0.0734367509939168	0.201129830090496	0.137091912004578	0.137091912004578	0.137091912004578	0.092630404577889	0.0734367509939168	0.137091912004578	0.0734367509939168	0.0734367509939168	0.201129830090496	0.0734367509939168
"Contracaecum_sp."	1.00186201898681	0.450149141955443	1.21985196432397	0.850814788020221	0.252326502856458	0.961837689120249	0.721380685945213	0.408259931287733	1.9076447500885	0.330384087830078	0.133015969675425	0.075139651424011	0.075139651424011	0.075139651424011	0.075139651424011	0.0578763182514141	0.219573353578315	0.075139651424011	0.075139651424011	0.0751396514240111	0.432826960104112	0.0578763182514141	0.075139651424011	0.0578763182514141	0.0578763182514142	0.219573353578315	0.0578763182514141
"Neascus_of_Posthodiplostomum_sp."	2.17102259653907	0.562032632847268	0.581295943785724	0.928337395088528	0.244283218475615	0.249870318526949	0.728149969971381	0.377387412935888	0.495576131745116	1.44132791326699	0.235088033249365	0.162826694740431	0.16282669474043	0.162826694740431	0.162826694740431	0.0722613385089344	0.10463326988143	0.162826694740431	0.162826694740431	0.162826694740431	0.112441643337127	0.0722613385089344	0.162826694740431	0.0722613385089344	0.0722613385089344	0.10463326988143	0.0722613385089344
