"Chirocentrus_dorab"	"Psettodes_erumei"	"Cynoglossus_arel"	"Dussumieria_acuta"	"Sardinella_fimbriata"	"Tenualosa_ilisha"	"Eusphyra_blochii"	"Ilisha_filigera"	"Selaroides_leptolepis"	"Atropus_atropos"	"Chirocentrus_nudus"	"Harpadon_neherius"	"Lepturacanthus_savala"	"Pampus_argenteus"	"Parastromateus_niger"	"Rastrelliger_kanagurta"	"Scomberomorus_guttatus"	"Solea_elongata"	"Trichiurus_lepturus"	"Aetobatus_narinari"	"Bagarius_bagarius"	"Clarias_batrachus"	"Glossogobius_giuris"	"Heteropneustes_fossilis"	"Hilsa_kelee"	"Johnius_borneensis"	"Lutjanus_argentimaculatus"	"Mystus_vittatus"	"Nandus_nandus"	"Ompok_bimaculatus"	"Ompok_pabda"	"Polydactylus_sextarius"	"Polynemus_paradiseus"	"Scoliodon_laticaudus"	"Tachysurus_sp."	"Upeneus_sulphureus"	"Wallago_attu"	"Ascaridida_gen._sp."	"Capillaria_sp."	"Raphidascaris_sp."	"Aphanurus_stossichi"	"Goezia_sp."	"Heterotyphlum_sp"	"Paraquimperia_sp"	"Quimperia_sp."	"Quimperiidae_gen._sp"	"Camallanus_dollfusi"	"Bucephalus_polymorphus"	"Faustula_brevichrus"	"Faustula_sp."	"Opisthadena_sp."	"Dinurinae_gen._sp."	"Lecithocladium_excisum"	"Lecithocladium_harpodontis"	"Lecithocladium_magnacetabulum"	"Lecithocladium_megalaspis"	"Lecithocladium_seriolellae"	"Lecithocladium_sp."	"Hemiurus_appendiculatus"	"Hemiurus_sp."	"Parahemiurus_sp"	"Lecithochiriinae_gen._sp."	"Hemiuridae_gen._sp."	"Acanthocolpus_liodorus"	"Acanthocolpus_luehei"	"Pseudoanthocotyle_pavlovskyi"	"Pricea_multae"	"Megamicrocotyle_chirocentrus"	"Choricotyle_pagelli"	"Choricotyle_sp."	"Nybelinia_sp."	"Contracaecum_sp."	"Paranisakis_sp."	"Terranova_sp."	"Pseudanisakis_sp."	"Dujardinascaris_sp."	"Porrocaecum_trichiuri"	"Cucullanus_sp."	"Camallanus_atropusi"	"Camallanus_bispiculus"	"Camallanus_trichiuris"	"Camallanus_sp."	"Procamallanus_(Spirocamallanus)_sp."	"Neoechinorhynchus_sp."	"Ergasilus_sp."	"Cymothoidae_gen._sp"
"Chirocentrus_dorab"	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.789473684210527	0.789473684210526	0	0	0.789473684210526	0	0	0.789473684210527	0	0	0	0	0	0	0	0	0.789473684210526	0	0.789473684210526	0	0	0	0
"Psettodes_erumei"	0	2.70262687063185	0	0	0.501255232624424	0	0.0526688890885366	0	0	0	0.259128530092009	0.040718805009625	0	0.269265407775129	0.269265407775129	0	0.040718805009625	0.269265407775129	0.269265407775129	0.0242276889807269	0.0242276889807269	0.0242276889807269	0.0242276889807269	0.0242276889807269	0	0.0242276889807269	0	0.0242276889807269	0.0242276889807269	0.0242276889807269	0.0242276889807269	0	0.212949229288468	0.0242276889807269	0.0242276889807269	0.0852976341230637	0	0.430714470768478	0.89007176459001	0.709830764294895	0	0	0	0	0.189550298051253	0.522001869136182	0.242338866997616	0	0	0	0	0	0.121169433498808	0	0	0	0	0.121169433498808	0	0	0	0	0.0183234622543312	0	0	0	0.0183234622543312	0	0	0	0	0.112782427340495	0	0.015800666726561	0.015800666726561	0	0.405394030594778	0.405394030594778	0	0	0	0	0	0.112782427340495	0	0.405394030594778
"Cynoglossus_arel"	0	0	3.79911218161868	0	0	0	0	0.94685565141881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51719006169935	0	0	0	0	0	0	0	0	0	0	0.967896888117006	1.14931124822078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284056695425643	0.284056695425643	0	0	0	0	0	0.683840192691363	0	0	0	0	0	0	0.683840192691363	0	0.683840192691363	0
"Dussumieria_acuta"	0	0	0	4.11791735887738	0	1.14524053585946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.998904245166308	0	0	0	0	0	0	0	0.257679120568379	0	0.741225124597929	0	0	0.257679120568379	0.257679120568379	0	0	0	0.741225124597929	0	0.741225124597929	0	0	0	0	0	0	0	0	0	0	0	0.741225124597929	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sardinella_fimbriata"	0	0.751882848936636	0	0	3.1481811560787	0	0.0146527198439932	0	0	0	0.0720907127667208	0.0113281531567006	0	0.0749108373479305	0.0749108373479305	0	0.0113281531567007	0.0749108373479305	0.0749108373479305	0.00674025112823688	0.00674025112823688	0.00674025112823688	0.00674025112823688	0.00674025112823688	0	0.00674025112823688	0	0.00674025112823688	0.00674025112823688	0.00674025112823688	0.00674025112823688	0	0.337447885256796	0.00674025112823688	0.00674025112823688	0.535719902610031	0	0.119826686724211	0.24762193456677	1.12482628418932	0	0	0	0	1.19048867246674	0.14522324808552	0.0674197536131375	0	0	0	0	0	0.0337098768065687	0	0	0	0	0.0337098768065687	0	0	0	0	0.00509766892051529	0	0	0	0.00509766892051529	0	0	0	0	0.708340760117708	0	0.00439581595319798	0.00439581595319797	0	0.112782427340495	0.112782427340495	0	0	0	0	0	0.708340760117708	0	0.112782427340495
"Tenualosa_ilisha"	0	0	0	1.43155066982433	0	3.83160722491252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11979074617369	0	0	0	0	0	0	0	0.862111625605316	0	0.257679120568379	0	0	0.862111625605316	0.862111625605316	0	0	0	0.257679120568379	0	0.257679120568379	0	0	0	0	0	0	0	0	0	0	0	0.257679120568379	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eusphyra_blochii"	0	0.105337778177073	0	0	0.019536959791991	0	2.50965794748206	0	0	0	0.202574239333791	0.259567488809657	0	0.0104949077888597	0.0104949077888597	0	0.259567488809657	0.0104949077888597	0.0104949077888597	0.154442655841746	0.154442655841746	0.154442655841746	0.154442655841746	0.154442655841746	0	0.154442655841746	0	0.154442655841746	0.154442655841746	0.154442655841746	0.154442655841746	0	0.00829992438894205	0.154442655841746	0.154442655841746	0.00332456668729258	0	2.74564721496437	0.0346915007465085	0.0276664146298068	0	0	0	0	0.00738792597176129	0.106959074426767	0.00944541700997375	0	0	0	0	0	0.00472270850498687	0	0	0	0	0.00472270850498687	0	0	0	0	0.116805369964346	0	0	0	0.116805369964345	0	0	0	0	0.00439581595319797	0	0.752897384244617	0.752897384244617	0	0.015800666726561	0.015800666726561	0	0	0	0	0	0.00439581595319797	0	0.015800666726561
"Ilisha_filigera"	0	0	1.57809275236468	0	0	0	0	3.47023234751243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21483279485973	0	0	0	0	0	0	0	0	0	0	1.32512639967937	0.4774062107994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04106970425373	1.04106970425373	0	0	0	0	0	0.284056695425643	0	0	0	0	0	0	0.284056695425643	0	0.284056695425643	0
"Selaroides_leptolepis"	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57894736842105	1.57894736842105	0	0	1.57894736842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Atropus_atropos"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	0	0	0	0	0	0	0
