"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	1.2468392867297	0.0302242130822138	0.253412657914778	0.114169496829339	0.0483059591795877	0.110856022680648	0.245247664273206	0.176218777087679	0.0483059591795877	0.0979574208972577	0.318865170636671	0.130283271316104	0.230725512242933	0.107529063482367	0.0450687582961693	0.0302242130822138	0.155835022661955	0.0459355057715743	0.0483059591795877	0.244969616564405	0.17298157620426	0.0323258504188466	0.124819999007449	0.232349062489816	0.0910042640677436	0.206519263435165	0.17298157620426	0.12333011448659	0.12333011448659	0.0450687582961693	0.0323258504188466	0.0788844932358745	0.0979574208972577	0.801222369709676	0.225438232931368	0.765591762859573	0.223584581539362	0.235077212861663	0.717187780366344	0.751426031682476	0.51446757124175	0.502846562070947
"R2"	0.151121065411069	1.19896679796545	0.365148309404893	0.101074514458197	0.0314341389047482	0.263544836557103	0.360139245244646	0.121482908527686	0.0314341389047482	0.0593570107783909	0.421929200054675	0.0925009104652992	0.159694669403967	0.0619864037085449	0.028718524735389	0.198966797965447	0.0934205426132931	0.0289819980623872	0.0314341389047482	0.360371228151574	0.118767294358327	0.0331438996869083	0.0939650157573888	0.155951419465934	0.0577005227977761	0.155263770224868	0.118767294358327	0.0908444224846844	0.0908444224846844	0.028718524735389	0.0331438996869083	0.0649830176950015	0.0593570107783909	0.51055155085136	0.241763286397417	0.483033301039787	0.24330983911027	1.54751953973125	0.403330371508173	0.48897549407386	0.302786949643575	0.515571772907462
"R3"	0.211177214928982	0.0608580515674822	1.3287611232061	0.138476024454136	0.0469222252729511	0.139398717546067	0.270699826287137	0.15617344222628	0.0469222252729511	0.0929387294265148	0.3685297789642	0.124557170132149	0.225096069250969	0.101060639378566	0.0315780781833331	0.0608580515674822	0.147982864651517	0.0316162720941312	0.0469222252729511	0.270650336251134	0.140829295136662	0.0316184407056339	0.123179198789019	0.224239838167585	0.0631943502774643	0.200764653612213	0.140829295136662	0.0948127909830982	0.0948127909830982	0.0315780781833331	0.0316184407056339	0.0915629266948874	0.0929387294265148	0.561388056592588	0.399898990077029	0.52693786823552	0.399569056503672	0.473340401080417	0.664682837773697	0.729901282023684	0.489281202000023	0.491842410976528
"R4"	0.190282494715564	0.033691504819399	0.276952048908272	1.20393647685655	0.0605528612283863	0.151933585852785	0.216267594555633	0.184780400975542	0.0605528612283863	0.0951794123195726	0.364538454287481	0.152868632124572	0.241350339447544	0.0672294995020775	0.0305883651341311	0.033691504819399	0.127782360730464	0.0319117688509694	0.0605528612283863	0.272178202843557	0.154815904881287	0.0576892198049998	0.0922839215203431	0.159513421022421	0.0625001339851005	0.240510300704453	0.154815904881287	0.1201893537901	0.1201893537901	0.0305883651341311	0.0576892198049998	0.0603721526693737	0.0951794123195726	0.543793157940108	0.198558583568284	0.531862814182824	0.571295972154441	0.262045037484214	0.500161293539358	0.941933396886009	0.289803985874589	0.89738786363333
"R5"	0.241529795897939	0.0314341389047482	0.281533351637707	0.181658583685159	1.11454113806434	0.178025352308235	0.178586170097043	0.21379614614127	0.114541138064341	0.153849317228682	0.333741809568685	0.185899392567828	0.23728898701527	0.0730692272030532	0.0260226770571026	0.0314341389047482	0.187610365267394	0.0278967535734418	0.114541138064341	0.186232063194823	0.125277685134031	0.032050075339146	0.081340907814437	0.15441013501749	0.0539194306305444	0.160345055415703	0.125277685134031	0.0859695059696905	0.0859695059696905	0.0260226770571026	0.032050075339146	0.0534441542409951	0.153849317228682	0.462625369904046	0.182809847892617	0.464945892890697	0.233782468544479	0.24448774703693	0.567784810151591	1.78175103655642	0.300098204788554	0.498556727497827
"R6"	0.18476003780108	0.0878482788523677	0.278797435092134	0.151933585852785	0.0593417841027451	1.20432927704473	0.267917747105809	0.180452706486054	0.0593417841027451	0.0926478021292927	0.363987388937506	0.149787016218911	0.186906607434954	0.065336765984565	0.0294157974466269	0.0878482788523677	0.12467855008731	0.0306656902671433	0.0593417841027451	0.272552316274195	0.150526719829936	0.0571392140896184	0.0908995062058053	0.15623627219037	0.0600814877137702	0.185979307490358	0.150526719829936	0.117220701803389	0.117220701803389	0.0294157974466269	0.0571392140896184	0.060233815938662	0.0926478021292927	0.522947510162256	0.205453456613567	0.511094837785721	0.236350584402811	0.683264391073971	0.481086927050133	0.923094419376034	0.284717759626821	0.888832219171842
"R7"	0.204373053561005	0.0600232075407743	0.270699826287137	0.108133797277817	0.0297643616828406	0.133958873552904	1.30855778276575	0.15083829317502	0.0297643616828406	0.0619153510546999	0.352013697049532	0.106086655383989	0.206420195454832	0.0848085574084595	0.0450484966786747	0.0600232075407743	0.1145729190913	0.0447516377910305	0.0297643616828406	0.280850345642056	0.166122428170854	0.0441713043292895	0.151705702859082	0.236514260267541	0.0898001344697051	0.20032055943654	0.166122428170854	0.133971438798995	0.133971438798995	0.0450484966786747	0.0441713043292895	0.106954065068051	0.0619153510546999	0.800862163176438	0.41270378926251	0.745860629850508	0.227987541771243	0.466847169761578	0.464403179815746	0.463001181733076	0.468067271436446	0.687109178455614
"R8"	0.220273471359598	0.0303707271319216	0.23426016333942	0.138585300731656	0.0534490365353174	0.135339529864541	0.22625743976253	1.20619018867918	0.0534490365353174	0.106465389444285	0.33309064295967	0.157985155641587	0.200873616449667	0.0862650371551501	0.0323543646315362	0.0303707271319216	0.139714073690468	0.0482050330375945	0.0534490365353174	0.229315073243573	0.1850955167754	0.0515197661973018	0.111118262187124	0.197383299342274	0.0805593976691307	0.218712014774438	0.1850955167754	0.132079163866432	0.132079163866432	0.0323543646315362	0.0515197661973018	0.0629132291495298	0.106465389444285	0.575188704560644	0.20372576345329	0.803417217293241	0.224109986660248	0.236216766581612	0.765791764240649	0.831429457216049	0.295543859966064	0.801418585291361
"R9"	0.241529795897939	0.0314341389047482	0.281533351637707	0.181658583685159	0.114541138064341	0.178025352308235	0.178586170097043	0.21379614614127	1.11454113806434	0.153849317228682	0.333741809568685	0.185899392567828	0.23728898701527	0.0730692272030532	0.0260226770571026	0.0314341389047482	0.187610365267394	0.0278967535734418	0.114541138064341	0.186232063194823	0.125277685134031	0.032050075339146	0.081340907814437	0.15441013501749	0.0539194306305444	0.160345055415703	0.125277685134031	0.0859695059696905	0.0859695059696905	0.0260226770571026	0.032050075339146	0.0534441542409951	0.153849317228682	0.462625369904046	0.182809847892617	0.464945892890697	0.233782468544479	0.24448774703693	0.567784810151591	1.78175103655642	0.300098204788554	0.498556727497827
"R10"	0.244893552243144	0.0296785053891955	0.278816188279544	0.142769118479359	0.0769246586143409	0.138971703193939	0.1857460531641	0.212930778888571	0.0769246586143409	1.15043758692198	0.333678428730268	0.182806126112379	0.204856544610124	0.109494060338059	0.0283501805145528	0.0296785053891955	0.1864187189524	0.0301246527761917	0.0769246586143409	0.189978930575381	0.164356300788783	0.0323685391904026	0.0877178765540784	0.197211936892137	0.0584748332907445	0.197832221463398	0.164356300788783	0.0908433724811472	0.0908433724811472	0.0283501805145528	0.0323685391904026	0.0575932237778866	0.150437586921977	0.504003209147605	0.194953621755559	0.502077546269862	0.223172804497436	0.230832819693743	1.06185340888807	1.19660580066753	0.319832284714873	0.503510609628486
