"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Cordia_sulcata"	"Alchornea_latifolia"	"Miconia_serrulata"	"Clusia_rosea"	"Anthurium_scandens"	"Miconia_affinis"	"Inga_vera"	"Musa_acuminata"	"Inga_laurina"	"Dendropemon_bicolor"	"Myrcine_coriacea"	"Syzigium_jambos"	"Andira_inermis"	"Coffea_arabica"	"Miconia_racemosa"	"Palicourea_guianensis"	"Tilandsia_sp1_M_SD_004"	"Buchenavia_capitata"	"Casearia_arborea"	"Citrus_sinensis"	"Dendropanax_arboreus"	"Henriettea_fascicularis"	"Momordica_charantia"	"Palicourea_crocea"	"Philodendron_angustatum"	"Piper_sp1_M_SD_004"	"Solanum_rugosum"	"Unidentified_sp1_M_SD_004"	"Zanthoxylum_martinicensis"	"Spindalis_portoricensis"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"	"Vireo_altiloquous"	"Melanerpes_portoricensis"	"Columba_squamosa"	"Margarops_fuscatus"	"Tyrannus_dominicensis"	"Zenaida_asiatica"	"Coereba_flaveola"	"Dendroica_tigrina"	"Vireo_flavirostris"	"Dendroica_caerulescens"	"Icterus_dominicensis"	"Myarchus_antillarum"	"Tiaris_bicolor"	"Todus_mexicanus"	"Tyrannus_caudifasciatus"	"Vireo_latimeri"
"Miconia_affinis"	0.305522414880765	0.432618860793965	0.370210205158072	0.203224736810093	0.213633179717666	0.0592703438080199	0.255531864784521	0.144260788840638	0.240177446663433	0.0920161777668188	1.16958822546596	0.110317881657943	0.146212800036486	0.117343614392143	0.086942456228466	0.145015726812589	0.086942456228466	0.117343614392143	0.0927711157387701	0.086942456228466	0.086942456228466	0.0522446110738193	0.0927711157387701	0.111514954881839	0.111514954881839	0.0592703438080199	0.0327458339587989	0.0327458339587989	0.0346978451546467	0.0522446110738193	0	0.0336365113441303	0.0522446110738193	0.0346978451546467	0.987839063466999	0.218305559725326	1.16099135719598	0.578297419244112	0.903361986864141	0.0730476375153222	0.0353960886104154	0.186869507467391	0.0714227056099303	0.0383297797176781	0.111698562468035	0.0724171091262225	0.0777354256909926	0.0370210205158072	0.036026616999515	0.036026616999515	0	0.0383297797176781	0.0353960886104154	0.0383297797176781
"Inga_vera"	0.301475685388437	0.429039217229283	0.371322617897349	0.199858172680894	0.238115147654177	0.0355799657089338	0.238125724250158	0.125342007404443	0.272945913429309	0.0644428989216186	0.165476822486914	1.12989685677798	0.133586166116513	0.104577714004089	0.098006200407579	0.167003948702735	0.098006200407579	0.104577714004089	0.10610484021991	0.098006200407579	0.098006200407579	0.0608991084828246	0.10610484021991	0.0964790741917584	0.0964790741917584	0.0355799657089338	0.0288629332126848	0.0288629332126848	0.0371070919247545	0.0608991084828246	0	0.0343813501939798	0.0608991084828246	0.0371070919247545	0.592999428482231	0.192419554751232	1.35331352184054	0.618451532079242	1.07329830681353	0.0780741488041313	0.0351032086823959	0.191007501077665	0.0760450956967922	0.0357188586375237	0.110996630022073	0.0722354704721308	0.0816218861276937	0.0371322617897349	0.0409418870143964	0.0409418870143964	0	0.0357188586375237	0.0351032086823959	0.0357188586375237
"Musa_acuminata"	0.30521613228569	0.426950213024467	0.365352184483535	0.178495611867251	0.21480779273689	0.0571553559588107	0.254144443606251	0.14288430489236	0.203727433529211	0.0894782765527889	0.146212800036486	0.0890574440776753	1.16897055654719	0.0928067716969153	0.111815200588375	0.147466616326479	0.111815200588375	0.0928067716969153	0.0940605879869088	0.111815200588375	0.111815200588375	0.0534060283395707	0.0940605879869088	0.110561384298381	0.110561384298381	0.0571553559588107	0.0323229205939782	0.0323229205939782	0.0584091722488041	0.0534060283395707	0	0.032282811830765	0.0534060283395707	0.0584091722488041	0.952589265980178	0.215486137293188	1.18680062976824	0.973486204146736	0.554577578148294	0.0670943334777352	0.0349322901565473	0.179348954615361	0.065491405185929	0.0381216665409377	0.110709582755918	0.0714675086049008	0.0779074768436575	0.0365352184483535	0.0305591150293817	0.0305591150293817	0	0.0381216665409377	0.0349322901565473	0.0381216665409377
"Inga_laurina"	0.312240329732306	0.441602867160326	0.377158734386271	0.210012763861955	0.206536815068412	0.0714377075841255	0.293406484774592	0.140108702781921	0.231611549085733	0.105503196227631	0.176015421588215	0.104577714004089	0.139210157545373	1.14140991503392	0.0677724499612474	0.137744657411047	0.0677724499612474	0.141409915033925	0.103139150856757	0.0677724499612474	0.0677724499612474	0.03460550655429	0.103139150856757	0.106043214138416	0.106043214138416	0.0714377075841255	0.0340654886435056	0.0340654886435056	0.0331669434069574	0.03460550655429	0	0.0339973422737402	0.03460550655429	0.0331669434069574	1.19062845973543	0.227103257623371	0.769011256762	0.552782390115956	1.08845656033021	0.072457605801487	0.036131143676754	0.188874123743001	0.0708728760396138	0.0440109727161888	0.113992202366678	0.073847017115381	0.0773218119636106	0.0377158734386271	0.0347417323628599	0.0347417323628599	0	0.0440109727161888	0.036131143676754	0.0440109727161888
"Dendropemon_bicolor"	0.301016261495823	0.420536245575035	0.364035586885544	0.162764485266631	0.239877067183012	0.0324074839351199	0.236044592482753	0.123277281482025	0.218270893727976	0.0606360471005737	0.130413684342699	0.0980062004075791	0.167722800882562	0.0677724499612474	1.13531531694744	0.17068028297357	0.135315316947442	0.0677724499612474	0.108039048592118	0.135315316947442	0.135315316947442	0.0626412343814516	0.108039048592118	0.0950487183165715	0.0950487183165715	0.0324074839351199	0.0282285631654538	0.0282285631654538	0.0726740825659906	0.0626412343814516	0	0.0323508009239318	0.0626412343814516	0.0726740825659906	0.540124732251999	0.188190421103025	1.39202743069892	1.21123470943318	0.55012169373976	0.0691441927477508	0.0344075110015938	0.179726671799621	0.0671481450607902	0.0354066888724129	0.109513160453897	0.0708110696901482	0.081879962856691	0.0364035586885544	0.0327406340591964	0.0327406340591964	0	0.035406688872413	0.0344075110015938	0.0354066888724129
"Myrcine_coriacea"	0.304299102863612	0.428166692515797	0.371467754288038	0.178532211062894	0.242719506886067	0.0336797610107663	0.256186002887148	0.114891205604955	0.241708124165245	0.0617052503997301	0.145015726812589	0.111335965801823	0.147466616326479	0.0918297716073645	0.113786855315713	1.17193686591231	0.113786855315713	0.0918297716073645	0.118750910707087	0.113786855315713	0.113786855315713	0.0531859552052248	0.118750910707087	0.0868657162159911	0.0868657162159911	0.0336797610107663	0.0280254893889639	0.0280254893889639	0.0606009001104883	0.0531859552052248	0	0.0335164842503042	0.0531859552052248	0.0606009001104883	0.561329350179438	0.186836595926426	1.18191011567166	1.01001500184147	0.904555720391528	0.0734029940535906	0.0350318202967471	0.186202690279468	0.0712880389215338	0.0384279004330721	0.11130276609373	0.0721785957255508	0.0828136816076709	0.0371467754288038	0.0362562186247868	0.0362562186247868	0	0.0384279004330721	0.0350318202967471	0.0384279004330721
"Syzigium_jambos"	0.301016261495823	0.420536245575035	0.364035586885544	0.162764485266631	0.239877067183012	0.0324074839351199	0.236044592482753	0.123277281482025	0.218270893727976	0.0606360471005737	0.130413684342699	0.0980062004075791	0.167722800882562	0.0677724499612474	0.135315316947442	0.17068028297357	1.13531531694744	0.0677724499612474	0.108039048592118	0.135315316947442	0.135315316947442	0.0626412343814516	0.108039048592118	0.0950487183165715	0.0950487183165715	0.0324074839351199	0.0282285631654538	0.0282285631654538	0.0726740825659906	0.0626412343814516	0	0.0323508009239318	0.0626412343814516	0.0726740825659906	0.540124732251999	0.188190421103025	1.39202743069892	1.21123470943318	0.55012169373976	0.0691441927477508	0.0344075110015938	0.179726671799621	0.0671481450607902	0.0354066888724129	0.109513160453897	0.0708110696901482	0.081879962856691	0.0364035586885544	0.0327406340591964	0.0327406340591964	0	0.035406688872413	0.0344075110015938	0.0354066888724129
"Andira_inermis"	0.312240329732306	0.441602867160326	0.377158734386271	0.210012763861955	0.206536815068412	0.0714377075841255	0.293406484774592	0.140108702781921	0.231611549085733	0.105503196227631	0.176015421588215	0.104577714004089	0.139210157545373	0.141409915033925	0.0677724499612474	0.137744657411047	0.0677724499612474	1.14140991503392	0.103139150856757	0.0677724499612474	0.0677724499612474	0.03460550655429	0.103139150856757	0.106043214138416	0.106043214138416	0.0714377075841255	0.0340654886435056	0.0340654886435056	0.0331669434069574	0.03460550655429	0	0.0339973422737402	0.03460550655429	0.0331669434069574	1.19062845973543	0.227103257623371	0.769011256762	0.552782390115956	1.08845656033021	0.072457605801487	0.036131143676754	0.188874123743001	0.0708728760396138	0.0440109727161888	0.113992202366678	0.073847017115381	0.0773218119636106	0.0377158734386271	0.0347417323628599	0.0347417323628599	0	0.0440109727161888	0.036131143676754	0.0440109727161888
"Coffea_arabica"	0.310405361706576	0.434924614743074	0.37904505808122	0.172973975241156	0.250166305821013	0.033051833388245	0.294387691928532	0.0960543279283965	0.233907565338451	0.0600368051769981	0.139156673608155	0.10610484021991	0.141090881980363	0.103139150856757	0.108039048592118	0.17812636606063	0.108039048592118	0.103139150856757	1.14210884330923	0.108039048592118	0.108039048592118	0.0360175227513983	0.142108843309231	0.0690693561396434	0.0690693561396434	0.033051833388245	0.0269849717887531	0.0269849717887531	0.0720215258407197	0.0360175227513983	0	0.033817301633001	0.0360175227513983	0.0720215258407197	0.550863889804084	0.179899811925021	0.800389394475519	1.200358764012	1.09024716062129	0.0729906406088896	0.0355847412062515	0.187873897961117	0.0706708760070191	0.0441581537892798	0.113398507805219	0.0734892470143735	0.0849391958386279	0.037904505808122	0.0350861348007676	0.0350861348007676	0	0.0441581537892798	0.0355847412062515	0.0441581537892798
"Miconia_racemosa"	0.301016261495823	0.420536245575035	0.364035586885544	0.162764485266631	0.239877067183012	0.0324074839351199	0.236044592482753	0.123277281482025	0.218270893727976	0.0606360471005737	0.130413684342699	0.0980062004075791	0.167722800882562	0.0677724499612474	0.135315316947442	0.17068028297357	0.135315316947442	0.0677724499612474	0.108039048592118	1.13531531694744	0.135315316947442	0.0626412343814516	0.108039048592118	0.0950487183165715	0.0950487183165715	0.0324074839351199	0.0282285631654538	0.0282285631654538	0.0726740825659906	0.0626412343814516	0	0.0323508009239318	0.0626412343814516	0.0726740825659906	0.540124732251999	0.188190421103025	1.39202743069892	1.21123470943318	0.55012169373976	0.0691441927477508	0.0344075110015938	0.179726671799621	0.0671481450607902	0.0354066888724129	0.109513160453897	0.0708110696901482	0.081879962856691	0.0364035586885544	0.0327406340591964	0.0327406340591964	0	0.035406688872413	0.0344075110015938	0.0354066888724129
