"Syzygium_coriaceum"	"Diospyros_revaughanii"	"Syzygium_petrinese"	"Casearia_coriacea"	"Labourdonnaisia_callophylloides"	"Calophyllum_eputamen"	"Gaertnera_sp1_M_PL_070"	"Ocotea_laevigata"	"Stillingia_lineata"	"Syzygium_mauritianum"	"Cordemoya_integrifolia"	"Tristhema_mauritiana"	"Euodia_obtusifolia"	"Syzygium_commersonii"	"Technomyrmex_albipes"	"Apis_mellifera"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_070"	"Phelsuma_cepediana"	"Eristalinus_flaveolus"	"Brachymyrmex_sp1_M_PL_070"	"Chrysomya_megacephala"	"Episyrphus_sp1_M_PL_070"	"Panara_naso"	"Paragus_borbonicus"	"Anthomyia_faciata"	"Macroglossum_milvus"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_070"	"Ornidia_obesa"	"Phorinia_sp1_M_PL_070"	"Polistes_hebraeus"	"Syritta_sp1_M_PL_070"	"Thelairodrino_sp1_M_PL_070"
"Syzygium_commersonii"	0.470466363679181	0.808885845625735	0.78582260102947	0.125260604729641	0.224094458154789	0.256422681002494	0.126264646872494	0.075127464889134	0.0853634975781185	0.590486667306787	0.143253013611907	0.080841444542882	0.043634952019332	1.44723365369488	0.449119136349344	0.795850075621708	0.109428958502176	0.125646125230123	1.9877051275328	0.0414779364976143	0.0987092448594648	0.141515012454302	0.09696656004296	0.0189396970308741	0.219152057962757	0.0189396970308741	0.0189396970308741	0.0423419727311263	0.24266575368772	0.0423419727311263	0.0423419727311263	0.176810085231631	0.0423419727311263	0.0256090492734356
"Technomyrmex_albipes"	1.2113225940251	0.245807620967306	0.728379892299878	0.523273570838773	0.457867843722169	0.2519129702929	0.242794706744975	0.14446285051326	0.161021278296498	0.179439563306133	0.0896157360362642	0.368252107685904	0.0428675432641279	0.0898238272698689	2.04584504269947	0.497865200201468	0.237083478116933	0.214005835267111	0.399217010088306	0.0797580611657243	0.344492140339707	0.245457512943886	0.0952612072536176	0.0364192060117463	0.272904509229732	0.0364192060117463	0.0364192060117463	0.109019033462259	0.0737422862901917	0.109019033462259	0.109019033462259	0.163885475767473	0.109019033462259	0.0483063834889493
"Apis_mellifera"	0.543170924827166	0.758413238856854	0.38891802314701	0.139955057669924	0.484087385277427	0.631033929499913	0.213300192228331	0.126913614375857	0.146768850475815	0.553641664365504	0.394471649241162	0.0896157360362642	0.10738182413759	0.159170015124342	0.497865200201468	2.1915091624509	0.162985151524196	0.23489867251467	0.707422289441518	0.0700691131470067	0.111865159185911	0.260937130518932	0.238626275861312	0.0319950288342496	0.136391938442522	0.0319950288342496	0.0319950288342496	0.0488853832344449	0.227523971657056	0.0488853832344449	0.0488853832344449	0.0875065552080773	0.0488853832344449	0.0440306551427446
"Musca_domestica"	1.2042080666872	0.0877108201623126	0.185955402373696	0.128042895645318	0.090015441669254	0.333749986659634	1.12360581432451	0.668545459523081	0.676813048038001	0.0640288987184882	0.0366716590929441	0.0533437825763099	0.0567935901668705	0.027357239625544	0.296354347646166	0.203731439405245	1.68052715041885	0.386516387411666	0.121587731669085	0.3691045100056	0.165998029042241	0.552576983005866	0.126207978148601	0.168540872148676	0.15021869153593	0.168540872148676	0.168540872148676	0.108378726001848	0.0263132460486938	0.108378726001848	0.108378726001848	0.0418399655340815	0.108378726001848	0.2030439144114
"Chaetocnema_sp1_M_PL_070"	1.33224672334624	0.153906360955857	0.229859654749056	0.148160179154427	0.134671352334534	0.758857286818634	0.485851277630232	0.289081510189988	0.786169444709541	0.112351643497775	0.070469601754401	0.0642017505801333	0.129133277798969	0.0418820417433743	0.356676392111852	0.39149778752445	0.515355183215555	1.52649592804822	0.18614240774833	0.159602144701531	0.186574285720654	0.450247239336885	0.286962839553265	0.0728776916445348	0.171620627419699	0.0728776916445348	0.0728776916445348	0.119902205101161	0.046171908286757	0.119902205101161	0.119902205101161	0.0517184223185376	0.119902205101161	0.235850833412862
"Phelsuma_cepediana"	0.522740404087979	0.898762050695261	0.873136223366077	0.139178449699601	0.24899384239421	0.284914090002771	0.140294052080549	0.0834749609879267	0.0948483306423539	0.656096297007541	0.159170015124342	0.0898238272698689	0.04848328002148	0.496926281883199	0.499021262610383	0.884277861801897	0.121587731669085	0.139606805811248	2.20856125281422	0.0460865961084603	0.109676938732739	0.157238902727002	0.107740622269956	0.0210441078120823	0.243502286625286	0.0210441078120823	0.0210441078120823	0.0470466363679181	0.269628615208578	0.0470466363679181	0.0470466363679181	0.196455650257367	0.0470466363679181	0.0284544991927062
"Eristalinus_flaveolus"	0.779736565971023	0.0716028344725482	0.126692174786656	0.084602455732166	0.067422228440729	0.31756625679402	1.73594584699409	1.03288777896148	0.325915061120834	0.0522700691649602	0.031531100916153	0.035891127524576	0.0540396361351168	0.0207389682488072	0.199395152914311	0.175172782867517	0.7382090200112	0.239403217052297	0.0921731922169207	1.57025821073756	0.108247396016867	0.711886909453604	0.12008808030026	0.260391877049113	0.0986820302643898	0.260391877049113	0.260391877049113	0.070176290937392	0.0214808503417645	0.070176290937392	0.070176290937392	0.0285057393269977	0.070176290937392	0.0977745183362503
"Brachymyrmex_sp1_M_PL_070"	1.76163258472403	0.136567046662181	0.396010348673499	0.848109821735663	0.205360784786528	0.249390073392731	0.329520231405987	0.196064537686562	0.217339098141511	0.0996939440633922	0.0503393216336598	0.155021463152868	0.0424382267748135	0.0493546224297324	0.861230350849267	0.279662897964777	0.331996058084483	0.279861428580981	0.219353877465477	0.108247396016867	1.54019635240621	0.322907095155394	0.0943071706106967	0.0494280347108981	0.2476492610767	0.0494280347108981	0.0494280347108981	0.158546932625163	0.0409701139986543	0.158546932625163	0.158546932625163	0.0891023284515373	0.158546932625163	0.0652017294424532
"Chrysomya_megacephala"	1.15451812230717	0.128889873260733	0.197292175912948	0.127882036822338	0.113938794779134	0.626897338771557	1.08354171910746	0.644707322868942	0.309089657571396	0.0940896074803352	0.0587108543667597	0.0552279404123744	0.106677908488437	0.0353787531135754	0.306821891179858	0.326171413148665	0.552576983005866	0.337685429502664	0.157238902727002	0.355943454726802	0.161453547577697	1.60090198695805	0.237062018863194	0.16253125786612	0.148297370588058	0.16253125786612	0.16253125786612	0.103906631007645	0.0386669619782199	0.103906631007645	0.103906631007645	0.0443907395804133	0.103906631007645	0.0927268972714188
"Episyrphus_sp1_M_PL_070"	0.621328601035256	0.213513841313795	0.167345970021595	0.0853057700389414	0.150249367401718	1.32496170370202	0.365564932420882	0.217511134790425	0.254694339679233	0.15586510415907	0.10738182413759	0.0428675432641279	0.981768693277025	0.04848328002148	0.238153018134044	0.596565689653279	0.252415956297202	0.430444259329898	0.215481244539911	0.12008808030026	0.0943071706106966	0.474124037726388	2.18170820728228	0.0548347398631322	0.093572417348032	0.0548347398631322	0.0548347398631323	0.055919574093173	0.0640541523941385	0.055919574093173	0.055919574093173	0.037652843254859	0.055919574093173	0.0764083019037698
