"Canthium_bibracteatum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Ochna_kirkii"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Apis_mellifera"	"Ornidia_obesa"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_109"	"Xylocopa_caffra"	"Hemipyrellia_germana"	"Pachycerina_seychellensis"	"Dichaetomyia_fasciculifera"	"Hemipyrellia_sp1_M_PL_109"	"Lygistorrhina_sp1_M_PL_109"	"Plagiostenopterina_cyanosoma"	"Simosyrphus_aegyptius"
"Canthium_bibracteatum"	1.77884695869991	0.573367979396767	1.19834847151831	0.604182425408264	0.707718852212015	0.0975689208637355	0.303124286637848	0.798385207868311	0.801595335775643	0.791451957515724	0.391211391808245	0.13481420304581	0.216819824141634	0.535054768753289	0.270755248762669	0.13481420304581	0.262203596443972	0.135941045716859	0.127389393398163	0.136405928987032
"Psidium_cattleianum"	0.573367979396767	1.87441112054598	1.00448551927717	0.484518451730561	0.706756612941631	0.318964917571901	0.300653293272833	0.478245258251824	0.79506093109927	0.790971108735294	0.661963313371021	0.113004620918681	0.708810927937557	0.242012416282954	0.222021272558058	0.113004620918681	0.240220811248175	0.109016651639376	0.127216190329494	0.135293981972775
"Premna_serratifolia"	0.599174235759154	0.502242759638584	2.55893641949138	0.554171855995551	0.793416694845712	0.0854656796863978	0.169750249320071	0.690198222909816	0.448895103757522	0.678514176229499	0.543699973183689	0.28788034719278	0.189923732636439	0.422694550238589	0.412569014791778	0.28788034719278	0.430695352265008	0.124688667598999	0.142815005072228	0.0763876121940321
"Erythroxylum_sechellarum"	0.604182425408264	0.484518451730561	1.1083437119911	2.06188800825828	0.598740665948767	0.0824495684667551	0.323035062933121	0.832327835044748	0.854248277534252	0.477419684826013	0.341478639109153	0.124688667598999	0.183221263259456	0.260629713315858	0.588613469457111	0.124688667598999	0.232461987469777	0.463924801858112	0.107773319870778	0.145365778319904
"Cinnamomum_verum"	0.566175081769612	0.565405290353305	1.26946671175314	0.478992532759014	2.12176966239511	0.0962139254592809	0.165134690247388	0.759896257572288	0.436689514209759	0.779339128031004	0.651949734632841	0.142815005072228	0.213808723242846	0.270204398470391	0.250588324943006	0.142815005072228	0.524733544303347	0.107773319870778	0.381918539231119	0.0743106106113245
"Ochna_kirkii"	0.390275683454942	1.2758596702876	0.683725437491182	0.32979827386702	0.481069627296404	1.89778284305314	0.20464635928655	0.325528285028552	0.5411759278911	0.538392099223183	0.450580070445821	0.076919111717758	1.99507298456254	0.16473114049512	0.151123723337838	0.076919111717758	0.163511644631111	0.0742046116200796	0.0865925329133528	0.0920908616789477
"Memecylon_eleagni"	0.606248573275696	0.601306586545667	0.679000997280286	0.646070125866241	0.41283672561847	0.102323179643275	2.21537170650721	0.432469930112293	1.41398295720796	0.422398133765163	0.285992204778132	0.0763876121940321	0.227384843651723	0.212793541181064	0.221753390513936	0.0763876121940322	0.150698222805357	0.145365778319904	0.0743106106113246	0.996917267928245
"Lasioglossum_mahense"	0.798385207868311	0.478245258251824	1.38039644581963	0.832327835044748	0.94987032196536	0.0813820712571381	0.216234965056146	1.69318169276391	0.571821352037365	0.613513112985504	0.433876441215134	0.155294600154709	0.180849047238085	0.334931271925079	0.342568363039777	0.155294600154709	0.326271258108474	0.187273762885068	0.170976657953765	0.0973057342752658
"Apis_mellifera"	0.801595335775643	0.79506093109927	0.897790207515044	0.854248277534252	0.545861892762199	0.135293981972775	0.706991478603978	0.571821352037365	1.86959968786385	0.558504199089494	0.378145248539974	0.101001398345442	0.300653293272833	0.281360348894962	0.293207260790649	0.101001398345443	0.199256539042638	0.192205862445207	0.0982551406971958	0.31814616537179
"Ornidia_obesa"	0.791451957515724	0.790971108735294	1.357028352459	0.477419684826013	0.974173910038755	0.134598024805796	0.211199066882582	0.613513112985504	0.558504199089494	1.68406218336509	0.505985492924054	0.152665689651637	0.299106721790657	0.330742380092675	0.26008511873749	0.152665689651637	0.328016993458613	0.107419429085853	0.175351303806976	0.0950395800971617
