"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Sciurus_vulgaris"	"Apodemus_peninsulae"	"Microtus_oeconomus"	"Clethrionomys_glareolus"	"Neomys_fodiens"	"Microtus_agrestis"	"Sicista_betulina"	"Talpa_altaica"	"Arvicola_terrestris"	"Myopus_schisticolor"	"Amalaraeus_penicilliger"	"Ceratophyllus_indages"	"Megabothris_rectangulatus"	"Hystrichopsylla_talpae"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_sibirica"	"Palaeopsylla_soricis"	"Catallagia_dacenkoi"	"Neopsylla_mana"	"Megabothris_turbidus"	"Catallagia_ioffi"	"Catallagia_fetisovi"	"Rhadinopsylla_integella"	"Rhadinopsylla_altaica"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Leptopsylla_sicistae"	"Rhadinopsylla_pseudodahurica"	"Ceratophyllus_sciurorum"	"Ctenophyllus_subarmatus"	"Neopsylla_acanthina"	"Frontopsylla_elata"	"Megabothris_calcarifer"	"Amphipsylla_vinogradovi"	"Hystrichopsylla_microti"	"Neopsylla_pleskei"
"Clethrionomys_rutilus"	2.05079684994317	0.679605168792055	0.335222158890062	0.185521977057559	0.564146007284965	0.296300010833347	0.37432592880654	0.097845182393805	0.37432592880654	0.170889545394275	0.0346990790793712	0.0639244493494698	0.0355556081056836	0.322968481250841	0.288697024383461	0.352790893773182	0.355556081056836	0.0278282965586338	0.260680263154573	0.385545323104124	0.193497751498723	0.352790893773182	0.324962597214548	0.22701996738773	0.126119084313546	0.193301595969396	0.19349006063965	0.159967844750644	0.0919683173625008	0.0646088786080673	0.126119084313546	0.0278282965586338	0.0616770569957317	0.121740054006091	0.0878912935689931	0.126119084313546	0.0878912935689931	0.0878912935689931	0.0878912935689931
"Clethrionomys_rufocanus"	0.891981784039573	1.72179640004413	0.354834070850601	0.195045642409063	0.56899375851858	0.313350537302143	0.396610668522421	0.102819423920877	0.396610668522421	0.179880041064039	0.0366823901058079	0.0669492617668565	0.0376032476703297	0.341470894418823	0.305348637538606	0.372978980376624	0.376032476703297	0.0292568463613595	0.275860319538677	0.407582112286755	0.206468758581071	0.372978980376624	0.343722134015264	0.241952165666131	0.135078838247035	0.204470399204641	0.20470187084321	0.16921846375815	0.0951126204824632	0.0665180329026418	0.135078838247036	0.0292568463613595	0.0633964718724743	0.0723674162556679	0.0382277907445531	0.135078838247035	0.0382277907445531	0.0382277907445531	0.0382277907445531
"Tamias_sibiricus"	0.782185037410145	0.630816125956624	1.41020775525169	0.220835706787302	0.577923596409107	0.322105241309489	0.420014792458866	0.115836123618575	0.420014792458866	0.203483488993088	0.0419072103928423	0.0748288859254967	0.0429991377647547	0.390214315240169	0.353429832944473	0.426293700610546	0.429991377647547	0.0331253560180952	0.215520541048526	0.465635671031581	0.144608285616662	0.426293700610546	0.393168344592451	0.285629061141831	0.0690056229740663	0.13991787840593	0.244701814283782	0.103681038758613	0.103099251536592	0.0713024438033023	0.0690056229740663	0.0331253560180952	0.0678007718026417	0.0681976316735527	0.0335222158890062	0.0690056229740663	0.0335222158890062	0.0335222158890062	0.0335222158890062
"Sciurus_vulgaris"	0.649326919701456	0.520121713090835	0.331253560180952	1.78154968293258	0.611133538820507	0.272208092619521	0.358398431263423	0.0798723254413526	0.358398431263423	0.193362992482344	0.0274975634422517	0.0530043866908542	0.0270302568073447	0.245865613325316	0.458622681334622	0.52405143040114	0.270302568073447	0.267232452439887	0.188888283296336	0.305528482691686	0.121596860547409	0.52405143040114	0.256818977961253	0.154722216565505	0.0570851429199933	0.12437656566892	0.126878511267319	0.0937531552492237	0.0844816839725206	0.0714733509760524	0.0570851429199933	0.267232452439887	0.303900464769117	0.0644963088878643	0.0278282965586338	0.0570851429199933	0.0278282965586338	0.0278282965586338	0.0278282965586338
"Apodemus_peninsulae"	0.789804410198951	0.606926675753152	0.346754157845464	0.244453415528203	1.69593535835378	0.31772368192211	0.371989624885809	0.130845327680148	0.371989624885809	0.216561489612387	0.0377389524186669	0.09437192639591	0.038063249256452	0.349589336807829	0.308046068042662	0.382771050389129	0.38063249256452	0.0366680123292304	0.272446554145123	0.419321693540743	0.134946518427658	0.382771050389129	0.346103038059899	0.169621934212205	0.0679883859482127	0.205488421665677	0.204419923233986	0.16974450744944	0.183477086683431	0.140737189631457	0.0679883859482127	0.0366680123292304	0.138424133830457	0.135604881938325	0.0338487604370979	0.0679883859482127	0.0338487604370979	0.0338487604370979	0.0338487604370979
"Microtus_oeconomus"	0.777787528437537	0.626701074604286	0.362368396473175	0.204156069464641	0.595731903603956	1.37521804326677	0.412899701304262	0.119973258872082	0.412899701304262	0.209946297718676	0.0434215946783305	0.0774837322294455	0.0445705927794177	0.404468096134327	0.245511797183261	0.438014160640135	0.445705927794177	0.0306234104196961	0.333363576983759	0.482462163092561	0.14290763290001	0.438014160640135	0.407390750220438	0.179144472547327	0.0685856866652427	0.259041630748992	0.140566440528798	0.10432960088148	0.106603571381112	0.0735342478055991	0.0685856866652427	0.0306234104196961	0.0663673246359334	0.069077665434989	0.0333337512187516	0.0685856866652427	0.0333337512187516	0.0333337512187516	0.0333337512187516
"Clethrionomys_glareolus"	0.786084450493733	0.634577069635874	0.378013313212979	0.215039058758054	0.557984437328714	0.330319761043409	1.44689423456221	0.112978268066082	0.446894234562205	0.198522760132091	0.0409254389023426	0.0729292518766233	0.041995616162531	0.381084790003688	0.343361512355532	0.416256582296692	0.41995616162531	0.0322558588137081	0.31046529533791	0.454727098914917	0.239825255980803	0.416256582296692	0.384000723482984	0.277626587302101	0.0693842937596065	0.140024333116713	0.140664691320627	0.102863359999329	0.100190710004028	0.0692131630634993	0.0693842937596065	0.0322558588137081	0.0657349250534309	0.0671683998323114	0.0336893335925886	0.0693842937596065	0.0336893335925886	0.0336893335925886	0.0336893335925886
"Neomys_fodiens"	0.684916276756635	0.548370260911342	0.347508370855724	0.159744650882705	0.654226638400741	0.319928690325552	0.37659422688694	1.28602741571472	0.37659422688694	0.186855241450618	0.0643832896153145	0.18946014665404	0.0685484593955727	0.323239821779613	0.225952475756076	0.295578396878812	0.685484593955727	0.0239616976324058	0.203231918699723	0.715369884614606	0.127986342734054	0.295578396878812	0.271616699246406	0.162737179819626	0.0601993818944045	0.135444957860073	0.134203817284021	0.0994529801984489	0.510318889012779	0.0728875417651556	0.0601993818944045	0.0239616976324058	0.0632152959364502	0.068607153022186	0.0293535547181415	0.0601993818944045	0.0293535547181415	0.0293535547181415	0.0293535547181415
"Microtus_agrestis"	0.786084450493733	0.634577069635874	0.378013313212979	0.215039058758054	0.557984437328714	0.330319761043409	0.446894234562205	0.112978268066082	1.44689423456221	0.198522760132091	0.0409254389023426	0.0729292518766233	0.041995616162531	0.381084790003688	0.343361512355532	0.416256582296692	0.41995616162531	0.0322558588137081	0.31046529533791	0.454727098914917	0.239825255980803	0.416256582296692	0.384000723482984	0.277626587302101	0.0693842937596065	0.140024333116713	0.140664691320627	0.102863359999329	0.100190710004028	0.0692131630634993	0.0693842937596065	0.0322558588137081	0.0657349250534309	0.0671683998323114	0.0336893335925886	0.0693842937596065	0.0336893335925886	0.0336893335925886	0.0336893335925886
"Sicista_betulina"	0.717736090655954	0.575616131404924	0.366270280187559	0.232035590978813	0.64968446883716	0.335914076349882	0.397045520264183	0.112113144870371	0.397045520264183	1.33659471156923	0.05114292997201	0.0610100785683461	0.0309493508142316	0.275459684304152	0.245020154005857	0.52339753567768	0.309493508142316	0.034805338646822	0.211378120929641	0.568254777466778	0.134606719210049	0.52339753567768	0.488592197030858	0.171233747228805	0.0631385255624964	0.139909927282088	0.138746621711482	0.102119593692726	0.100069546947097	0.279568116212691	0.0631385255624964	0.034805338646822	0.0737864067770516	0.0697411863011991	0.0307601181709694	0.0631385255624964	0.0307601181709694	0.0307601181709694	0.0307601181709694
