"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"
"R11"	0.108178300574383	0.250264836453118	0.147406069710238	0.0581631881379352	0.240778627459927	0.240778627459927	0.240778627459927	0.0982441796610258	0.147079558977739	0.147406069710238	1.09824417966103	0.0982441796610258	0.250264836453118	0.240778627459927	0.250264836453118	0.240778627459927	0.240778627459927	0.222411262623614	0.147406069710238	0.147406069710238	0.139963632123945	0.175064134499324	0.16623736292848	0.16623736292848	0.114418218308312	0.114418218308312	0.21788751599972	0.231796154644998	0.41728155727177	0.41728155727177	0.0926288250414095	0.417281557271769	0.417281557271769	0.405829987370719	0.41728155727177	0.0926288250414095	0.103164095376212	0.0527011610732809	0.124370784282966	0.103164095376212	0.185677685779801	0.114418218308312	0.158391406616998	0.21788751599972	0.206633393067621	0.114418218308312
"R12"	0.108178300574383	0.250264836453118	0.147406069710238	0.0581631881379352	0.240778627459927	0.240778627459927	0.240778627459927	0.0982441796610258	0.147079558977739	0.147406069710238	0.0982441796610258	1.09824417966103	0.250264836453118	0.240778627459927	0.250264836453118	0.240778627459927	0.240778627459927	0.222411262623614	0.147406069710238	0.147406069710238	0.139963632123945	0.175064134499324	0.16623736292848	0.16623736292848	0.114418218308312	0.114418218308312	0.21788751599972	0.231796154644998	0.41728155727177	0.41728155727177	0.0926288250414095	0.417281557271769	0.417281557271769	0.405829987370719	0.41728155727177	0.0926288250414095	0.103164095376212	0.0527011610732809	0.124370784282966	0.103164095376212	0.185677685779801	0.114418218308312	0.158391406616998	0.21788751599972	0.206633393067621	0.114418218308312
"R13"	0.0798498500340859	0.280841337679676	0.127165012153818	0.0724364265306938	0.26326601341378	0.26326601341378	0.26326601341378	0.0682540463053958	0.127558692787562	0.127165012153818	0.0682540463053958	0.0682540463053958	1.28084133767968	0.26326601341378	0.280841337679676	0.26326601341378	0.26326601341378	0.239094966185263	0.127165012153818	0.127165012153818	0.133700807590352	0.169446278673366	0.152764295941177	0.152764295941177	0.165291483316828	0.165291483316828	0.260302344379338	0.270568753669434	0.290417610527259	0.290417610527259	0.143072957229426	0.290417610527259	0.290417610527259	0.279478453542593	0.290417610527259	0.143072957229426	0.154398508259254	0.09764069036609	0.175090400647039	0.154398508259254	0.228061103096086	0.165291483316828	0.207791728980515	0.260302344379338	0.249409369321764	0.165291483316828
"R14"	0.0804769305275701	0.275802490243008	0.128179599266908	0.0730487166465267	0.265849360215806	0.265849360215806	0.265849360215806	0.0687938935599793	0.128541148379194	0.128179599266908	0.0687938935599793	0.0687938935599793	0.275802490243008	1.26584936021581	0.275802490243008	0.265849360215806	0.265849360215806	0.233487649545386	0.128179599266908	0.128179599266908	0.126949021034225	0.170970615829008	0.154040051501754	0.154040051501754	0.167117803806242	0.167117803806242	0.26225716198548	0.272604195910453	0.292604140515465	0.292604140515465	0.145066894351551	0.292604140515465	0.292604140515465	0.282217402430846	0.292604140515465	0.14506689435155	0.156126835645806	0.0552951668177881	0.177352824364157	0.156126835645806	0.230396113354675	0.167117803806242	0.209316506792237	0.262257161985479	0.251266193825043	0.167117803806242
"R15"	0.0798498500340859	0.280841337679676	0.127165012153818	0.0724364265306938	0.26326601341378	0.26326601341378	0.26326601341378	0.0682540463053958	0.127558692787562	0.127165012153818	0.0682540463053958	0.0682540463053958	0.280841337679676	0.26326601341378	1.28084133767968	0.26326601341378	0.26326601341378	0.239094966185263	0.127165012153818	0.127165012153818	0.133700807590352	0.169446278673366	0.152764295941177	0.152764295941177	0.165291483316828	0.165291483316828	0.260302344379338	0.270568753669434	0.290417610527259	0.290417610527259	0.143072957229426	0.290417610527259	0.290417610527259	0.279478453542593	0.290417610527259	0.143072957229426	0.154398508259254	0.09764069036609	0.175090400647039	0.154398508259254	0.228061103096086	0.165291483316828	0.207791728980515	0.260302344379338	0.249409369321764	0.165291483316828
"R16"	0.0804769305275701	0.275802490243008	0.128179599266908	0.0730487166465267	0.265849360215806	0.265849360215806	0.265849360215806	0.0687938935599793	0.128541148379194	0.128179599266908	0.0687938935599793	0.0687938935599793	0.275802490243008	0.265849360215806	0.275802490243008	1.26584936021581	0.265849360215806	0.233487649545386	0.128179599266908	0.128179599266908	0.126949021034225	0.170970615829008	0.154040051501754	0.154040051501754	0.167117803806242	0.167117803806242	0.26225716198548	0.272604195910453	0.292604140515465	0.292604140515465	0.145066894351551	0.292604140515465	0.292604140515465	0.282217402430846	0.292604140515465	0.14506689435155	0.156126835645806	0.0552951668177881	0.177352824364157	0.156126835645806	0.230396113354675	0.167117803806242	0.209316506792237	0.262257161985479	0.251266193825043	0.167117803806242
"R17"	0.0804769305275701	0.275802490243008	0.128179599266908	0.0730487166465267	0.265849360215806	0.265849360215806	0.265849360215806	0.0687938935599793	0.128541148379194	0.128179599266908	0.0687938935599793	0.0687938935599793	0.275802490243008	0.265849360215806	0.275802490243008	0.265849360215806	1.26584936021581	0.233487649545386	0.128179599266908	0.128179599266908	0.126949021034225	0.170970615829008	0.154040051501754	0.154040051501754	0.167117803806242	0.167117803806242	0.26225716198548	0.272604195910453	0.292604140515465	0.292604140515465	0.145066894351551	0.292604140515465	0.292604140515465	0.282217402430846	0.292604140515465	0.14506689435155	0.156126835645806	0.0552951668177881	0.177352824364157	0.156126835645806	0.230396113354675	0.167117803806242	0.209316506792237	0.262257161985479	0.251266193825043	0.167117803806242
"R18"	0.0821438891636122	0.276846802951357	0.130755488065796	0.0708110410964446	0.258065296865953	0.258065296865953	0.258065296865953	0.0702351355653517	0.131130611897393	0.130755488065796	0.0702351355653517	0.0702351355653517	0.276846802951357	0.258065296865953	0.276846802951357	0.258065296865953	0.258065296865953	1.24686397801595	0.130755488065796	0.130755488065796	0.138148626965146	0.17446191943009	0.153469139579589	0.153469139579589	0.170613687867254	0.170613687867254	0.267309560114566	0.277870917292745	0.298855072132686	0.298855072132686	0.100336300855016	0.298855072132686	0.298855072132686	0.28755200265372	0.298855072132686	0.100336300855016	0.159398278761034	0.10434170047447	0.132207530192041	0.159398278761034	0.234655966224982	0.170613687867254	0.213301445823176	0.267309560114566	0.256094151008346	0.170613687867254
"R19"	0.0939826187625403	0.254330024307636	0.149623451217028	0.0743368462524948	0.244706507691369	0.244706507691369	0.244706507691369	0.0804033107510387	0.145088073334211	0.149623451217028	0.0804033107510387	0.0804033107510387	0.254330024307636	0.244706507691369	0.254330024307636	0.244706507691369	0.244706507691369	0.225850388477284	1.14962345121703	0.149623451217028	0.141198134601964	0.173679982275274	0.169044497420364	0.169044497420364	0.116001078819135	0.116001078819135	0.304767040713186	0.31685052026837	0.341881483168464	0.341881483168464	0.0941377608051463	0.341881483168463	0.341881483168463	0.330328908519212	0.341881483168463	0.0941377608051463	0.104835937101439	0.0534639812014811	0.128694448924302	0.104835937101439	0.270193096762352	0.116001078819135	0.162816042233554	0.304767040713186	0.29360189899549	0.116001078819135
"R20"	0.0939826187625403	0.254330024307636	0.149623451217028	0.0743368462524948	0.244706507691369	0.244706507691369	0.244706507691369	0.0804033107510387	0.145088073334211	0.149623451217028	0.0804033107510387	0.0804033107510387	0.254330024307636	0.244706507691369	0.254330024307636	0.244706507691369	0.244706507691369	0.225850388477284	0.149623451217028	1.14962345121703	0.141198134601964	0.173679982275274	0.169044497420364	0.169044497420364	0.116001078819135	0.116001078819135	0.304767040713186	0.31685052026837	0.341881483168464	0.341881483168464	0.0941377608051463	0.341881483168463	0.341881483168463	0.330328908519212	0.341881483168463	0.0941377608051463	0.104835937101439	0.0534639812014811	0.128694448924302	0.104835937101439	0.270193096762352	0.116001078819135	0.162816042233554	0.304767040713186	0.29360189899549	0.116001078819135
