"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"
"R1"	1.34091258964392	0.076996562056141	0.0391728588606456	0.076996562056141	0.0268864746426822	0.301396219324727	0.56239956814523	0.284410888181152	0.56239956814523	0.33895907402909	0.167115582878696	0.188452977366436	0.452727411025821	0.39890164105837	0.200836043083458	0.108473985416641	0.136119888822465	0.182055093704015	0.11759422121446	0.238990885712731	0.185470312967355	0.345823407257584	0.549920156575674	0.221680928121821	0.475752036233247	0.123693891158334	0.187894511770226	0.386658685257292	0.447411066704865	0.478779386074557	0.284644287772935	0.35216291700002	0.158310317738043
"R2"	0.307986248224564	1.13634315348963	0.0281316747117177	0.136343153489634	0.0267938622510384	0.307994094224826	0.526636077898528	0.233625731803757	0.526636077898528	0.359408947130324	0.15073226756533	0.222045956808609	0.419263573010983	0.413906735526683	0.248497612075941	0.107131481588799	0.111681247037949	0.178185720503118	0.114394147285565	0.238167664453675	0.185807187486939	0.231000392655015	0.93728303214006	0.226005114557323	0.873330677848806	0.122636369169815	0.184137254298839	0.256288274797947	0.318691197192877	0.343831579809883	0.155377373753726	0.220335139120426	0.151370980189145
"R3"	0.313382870885165	0.0562633494234355	1.11033604388077	0.0562633494234355	0.0263780163775706	0.31473300285544	0.53790258895383	0.28139515911774	0.53790258895383	0.366149094623414	0.115179605225762	0.225117468237439	0.425975933610318	0.418464263466779	0.169349538828212	0.107986462183098	0.200378558690601	0.181097428545393	0.116195815008511	0.234471256689516	0.188665154312024	0.235031236116645	0.406118888714725	0.217610368199664	0.344024099938076	0.124852279533422	0.194334662567705	0.258173479366654	0.328661085896271	1.34855164743169	0.163897186853513	0.221197417789318	0.173960098300035
"R4"	0.307986248224564	0.136343153489634	0.0281316747117177	1.13634315348963	0.0267938622510384	0.307994094224826	0.526636077898528	0.233625731803757	0.526636077898528	0.359408947130324	0.15073226756533	0.222045956808609	0.419263573010983	0.413906735526683	0.248497612075941	0.107131481588799	0.111681247037949	0.178185720503118	0.114394147285565	0.238167664453675	0.185807187486939	0.231000392655015	0.93728303214006	0.226005114557323	0.873330677848806	0.122636369169815	0.184137254298839	0.256288274797947	0.318691197192877	0.343831579809883	0.155377373753726	0.220335139120426	0.151370980189145
"R5"	0.215091797141458	0.0535877245020768	0.0263780163775706	0.0535877245020768	1.14692059301118	0.216242018384183	0.57577283486283	0.309938028331258	0.57577283486283	0.400688012308716	0.108909255160482	0.136117076490507	0.336466923787141	0.466586270411957	0.286364511121105	0.244880471137477	0.109853802343992	0.216163460600717	0.154866520208897	1.30596082676607	0.204602613261224	0.198029561501927	0.389628868812016	0.228347258331171	0.325275111329746	0.13583033531075	0.192675215682565	0.238950196042793	0.306621978238357	0.322397977948085	0.15405646545568	0.213555018147685	0.149880697625472
"R6"	0.301396219324727	0.0769985235562066	0.0393416253569301	0.0769985235562066	0.0270302522980228	1.33872156882457	0.563099512364372	0.244937647967022	0.563099512364372	0.377789850425801	0.149588894547497	0.188152494866748	0.429798533485854	0.400043159805343	0.217541889068289	0.108735097389042	0.159884589535845	0.184053305588688	0.117817329038927	0.240268909315759	0.183919668126381	0.343967522380642	0.545048048063026	0.342825368529161	0.479898563479793	0.127353018664715	0.19419213814364	0.379247407440781	0.44785272344659	0.480842087695812	0.160982643136508	0.224643381395096	0.283929990817643
"R7"	0.281199784072615	0.065829509737316	0.0336189118096144	0.065829509737316	0.0359858021789269	0.281549756182186	1.59376660707759	0.247431690000922	0.593766607077588	0.36209341101187	0.138418104586648	0.174202581267593	0.432557463009944	0.445320711171867	0.210468084574508	0.155855613406036	0.145263747834308	0.256545526367291	0.191515309650477	0.319873797146017	0.255313584004389	0.283555394266696	0.469917292096782	0.284722573607605	0.406960572707525	0.189036203625187	0.25314416230876	0.314345002680965	0.37859955862986	0.410897811006398	0.218938174587405	0.283481301457291	0.219995841120512
"R8"	0.325041015064174	0.0667502090867876	0.0401993084453914	0.0667502090867876	0.0442768611901797	0.279928740533739	0.565558148573536	1.31221190487723	0.565558148573536	0.351524768778504	0.173429212725624	0.163305501172535	0.437300503455021	0.395382904416863	0.209709290246507	0.127277035225655	0.13895413328477	0.186351109420752	0.12191634247156	0.393572099468264	0.184108870441743	0.223530635020736	0.554433977987653	0.220662153342001	0.346699445925886	0.124916238735853	0.188797620830963	0.403853688230247	0.466574761756296	0.491324880999228	0.30170290286687	0.370378193561401	0.158019184203707
"R9"	0.281199784072615	0.065829509737316	0.0336189118096144	0.065829509737316	0.0359858021789269	0.281549756182186	0.593766607077588	0.247431690000922	1.59376660707759	0.36209341101187	0.138418104586648	0.174202581267593	0.432557463009944	0.445320711171867	0.210468084574508	0.155855613406036	0.145263747834308	0.256545526367291	0.191515309650477	0.319873797146017	0.255313584004389	0.283555394266696	0.469917292096782	0.284722573607605	0.406960572707525	0.189036203625187	0.25314416230876	0.314345002680965	0.37859955862986	0.410897811006398	0.218938174587405	0.283481301457291	0.219995841120512
"R10"	0.271167259223272	0.0718817894260649	0.0366149094623414	0.0718817894260649	0.0400688012308716	0.302231880340641	0.579349457618991	0.246067338144953	0.579349457618991	1.40702250897135	0.140887683142896	0.165544776400389	0.413205891746404	0.427107789195231	0.220154603684323	0.140457143211082	0.150164815892978	0.286435223082674	0.128812755394272	0.356167122052192	0.189601257027323	0.22250580300577	0.510191587746515	0.321856642951151	0.446854629849298	0.2238419239792	0.195010614181328	0.350643642768695	0.417453916897264	0.447515560095284	0.1583108017158	0.222043614612594	0.2595970099038
"R11"	0.334231165757392	0.0753661337826649	0.0287949013064406	0.0753661337826649	0.0272273137901205	0.299177789094995	0.553672418346592	0.303501122269843	0.553672418346592	0.352219207857239	1.21647611030887	0.159608395628089	0.444360457105378	0.384987360642726	0.210741542970624	0.106761122151014	0.136994301595605	0.180210214586229	0.115183451596174	0.242020567023293	0.177239997092134	0.224477252029049	0.668346430268953	0.221457694821031	0.355617732586192	0.122861927819348	0.186924182699704	0.5113021151577	0.573737064462305	0.351937682634274	0.172237760357867	0.474818937225566	0.158469094903341
"R12"	0.301524763786298	0.0888183827234434	0.0450234936474879	0.0888183827234434	0.0272234152981015	0.301043991786796	0.557448260056296	0.228627701641549	0.557448260056296	0.331089552800779	0.127686716502471	1.24589896656088	0.445094386865618	0.44444586718955	0.201042275625851	0.142618130622476	0.12930534684951	0.191315587452598	0.128135448685607	0.241985913760902	0.385779341681486	0.421479247293402	0.619494694264561	0.223250298482433	0.561370192840449	0.12584442904762	0.188678492695488	0.25180655444941	0.311056598834428	0.550287144580407	0.15941153440827	0.221474485660542	0.155472141125558
