"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Elymus_repens"	"Calamagrostis_epigejos"	"Ammophila_arenaria"	"Festuca_rubra"	"Alopecurus_pratensis"	"Deschampsia_cespitosa"	"Phleum_pratense"	"Tetramesa_fulvicollis"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_cornuta"	"Eurytoma_sp."	"Tetramesa_calamagrostidis"	"Tetramesa_eximia"	"Tetramesa_brevicornis"	"Tetramesa_brevicollis"	"Ahtola_atra"	"Tetramesa_angustipennis"	"Tetramesa_petiolata"	"Tetramesa_airae"	"Tetramesa_albomaculata"	"Tetramesa_phleicola"
"Brachypodium_sylvaticum"	5.26315789473684	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylis_glomerata"	0	5.26315789473684	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalaris_arundinacea"	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Elymus_repens"	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	1.57894736842105	1.57894736842105	1.57894736842105	0	0	0	0	0	0	0	0	0	0	0
"Calamagrostis_epigejos"	0	0	0	0	3.20479621473585	0.727138636956873	0	0	1.33122304304412	0	0	0	0	0	0	0	1.36080577733399	0.961438864420754	1.61586363768194	0	0	0	0	0.399366912913236	0.399366912913236	0	0
"Ammophila_arenaria"	0	0	0	0	2.18141591087062	2.17561537473535	0	0	0.906126609130873	0	0	0	0	0	0	0	0.926262756000447	0.654424773261186	2.612478610523	0	0	0	0	0.271837982739262	0.271837982739262	0	0
"Festuca_rubra"	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0	0	0
"Alopecurus_pratensis"	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158	0	0	0	0
"Deschampsia_cespitosa"	0	0	0	0	1.33122304304412	0.302042203043624	0	0	3.6298926486491	0	0	0	0	0	0	0	1.48833470750797	0.399366912913236	0.671204895652498	0	0	0	0	1.08896779459473	1.08896779459473	0	0
"Phleum_pratense"	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36842105263158	2.36842105263158
"Tetramesa_fulvicollis"	4.73684210526316	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longula"	0	4.73684210526316	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longicornis"	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_linearis"	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	2.42105263157895	1.42105263157895	1.42105263157895	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_hyallpennis"	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	1.42105263157895	2.42105263157895	1.42105263157895	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_cornuta"	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	1.42105263157895	1.42105263157895	2.42105263157895	0	0	0	0	0	0	0	0	0	0	0
"Eurytoma_sp."	0	0	0	0	2.04120866600099	0.463131378000224	0	0	2.23250206126195	0	0	0	0	0	0	0	2.28211321817888	0.612362599800296	1.0291808400005	0	0	0	0	0.669750618378584	0.669750618378584	0	0
"Tetramesa_calamagrostidis"	0	0	0	0	2.88431659326226	0.654424773261186	0	0	1.19810073873971	0	0	0	0	0	0	0	1.22472519960059	1.86529497797868	1.45427727391375	0	0	0	0	0.359430221621913	0.359430221621913	0	0
"Tetramesa_eximia"	0	0	0	0	2.42379545652291	1.3062393052615	0	0	1.00680734347875	0	0	0	0	0	0	0	1.0291808400005	0.727138636956873	2.90275401169222	0	0	0	0	0.302042203043624	0.302042203043624	0	0
"Tetramesa_brevicornis"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	3.13157894736842	2.13157894736842	0	0	0	0	0	0
"Tetramesa_brevicollis"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	2.13157894736842	3.13157894736842	0	0	0	0	0	0
"Ahtola_atra"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13157894736842	2.13157894736842	0	0	0	0
"Tetramesa_angustipennis"	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13157894736842	3.13157894736842	0	0	0	0
