"Clethrionomys_rutilus"	"Sorex_araneus"	"Neomys_fodiens"	"Microtus_arvalis"	"Microtus_oeconomus"	"Sorex_minutus"	"Microtus_gregalis"	"Microtus_agrestis"	"Sorex_caecutiens"	"Apodemus_uralensis"	"Sicista_betulina"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Sorex_tundrensis"	"Micromys_minutus"	"Spermophilus_major"	"Ctenophthalmus_assimilis"	"Corrodopsylla_birulai"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Peromyscopsylla_bidentata"	"Amphipsylla_kuznetzovi"	"Rhadinopsylla_integella"	"Ctenophthalmus_breviatus"	"Peromyscopsylla_silvatica"	"Amphipsylla_sibirica"	"Megabothris_rectangulatus"	"Oropsylla_ilovaiskii"
"Clethrionomys_rutilus"	1.53075495965187	0.451265263871697	0.200842197582712	0.409698041281542	0.356216234290005	0.23672533328728	0.402783391170988	0.241033303419186	0.198436935201384	0.302003056798207	0.210892425140493	0.167474965118638	0.196258537076619	0.195482145749714	0.163291105096502	0	0.594575453247921	0.483267947499385	0.449631069007349	0.519521852652763	0.595597303558385	0.344743706081875	0.34104058276797	0.412431875375663	0.310931123613275	0.309989755108294	0.0731233289207278	0.0369217034076843	0.036250505205389	0.125243587607881	0.0695969673187989	0.0339753438897983	0
"Sorex_araneus"	0.451265263871697	1.53075495965187	0.200842197582712	0.409698041281542	0.356216234290005	0.23672533328728	0.402783391170988	0.241033303419186	0.198436935201384	0.302003056798207	0.210892425140493	0.167474965118638	0.196258537076619	0.195482145749714	0.163291105096502	0	0.594575453247921	0.483267947499385	0.449631069007349	0.519521852652763	0.595597303558385	0.344743706081875	0.34104058276797	0.412431875375663	0.310931123613275	0.309989755108294	0.0731233289207278	0.125243587607881	0.036250505205389	0.0369217034076843	0.0695969673187989	0.0339753438897983	0
"Neomys_fodiens"	0.441852834681966	0.441852834681966	1.24648669594892	0.409201126926523	0.376473043747123	0.254573701855985	0.392461894652128	0.238380675162412	0.209514821457443	0.299039915898034	0.187753292632323	0.180561903615344	0.204346322654755	0.221991077735006	0.158667753086911	0	0.702928340728429	0.59312789239266	0.558081991124773	0.439838958914907	0.700915917310644	0.447094201030826	0.251499259259458	0.325826241209791	0.218874884059125	0.213948700190228	0.0721496719420787	0.0361515955648882	0.0353215705186915	0.0361515955648882	0.0712892949132411	0.0336419905385289	0
"Microtus_arvalis"	0.450667845409697	0.450667845409697	0.204600563463262	1.46373987024788	0.351554372008725	0.229798215040252	0.46130917521876	0.235065313993388	0.190933954952349	0.294055249229942	0.205872954427344	0.171928603919158	0.188511824337776	0.198091294880841	0.166360812197774	0	0.601492086069855	0.486404578266926	0.458737674471955	0.526354099712235	0.604555156922932	0.357667536028745	0.350496511360924	0.317069201594109	0.322741129201408	0.321488376064097	0.173254414091998	0.0368728237153388	0.0415178257696884	0.0368728237153388	0.0682366527392409	0.0330812155383684	0
"Microtus_oeconomus"	0.435375397465562	0.435375397465562	0.209151690970624	0.390615968898583	1.42362047095294	0.248261363397882	0.379492656793326	0.253054898273128	0.208737784661553	0.373375711204464	0.185790321977705	0.15635498486707	0.205950601691642	0.204371996576481	0.153628649540318	0	0.617817579879852	0.511649322622978	0.470119574513777	0.546114592100634	0.614811224787345	0.35574224623537	0.362878072517039	0.438893668214011	0.209175152721351	0.208561727272831	0.0693097763122718	0.0356216234290005	0.0341543391113993	0.0356216234290005	0.184366814605797	0.0420047675105022	0
"Sorex_minutus"	0.433996444360014	0.433996444360014	0.212144751546654	0.382997025067086	0.372392045096823	1.27497236486495	0.366036009352149	0.260694705971461	0.231944531215857	0.326215604073134	0.198625171586192	0.149310854748622	0.2275816935962	0.225595027671828	0.166655221225859	0	0.673574447606738	0.56967695244119	0.52656301409724	0.603538343900204	0.669321856763702	0.247450775190435	0.251473238947544	0.493773371931241	0.20777804628787	0.211680528745248	0.0674129730977312	0.035508799993092	0.0329432408416934	0.035508799993092	0.0739384599679099	0.0366992554582276	0
"Microtus_gregalis"	0.443061730288087	0.443061730288087	0.196230947326064	0.46130917521876	0.341543391113993	0.219621605611289	1.55605930752343	0.233983145528724	0.180975978964797	0.282282413201978	0.206481611665877	0.173239231335878	0.178389107574632	0.188791081675754	0.158127437419495	0	0.598151195073054	0.382441541835592	0.458138867073967	0.522262780823318	0.601154192278776	0.362518910538238	0.355072756283505	0.308305239355357	0.330209691008005	0.326809537376819	0.181563163446797	0.036250505205389	0.140045337677108	0.036250505205389	0.0659111105966218	0.0317567714852224	0
"Microtus_agrestis"	0.441894389601842	0.441894389601842	0.198650562635343	0.391775523322314	0.379582347409691	0.260694705971461	0.38997190921454	1.28004451373569	0.217911797205708	0.33401551653135	0.198876750678128	0.149856493637762	0.213464557806336	0.21145456463578	0.153069872749058	0	0.670295316262421	0.408116362550737	0.524779424056944	0.599463410166037	0.665511914133931	0.2501003070379	0.410208917365172	0.492401413356805	0.212182786144632	0.212905796444674	0.0703572689283169	0.036154995512878	0.0350974718293086	0.036154995512878	0.075534980350746	0.0375767456097768	0
"Sorex_caecutiens"	0.436561257443045	0.436561257443045	0.209514821457443	0.381867909904698	0.375728012390795	0.278333437459028	0.361951957929593	0.26149415664685	1.24517201022854	0.326945676288782	0.193212290716134	0.140656641021063	0.227988261389614	0.225662168776016	0.161508035642195	0	0.703636077406968	0.601749629157128	0.559390845215706	0.635836761005478	0.515844423585324	0.245314298108743	0.251959398096179	0.52671268683012	0.204807041336228	0.209498605125982	0.0669437881050862	0.0357186483362491	0.0325756762136634	0.0357186483362491	0.0743541898215674	0.036781388582488	0
"Apodemus_uralensis"	0.415254203097535	0.415254203097535	0.186899947436271	0.367569061537427	0.420047675105023	0.244661703054851	0.352853016502472	0.250511637398512	0.204341047680489	1.51008737655407	0.187009626166942	0.141373664457057	0.212693637144881	0.198377276834945	0.156223818668829	0	0.628841224094301	0.5291872589869	0.355200732333001	0.56487878554337	0.627210194712299	0.240244507355056	0.3822550177858	0.462844262199053	0.198259482016075	0.201600766713724	0.0648379870235909	0.0339753438897983	0.0317567714852225	0.0339753438897983	0.211889597372836	0.169884829862333	0
