"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Microtus_maximowiczii"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Amphipsylla_marikovskii"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Ceratophyllus_indages"	"Amalaraeus_ioffi"	"Catallagia_striata"	"Amalaraeus_penicilliger"	"Hystrichopsylla_microti"	"Neopsylla_acanthina"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_integella"	"Stenoponia_montana"	"Ctenophthalmus_congeneroides"	"Tarsopsylla_octodecimdentata"	"Frontopsylla_elata"	"Ctenophyllus_armatus"	"Megabothris_bispinosa"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"
"Clethrionomys_rutilus"	2.68442833388034	1.27002702229441	0.564108347446631	0.530646947656312	0.21394724345915	0	0.408297178207789	0.203358752942523	0.203358752942523	0.275886969042804	0.275886969042804	0.203358752942523	0.203358752942523	0.203358752942523	0.344113005170044	0.344113005170044	0.271584789069763	0.26791138383238	0.203358752942523	0.203358752942523	0.259567340769843	0	0.20861183050265	0.127157131604858	0.203358752942523	0.199685347705139	0.127157131604858
"Clethrionomys_rufocanus"	1.60870089490625	2.36163933944245	0.537759338471656	0.532546466153959	0.222511855762521	0	0.422264284741976	0.217899981704212	0.217899981704212	0.287040468079139	0.287040468079139	0.217899981704212	0.217899981704212	0.217899981704212	0.35551072801322	0.355510728013219	0.286370241638292	0.213812367646672	0.217899981704212	0.217899981704212	0.211425438000502	0	0.276922177029384	0.0762016213376646	0.217899981704212	0.145342107712592	0.0762016213376646
"Tamias_sibiricus"	1.53115122878371	1.15234143958212	1.76029179168424	0.598995093374163	0.220378341312609	0	0.511119090090785	0.141668702475208	0.141668702475208	0.36799193283461	0.36799193283461	0.141668702475208	0.141668702475208	0.141668702475208	0.445005587697003	0.445005587697003	0.218682357337601	0.375865101322076	0.141668702475208	0.141668702475208	0.215655373356456	0	0.212267643631102	0.0725282161002811	0.141668702475208	0.298851446459683	0.0725282161002811
"Apodemus_peninsulae"	1.44032742935285	1.14117099890134	0.598995093374163	1.74982018613375	0.332844186974738	0	0.538540088090474	0.136696296061321	0.136696296061321	0.213709950923713	0.213709950923713	0.136696296061321	0.136696296061321	0.136696296061321	0.438686831998053	0.438686831998052	0.36167317713566	0.370216572063972	0.136696296061321	0.136696296061321	0.393056173294001	0	0.393300397100841	0.0682260361272402	0.136696296061321	0.145239690989633	0.0682260361272402
"Microtus_maximowiczii"	1.35499920857462	1.11255927881261	0.514216129729421	0.776636436274389	1.50474684134581	0	0.748328540656449	0.130937729766501	0.130937729766501	0.197051232160284	0.197051232160284	0.130937729766501	0.130937729766501	0.130937729766501	0.296904488252705	0.296904488252705	0.230790985858923	0.230150931523949	0.130937729766501	0.130937729766501	0.615461481533909	0	0.618030865224921	0.064184173037745	0.130937729766501	0.130297675431528	0.064184173037745
"Sciurus_vulgaris"	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"Megabothris_advenarius"	1.5515292771896	1.26679285422593	0.7155667261271	0.753956123326664	0.448997124393869	0	1.47313885272175	0.149501063330958	0.149501063330958	0.241502499547299	0.241502499547299	0.149501063330958	0.149501063330958	0.149501063330958	0.338439715403585	0.338439715403584	0.246438279187243	0.262432144150029	0.149501063330958	0.149501063330958	0.305129845251848	0	0.307643924428002	0.0734934920774021	0.149501063330958	0.165494928293743	0.073493492077402
"Amphipsylla_marikovskii"	1.93190815295397	1.63424986278159	0.495840458663229	0.478437036214622	0.196406594649752	0	0.373752658327394	1.18956643059103	0.189566430591031	0.253317346704874	0.253317346704874	0.189566430591031	0.189566430591031	0.189566430591031	0.314830679932469	0.314830679932468	0.251079763818625	0.216775688165573	0.18956643059103	0.18956643059103	0.211946750446655	0	0.218490303389415	0.0915114388241353	0.189566430591031	0.155262354937979	0.0915114388241352
"Catallagia_dacenkoi"	1.93190815295397	1.63424986278159	0.495840458663229	0.478437036214622	0.196406594649752	0	0.373752658327394	0.189566430591031	1.18956643059103	0.253317346704874	0.253317346704874	0.189566430591031	0.189566430591031	0.189566430591031	0.314830679932469	0.314830679932469	0.251079763818625	0.216775688165573	0.189566430591031	0.189566430591031	0.211946750446655	0	0.218490303389415	0.0915114388241353	0.189566430591031	0.155262354937979	0.0915114388241352
"Catallagia_ioffi"	1.74728413727109	1.43520234039569	0.858647843280757	0.498656552155331	0.197051232160284	0	0.402504165912165	0.168878231136583	0.168878231136583	1.27927581098697	0.279275810986966	0.168878231136583	0.168878231136583	0.168878231136583	0.34338879626408	0.34338879626408	0.232991216413697	0.257276655840338	0.168878231136583	0.168878231136583	0.20599444563804	0	0.209340495348941	0.0827660907128412	0.168878231136583	0.193163670563224	0.0827660907128411
