"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"C1"	"C2"	"C3"	"C4"
"R1"	1.56190619816016	0.561906198160156	0.561906198160156	0.561906198160156	0.561906198160156	0.726813451968028	0	0.561906198160156	0.164907253807872	2.18519077062283	2.18519077062283	0.366460564017493	0
"R2"	0.561906198160156	1.56190619816016	0.561906198160156	0.561906198160156	0.561906198160156	0.726813451968028	0	0.561906198160156	0.164907253807872	2.18519077062283	2.18519077062283	0.366460564017493	0
"R3"	0.561906198160156	0.561906198160156	1.56190619816016	0.561906198160156	0.561906198160156	0.726813451968028	0	0.561906198160156	0.164907253807872	2.18519077062283	2.18519077062283	0.366460564017493	0
"R4"	0.561906198160156	0.561906198160156	0.561906198160156	1.56190619816016	0.561906198160156	0.726813451968028	0	0.561906198160156	0.164907253807872	2.18519077062283	2.18519077062283	0.366460564017493	0
"R5"	0.561906198160156	0.561906198160156	0.561906198160156	0.561906198160156	1.56190619816016	0.726813451968028	0	0.561906198160156	0.164907253807872	2.18519077062283	2.18519077062283	0.366460564017493	0
"R6"	0.484542301312019	0.484542301312019	0.484542301312019	0.484542301312019	0.484542301312019	1.92022319408837	0	0.484542301312019	0.435680892776353	1.88433117176896	1.88433117176896	0.96817976172523	0
"R7"	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	4.73684210526316
"R8"	0.561906198160156	0.561906198160156	0.561906198160156	0.561906198160156	0.561906198160156	0.726813451968028	0	1.56190619816016	0.164907253807872	2.18519077062283	2.18519077062283	0.366460564017493	0
"R9"	0.329814507615744	0.329814507615744	0.329814507615744	0.329814507615744	0.329814507615744	1.30704267832906	0	0.329814507615744	1.97722817071332	1.28261197406123	1.28261197406123	2.1716181571407	0
"C1"	0.624340220177952	0.624340220177952	0.624340220177952	0.624340220177952	0.624340220177952	0.807570502186698	0	0.624340220177952	0.183230282008747	2.92798974513648	1.92798974513648	0.407178404463881	0
"C2"	0.624340220177952	0.624340220177952	0.624340220177952	0.624340220177952	0.624340220177952	0.807570502186698	0	0.624340220177952	0.183230282008747	1.92798974513648	2.92798974513648	0.407178404463881	0
"C3"	0.366460564017493	0.366460564017493	0.366460564017493	0.366460564017493	0.366460564017493	1.45226964258784	0	0.366460564017493	1.08580907857035	1.42512441562358	1.42512441562358	2.41290906348967	0
"C4"	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	5.26315789473684
