"Dryas_octopetala"	"Diapensia_lapponica"	"Saxifraga_aizoides"	"Potentilla_crantzii"	"Silene_acaulis"	"Cerastium_alpinum"	"Parnassia_palustris"	"Polygonum_viviparum"	"Salix_lanata"	"Salix_reticulata"	"Saxifraga_oppositifolia"	"Trollius_europaeus"	"Viola_biflora"	"Pinguicula_alpina"	"Rhodiola_rosea"	"Rhododendron_lapponicum"	"Taraxacum_officinale"	"Antennaria_alpina"	"Arabis_alpina"	"Astragalus_alpinus"	"Cassiope_tetragona"	"Salix_polaris"	"Cassiope_hypnoides"	"Bartsia_alpina"	"Phaonia_alpicola"	"Limnophyes_ninae"	"Megaselia_diversa"	"Megaselia_sp1_M_PL_009"	"Smittia_sp1_M_PL_009"	"Megaselia_digitalis"	"Chloropinae_sp1_M_PL_009"	"Parapiophila_vulgaris"	"Aclastus_sp1_M_PL_009"	"Micropsectra_radialis"	"Noctuidae_sp1_M_PL_009"	"Arpedium_sp1_M_PL_009"	"Mycomya_fuscata"	"Oliveridia_tricornis"	"Phaonia_subfuscinervis"	"Podabrus_sp1_M_PL_009"	"Rhamphomyia_aethiops"	"Rhamphomyia_reflexa"	"Corynoptera_refrigerata"	"Cotesia_sp1_M_PL_009"	"Empis_lucida"	"Limnophilus_sp1_M_PL_009"	"Paradelia_sp1_M_PL_009"	"Pegoplata_aestiva"	"Pteromalidae_sp1_M_PL_009"	"Urbicola_sp1_M_PL_009"	"Xestommaster_sp1_M_PL_009"	"Aclastus_sp2_M_PL_009"	"Botanophila_bidens"	"Cidaria_sp1_M_PL_009"	"Egle_parva"	"Egle_sp1_M_PL_009"	"Limnophyes_brachytomus"	"Limnophyes_natalensis"	"Megaselia_giraudii"	"Megaselia_sordida"	"Micropsectra_sp1_M_PL_009"	"Orthocentrinae_sp1_M_PL_009"	"Phygadeuon_sp1_M_PL_009"	"Rhamphomyia_morio"	"Spilagona_nitidicauda"	"Thricops_furcatus"	"Acamptocladius_submontanus"	"Alliopsis_glacialis"	"Allophorocera_lapponica"	"Alysiinae_sp1_M_PL_009"	"Alysiinae_sp2_M_PL_009"	"Alysiinae_sp3_M_PL_009"	"Alysiinae_sp4_M_PL_009"	"Alysiinae_sp5_M_PL_009"	"Anarta_sp1_M_PL_009"	"Anthomyiidae_sp1_M_PL_009"	"Anthomyiidae_sp2_M_PL_009"	"Anthomyiidae_sp3_M_PL_009"	"Bellardia_pubicornis"	"Boletina_sp1_M_PL_009"	"Bombus_alpinus"	"Bombus_hyperboreus"	"Bradysia_giraudi"	"Bradysia_sp1_M_PL_009"	"Bradysia_sp2_M_PL_009"	"Bradysia_sp3_M_PL_009"	"Chamaepsila_morio"	"Coenosia_atritibia"	"Coenosia_octopunctata"	"Corynoneura_scutellata"	"Corynoptera_sp1_M_PL_009"	"Corynoptera_sp2_M_PL_009"	"Dasineura_sp1_M_PL_009"	"Delia_piliventris"	"Dolichopus_plumipes"	"Egle_minuta"	"Fannia_mollissima"	"Gimnomera_dorsala"	"Heterotrissocladius_subpilosus"	"Ichneumonidae_sp1_M_PL_009"	"Ichneumonidae_sp2_M_PL_009"	"Ichneumonidae_sp3_M_PL_009"	"Ichneumonidae_sp4_M_PL_009"	"Limnophyes_schnelli"	"Lycoriella_curvispina"	"Lycoriella_freyi"	"Lycoriella_sp1_M_PL_009"	"Lycoriella_sp2_M_PL_009"	"Megaselia_cirriventris"	"Megaselia_coei"	"Megaselia_groenlandica"	"Megaselia_pleuralis"	"Micropsectra_sp2_M_PL_009"	"Pegomya_haemorrhoum"	"Pegomya_sp1_M_PL_009"	"Phaonia_lugubris"	"Phyllolabis_macroura"	"Phytomyza_aquilonia"	"Platygaster_sp1_M_PL_009"	"Platypalpus_nigritarsis"	"Porizontini_sp1_M_PL_009"	"Pseudosmittia_oxoniana"	"Pteromalidae_sp2_M_PL_009"	"Rhamphomyia_obscuripennis"	"Rhaphium_crassipes"	"Smittia_betuletorum"	"Smittia_cf._aterrima"	"Smittia_sp2_M_PL_009"	"Spilogona_alpica"	"Spilogona_megastoma"	"Spilogona_triangulifera"	"Stenomacrus_sp1_M_PL_009"	"Tetrastichinae_sp1_M_PL_009"	"Thricops_cunctans"	"Thricops_hirtulus"	"Thricops_nigritellus"	"Thricops_rostratus"	"Trichosia_truncata"	"Zaphne_barbiventris"	"Zaphne_frontata"	"Zaphne_sp1_M_PL_009"	"Zaphne_sp2_M_PL_009"
"Dryas_octopetala"	2.01176711802599	0.38637688145254	0.311859229590456	0.421788799003091	0.242333241649135	0.201672406279258	0.217622649596431	0.23764460564904	0.0826831773258768	0.152905584913874	0.115911288138603	0.118329080287478	0.112466054967753	0.0922390263762056	0.0706713188184629	0.0773875673145623	0.0583775848243033	0.0732615371317265	0.0769122931589417	0.0516189605738638	0.0698314279831937	0.0331113467410004	0.0376028161819408	0.00878389875311547	0.189156346426733	0.180717967508279	0.178739507452417	0.131612410993814	0.124444876810423	0.171404507656413	0.137597143682099	0.137616611201501	0.062669445856537	0.0693115792792145	0.11723178916869	0.10910760503118	0.108629222589152	0.106774138740878	0.112852472436384	0.0591436212369141	0.108179688744245	0.0531673381205278	0.036738074348157	0.0381011546869287	0.0968598602302639	0.0450412081517235	0.0931135053106463	0.0434963310804982	0.0436447445354462	0.0956562564309807	0.0357371978203173	0.0195197750069233	0.0241915869546373	0.0251406923217176	0.0218276300880258	0.0315291512588345	0.0785735108116983	0.0245102655550609	0.0811162619320326	0.0262931156988555	0.0269602841210004	0.0221778854648792	0.0818658213822176	0.0804810230420228	0.0239127193551107	0.0182017217548878	0.0158170799626159	0.0112269322652564	0.0646639430794068	0.0145399944989481	0.0646639430794068	0.0112269322652564	0.0145399944989481	0.0105079652683746	0.0145399944989481	0.0150661834335991	0.0133120215323413	0.00826831773258768	0.00826831773258768	0.0112269322652564	0.0158170799626159	0.0158170799626159	0.0112269322652564	0.0173052659607619	0.0139095677322915	0.00826831773258768	0.0130400199155929	0.0112269322652564	0.0158170799626159	0.0130400199155929	0.0129646546893809	0.0150661834335991	0.0139095677322915	0.0157120712962186	0.0150661834335991	0.0112269322652564	0.0105079652683746	0.0139095677322915	0.0150661834335991	0.0145399944989481	0.0112269322652564	0.0129646546893809	0.0646639430794068	0.0164523188526258	0.0112269322652564	0.0646639430794068	0.0129646546893809	0.0112269322652564	0.0646639430794067	0.0138358539564308	0.0133120215323412	0.0112269322652564	0.0646639430794068	0.0139095677322915	0.0158170799626159	0.0133120215323413	0.0150661834335991	0.0112269322652564	0.0139095677322915	0.0112269322652564	0.0139095677322915	0.0646639430794068	0.0129646546893809	0.0139095677322915	0.0150661834335991	0.0646639430794067	0.0126524311838722	0.0158170799626159	0.0116142661291193	0.0145399944989481	0.0126524311838722	0.0105079652683746	0.0130400199155929	0.0646639430794068	0.0139095677322915	0.0139095677322915	0.0139095677322915	0.0133120215323412	0.0139095677322915	0.00826831773258768	0.0158170799626159	0.0112269322652564
"Diapensia_lapponica"	0.432742107226846	2.21152779418471	0.383101808192352	0.315764731656361	0.204767103961867	0.240119397816307	0.189749128069463	0.170741126767426	0.133413821373075	0.128781536127804	0.106484066099946	0.0941200535024796	0.0778474431053001	0.0712745132276575	0.134797649383174	0.0801444398510271	0.035932035121529	0.0483033828879954	0.0497019800504526	0.0562555015061752	0.0361002936250418	0.0298848695957624	0.0220302214419068	0.00957288996218528	0.133198344975114	0.181322127030391	0.102393284121753	0.109026192114395	0.099361811054168	0.165213103690061	0.147269373013153	0.0749018471637821	0.0642455040227393	0.0550589396284959	0.131814898693869	0.0534119957388833	0.0494560099131877	0.0526788883614464	0.0500701687778735	0.118712964575677	0.11894707265777	0.121979390785168	0.0400534075482044	0.108842912688051	0.0329003949477248	0.108528922578212	0.105810594560653	0.0374533820774754	0.0328644031324955	0.0380161335154407	0.11362631309305	0.0212730888048562	0.0292279120974016	0.0325056736451882	0.0340113125024008	0.0199637435027479	0.0935245683229411	0.0998346479981256	0.0257301072777287	0.0269281431920413	0.0182883058673124	0.0929563827279572	0.0283974905466694	0.025750745169405	0.0308081534265051	0.0223068430160363	0.0118411774371135	0.0137916650949247	0.0139095677322915	0.012286026237712	0.0139095677322915	0.0137916650949247	0.012286026237712	0.00646776632187521	0.012286026237712	0.0131364780971167	0.010588506019029	0.0133413821373075	0.0133413821373075	0.0137916650949247	0.0118411774371135	0.0118411774371135	0.0137916650949247	0.0111829455113518	0.0796150005906496	0.0133413821373075	0.0119794574362439	0.0137916650949247	0.0118411774371135	0.0119794574362439	0.0154362470024769	0.0131364780971167	0.0796150005906496	0.0081225660656344	0.0131364780971167	0.0137916650949247	0.00646776632187522	0.0796150005906496	0.0131364780971167	0.012286026237712	0.0137916650949247	0.0154362470024769	0.0139095677322915	0.0118205395454372	0.0137916650949247	0.0139095677322915	0.0154362470024769	0.0137916650949247	0.0139095677322914	0.0106911769841486	0.0105885060190289	0.0137916650949247	0.0139095677322915	0.0796150005906496	0.0118411774371135	0.010588506019029	0.0131364780971167	0.0137916650949247	0.0796150005906496	0.0137916650949247	0.0796150005906497	0.0139095677322915	0.0154362470024769	0.0796150005906496	0.0131364780971167	0.0139095677322914	0.00875783734934626	0.0118411774371135	0.0126574878388894	0.012286026237712	0.00875783734934626	0.00646776632187521	0.0119794574362439	0.0139095677322914	0.0796150005906497	0.0796150005906496	0.0796150005906496	0.010588506019029	0.0796150005906496	0.0133413821373075	0.0118411774371135	0.0137916650949247
"Saxifraga_aizoides"	0.349282337141311	0.383101808192352	2.42199431452471	0.353703794248129	0.147614891828013	0.270732831582473	0.259868337963979	0.17577011262687	0.0572099676878348	0.0805905760847296	0.066384408845033	0.088305448616811	0.0810597887563691	0.0654198444630581	0.138511163625717	0.0434766970739734	0.0357522793524313	0.0315031481175619	0.0522663747234231	0.052633900497144	0.0302669126635692	0.0197719578836345	0.0489803891195061	0.00895660911821147	0.118738737274141	0.194732420749315	0.10004821912381	0.188925352498546	0.0756702763176963	0.0838870605499315	0.0722214289079575	0.081173889284431	0.0461215681333271	0.0386737077312316	0.137316912579233	0.0380535405174949	0.133723794976229	0.129673504808419	0.0542416437982992	0.0566285109430399	0.0518663758058296	0.136378598812655	0.0224036957517795	0.118387713876688	0.0251251959410109	0.030683910377772	0.0338754908698619	0.112624387712132	0.0301448198497094	0.0322525258798743	0.121760134961672	0.0199035758182477	0.104596048781763	0.0296335680535383	0.107968469866747	0.0200739476336079	0.0250185973601811	0.0345683396387821	0.0233956323701935	0.105182680258857	0.0186041103883747	0.0195126618637081	0.0202933720747885	0.0244908245495613	0.0307110375132487	0.0116525841338738	0.0132638922843048	0.0871917953228897	0.0112269322652564	0.00885689350968077	0.0112269322652564	0.0871917953228898	0.00885689350968077	0.00643541028343764	0.00885689350968077	0.0179908849359678	0.00993436296939124	0.00572099676878347	0.00572099676878348	0.0871917953228897	0.0132638922843048	0.0132638922843048	0.0871917953228899	0.0117599343127702	0.0137916650949247	0.00572099676878347	0.0074682459950662	0.0871917953228898	0.0132638922843048	0.0074682459950662	0.0174042534588733	0.0179908849359677	0.0137916650949247	0.00681005534930308	0.0179908849359677	0.0871917953228898	0.00643541028343764	0.0137916650949247	0.0179908849359677	0.00885689350968077	0.0871917953228898	0.0174042534588732	0.0112269322652564	0.0121687001049371	0.0871917953228899	0.0112269322652564	0.0174042534588733	0.0871917953228898	0.0112269322652564	0.00981297666945871	0.00993436296939123	0.0871917953228898	0.0112269322652564	0.0137916650949247	0.0132638922843048	0.00993436296939124	0.0179908849359678	0.0871917953228899	0.0137916650949247	0.0871917953228899	0.0137916650949247	0.0112269322652564	0.0174042534588732	0.0137916650949247	0.0179908849359678	0.0112269322652564	0.00911922623509153	0.0132638922843048	0.0118426276118574	0.00885689350968077	0.00911922623509152	0.00643541028343764	0.00746824599506621	0.0112269322652564	0.0137916650949247	0.0137916650949247	0.0137916650949247	0.00993436296939123	0.0137916650949247	0.00572099676878347	0.0132638922843048	0.0871917953228898
"Potentilla_crantzii"	0.492086932170273	0.328921595475376	0.368441452341801	1.85227365935454	0.200279498637337	0.234173964071358	0.206069487214861	0.239331032447603	0.116149955941883	0.130418113743012	0.135651420617871	0.0976043375720874	0.131714663475077	0.109033478196304	0.0682722918546568	0.0759912936671862	0.0608857395596946	0.0672786343866411	0.0801104534398459	0.0726141698002678	0.0944153525957045	0.0429429911828362	0.0461407640624326	0.0123566129281968	0.195432795295346	0.185277213050116	0.18907443064634	0.192972339447502	0.188201031330583	0.175113128184706	0.142105382788568	0.145984702968818	0.126352663704648	0.0727713123483907	0.12672060011489	0.0551480385956582	0.119304578300811	0.112807583587591	0.117568543327252	0.112924551687495	0.0539413764328447	0.0544254593837378	0.0373101983725221	0.0401591102688628	0.0521982270336436	0.040191648093296	0.0396750273179697	0.0992932259872418	0.0434037410363282	0.0444029213579979	0.0353459134996169	0.0274591398404374	0.0283179328317493	0.0222576136964388	0.0235047360625034	0.0907037165598286	0.0276582573997295	0.022082021215312	0.0323861514397577	0.0275302413991798	0.0275285045978868	0.0234561730313018	0.0304891177587048	0.0852773421884111	0.0212213317550583	0.0244978929490392	0.0694602622257953	0.0132638922843048	0.0158170799626159	0.0120167699182402	0.0158170799626159	0.0132638922843048	0.0120167699182403	0.010959433120745	0.0120167699182403	0.014266349114875	0.0109804879768598	0.0116149955941883	0.0116149955941883	0.0132638922843048	0.0694602622257951	0.0694602622257952	0.0132638922843049	0.0180248520239653	0.0118411774371135	0.0116149955941883	0.0152607848195105	0.0132638922843048	0.0694602622257952	0.0152607848195105	0.0150540405474445	0.014266349114875	0.0118411774371135	0.0212434543340335	0.014266349114875	0.0132638922843048	0.010959433120745	0.0118411774371135	0.014266349114875	0.0120167699182403	0.0132638922843048	0.0150540405474445	0.0158170799626159	0.0165690714771418	0.0132638922843049	0.0158170799626159	0.0150540405474445	0.0132638922843048	0.0158170799626159	0.0163550217294456	0.0109804879768598	0.0132638922843048	0.0158170799626159	0.0118411774371135	0.0694602622257952	0.0109804879768598	0.014266349114875	0.0132638922843049	0.0118411774371135	0.0132638922843049	0.0118411774371135	0.0158170799626159	0.0150540405474445	0.0118411774371135	0.014266349114875	0.0158170799626159	0.0148178996409462	0.0694602622257952	0.0163381882050603	0.0120167699182403	0.0148178996409462	0.010959433120745	0.0152607848195105	0.0158170799626159	0.0118411774371135	0.0118411774371135	0.0118411774371135	0.0109804879768598	0.0118411774371135	0.0116149955941883	0.0694602622257952	0.0132638922843048
"Silene_acaulis"	0.452355384411719	0.341278506603111	0.246024819713355	0.32044719781974	1.86323805610579	0.191328007099392	0.15803556354229	0.264563170444995	0.168408536534763	0.124661350772508	0.104591460030081	0.10385491198219	0.177959573402881	0.122074100441927	0.137162892585612	0.105993500474993	0.0729461520679315	0.0628231895632362	0.0578077498880446	0.0353859635760322	0.0598390230898354	0.0517662759073479	0.0345909476503695	0.00602156102869455	0.250381213073831	0.113946598516523	0.233435235353972	0.23120541167224	0.23613675659323	0.115395976388247	0.0769333894694383	0.0881337094541481	0.0676648347152067	0.075476493647048	0.0556615259691884	0.0593269041443504	0.0509795843695354	0.04635458155672	0.0505044317718492	0.054918365555237	0.149561227732858	0.0443835009764902	0.147713967105323	0.0334425773466394	0.0421389923458892	0.0453892582851179	0.138620304103008	0.0391895752279591	0.15013064717421	0.144650189665334	0.0417173536352346	0.0133812467304323	0.0211565511089274	0.13236871725419	0.0294313273975226	0.0254805501134532	0.0268260207366601	0.0328604601255538	0.0328559062989862	0.0197978171395316	0.0314462191722657	0.0291268798911883	0.0285643964608553	0.0265567644171884	0.0322581114858381	0.0323707364256807	0.0120167699182403	0.00885689350968077	0.0145399944989481	0.111794283366348	0.0145399944989481	0.00885689350968077	0.111794283366348	0.0131303073722277	0.111794283366348	0.0109409236298508	0.0116836775979964	0.0168408536534762	0.0168408536534762	0.00885689350968077	0.0120167699182402	0.0120167699182403	0.00885689350968078	0.01300674372481	0.012286026237712	0.0168408536534762	0.0117665392533841	0.00885689350968077	0.0120167699182403	0.0117665392533841	0.0122996575992466	0.0109409236298508	0.012286026237712	0.0134637801952129	0.0109409236298508	0.00885689350968077	0.0131303073722277	0.012286026237712	0.0109409236298508	0.111794283366348	0.00885689350968077	0.0122996575992466	0.0145399944989481	0.0183159118000381	0.00885689350968078	0.0145399944989481	0.0122996575992466	0.00885689350968077	0.0145399944989481	0.018311115066289	0.0116836775979964	0.00885689350968077	0.0145399944989481	0.012286026237712	0.0120167699182403	0.0116836775979964	0.0109409236298508	0.00885689350968078	0.012286026237712	0.00885689350968078	0.012286026237712	0.0145399944989481	0.0122996575992466	0.012286026237712	0.0109409236298508	0.0145399944989481	0.0200204520078242	0.0120167699182403	0.00796184180460724	0.111794283366348	0.0200204520078242	0.0131303073722277	0.0117665392533842	0.0145399944989481	0.012286026237712	0.012286026237712	0.012286026237712	0.0116836775979964	0.012286026237712	0.0168408536534762	0.0120167699182403	0.00885689350968077
"Cerastium_alpinum"	0.403344812558516	0.428784638957692	0.483451484968702	0.401441081265185	0.204994293320777	1.71393773590011	0.226910757188594	0.251059863804538	0.0741501634929908	0.120178220004696	0.117231184127719	0.11275665446507	0.137128316689644	0.104787084415981	0.0830381193301311	0.0638281391175632	0.0708758020549793	0.0437438356718906	0.0750828648473325	0.0355846830230124	0.0386109611087914	0.0287953018306764	0.0373865198593424	0.00605537673290757	0.233417609368578	0.233709949270787	0.228677419174339	0.233809712670518	0.106602182361357	0.113104993386932	0.180345211797777	0.186717616219052	0.0551531838324511	0.06061644716786	0.0688657493783533	0.0506588931083909	0.0622468826324026	0.0611321549626013	0.0606215460943778	0.15805306663766	0.056409765558007	0.158731418321831	0.0312037389897071	0.143022212054929	0.0314944839650343	0.0404453617941666	0.0407005592911044	0.0498393615004781	0.045107660720992	0.0426453797827878	0.0452962183608698	0.0134563927397946	0.127585965052452	0.0247553754987663	0.0298599713583929	0.0237415067969225	0.0284009016918578	0.0278919649019965	0.0303457221835412	0.0331134597257759	0.0301387118640566	0.022851263351776	0.0264847044399091	0.0280186952368253	0.02514084152684	0.016053606898502	0.0150540405474445	0.0174042534588733	0.0129646546893809	0.0122996575992466	0.0129646546893809	0.0174042534588733	0.0122996575992466	0.0127576443698963	0.0122996575992466	0.0157092062669027	0.0126851236273204	0.00741501634929907	0.00741501634929908	0.0174042534588733	0.0150540405474445	0.0150540405474445	0.0174042534588733	0.0168936445906498	0.0154362470024769	0.00741501634929907	0.0131885082143684	0.0174042534588733	0.0150540405474445	0.0131885082143684	0.110181711593579	0.0157092062669027	0.0154362470024769	0.00868746624947805	0.0157092062669026	0.0174042534588733	0.0127576443698963	0.0154362470024769	0.0157092062669027	0.0122996575992466	0.0174042534588733	0.110181711593578	0.0129646546893809	0.0173810674941603	0.0174042534588733	0.0129646546893809	0.110181711593579	0.0174042534588733	0.0129646546893808	0.0157180626623971	0.0126851236273204	0.0174042534588733	0.0129646546893809	0.0154362470024769	0.0150540405474445	0.0126851236273204	0.0157092062669027	0.0174042534588733	0.0154362470024769	0.0174042534588733	0.0154362470024769	0.0129646546893809	0.110181711593578	0.0154362470024769	0.0157092062669027	0.0129646546893808	0.015426935627585	0.0150540405474445	0.00800655368017779	0.0122996575992466	0.015426935627585	0.0127576443698963	0.0131885082143684	0.0129646546893809	0.0154362470024769	0.0154362470024769	0.0154362470024769	0.0126851236273204	0.0154362470024769	0.00741501634929908	0.0150540405474445	0.0174042534588733
"Parnassia_palustris"	0.468725706823082	0.364902169364352	0.499746803776882	0.380435976396666	0.182348727164181	0.244365430818486	2.08115916670353	0.182865528875257	0.058180001037657	0.07693601129579	0.0666138005240782	0.0928049924945278	0.102023976908013	0.0593928560056735	0.0629425041936788	0.0435154041128964	0.0408186548596436	0.0347986671889665	0.103993611801115	0.0315866446435102	0.0341680381009427	0.0212020309229671	0.0242561524557768	0.00537503826916874	0.11276027465987	0.266748397391724	0.119775130008042	0.1115244808563	0.0819453178893901	0.0880169142235199	0.0743275707422285	0.213259607449906	0.0425181695627106	0.0418173606262943	0.0675668906263482	0.0419948191003312	0.0582386860895413	0.191403667486994	0.196811345206277	0.0557719547087198	0.183223835163119	0.190916819302539	0.0245916964739379	0.0468365692999871	0.0305836921238286	0.0296245521082144	0.0391435851605666	0.0449171552806682	0.0350785422618278	0.0386670282932754	0.0405687386621362	0.0119445294870417	0.0337000912028704	0.0203822992589027	0.0274322605650196	0.0219541576875871	0.0282026615307157	0.0225778537261685	0.0277261046634245	0.16207113493852	0.0200072791045613	0.0189544782008824	0.0237214847043754	0.029332532548474	0.0198819372846862	0.0121786093806558	0.014266349114875	0.0179908849359677	0.0150661834335991	0.0109409236298508	0.0150661834335991	0.0179908849359678	0.0109409236298508	0.00734735787473585	0.0109409236298508	0.144080250002553	0.0104405616556344	0.0058180001037657	0.0058180001037657	0.0179908849359677	0.014266349114875	0.014266349114875	0.0179908849359678	0.0233985626552508	0.0131364780971167	0.0058180001037657	0.0074940525589588	0.0179908849359677	0.014266349114875	0.0074940525589588	0.0157092062669027	0.144080250002552	0.0131364780971167	0.0076878085727121	0.144080250002552	0.0179908849359678	0.00734735787473585	0.0131364780971167	0.144080250002552	0.0109409236298508	0.0179908849359678	0.0157092062669027	0.0150661834335991	0.0126599212298255	0.0179908849359678	0.0150661834335991	0.0157092062669027	0.0179908849359678	0.015066183433599	0.00890892840085102	0.0104405616556344	0.0179908849359678	0.0150661834335991	0.0131364780971167	0.014266349114875	0.0104405616556344	0.144080250002552	0.0179908849359678	0.0131364780971167	0.0179908849359678	0.0131364780971167	0.015066183433599	0.0157092062669027	0.0131364780971167	0.144080250002552	0.015066183433599	0.0114776974021515	0.014266349114875	0.00710699504478978	0.0109409236298508	0.0114776974021515	0.00734735787473585	0.0074940525589588	0.015066183433599	0.0131364780971167	0.0131364780971167	0.0131364780971167	0.0104405616556344	0.0131364780971167	0.0058180001037657	0.014266349114875	0.0179908849359678
"Polygonum_viviparum"	0.511849919859471	0.328348320706589	0.338019447359365	0.441841906057114	0.305265196667302	0.270372161020272	0.182865528875257	1.51530381581092	0.0824268016576297	0.125046514771303	0.118475181783701	0.113664046525055	0.185616450428856	0.125839138689877	0.078575755095479	0.067894285652289	0.169429781440106	0.0622506072999225	0.0785619268788621	0.0353757941262953	0.0473896078475709	0.034676849898369	0.0380490257721549	0.00601983051308806	0.242622887080826	0.22242090627285	0.261555534094567	0.240287915649156	0.132025221209139	0.210026026970517	0.089619188231803	0.188849878513909	0.0583207346893996	0.0726874831476775	0.0649701836585584	0.0555282284158781	0.0623121520321744	0.0578500116645303	0.0633577451073371	0.150676327303649	0.0592486914279266	0.0540302283743601	0.0387795633832131	0.0413703071445347	0.0411213672608119	0.0381092438746208	0.0465887701981012	0.133643420368988	0.144103411260194	0.139673879439574	0.0357756029146962	0.0133774011401957	0.0295497675990975	0.03010227506436	0.023955063369259	0.0272317332428452	0.028272858398063	0.023606902809759	0.121357967639535	0.0248286213347626	0.135403009446128	0.0200632197112002	0.0305200517643974	0.0330213903297676	0.0245735684983905	0.0186457351352737	0.0165690714771418	0.0121687001049371	0.0164523188526258	0.0183159118000381	0.0164523188526259	0.0121687001049371	0.0183159118000381	0.0304973606592191	0.0183159118000381	0.0126599212298255	0.0127872052340687	0.00824268016576296	0.00824268016576296	0.0121687001049371	0.0165690714771418	0.0165690714771418	0.0121687001049371	0.017676433547744	0.0118205395454372	0.00824268016576296	0.0133284579506663	0.0121687001049371	0.0165690714771418	0.0133284579506663	0.0173810674941603	0.0126599212298255	0.0118205395454372	0.0106626617657035	0.0126599212298255	0.0121687001049371	0.0304973606592191	0.0118205395454372	0.0126599212298255	0.0183159118000381	0.0121687001049371	0.0173810674941603	0.0164523188526259	0.10490564878691	0.0121687001049371	0.0164523188526258	0.0173810674941603	0.0121687001049371	0.0164523188526258	0.0188758708034815	0.0127872052340687	0.0121687001049371	0.0164523188526258	0.0118205395454372	0.0165690714771418	0.0127872052340687	0.0126599212298255	0.0121687001049371	0.0118205395454372	0.0121687001049371	0.0118205395454372	0.0164523188526258	0.0173810674941603	0.0118205395454372	0.0126599212298255	0.0164523188526258	0.0208818506732463	0.0165690714771418	0.00795955367841644	0.0183159118000381	0.0208818506732463	0.0304973606592191	0.0133284579506664	0.0164523188526258	0.0118205395454372	0.0118205395454372	0.0118205395454372	0.0127872052340687	0.0118205395454372	0.00824268016576296	0.0165690714771418	0.0121687001049371
"Salix_lanata"	0.257236551680506	0.370593948258543	0.158916576910652	0.30973321584502	0.280680894224604	0.115344698766875	0.0840377792766156	0.119060935727687	2.19028505571659	0.137446373700569	0.161252753778742	0.0689560041171262	0.12541230755244	0.0949527579405337	0.054520920487114	0.180101139170606	0.0300304785872958	0.0866351260391598	0.0302256160235579	0.105479281967668	0.0827221538105818	0.183867135061436	0.0177169845480015	0.0179492055449183	0.133119605573456	0.074979702920172	0.0929399115370576	0.101621700910154	0.38456439863599	0.10880684452116	0.0742433636548051	0.0554678945452532	0.30493547945939	0.122365580318314	0.0626785306755922	0.0639067902877875	0.0335769531421601	0.0314223101993251	0.0325020770358422	0.0406140742465579	0.0442685536271372	0.0322953953591558	0.268287564275844	0.0264773952553901	0.0463737056987795	0.0612223042293307	0.0384505535233715	0.0255786725287347	0.0391924184188888	0.0333518515518269	0.0272405169791581	0.0398871234331517	0.0131360131180826	0.0250189917265434	0.0138991348418506	0.0302274802015692	0.0216096998698952	0.0215195202103746	0.0165109978983506	0.0115389968725492	0.0136481663114762	0.232369887708967	0.0237310347739017	0.0198833133267759	0.0159356885362438	0.27418864609009	0.0116149955941883	0.00572099676878348	0.00826831773258768	0.0168408536534762	0.00826831773258768	0.00572099676878348	0.0168408536534762	0.00540548614571325	0.0168408536534763	0.0058180001037657	0.0077575504631767	0.219028505571659	0.219028505571659	0.00572099676878348	0.0116149955941883	0.0116149955941883	0.00572099676878348	0.00680076360530054	0.0133413821373075	0.219028505571659	0.0181409348001084	0.00572099676878348	0.0116149955941883	0.0181409348001084	0.00741501634929908	0.0058180001037657	0.0133413821373075	0.0186124846073809	0.0058180001037657	0.00572099676878348	0.00540548614571325	0.0133413821373075	0.0058180001037657	0.0168408536534763	0.00572099676878348	0.00741501634929907	0.00826831773258768	0.00824268016576297	0.00572099676878348	0.00826831773258768	0.00741501634929908	0.00572099676878348	0.00826831773258767	0.0142429136910801	0.00775755046317669	0.00572099676878348	0.00826831773258768	0.0133413821373075	0.0116149955941883	0.0077575504631767	0.0058180001037657	0.00572099676878348	0.0133413821373075	0.00572099676878348	0.0133413821373075	0.00826831773258768	0.00741501634929907	0.0133413821373075	0.0058180001037657	0.00826831773258767	0.0141088845996496	0.0116149955941883	0.0237328384427253	0.0168408536534762	0.0141088845996495	0.00540548614571325	0.0181409348001085	0.00826831773258767	0.0133413821373075	0.0133413821373075	0.0133413821373075	0.0077575504631767	0.0133413821373075	0.219028505571659	0.0116149955941883	0.00572099676878348
