"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"
"R11"	0	0.0427135692697679	0.0986593164899875	0.131633990582521	0.10566699147623	0.123415142796761	0.263404062159309	0.0436064366170911	0	0.213861871103276	2.37506282902947	0.215469218205565	0.0521904286429267	0.190960533194486	0.313201826021371	0.235963224927072	0.252560390951326	0.270694866292777	0.317166389054668	0.0169268079222409	0.0752302574321819	0.102619007655929	0.0402666735867166	0.160144487025272	0.136033881091022	0.175506237176256	0.157270571334458	0.040966146958885	0.589096277324478	0.100747085230285	0.517453129233987	0.0187921095612822	0.0359785575487859	0.0359785575487859	0.0359785575487859	0.0372040504134345	0.177635226096368	0.176850833472444	0.35625942435442	0.35625942435442	0.35625942435442	0.35625942435442	0.0531009397166061	0.034070956373326	0	0.0498298682464397	0.102853346214615	0.102853346214615	0.035160036059551	0.0278462189274961	0.0609267363076767	0.0498298682464397	0.0182356658417983	0.0182356658417983	0.0190200584657214	0.0190200584657214	0.0169243702177527	0.0169243702177527	0.0126847692629984	0.0126847692629984	0.00961055308569777	0.0286306115514192	0.00961055308569777	0
"R12"	0	0.0499182739588401	0.127600738006277	0.13727972454126	0.124145775627889	0.182939808322515	0.306129607750159	0.0552982145098644	0	0.271946384364104	0.143646145470377	1.37594351117377	0.159157046250915	0.295448356367527	0.456498723539914	0.330268994746762	0.370129135972338	0.395576143341917	0.456588017294501	0.0246432934979168	0.10952574887963	0.144265632695124	0.0571194905648786	0.335840259297973	0.306362382582731	0.357280180338797	0.33608659210994	0.0599515036938351	0.446018230506946	0.141372263164328	0.351990417274309	0.0273899234123949	0.0539802754854724	0.0539802754854723	0.0539802754854724	0.185341464992651	0.37934326071319	0.378190609329027	0.0215469218205565	0.0215469218205565	0.0215469218205565	0.0215469218205565	0.070995728646316	0.043600447608646	0	0.0652240238301937	0.136625204222397	0.136625204222397	0.0388438385270191	0.0324251998695962	0.0718391120522141	0.0652240238301937	0.0211935882288572	0.0211935882288572	0.02234623961302	0.02234623961302	0.017650250298162	0.017650250298162	0.0164058091722356	0.0164058091722356	0.011231611640739	0.0335778512537591	0.011231611640739	0
"R13"	0	0.0546362313924722	0.119802275707509	0.116154659976151	0.155745911401813	0.129591329027911	0.283409693762915	0.0460812894930243	0	0.293588476762025	0.104380857285853	0.477471138752744	1.32820193562733	0.221733938648793	0.421812558487304	0.326882518559656	0.351201458007104	0.376090514933471	0.43297870006656	0.0233944068442118	0.10397514152983	0.141698449716611	0.0553981486743626	0.234710371579515	0.19537079658713	0.244410894364163	0.224790223257499	0.0569414533660461	0.332395305253932	0.138272538479814	0.250032116800665	0.0253087535092382	0.0452648079876296	0.0452648079876296	0.0452648079876296	0.446207694563472	0.641249161841648	0.632835568895985	0.015657128592878	0.015657128592878	0.015657128592878	0.015657128592878	0.0707407194140186	0.044761997410025	0	0.0528837573087573	0.121201521400471	0.121201521400471	0.0345548416750256	0.0319138231699696	0.0637823782567555	0.0528837573087572	0.0196206711066633	0.0196206711066633	0.0280342640523263	0.0280342640523263	0.0149341705683623	0.0149341705683623	0.0154031497338226	0.0154031497338226	0.0122931520633063	0.0403274161156326	0.0122931520633063	0
"R14"	0	0.0461260840220392	0.18779259550234	0.199446699084545	0.0959375926067747	0.181641500314506	0.331693972117337	0.0617871673273066	0	0.224109481645596	0.114576319916691	0.265903520730775	0.066520181594638	1.48809616069733	0.614047589808087	0.276017105152152	0.311936857549952	0.33636049638196	0.439408369244337	0.0217562010404731	0.0966942268465473	0.124366133538375	0.0512060416183539	0.321727995462697	0.30172173288162	0.349526701184206	0.326563272345314	0.0507491437554613	0.432036011030645	0.135686882400046	0.227949217826334	0.0368428553884852	0.170771509851245	0.170771509851245	0.170771509851245	0.0465464065514688	0.225024162147548	0.230718824317221	0.0171864479875037	0.0171864479875037	0.0171864479875037	0.0171864479875037	0.0729202125980922	0.046555710443432	0	0.0687458040842605	0.269887350148826	0.269887350148826	0.0486065758640483	0.0333417977438514	0.0912874883411126	0.0687458040842604	0.0229634288388925	0.0229634288388925	0.0172687666692194	0.0172687666692195	0.0256431470251558	0.0256431470251558	0.0241447622788723	0.0241447622788723	0.0103783689049588	0.0276471355741783	0.0103783689049588	0
"R15"	0	0.0471745701796818	0.170303362216885	0.175888129341968	0.10544285289798	0.165089746790737	0.320189926519146	0.057356376486117	0	0.255559485675205	0.125280730408548	0.273899234123949	0.0843625116974608	0.409365059872058	1.62422857677369	0.300750660477847	0.320427101463049	0.357102414920048	0.448197294863627	0.0225398600288458	0.100177155683759	0.132514789668325	0.0539593971348238	0.294201283075626	0.26634123708371	0.31557579143958	0.293408796526716	0.0529994439659803	0.401517751148272	0.203751741427769	0.298317532161287	0.0974537146064214	0.134296569994907	0.134296569994907	0.134296569994907	0.0526986769216331	0.301646894718016	0.304834176109243	0.0187921095612822	0.0187921095612822	0.0187921095612822	0.0187921095612823	0.0743439328300805	0.0474520951382629	0	0.0641373698773096	0.227865737228584	0.227865737228583	0.0447811829711169	0.0327812732032924	0.0838842424876944	0.0641373698773096	0.0221669949128639	0.0221669949128639	0.0189797135216363	0.0189797135216363	0.022614188058253	0.022614188058253	0.0218961465707424	0.0218961465707424	0.0106142782904284	0.0295939918120647	0.0106142782904284	0
"R16"	0	0.048262913296921	0.134252760654214	0.136785270967932	0.11917915052809	0.163582969283377	0.298187332324593	0.0526170026130222	0	0.308830567314141	0.141577934956243	0.297242095272085	0.0980647555678968	0.276017105152152	0.451125990716771	1.40553724870154	0.369315623954564	0.413747226179858	0.522703734398651	0.0261282128547888	0.116125390465728	0.249991408010971	0.157860576447058	0.33162471644488	0.198780752722833	0.345922843497675	0.325279105105972	0.0612477748324991	0.437081515263459	0.246842234584968	0.348663605616325	0.0270675594430063	0.0519090989067	0.0519090989067	0.0519090989067	0.0591436361975776	0.357654850746611	0.356846342043257	0.0212366902434365	0.0212366902434365	0.0212366902434365	0.0212366902434365	0.0795063500223036	0.0481441259583845	0	0.0609662845681158	0.138762808285169	0.138762808285169	0.0382304160875796	0.0315028938835098	0.0712765860984567	0.0609662845681158	0.0206437383917026	0.0206437383917026	0.0214522470950563	0.0214522470950563	0.017586677695877	0.017586677695877	0.0172610692269704	0.0172610692269704	0.0108591554918072	0.0323114025868635	0.0108591554918072	0
"R17"	0	0.0471822436345946	0.127971446581048	0.133510391753052	0.115990381749402	0.174444712066651	0.292863027563947	0.0531445908072579	0	0.281070915253069	0.137760213246178	0.302832929431913	0.0957822158201193	0.283578961409047	0.436946047449613	0.335741476322331	1.43961926903245	0.466392286298569	0.486982934967817	0.0513438513497822	0.228194894887921	0.240309253067434	0.0594357089670788	0.322331415384416	0.290174297800097	0.340666163346611	0.320391030669107	0.152766452575048	0.427481177370558	0.148738984811755	0.337748473522032	0.0262167628469768	0.051738869373791	0.051738869373791	0.051738869373791	0.0590179576892271	0.34642224231853	0.345819106281141	0.0206640319869267	0.0206640319869267	0.0206640319869267	0.0206640319869267	0.0737795393266535	0.0445605632285845	0	0.0623852167296791	0.134852071649463	0.134852071649463	0.0374407544743249	0.0308911374952878	0.0698376034197799	0.062385216729679	0.020275132677504	0.020275132677504	0.0208782687148924	0.0208782687148924	0.0171656217968209	0.0171656217968209	0.0164534717032776	0.0164534717032776	0.0106160048177838	0.0314942735326762	0.0106160048177838	0
"R18"	0	0.0464512002003316	0.129481414240894	0.132701740218337	0.113956876075251	0.17065930001664	0.288939897567784	0.0524210425155528	0	0.292270113768692	0.135347433146389	0.296682107506438	0.0940226287333677	0.280300413651633	0.44637801865006	0.344789355149882	0.427526262440354	1.4683470385878	0.493588789242697	0.0492942630247446	0.219085613443309	0.234978830061398	0.0606463693180511	0.316656759159692	0.28199760082183	0.333032174155396	0.313028642785319	0.145105449366477	0.420135190511555	0.226782089708009	0.331735368273081	0.0267826811190036	0.0520097183476506	0.0520097183476506	0.0520097183476506	0.0578749993706541	0.340148748244601	0.339640041921133	0.0203021149719583	0.0203021149719583	0.0203021149719583	0.0203021149719583	0.0754899491338317	0.0458746217792699	0	0.0613287391272392	0.135337839788477	0.135337839788477	0.0370651836838634	0.0304550514151519	0.06943910684093	0.0613287391272392	0.0200035313700773	0.0200035313700773	0.0205122376935452	0.0205122376935452	0.0170616523137861	0.0170616523137861	0.0166476104024007	0.0166476104024007	0.0104515200450746	0.0309637577386198	0.0104515200450746	0
"R19"	0	0.0471687403464602	0.199291315903002	0.170858908151714	0.106824976851106	0.161776243218896	0.31652295553975	0.057602803230326	0	0.299013547659008	0.126866555621867	0.2739528103767	0.086595740013312	0.292938912829558	0.448197294863626	0.348469156265767	0.357120818976399	0.394871031394157	1.53254430741131	0.0425417760838804	0.189074560372802	0.212050540727129	0.123314882508598	0.292702161611277	0.255705019264292	0.308980371019424	0.287067243328211	0.0588343034526308	0.399107778867025	0.209723402320878	0.307280770491111	0.0268918376918176	0.0532563398464778	0.0532563398464778	0.0532563398464778	0.0533740030416636	0.31154487729381	0.314229509151824	0.0190299833432801	0.0190299833432801	0.0190299833432801	0.0190299833432801	0.147477182398108	0.0555245239534297	0	0.0634604051431457	0.214712869075119	0.214712869075119	0.0438807015964339	0.032526094269167	0.0867847117530605	0.0634604051431457	0.0219131276912135	0.0219131276912135	0.019228495833199	0.019228495833199	0.0219675739052204	0.0219675739052204	0.0256231691875288	0.0256231691875289	0.0106129665779536	0.0298414624111526	0.0106129665779536	0
"R20"	0	0.0357522787419821	0.115975794090033	0.110980420846305	0.0855126990869482	0.128706271722499	0.228101555907178	0.0414314838896679	0	0.221506961476935	0.101560847533446	0.221789641481251	0.0701832205326355	0.217562010404731	0.338097900432687	0.261282128547888	0.564782364847604	0.591531156296935	0.638126641258206	1.29027451763991	1.29010896728848	0.17452798912957	0.0618029900448023	0.236573408240082	0.210213261281453	0.249520299028953	0.233728652850763	0.0905743029370741	0.316566319393982	0.148604396940727	0.248018600611863	0.0202858740259612	0.0398664549623871	0.0398664549623871	0.0398664549623871	0.0432339303079157	0.253440079299098	0.253839439641636	0.0152341271300168	0.0152341271300168	0.0152341271300168	0.0152341271300168	0.0753494681490472	0.0370618696735549	0	0.0475270321034645	0.123125784393598	0.123125784393598	0.0300605574298571	0.0238359088951353	0.0574011761226188	0.0475270321034645	0.0157916461781893	0.0157916461781893	0.0153922858356507	0.0153922858356507	0.0142689112516678	0.0142689112516678	0.0149111735258614	0.0149111735258614	0.00804426271694598	0.0234365485525967	0.00804426271694598	0
