"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"
"R1"	1.27344914731819	0.331270240231932	0.224434934213909	0.34103021807232	0.310899578728927	0.111414662408943	0.224837237569121	0.0288696823925054	0.0732596868515153	0.253575429217159	0.0518468958812921	0.114578716226634	0.162391903960672	0.34103021807232	0.308286922706878	0.22439617722071	0.302090988235483	0.141798107785411	0.050955659444855	0.0610569023907397	0.190802341579225	0.0288696823925054	0.112012561835595	0.430235663719563	0.478055458995804	0.445446638102134	0.427188146322677	0.455074492586728	0.27664988911892	0.354196115492126	0.404173036246723	0.329033905397593	0.125965266228393	0.172026342085914	0.481161373208423	0.357635777758159
"R2"	0.248452680173949	1.35028852236011	0.224383728755887	0.340374638549999	0.308525242870436	0.110042618892399	0.220615336124615	0.0271158172471181	0.0860335162133544	0.250634733880716	0.0541449428336141	0.11489693087006	0.165705625298833	0.340374638549999	0.306870709470911	0.216723255556583	0.316377044035978	0.137968564326422	0.0534471548421256	0.0565771655292724	0.196464890735943	0.0271158172471181	0.110024320371398	0.403639079350344	0.451817114852345	0.526762559019698	0.401653992749088	0.428383552336397	0.353976071935206	0.251840968945989	0.378116445447839	0.304520656519588	0.20345639895658	0.253396663451956	0.451930287451969	0.327348314246159
"R3"	0.252489300990648	0.33657559313383	1.25970492072435	0.347897277299925	0.294450037830853	0.121756067027871	0.21774635599591	0.0210267184723996	0.071476062818929	0.247585420011323	0.0596323296664859	0.106513397774599	0.164485245295856	0.347897277299925	0.303926400190418	0.238173762744627	0.327163935867135	0.131506882804823	0.0579975968413539	0.0427720597885538	0.190584877054723	0.0210267184723996	0.100769656629908	0.443982155859884	0.493116180843135	0.568212519815317	0.450980164204845	0.472202497085826	0.277848953181497	0.370671139131759	0.423571500649659	0.226872006176281	0.245912523050644	0.171412253878161	0.350445307873326	0.241614903512825
"R4"	0.25577266355424	0.340374638549999	0.23193151819995	1.34773962677005	0.305221658749542	0.110279110731637	0.217177346136908	0.0269029328074536	0.0753269487011275	0.250903391095413	0.0541432672712818	0.115158094416867	0.165756535952514	0.347739626770045	0.303677268124036	0.224101804504892	0.313573051959478	0.137854521041011	0.0533746418450899	0.0563913470791693	0.193088978744432	0.0269029328074536	0.109765988924259	0.405723241686412	0.45292330366696	0.523984872501447	0.403635897111915	0.43015467925405	0.354065591584681	0.328775116540538	0.379773902015546	0.304477585430886	0.204437314682754	0.172859339866901	0.448382213457561	0.327649047463508
"R5"	0.254372382596395	0.336572992222294	0.214145482058802	0.332969082272228	1.3221448822143	0.105501322888232	0.226327061307249	0.0277328119131182	0.0881456573400515	0.249050136323952	0.0488184250844772	0.117103580996999	0.162369035385914	0.332969082272228	0.314147595807305	0.221310548396224	0.308833404294567	0.140559519235568	0.054243589391544	0.0579541308669436	0.207956639696843	0.0277328119131182	0.112197720258488	0.409670429668942	0.460819947564886	0.531887850753017	0.321013803454159	0.433569308253457	0.361578393462022	0.335717143769062	0.384141135070917	0.312857826086804	0.124547891113222	0.263032411361086	0.462213531885304	0.335792432820281
"R6"	0.250682990420122	0.330127856677197	0.243512134055741	0.33083733219491	0.290128637942639	1.1527531813301	0.222127296485559	0.0210797032956304	0.0777264047147946	0.26302687644033	0.0744637873230698	0.105409375667499	0.178792929240315	0.33083733219491	0.308575067741385	0.243285992557253	0.310386972794119	0.122205494836897	0.0570371825572148	0.0424997942434083	0.187044871927493	0.0210797032956304	0.0995369768006231	0.327434149412848	0.373998599677804	0.691945331530932	0.575849744116447	0.589795946996105	0.277022372609601	0.252876781781452	0.538319203620923	0.221599370458842	0.127175601935361	0.17149560433147	0.351328388260507	0.238001010530865
"R7"	0.252941892265262	0.330923004186922	0.21774635599591	0.325766019205362	0.311199709297467	0.111063648242779	1.25297443136092	0.0303569637526163	0.0970036596958175	0.248786666242622	0.0591246517344014	0.0958726875819333	0.16326438809195	0.325766019205362	0.308110095190246	0.217705147610024	0.299841485554324	0.144364499361631	0.0583214607418455	0.0638826025016421	0.195581479921701	0.0303569637526163	0.122204063243488	0.320095188373176	0.493880560820815	0.573772541851932	0.439631467048292	0.460058522870812	0.269465114487664	0.364456487433825	0.298184076698628	0.220899149770007	0.122713078426081	0.295229424393591	0.505949395876938	0.372507097211398
"R8"	0.259827141532549	0.325389806965417	0.168213747779197	0.322835193689444	0.3050609310443	0.0843188131825218	0.24285571002093	1.08670885402508	0.132049664772674	0.261905358445285	0.0431753488958466	0.083761788782284	0.193114774568909	0.322835193689444	0.299268625131994	0.169015047083666	0.232499495603798	0.179172825320059	0.0442600660030482	0.113349204974585	0.149222178223093	0.0867088540250835	0.157609270977633	0.311473562723919	0.365546035739946	0.446546077173028	0.301138428315041	0.325515454509731	0.253501402016578	0.227321040144062	0.269566277099709	0.205312171343055	0.11077624720493	0.178993942469527	1.44514756708472	0.296003899438909
"R9"	0.219779060554546	0.344134064853418	0.190602834183811	0.30130779480451	0.323200743580189	0.103635206286393	0.258676425855513	0.0440165549242247	1.1475466901124	0.236618303963833	0.0605957394509589	0.0862710801594979	0.169182239251625	0.30130779480451	0.321782586819765	0.191291717967497	0.298807478857083	0.150009723475404	0.0613703379330218	0.0672734945924144	0.213087634856562	0.0440165549242247	0.128643832525436	0.308618424832868	0.37688968983048	0.775139130863861	0.315449086445508	0.334035693930479	0.265592931330577	0.243854539956435	0.287543248722517	0.217011352830561	0.116896927564123	0.503791389461009	0.733609248737078	0.258410440757664
"R10"	0.253575429217159	0.334179645174288	0.220075928898953	0.334537854793884	0.304394611062607	0.11690083397348	0.221143703326775	0.0291005953828095	0.0788727679879443	1.26751273358436	0.0575670332476247	0.1121358506127	0.176476281682809	0.334537854793884	0.301979870517737	0.228560746633787	0.295227658223714	0.14755954045158	0.056498836721548	0.0613015275109855	0.184117631322867	0.0291005953828095	0.117800364232534	0.429854767608453	0.478633250953822	0.555616833286375	0.430244989536643	0.454475404595464	0.376850232288689	0.248328228449013	0.401566996215291	0.223271975603246	0.12415768382659	0.171043685095236	0.485009923046825	0.357788134757512
