"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	2.42105263157895	1.42105263157895	0	0	0	0	1.42105263157895	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"R2"	1.42105263157895	2.42105263157895	0	0	0	0	1.42105263157895	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"R3"	0	0	3.13157894736842	0	0	2.13157894736842	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"R4"	0	0	0	1.73902457588327	0.691351568318976	0	0	0.691351568318976	0.833940204278028	0.833940204278028	0.473549773659561	0.789249622765934	0.789249622765934	0	0	0.789249622765934	0.421847237310043	0.475295453196841	0.682700923692533	0.789249622765934
"R5"	0	0	0	0.691351568318976	1.72723114648645	0	0	0.72723114648645	0.821732781644834	0.821732781644834	0.473878470155294	0.789797450258823	0.789797450258823	0	0	0.789797450258823	0.579472059226035	0.315005450527947	0.683174794473882	0.789797450258823
"R6"	0	0	2.13157894736842	0	0	3.13157894736842	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0	0
"R7"	1.42105263157895	1.42105263157895	0	0	0	0	2.42105263157895	0	0	0	0	0	0	0	4.73684210526316	0	0	0	0	0
"R8"	0	0	0	0.691351568318976	0.72723114648645	0	0	1.72723114648645	0.821732781644834	0.821732781644834	0.473878470155294	0.789797450258823	0.789797450258823	0	0	0.789797450258823	0.579472059226035	0.315005450527947	0.683174794473882	0.789797450258823
"R9"	0	0	0	0.714805889381167	0.704342384267001	0	0	0.704342384267001	1.8398700534093	0.839870053409299	0.459927130003072	0.766545216671786	0.766545216671786	0	0	0.766545216671786	0.55584072901392	0.451758897140995	0.663061612421095	0.766545216671786
"R10"	0	0	0	0.714805889381167	0.704342384267001	0	0	0.704342384267001	0.839870053409299	1.8398700534093	0.459927130003072	0.766545216671786	0.766545216671786	0	0	0.766545216671786	0.55584072901392	0.451758897140995	0.663061612421095	0.766545216671786
"R11"	0	0	0	0.710324660489341	0.71081770523294	0	0	0.71081770523294	0.804872477505375	0.804872477505375	1.52145286877087	0.86908811461811	0.86908811461811	0	0	0.86908811461811	0.420212520071264	0.313515907574783	0.526761219144666	0.86908811461811
"C1"	0	0	0	0.789249622765934	0.789797450258822	0	0	0.789797450258822	0.89430275278375	0.89430275278375	0.579392076412073	1.71565346068679	0.715653460686789	0	0	0.715653460686789	0.466902800079182	0.348351008416426	0.585290243494073	0.715653460686789
"C2"	0	0	0	0.789249622765934	0.789797450258823	0	0	0.789797450258823	0.89430275278375	0.89430275278375	0.579392076412073	0.715653460686789	1.71565346068679	0	0	0.715653460686789	0.466902800079182	0.348351008416426	0.585290243494073	0.715653460686789
"C3"	0	0	2.36842105263158	0	0	2.36842105263158	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0	0
"C4"	1.57894736842105	1.57894736842105	0	0	0	0	1.57894736842105	0	0	0	0	0	0	0	5.26315789473684	0	0	0	0	0
"C5"	0	0	0	0.789249622765934	0.789797450258823	0	0	0.789797450258823	0.89430275278375	0.89430275278375	0.579392076412073	0.715653460686789	0.715653460686789	0	0	1.71565346068679	0.466902800079182	0.348351008416426	0.585290243494073	0.715653460686789
"C6"	0	0	0	0.632770855965064	0.869208088839053	0	0	0.869208088839053	0.97272127577436	0.97272127577436	0.420212520071264	0.700354200118774	0.700354200118774	0	0	0.700354200118774	1.51089075470798	0.345043956451024	0.60580638310274	0.700354200118774
"C7"	0	0	0	0.950590906393681	0.630010901055893	0	0	0.630010901055893	1.05410409332899	1.05410409332899	0.418021210099711	0.696702016832852	0.696702016832852	0	0	0.696702016832852	0.460058608601365	1.41364397424365	0.602647244560417	0.696702016832852
"C8"	0	0	0	0.81924110843104	0.819809753368658	0	0	0.819809753368658	0.928286257389534	0.928286257389534	0.421408975315732	0.702348292192888	0.702348292192888	0	0	0.702348292192888	0.484645106482192	0.36158834673625	1.60753127274685	0.702348292192888
"C9"	0	0	0	0.789249622765934	0.789797450258823	0	0	0.789797450258823	0.89430275278375	0.89430275278375	0.579392076412073	0.715653460686789	0.715653460686789	0	0	0.715653460686789	0.466902800079182	0.348351008416426	0.585290243494073	1.71565346068679
